;tC;tP;tN;tAce;Res;Fer;NTS;AAS;DNAp;tRNAp;mRNAp;rRNAp;tRNAc;Ribosome
q0;0.5947259522111721;0.2324285931844956;0.22249807008363476;0.04965261547930258;1e-10;0.2730893851486642;0.5338234418362432;0.16903283068393546;0.06640919417954058;0.34613129383535823;0.004981148850158959;0.008301583732828235;0.5123846605561967;0.37364276306130706
1;0.5908499648606256;0.23835377836793403;0.2315107474279255;0.06071449065648516;1e-10;0.32420385554915876;0.5793716057649695;0.17532894103650631;0.029478479195873555;0.36830733873194405;0.04441873193633822;0.05807516064485538;0.5485989330656844;0.4722030412203437
2;0.5908499648606256;0.23835377836793403;0.2315107474279255;0.06071449065648516;1e-10;0.32420385554915876;0.5793716057649695;0.17532894103650631;0.029478479195873555;0.36830733873194405;0.04441873193633822;0.05807516064485538;0.5485989330656844;0.4722030412203437
3;0.5906047821583816;0.23848308346356853;0.23164340878572454;0.06073127440767478;1e-10;0.324285015498109;0.5794808371795585;0.17535557245644826;0.029485643113735045;0.3685186834076004;0.04442787780892826;0.05807662504993959;0.5489445863310041;0.47270156640873096
4;0.5906047821583815;0.23848308346356853;0.23164340878572454;0.06073127440767472;1e-10;0.324285015498109;0.5794808371795585;0.17535557245644826;0.02948564311373467;0.3685186834076004;0.04442787780892826;0.05807662504993959;0.5489445863310041;0.47270156640873096
5;0.5908334073896835;0.23874653248900532;0.23198060161925588;0.06156054149794471;1e-10;0.32779048675349337;0.5835875422945747;0.17659193597098782;0.028876559380377614;0.3748284117908376;0.04370549414196493;0.05710113163734225;0.560111744066805;0.48409786147859285
6;0.5903695135574305;0.2389868769578634;0.2322194403593348;0.06157583087462879;1e-10;0.3278482474921272;0.5837015046581756;0.17661200126237392;0.02885759816884745;0.3750360871475548;0.043698647479809824;0.05708648003660409;0.5605633055902105;0.48481762546878066
7;0.5898311009329016;0.23924679676627023;0.23247439240786513;0.06155229010703699;1e-10;0.3278508915763024;0.5837319255546398;0.17661745870105877;0.028859623403239772;0.37516940547423555;0.04371446813254604;0.05709813744558442;0.5608411536908129;0.4853988133735945
8;0.5889138946821733;0.23967077205009252;0.23288743831627906;0.061472105048545014;1e-10;0.327827446491099;0.5837020336573099;0.17661322227670637;0.02890232541670745;0.37536831864802134;0.04378931520118593;0.05716730784149792;0.5612093644850196;0.48624846778743674
9;0.5888831529005432;0.24022027413590635;0.23345003822488763;0.0625534652613373;1e-10;0.3323355468606377;0.5888026179681369;0.17849359977104493;0.02780287231645072;0.3842583114700449;0.042507738459805086;0.05547829907945695;0.5776108804155085;0.5034418214173563
10;0.5872315038083875;0.24099150817162546;0.2342100082590546;0.06243302023906777;1e-10;0.3322598402158609;0.5888404876907706;0.178448150348837;0.027774011584352387;0.3844783473120997;0.04252047612567929;0.05548227871027242;0.5782801942281464;0.5049786949726678
11;0.5844579473664633;0.2422773566262062;0.23545302373993604;0.062188327732605596;1e-10;0.33203270593527606;0.5886950011700524;0.1783338045975758;0.027743972357841006;0.38486832936840604;0.042588263407531;0.05553839557089208;0.5794153818756981;0.5075555215993792
12;0.585589565023227;0.24271499545166714;0.23593366129834678;0.06423822177324096;1e-10;0.3398555254261805;0.5980145521532666;0.1821578611224029;0.025465742820117595;0.40310655489171093;0.03975484577776677;0.0517803656198779;0.6130660986381143;0.5432056858248916
13;0.5851460150045974;0.24349301427168335;0.23683637035430605;0.06547539963058692;1e-10;0.344920901788865;0.6050533063454173;0.18499584550355763;0.023687341040958806;0.4177768812542845;0.03749437655391567;0.048764918890313785;0.6404559191402112;0.5735973878503189
14;0.5832687212557066;0.2446834348495382;0.2381970179150697;0.06614917402031469;0.002278992190694135;0.346843165685738;0.6134291807726229;0.18891146014017612;0.020969463341299347;0.4382453551337761;0.033924483670088226;0.04403919391663417;0.6794835987221777;0.6179780246166727
15;0.5680032265252427;0.2470806064137766;0.2414547060374863;0.05653853897650572;0.04832778426137573;0.2947466741807515;0.6194920040332828;0.1941879226306577;0.015343802252830314;0.4718455916887849;0.02584634741407898;0.03345704510874441;0.7468493916808722;0.6982465018099746
