;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
rho;340.0;340.0;340.0;340.0;340.0;340.0;340.0;340.0;340.0;340.0;340.0;340.0;340.0;340.0;340.0
x_C;5.0;3.846153846153846;2.9585798816568043;2.2758306781975417;1.7506389832288782;1.3466453717145217;1.0358810551650166;0.7968315808961666;0.6129473699201281;0.4714979768616369;0.3626907514320284;0.2789928857169449;0.2146099120899576;0.1650845477615058;0.1269881136626968
x_P;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_N;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_Ace;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
