;rho;x_C;x_P;x_N;x_Ace;condition;mu;density;consistent;converged;run_time;tC_q;tP_q;tN_q;tAce_q;Res_q;Fer_q;NTS_q;AAS_q;DNAp_q;tRNAp_q;mRNAp_q;rRNAp_q;tRNAc_q;Ribosome_q;tC_v;tP_v;tN_v;tAce_v;Res_v;Fer_v;NTS_v;AAS_v;DNAp_v;tRNAp_v;mRNAp_v;rRNAp_v;tRNAc_v;Ribosome_v;tC_p;tP_p;tN_p;tAce_p;Res_p;Fer_p;NTS_p;AAS_p;DNAp_p;tRNAp_p;mRNAp_p;rRNAp_p;tRNAc_p;Ribosome_p;C_b;P_b;N_b;Ace_b;ADP_b;ATP_b;A_b;NT_b;DNA_b;tRNA_b;mRNA_b;rRNA_b;TC_b;Protein_b;C_c;P_c;N_c;Ace_c;ADP_c;ATP_c;A_c;NT_c;DNA_c;tRNA_c;mRNA_c;rRNA_c;TC_c;Protein_c
0;340.0;5.0;1.0;1.0;1.0;1;0.6069715305391356;1.0;1;1;0.591314;0.5908499648606255;0.238353778367934;0.2315107474279254;0.0607144906564851;1e-10;0.3242038555491587;0.5793716057649694;0.1753289410365063;0.0294784791958735;0.368307338731944;0.0444187319363382;0.0580751606448553;0.5485989330656844;0.4722030412203436;121.93389654675244;49.18914560636208;47.77694711887964;12.529668888688084;2.0637032e-08;66.90605353918298;119.56510390270724;36.18268973416959;6.083483196065049;76.00770349363411;9.166707940722308;11.984989508590772;113.21453757870516;97.44869290261379;8.313674764551301;4.09909546719684;2.986059194929977;0.5179236436086845;8.5183418e-09;12.10941689546716;19.955607603216656;4.295446381316139;1.0300795632351387;7.1725491537076564;0.8343483949878657;0.8742994760866712;15.306511118256655;50.94421554685441;0.0838181492102241;0.0549932834427229;0.0481502525027144;0.0041262804533465;0.0478687098390868;0.0818128324305766;0.0480762603197187;0.0211547346794614;0.0294784791958735;0.0315083897079993;0.0444187319363382;0.0580751606448553;0.0687563026608066;0.3777624329762749;28.4981707314762;18.69771637052581;16.371085850922906;1.4029353541378435;16.27536134528954;27.81636302639605;16.34592850870439;7.19260979101688;10.022682926597009;10.71285250071978;15.102368858354994;19.74555461925083;23.377142904674272;128.43922721193348
1;340.0;3.846153846153846;1.0;1.0;1.0;2;0.6047322061153166;1.0;1;1;0.4782759999999999;0.5908499648606255;0.238353778367934;0.2315107474279254;0.0607144906564851;1e-10;0.3242038555491587;0.5793716057649694;0.1753289410365063;0.0294784791958735;0.368307338731944;0.0444187319363382;0.0580751606448553;0.5485989330656844;0.4722030412203436;121.48404092932996;49.00767011764307;47.60068171070839;12.483442678473777;2.0560895e-08;66.65921435109364;119.12398756703998;36.049199485015365;6.061039157395327;75.72728522314209;9.132888837280271;11.940772805870035;112.79685064220888;97.08917152952368;8.756858785523786;4.083972509803589;2.975042606919274;0.51601284712738;8.4869147e-09;12.064741137795073;19.881984579319088;4.279599018616373;1.0262792493680613;7.146087180298999;0.8312701999739894;0.8710738879461633;15.250040192577288;50.75626500817752;0.0838181492102241;0.0549932834427229;0.0481502525027144;0.0041262804533465;0.0478687098390868;0.0818128324305766;0.0480762603197187;0.0211547346794614;0.0294784791958735;0.0315083897079993;0.0444187319363382;0.0580751606448553;0.0687563026608066;0.3777624329762749;28.4981707314762;18.69771637052581;16.371085850922906;1.4029353541378435;16.27536134528954;27.81636302639605;16.34592850870439;7.19260979101688;10.022682926597009;10.71285250071978;15.102368858354994;19.74555461925083;23.377142904674272;128.43922721193348
2;340.0;2.9585798816568043;1.0;1.0;1.0;3;0.6018238933265673;1.0;1;1;0.472092;0.5906047821583816;0.2384830834635685;0.2316434087857245;0.0607312744076747;1e-10;0.324285015498109;0.5794808371795585;0.1753555724564482;0.029485643113735;0.3685186834076004;0.0444278778089282;0.0580766250499395;0.548944586331004;0.4727015664087309;120.8496236013878;48.79843804607364;47.39890296721319;12.426840883641724;2.04620123e-08;66.355239995343;118.57344060344379;35.88127893296455;6.033355942221544;75.40633859606055;9.090837854370113;11.883646203599444;112.32510917653072;96.7242530064076;9.333687161086173;4.06653650383947;2.9624314354508243;0.5137076656173872;8.445156e-09;12.010249863852804;19.798197484779788;4.260049456464299;1.0240741701194052;7.127966996094963;0.827970675300963;0.8679747180765893;15.189503298138675;50.59247662590837;0.0834725711111346;0.0550872999765562;0.0482476252987122;0.004125728691947;0.0479342499883305;0.081779756260913;0.0480310979446026;0.0210239240813993;0.029485643113735;0.0315276296167707;0.0444278778089282;0.0580766250499395;0.0686187179300458;0.3781612531269847;28.380674177785785;18.729681992029136;16.404192601562173;1.40274775526199;16.297644996032393;27.80511712871044;16.33057330116489;7.148134187675787;10.025118658669916;10.71939406970204;15.105478455035607;19.74605251697946;23.330364096215572;128.57482606317484
3;340.0;2.2758306781975417;1.0;1.0;1.0;4;0.597980964940149;1.0;1;1;0.5163039999999999;0.5906047821583815;0.2384830834635685;0.2316434087857245;0.0607312744076747;1e-10;0.324285015498109;0.5794808371795585;0.1753555724564482;0.0294856431137346;0.3685186834076004;0.0444278778089282;0.0580766250499395;0.548944586331004;0.4727015664087309;120.07794196133408;48.48683708629192;47.09623869662241;12.347489664597745;2.03313528e-08;65.93153060428475;117.81629346152565;35.65216010454731;5.994830129150853;74.92483368686707;9.032788582424825;11.807763537862236;111.60786056718084;96.10662319533638;10.095097870426388;4.040569757190993;2.9435149185389005;0.5104274007551663;8.3912297e-09;11.93355877424741;19.671776689663755;4.232847038671776;1.0175349752788603;7.082451577032205;0.8226836934338153;0.8624322915963921;15.092511181263152;50.2694198866848;0.0834725711111345;0.0550872999765562;0.0482476252987122;0.004125728691947;0.0479342499883305;0.081779756260913;0.0480310979446026;0.0210239240813997;0.0294856431137346;0.0315276296167707;0.0444278778089282;0.0580766250499395;0.0686187179300458;0.3781612531269847;28.38067417778575;18.729681992029136;16.404192601562173;1.402747755262009;16.297644996032393;27.80511712871044;16.33057330116489;7.1481341876759;10.025118658669788;10.71939406970204;15.105478455035607;19.74605251697946;23.330364096215572;128.57482606317484
4;340.0;1.7506389832288782;1.0;1.0;1.0;5;0.5931731462322635;1.0;1;1;0.4503929999999999;0.5908334073896834;0.2387465324890053;0.2319806016192558;0.0615605414979447;1e-10;0.3277904867534933;0.5835875422945745;0.1765919359709878;0.0288765593803776;0.3748284117908375;0.0437054941419649;0.0571011316373422;0.5601117440668049;0.4840978614785928;119.15861379455887;48.15013082170585;46.785585531298096;12.415460428593212;2.01678869e-08;66.10841487307543;117.6972759120412;35.61486204811348;5.823791857207266;75.59497042853262;8.814474659060535;11.51609168829328;112.96270345971402;97.63230953637294;11.106257202482848;4.01251090180882;2.924099095706131;0.5215244106839196;8.5113255e-09;12.11396361135535;19.896345568991656;4.2826326529946845;1.0050029559839395;7.2526710604356674;0.8127302978931814;0.8527397583746941;15.471846915005287;51.42229388194977;0.0796274735255048;0.0539315881505434;0.047165657280794;0.0039975558527539;0.0493227136296986;0.0817934811216986;0.046910393560528;0.0207171911145948;0.0288765593803776;0.0311599770919334;0.0437054941419649;0.0571011316373422;0.0684124943293909;0.3872782891828743;27.073340998671664;18.336739971184784;16.03632347546997;1.359168989936348;16.769722634097555;27.809783581377552;15.949533810579537;7.043844978962246;9.818030189328388;10.59439221125736;14.859868008268077;19.414384756696364;23.26024807199292;131.67461832217728
5;340.0;1.3466453717145217;1.0;1.0;1.0;6;0.5866568924481992;1.0;1;1;0.438944;0.5903695135574305;0.2389868769578633;0.2322194403593348;0.0615758308746287;1e-10;0.3278482474921272;0.5837015046581756;0.1766120012623739;0.0288575981688474;0.3750360871475548;0.0436986474798098;0.057086480036604;0.5605633055902105;0.4848176254687806;117.75707703471745;47.669121514480096;46.31926598407089;12.282121100880708;1.99463343e-08;65.39370758322863;116.42705368563516;35.22762026207819;5.756033014186664;74.80595185025163;8.716278329796156;11.38666017288731;111.81183113853469;96.70334453095414;12.42530856764722;3.9724267928733417;2.8949541240044305;0.5161709921485191;8.412211e-09;11.981174621292807;19.6929973943927;4.235821145398871;0.9949305434972608;7.186063928145749;0.8042555182682161;0.8440190799887369;15.331064327704253;50.99120708373403;0.0790734615703048;0.0541393510145407;0.0473719144160121;0.0039938186237966;0.0494301446511031;0.0817091543957477;0.0468381400180944;0.0206525413595418;0.0288575981688474;0.0311235357812855;0.0436986474798098;0.057086480036604;0.0681711121092868;0.3878541003750245;26.884976933903648;18.407379344943855;16.106450901444145;1.357898332090863;16.80624918137508;27.78111249455423;15.9249676061521;7.021864062244243;9.811583377408132;10.582002165637087;14.85754014313534;19.40940321244539;23.178178117157543;131.87039412750835
6;340.0;1.0358810551650166;1.0;1.0;1.0;7;0.5780227263125328;1.0;1;1;0.438612;0.5898311009329015;0.2392467967662702;0.2324743924078651;0.0615522901070369;1e-10;0.3278508915763023;0.5837319255546398;0.1766174587010587;0.0288596234032397;0.3751694054742355;0.043714468132546;0.0570981374455844;0.5608411536908128;0.4853988133735944;115.9181655485539;47.01862914764919;45.68766391313089;12.096731663072818;1.96527726e-08;64.43179049879583;114.7195084752175;34.710227697544234;5.671716187963835;73.73119047763171;8.591105056754046;11.221367165045905;110.22083711277416;95.39432545472496;14.177435798864217;3.9182190956374328;2.8554789945706807;0.506817584354807;8.2800331e-09;11.801444465440175;19.41304650074405;4.172514770535598;0.9830132280864206;7.096564521804114;0.7933299577383262;0.83295471642424;15.121740754419124;50.35591684071849;0.0785160521445313;0.0543918307475002;0.0476194263890951;0.0040178882082234;0.0495185784514896;0.0816217782290313;0.0467874820927903;0.0205170985435701;0.0288596234032397;0.0311204792280259;0.043714468132546;0.0570981374455844;0.0678981062854965;0.3883190506988756;26.695457729140664;18.49322245415009;16.19060497229236;1.3660819907959847;16.83631667350648;27.751404597870646;15.907743911548703;6.975813504813842;9.812271957101522;10.580962937528838;14.862919165065655;19.4133667314987;23.08535613706882;132.02847723761772
7;340.0;0.7968315808961666;1.0;1.0;1.0;8;0.5665239008123087;1.0;1;1;0.438887;0.5889138946821731;0.2396707720500925;0.232887438316279;0.061472105048545;1e-10;0.327827446491099;0.5837020336573098;0.1766132222767063;0.0289023254167074;0.3753683186480213;0.0437893152011859;0.0571673078414979;0.5612093644850195;0.4862484677874367;113.43549093169077;46.16493503545548;44.85834200174229;11.840641692703555;1.92618126e-08;63.1455084850218;112.43159202666972;34.01890795053856;5.567111766790747;72.30274220142383;8.434615844969699;11.011459720683188;108.09909623575304;93.66026876988198;16.513407874689907;3.8470779196212894;2.8036463751088934;0.4914187474731693;8.101192e-09;11.56003069400302;19.038886693139357;4.087292109610475;0.9724238505509198;6.996798852691539;0.780300752553522;0.8204982715187048;14.839290897409885;49.508510191710954;0.0776252880887254;0.0548249762041793;0.0480416424703659;0.0040933842496747;0.0496463301742076;0.0814846484722319;0.0467100271520318;0.0201045631841662;0.0289023254167074;0.0311466102872513;0.0437893152011859;0.0571673078414979;0.0674648070278245;0.3889987742299494;26.39259795016667;18.64049190942098;16.334158439924405;1.3917506448894272;16.879752259230603;27.704780480558856;15.881409231690812;6.835551482616539;9.826790641680532;10.58984749766546;14.888367168403216;19.436884666109293;22.93803438946036;132.2595832381828
8;340.0;0.6129473699201281;1.0;1.0;1.0;9;0.551504131345492;1.0;1;1;0.4535549999999999;0.588883152900543;0.2402202741359063;0.2334500382248876;0.0625534652613373;1e-10;0.3323355468606377;0.5888026179681369;0.1784935997710449;0.0278028723164507;0.3842583114700449;0.042507738459805;0.0554782990794569;0.5776108804155085;0.5034418214173562;110.42230717949892;45.04404103042567;43.77454458488811;11.72948813734544;1.87511404e-08;62.31670520944572;110.40720596119944;33.469585615436415;5.213355641569886;72.0528157350547;7.970685747410296;10.402813788396047;108.30862753214836;94.40108309728227;19.717074246972498;3.753670085868805;2.735909036555507;0.4981381689116086;8.1331761e-09;11.607575691428368;19.04484125380924;4.095771316595068;0.9333241824442154;7.136722067821804;0.7531968762208294;0.7926722978452208;15.22007796661308;50.64720222630152;0.0723008252566971;0.0535274758920062;0.0467572399809874;0.0039136441107902;0.0519006731629495;0.0810335456313055;0.0451220637108387;0.0198751348455655;0.0278028723164507;0.0302748773209246;0.042507738459805;0.0554782990794569;0.066752153098337;0.402753457133885;24.582280587277022;18.199341803282117;15.89746159353575;1.3306389976686837;17.64622887540285;27.551405514643886;15.341501661685172;6.757545847492282;9.452976587593245;10.29345828911438;14.452631076333727;18.86262168701536;22.695732053434597;136.93617542552093
9;340.0;0.4714979768616369;1.0;1.0;1.0;10;0.5309437773680037;1.0;1;1;0.4405709999999999;0.5872315038083875;0.2409915081716254;0.2342100082590546;0.0624330202390677;1e-10;0.3322598402158609;0.5888404876907705;0.1784481503488369;0.0277740115843523;0.3844783473120996;0.0425204761256792;0.0554822787102724;0.5782801942281462;0.5049786949726677;106.00755035931633;43.50400016516669;42.279797804034295;11.270464023396048;1.80520884e-08;59.97984017484551;106.2980055525968;32.21361790358529;5.013789131907975;69.40637125295179;7.6758339512824225;10.01571001604158;104.39165203820228;91.15920057171208;24.04667359045064;3.625333347097224;2.6424873627521435;0.4721357555603281;7.8137715e-09;11.171446665004188;18.370462615492062;3.940249035359084;0.9014454795132328;6.896924832343937;0.7265473782525737;0.7651219289267512;14.713715570456763;49.08166146354297;0.0706832486722393;0.0543077965321178;0.047526296619547;0.0040189478041044;0.0521508165876978;0.0807531195486465;0.044947296468324;0.0197013251892898;0.0277740115843523;0.030180080849664;0.0425204761256792;0.0554822787102724;0.0659713493299307;0.4039829559781342;24.03230454856138;18.464650820920056;16.158940850645983;1.3664422533955016;17.73127763981725;27.45606064653984;15.282080799230163;6.698450564358536;9.443163938679811;10.26122748888577;14.456961882730958;18.863974761492624;22.430258772176455;137.35420503256563
10;340.0;0.3626907514320284;1.0;1.0;1.0;11;0.5025221180858044;1.0;1;1;0.439622;0.5844579473664632;0.2422773566262061;0.235453023739936;0.0621883277326055;1e-10;0.332032705935276;0.5886950011700522;0.1783338045975758;0.027743972357841;0.384868329368406;0.042588263407531;0.055538395570892;0.579415381875698;0.5075555215993792;99.85903551851008;41.39490834145052;40.22891974782996;10.625343458617065;1.7085752e-08;56.73028474452104;100.58296802412995;30.46967161230908;4.740266316147933;65.75764833984118;7.2765250732705375;9.489152540306463;98.99747528356816;86.7196777584902;30.04946045325075;3.4495756951208767;2.514307484239372;0.4344089975485558;7.3691428e-09;10.56412211213932;17.4378963434734;3.7243470097840112;0.8644821831509246;6.603130986035157;0.6920181386834408;0.7306723091252592;14.028378175543429;46.96230197956753;0.0681304620785387;0.0556683248691529;0.0488439919828827;0.0042182134544496;0.0525868885001601;0.0802261939239503;0.0446173477626786;0.019086540348377;0.027743972357841;0.0300331142153553;0.042588263407531;0.055538395570892;0.064673874248687;0.4060444172795034;23.164357106703175;18.927230455512;16.606957274180143;1.4341925745128716;17.879542090054436;27.276905934143112;15.169898239310728;6.489423718448199;9.43295060166594;10.211258833220803;14.48000955856054;18.88305449410331;21.989117244553597;138.05510187503117
11;340.0;0.2789928857169449;1.0;1.0;1.0;12;0.4639901353821981;1.0;1;1;0.4517499999999999;0.585589565023227;0.2427149954516671;0.2359336612983467;0.0642382217732409;1e-10;0.3398555254261805;0.5980145521532665;0.1821578611224028;0.0254657428201175;0.4031065548917109;0.0397548457777667;0.0517803656198779;0.6130660986381143;0.5432056858248915;92.3806457282001;38.28990362362894;37.22010309199279;10.134006413874433;1.57756646e-08;53.614467825979744;94.34077002480035;28.736613218659222;4.017390175962965;63.5927380924032;6.2715911333383;8.168696810396332;96.71525151581379;85.69430710013222;39.099667655248325;3.1908253019690775;2.3262564432495494;0.4412687309668307;7.3070813e-09;10.397542569769216;17.04584519669858;3.662706869901964;0.7844497112506879;6.794128971650259;0.6284177825663052;0.6663510712423096;14.473007320550128;48.2414789120002;0.05956114818492;0.0526949602439151;0.0459136260905948;0.0037328833119951;0.0577022095533953;0.0782400006670769;0.0413288552825397;0.0181055878284667;0.0254657428201175;0.02828085442752;0.0397548457777667;0.0517803656198779;0.0628743715319004;0.4345645486599132;20.2507903828728;17.916286482931156;15.610632870802235;1.2691803260783538;19.618751248154407;26.60160022680616;14.051810796063512;6.15589986167869;8.658352558839983;9.615490505356826;13.516647564440701;17.605324310758487;21.377286320846153;147.75194654437053
12;340.0;0.2146099120899576;1.0;1.0;1.0;13;0.4073733692215618;1.0;1;1;0.467936;0.5851460150045973;0.2434930142716833;0.236836370354306;0.0654753996305869;1e-10;0.3449209017888649;0.6050533063454173;0.1849958455035576;0.0236873410409588;0.4177768812542845;0.0374943765539156;0.0487649188903137;0.640455919140211;0.5735973878503188;81.04678723045777;33.72547366596163;32.80348224944935;9.068797610537738;1.38506945e-08;47.77394055806759;83.80408534795667;25.62320949742377;3.2808612554368928;57.86499973780764;5.19323157123439;6.754279964775527;88.7075931101336;79.44722215819226;52.84024236789597;2.810456138830136;2.0502176405905845;0.4085038246371381;6.869444e-09;9.654740043569728;15.774182807636045;3.3956587579924684;0.6891540935266434;6.591402080847671;0.547064144819482;0.5838441995652482;14.016043587255828;46.656979801250394;0.0521530783345639;0.0509910937130018;0.0443344497956245;0.003508780727186;0.0624418851184045;0.0755264756471414;0.0384050771251596;0.0168244579714028;0.0236873410409588;0.0268174766411686;0.0374943765539156;0.0487649188903137;0.0601726781609029;0.4588779102802551;17.732046633751743;17.336971862420633;15.07371293051235;1.1929854472432666;21.23024094025753;25.679001720028108;13.057726222554276;5.720315710276968;8.053695953925994;9.117942057997341;12.748088028331328;16.58007242270669;20.458710574707016;156.01848949528676
13;340.0;0.1650845477615058;1.0;1.0;1.0;14;0.3198317637341083;0.9999999999999998;1;1;0.458197;0.5832687212557066;0.2446834348495381;0.2381970179150696;0.0661491740203146;0.0022789921906941;0.3468431656857379;0.6134291807726228;0.1889114601401761;0.0209694633412993;0.4382453551337761;0.0339244836700882;0.0440391939166341;0.6794835987221776;0.6179780246166727;63.42627370905123;26.607561738312185;25.9022106010338;7.193246378800381;0.2478239912412279;37.71669688293299;66.70600651624224;20.5427610653142;2.2802781513018697;47.656026859443536;3.6890433316309137;4.788945241687077;73.8889488546225;67.20066053110403;76.06310726017628;2.2172968115260154;1.6188881625646123;0.3404397729158326;0.1372499617922081;8.162182698074643;13.432738924963816;2.8986042680172472;0.5441499609289139;6.075567942271648;0.4244779161508582;0.4584560008077113;12.88256240617283;42.83430060937238;0.0426774368678037;0.0493030908793351;0.0428166739448666;0.0032194591168329;0.0701034640555226;0.0697732983141196;0.0341235943817229;0.0149077666335628;0.0209694633412993;0.024404638489919;0.0339244836700882;0.0440391939166341;0.0553550166949544;0.4943824196933381;14.510328535053269;16.763050898973965;14.557669141254674;1.09461609972319;23.83517777887771;23.722921426800664;11.602022089785809;5.068640655411355;7.129617536041778;8.29757708657247;11.534324447829997;14.973325931655616;18.82070567628452;168.09002269573497
14;340.0;0.1269881136626968;1.0;1.0;1.0;15;0.1642503528543014;1.0;1;1;0.55598;0.5680032265252427;0.2470806064137766;0.2414547060374863;0.0565385389765057;0.0483277842613757;0.2947466741807515;0.6194920040332828;0.1941879226306577;0.0153438022528303;0.4718455916887849;0.0258463474140789;0.0334570451087444;0.746849391680872;0.6982465018099746;31.72020832891197;13.798246107551982;13.48406702609618;3.1574014920976325;2.698870909983157;16.460163380518892;34.59560528598092;10.84444783612397;0.8568764776123617;26.35027367539406;1.443392372137494;1.8684126979550073;41.70789387828525;38.993659662533794;125.08762502185544;1.1498538422959983;0.8427541891310112;0.1801912752685571;1.8712405982853524;4.137651038618791;8.07104786319852;1.7327296717388216;0.2912836212502533;4.607765514725424;0.2132309697499867;0.238601756311514;9.623433050869037;31.87564007901442;0.0287662582425591;0.0500371752367757;0.0444112748604854;0.0024107958596445;0.0838150202124902;0.0582475415904982;0.0253992520314175;0.0110500171655158;0.0153438022528303;0.0188756676931719;0.0258463474140789;0.0334570451087444;0.0437426008838078;0.5585972014479798;9.780527802470113;17.01263958050376;15.09983345256506;0.819670592279159;28.49710687224668;19.8041641407694;8.635745690681956;3.757005836275392;5.2168927659623066;6.417727015678458;8.787758120786854;11.375395336973096;14.87248430049468;189.92304849231311
