;5FTHFabc;ACt;ADNabc;CO2t;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;GSNabc;H2Ot;Ht;LIPTA;NACabc;NH3t;O2t;PIabc;PYRt2r;THMDabc;URAt2;trdoxt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCYTK;DGK1;DGSNK;DNAP;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;MTHFC;MTHFD;NADK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E1;PDH_E2;PDH_E3;PFK;PGI;PGK;PGK3;PGM;PGMT;PGPP;PGSA;PPA;PPM;PRPPS;PSSYN;PTAr;PUNP1;PUNP3;PYK;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RNAP;RNA_degrad;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
forward;37.205249781597125;600520540000.0;22.483915368142895;440095500000.0;2048.8659055312482;7.709674595263244;5.335625044822583;7.869370378850014;2682460000000.0;450174910000.0;724.4024552738929;920939630000.0;11.470094517766832;180152870000.0;10079410000.0;296066.26801921165;18.230112052955175;170305260000.00003;319988100000.0;364.18902339983117;880621990000.0001;8.163973977197655;1130948810000.0;115194599999999.98;531.2868019561837;818.4521453100019;33360.40492742977;10752.592090666583;1377.5767428243932;1416703.6566251214;39804.113362860364;319.7083262425376;5163.95219012432;554.4088706674077;315.5324187853819;10785.904143678654;33.23626238766017;2152.297341979633;2122.1825738870366;356.4366438451457;162.10493450255362;1185.8790263368514;128899.91144586324;676.069546470602;190.87596651463016;36584.6607733082;251.66996628462786;134845.65747473025;826.9589636444798;1665.7087344837907;774.9536238900545;25473.10689633953;1311.6546705771132;2941.8862645469444;9964.5293961547;18414.087148840194;18639.369496775722;123033.84433430545;1278.7499318479088;7556.436782025507;1583.0748540320726;186.56433711254093;3.4836918380983994;358.5968989664512;253.9602121262963;186482.27253778692;2760.2885615216724;67814.16038185726;64268.12286821461;354533.5121148397;2161.4510828223524;15427.204269295746;12248.707406201112;8021.954938842797;4765.169905890354;9.719348447980776;1203.9354987625636;1389.6861332390877;3490.305432351571;16.907899143163917;345.6916464138077;25571.956789995795;81586.93575182134;1401.7289518153773;1461.2510673502902;31739.105219572695;3355.0105353552003;5176.013592223621;5558.168384092758;8252.167357088902;3846.2770844125007;1519.700320722747;7269889.682727312;79951.46754093112;38192.28899382809;42741.95174317333;511.8009742110875;917.0004146896893;231.64539990812978;282.5379805090907;2159.0048343619733;577.019762234804;8348.880457675492;5276.291066444019;12112.144131450312;1181.69485771202;4994.178112012837;393.9222940180195;4459168.703778893;60677.345893369486;10857.51335826609;1.6507250221043308
backward;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
