;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;PYRt2r;RIBFLVabc;THMDabc;URAt2;trdoxt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK;PYK2;PYK4;PYK5;PYK7;PYK8;PdhC_transl;RBFK;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;rRNAP;tRNAP;AATRS;Ribosome
forward;284.8667016410238;600520540000.0;64.80247563743966;290.52918540433103;209.813287199664;203.28731420774042;214.15929388156107;2682460000000.0;450174910000.0;505.9226747632868;920939630000.0;180152870000.0;10079410000.0;50893.79147250249;900780810000.0001;139.58115915244596;170305260000.00003;319988100000.0;254.20393833308216;880621990000.0001;214.8712688953742;207.36493902082043;1130948810000.0;115194599999999.98;531.2868019561837;818.4521453100019;7371.794814680978;2659.5783335368556;22886.375977279262;1416703.6566251214;3488.3331226499067;698.8398977138954;5163.95219012432;195.69904481782618;769.2156088822608;957.0950599626698;64.05534205621777;1557.338198052854;1527.1118812415605;3422.5455485422513;358.1642809617232;1185.8790263368514;128899.91144586324;273.2268293129583;792.6756580962452;346.75800583491144;1097.9460900099687;365.76035100032584;134845.65747473025;393.1086353540618;412.93090212135405;115.67159158133045;176.02518028359808;25473.10689633953;1311.6546705771132;1422.0642022652223;1129.2381842836853;249.74105695614514;559.3263007324464;6643.164695331525;344.9214416262175;5694.8470257901145;630.6561292674261;1943.7314587454375;1198.6140512380462;147.32793676539487;358.5968989664512;395.3199965217687;1533.3670394058267;778.0422673845159;77417.22691816771;58340.70703360077;183.82070470128835;1249.1928945071277;6657.172475270305;6812.394545720405;6657.172475270305;643.8469200032497;1139.2589573007406;1203.9354987625636;1389.6861332390877;761.7149624967019;24.907343725519702;48.15650551435668;25571.956789995795;6711.382560135813;3766.9411809781036;1171.9660036603532;116.09934868083396;111.56714185212503;111.37342898740701;112.95209713824235;108.22617744481539;111.17907464962917;7269889.682727312;594.3629059116088;844.8447421251823;12618.964820148574;514.0136853641756;247.85382439149748;338.7932166729774;595.1253222621863;782.3462260183481;40.117156977840025;4599.554870883999;1653.010784151494;320.8082706307076;572.527749383562;1438.9749681481771;4459168.703778893;1214906.853108078;60677.345893369486;10857.51335826609;1.139739002526554
backward;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;115194599999999.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
