condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;ac;accoa;acdhlpl_PdhC;actp;ade;adn;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;co2;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;e4p;f6p;fa;fdp;fmettrna;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gsn;gtp;gua;h2o;h;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r1p;r5p;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;rRNA;AA;tRNA;AAtRNA;Protein
1;0;0;0.0001;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;23.0725;16.94;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;190.35;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;174.41;0.990991;0.990991;0.990991;0.990991;13.7154;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;509.101;0.990991;0.990991;0.990991;0.990991;50.1239;0.990991;0.990991;0.990991;20.2156
1;100;0.00010496;1.6e-07;0.992257;0.991007;0.986625;0.991022;0.990972;0.994008;0.919912;0.991114;0.990998;23.0725;16.9377;0.990407;0.992446;0.99101;0.990984;0.987587;0.990971;0.988859;0.755653;0.988764;0.986422;190.349;1.28051;0.986445;0.990991;0.990991;0.994274;1.00116;0.990971;0.9893;0.990342;0.992234;0.986419;0.990187;0.992347;0.986429;0.990173;0.991384;0.992094;0.986417;0.990197;0.992326;0.991421;0.991076;0.990995;0.987229;0.986422;0.990181;0.992321;0.990941;0.994876;1.00467;0.986338;0.951175;0.990986;0.99097;0.991088;0.994744;0.991002;0.9864;0.987241;1.00319;0.994121;0.988889;0.993702;0.990971;174.415;1.00094;0.990992;0.990927;0.987347;13.7154;0.989065;0.991285;0.990835;0.986736;0.990955;1.00126;0.994745;1.00116;0.990964;0.990948;0.984865;0.990969;0.991011;0.962534;0.98421;0.985296;1.00429;0.990918;0.994364;0.990979;0.990956;0.989721;0.992182;0.999981;0.991545;0.986483;0.990974;0.991033;0.990926;509.101;0.994173;1.00107;0.996724;0.990867;50.1229;0.988125;0.399136;1.62306;20.2149
1;200;0.00011264;6.4e-08;0.992271;0.991008;0.986344;0.991025;0.99097;0.994201;0.915669;0.991122;0.990999;23.0725;16.9376;0.990373;0.992539;0.991012;0.990984;0.987369;0.990969;0.988724;0.740874;0.988591;0.986128;190.349;1.29872;0.986155;0.990991;0.990991;0.994475;1.00181;0.990969;0.989175;0.990303;0.992314;0.986127;0.990135;0.992433;0.986138;0.990121;0.991408;0.992165;0.986125;0.990146;0.992412;0.991447;0.991084;0.990995;0.986983;0.98613;0.990129;0.992406;0.990936;0.99514;1.00555;0.986035;0.950877;0.990985;0.990968;0.991098;0.994976;0.991003;0.986106;0.987;1.00397;0.994308;0.988757;0.993856;0.990968;174.415;1.00158;0.990992;0.990923;0.987114;13.7154;0.988942;0.991309;0.990819;0.986478;0.990936;1.00191;0.994989;1.00181;0.990961;0.990944;0.984477;0.990966;0.991013;0.960787;0.983786;0.984926;1.00514;0.99091;0.994584;0.990978;0.990953;0.989707;0.992258;0.99999;0.991846;0.986198;0.990972;0.991037;0.99092;509.101;0.994366;1.00172;0.997075;0.990855;50.1229;0.987945;0.363848;1.65869;20.2149
1;300;0.00012448;1.28e-07;0.992281;0.991011;0.98592;0.99103;0.990966;0.994491;0.909275;0.991133;0.991;23.0725;16.9373;0.990321;0.992679;0.991015;0.990982;0.98704;0.990966;0.988521;0.718617;0.988323;0.985685;190.349;1.32615;0.985719;0.990991;0.990991;0.994778;1.00279;0.990966;0.988974;0.990245;0.992434;0.985687;0.990057;0.992562;0.985698;0.990042;0.991445;0.992272;0.985684;0.990069;0.992541;0.991487;0.991098;0.990996;0.98661;0.98569;0.990051;0.992533;0.990928;0.995541;1.00687;0.985577;0.950811;0.990985;0.990964;0.991113;0.995324;0.991005;0.985662;0.986637;1.00514;0.994587;0.988557;0.994076;0.990965;174.415;1.00254;0.990993;0.990917;0.986763;13.7154;0.988756;0.991346;0.990794;0.98609;0.990906;1.0029;0.995358;1.00279;0.990956;0.990937;0.983893;0.990963;0.991017;0.958161;0.983156;0.984365;1.00642;0.990898;0.994916;0.990976;0.990948;0.989698;0.992373;0.999989;0.992306;0.985767;0.990969;0.991044;0.990909;509.101;0.994655;1.00269;0.997594;0.990835;50.1229;0.987674;0.311137;1.71156;20.2148
1;400;0.00014816;2.56e-07;0.992262;0.991016;0.985105;0.991041;0.990959;0.99505;0.896989;0.991156;0.991002;23.0725;16.9369;0.990225;0.99295;0.991022;0.99098;0.986408;0.990959;0.988132;0.676045;0.987776;0.984832;190.349;1.37861;0.984881;0.990991;0.990991;0.995352;1.00468;0.990959;0.98852;0.990137;0.992666;0.984841;0.989908;0.99281;0.984854;0.98989;0.991514;0.992478;0.984838;0.989922;0.99279;0.991564;0.991127;0.990997;0.985888;0.984844;0.989901;0.992776;0.990911;0.996323;1.00941;0.984692;0.951934;0.990984;0.990957;0.991146;0.995987;0.991008;0.984809;0.985939;1.0074;0.995113;0.988174;0.994422;0.990958;174.416;1.00439;0.990993;0.990907;0.986088;13.7154;0.9884;0.99142;0.990741;0.985343;0.99085;1.00481;0.996073;1.00468;0.990947;0.990922;0.982773;0.990955;0.991024;0.953169;0.982023;0.983279;1.00888;0.990872;0.995558;0.990973;0.990937;0.989717;0.992595;0.999994;0.993188;0.984943;0.990964;0.991058;0.990887;509.101;0.995202;1.00456;0.998535;0.990794;50.123;0.987159;0.21312;1.80877;20.2147
1;500;0.000160602;1.024e-07;0.992234;0.99102;0.984693;0.991047;0.990955;0.995331;0.890808;0.991168;0.991004;23.0725;16.9367;0.99018;0.993086;0.991026;0.990979;0.986089;0.990955;0.987938;0.654823;0.987478;0.984402;190.349;1.40474;0.98446;0.990991;0.990991;0.995638;1.00563;0.990956;0.988218;0.990087;0.992782;0.984415;0.989833;0.992935;0.984429;0.989813;0.991549;0.992581;0.984412;0.989847;0.992916;0.991602;0.991142;0.990998;0.98552;0.984419;0.989825;0.992898;0.990902;0.996724;1.01068;0.984244;0.953083;0.990984;0.990953;0.991165;0.996317;0.99101;0.98438;0.985587;1.00854;0.995372;0.987982;0.994513;0.990954;174.417;1.00532;0.990993;0.990901;0.985748;13.7154;0.98822;0.991458;0.990712;0.984966;0.990821;1.00577;0.996436;1.00563;0.990941;0.990913;0.982211;0.99095;0.991028;0.950707;0.981538;0.982729;1.01012;0.990858;0.995884;0.99097;0.990931;0.989745;0.992707;0.999988;0.993635;0.984529;0.99096;0.991065;0.990875;509.101;0.995473;1.0055;0.998949;0.990771;50.123;0.986904;0.167417;1.85363;20.2146
1;600;0.000179443;2.048e-07;0.992175;0.991024;0.984093;0.991056;0.990949;0.995741;0.881805;0.991184;0.991006;23.0725;16.9364;0.990127;0.993284;0.991032;0.990977;0.985625;0.990949;0.987655;0.624566;0.986993;0.983775;190.349;1.44191;0.983847;0.99099;0.990991;0.99605;1.00701;0.99095;0.987554;0.990025;0.992953;0.983794;0.989723;0.993116;0.98381;0.989702;0.991599;0.992733;0.983791;0.989739;0.993099;0.991657;0.991167;0.990999;0.984981;0.983799;0.989715;0.993075;0.990887;0.997315;1.01254;0.983589;0.955331;0.990983;0.990947;0.991193;0.996795;0.991013;0.983754;0.985074;1.0102;0.995744;0.987703;0.994391;0.990947;174.417;1.00668;0.990994;0.990894;0.985253;13.7154;0.987958;0.991515;0.990666;0.984416;0.990779;1.00716;0.996968;1.00701;0.990933;0.9909;0.981395;0.990944;0.991034;0.947275;0.981105;0.98192;1.01192;0.990835;0.996363;0.990967;0.990921;0.989804;0.99287;0.999983;0.994286;0.983927;0.990955;0.991078;0.990856;509.101;0.995862;1.00686;0.999368;0.990735;50.1231;0.986548;0.112493;1.90724;20.2146
1;700;0.000217126;4.096e-07;0.992032;0.991035;0.982977;0.991076;0.990936;0.996501;0.865157;0.991215;0.99101;23.0725;16.9358;0.9901;0.993652;0.991044;0.990973;0.984762;0.990936;0.987132;0.572246;0.985845;0.982609;190.349;1.50565;0.98271;0.99099;0.990991;0.996802;1.00957;0.990938;0.984993;0.989983;0.993269;0.982643;0.98952;0.993451;0.982662;0.989495;0.99169;0.993014;0.982639;0.989538;0.993439;0.991759;0.991217;0.991002;0.983962;0.982648;0.98951;0.993404;0.990857;0.998433;1.016;0.982365;0.960368;0.990983;0.990934;0.991251;0.997669;0.99102;0.982591;0.98412;1.01328;0.996412;0.987187;0.992661;0.990934;174.418;1.00921;0.990994;0.99088;0.984334;13.7154;0.987473;0.99162;0.990572;0.983395;0.990697;1.00975;0.997971;1.00957;0.990915;0.990873;0.979885;0.990929;0.991047;0.941788;0.981934;0.980397;1.01526;0.990789;0.997265;0.990961;0.990902;0.989948;0.993174;0.999841;0.995555;0.982814;0.990945;0.991102;0.990817;509.101;0.996569;1.00941;0.999069;0.990663;50.1233;0.985973;0.0785364;1.94073;20.2145
1;800;0.000238589;1.6384e-07;0.99195;0.99104;0.982386;0.991087;0.990928;0.996902;0.856246;0.991232;0.991012;23.0725;16.9355;0.990103;0.993847;0.991051;0.990971;0.984306;0.990929;0.986857;0.545597;0.985155;0.981992;190.349;1.53794;0.982111;0.99099;0.990991;0.997193;1.01093;0.990931;0.983234;0.989978;0.993437;0.982035;0.989412;0.993627;0.982055;0.989385;0.991738;0.993163;0.982031;0.989432;0.993619;0.991812;0.991246;0.991003;0.983415;0.982041;0.989402;0.993576;0.99084;0.999035;1.01782;0.981715;0.963154;0.990983;0.990927;0.991285;0.998126;0.991024;0.981976;0.983615;1.0149;0.996754;0.986916;0.991286;0.990927;174.419;1.01055;0.990995;0.990873;0.983848;13.7154;0.987216;0.991673;0.990518;0.982848;0.990661;1.01112;0.998509;1.01093;0.990905;0.990857;0.97909;0.990921;0.991055;0.93912;0.982872;0.979579;1.01703;0.990763;0.997749;0.990957;0.990891;0.99003;0.993334;0.999987;0.996122;0.982227;0.990939;0.991117;0.990795;509.101;0.996934;1.01075;0.99858;0.990621;50.1235;0.985691;0.0776486;1.94214;20.2145
1;900;0.000268244;3.2768e-07;0.99184;0.991049;0.981616;0.991103;0.990917;0.997424;0.844757;0.991253;0.991016;23.0725;16.9351;0.990108;0.9941;0.991061;0.990967;0.983712;0.990919;0.986501;0.511235;0.984212;0.981188;190.349;1.57953;0.981332;0.99099;0.990991;0.997692;1.01269;0.990921;0.980797;0.989973;0.993655;0.981245;0.989272;0.993855;0.981267;0.989243;0.9918;0.993357;0.98124;0.989294;0.993853;0.99188;0.991286;0.991005;0.98269;0.981251;0.989261;0.9938;0.990817;0.999829;1.0202;0.980864;0.966867;0.990983;0.990917;0.991331;0.998713;0.991029;0.981176;0.982958;1.01702;0.997185;0.986565;0.98933;0.990916;174.419;1.01229;0.990995;0.990864;0.983217;13.7154;0.986882;0.991739;0.990444;0.98214;0.990608;1.0129;0.999221;1.01269;0.990891;0.990835;0.97806;0.99091;0.991065;0.935722;0.984272;0.978498;1.01932;0.990726;0.998388;0.990951;0.990877;0.99014;0.993543;0.999988;0.996948;0.981467;0.990931;0.991136;0.990764;509.101;0.997397;1.0125;0.997821;0.990564;50.1237;0.985325;0.0776717;1.94305;20.2145
