condition;iter;t;dt;mu;density;consistent;mu_diff
1;10500;0.0100221;8.9203e-07;0.445808;1;1;0
1;10600;0.0101497;1.78406e-06;0.446338;1;1;0
1;10700;0.0103156;7.13624e-07;0.447021;1;1;0
1;10800;0.0104084;1.42725e-06;0.4474;1;1;0
1;10900;0.0105865;5.70899e-07;0.448121;1;1;0
1;11000;0.0106447;1.1418e-06;0.448356;1;1;0
1;11100;0.0107612;2.2836e-06;0.448822;1;1;0
1;11200;0.0109859;9.13439e-07;0.449712;1;1;0
1;11300;0.0110781;1.82688e-06;0.450075;1;1;0
1;11400;0.0112627;3.65375e-06;0.450794;1;1;0
1;11500;0.0113759;7.30751e-07;0.451231;1;1;0
1;11600;0.0114956;5.84601e-08;0.451679;1;1;0
1;11700;0.0115019;1.1692e-07;0.451701;1;1;0
1;11800;0.0115147;2.3384e-07;0.451746;1;1;0
1;11900;0.0115402;4.67681e-07;0.451836;1;1;0
1;12000;0.0115912;9.35361e-07;0.452014;1;1;0
1;12100;0.0116793;3.74144e-07;0.452316;1;1;0
1;12200;0.0117197;7.48289e-07;0.452454;1;1;0
1;12300;0.0117906;2.99316e-07;0.452692;1;1;0
1;12400;0.0118226;5.98631e-07;0.452799;1;1;0
1;12500;0.0118797;2.39452e-07;0.452989;1;1;0
1;12600;0.0119051;4.78905e-07;0.453073;1;1;0
1;12700;0.0119512;3.83124e-08;0.453224;1;1;0
1;12800;0.0119552;7.66248e-08;0.453237;1;1;0
1;12900;0.0119631;1.5325e-07;0.453263;1;1;0
1;13000;0.0119788;3.06499e-07;0.453314;1;1;0
1;13100;0.0120104;6.12998e-07;0.453417;1;1;0
1;13200;0.0120377;1.226e-07;0.453506;1;1;0
1;13300;0.0120583;2.45199e-07;0.453573;1;1;0
1;13400;0.0120995;4.90399e-07;0.453705;1;1;0
1;13500;0.0121284;1.96159e-07;0.453799;1;1;0
1;13600;0.0121611;3.92319e-07;0.453904;1;1;0
1;13700;0.0121901;1.56928e-07;0.453996;1;1;0
1;13800;0.0122147;3.13855e-07;0.454075;1;1;0
1;13900;0.0122488;1.25542e-07;0.454183;1;1;0
1;14000;0.012265;2.51084e-07;0.454235;1;1;0
1;14100;0.0122974;5.02168e-07;0.454338;1;1;0
1;14200;0.0123395;2.00867e-07;0.454471;1;1;0
1;14300;0.012365;4.01735e-07;0.454551;1;1;0
1;14400;0.0123985;1.60694e-07;0.454656;1;1;0
1;14500;0.0124187;3.21388e-07;0.45472;1;1;0
1;14600;0.012457;1.28555e-07;0.454839;1;1;0
1;14700;0.0124703;2.5711e-07;0.454881;1;1;0
1;14800;0.0124968;5.1422e-07;0.454964;1;1;0
1;14900;0.0125181;1.02844e-07;0.45503;1;1;0
1;15000;0.0125357;2.05688e-07;0.455085;1;1;0
1;15100;0.0125711;4.11376e-07;0.455194;1;1;0
1;15200;0.0125943;1.6455e-07;0.455267;1;1;0
1;15300;0.0126225;3.29101e-07;0.455353;1;1;0
1;15400;0.0126486;1.3164e-07;0.455434;1;1;0
1;15500;0.0126691;2.63281e-07;0.455497;1;1;0
1;15600;0.0126991;1.05312e-07;0.455589;1;1;0
1;15700;0.0127123;2.10625e-07;0.45563;1;1;0
1;15800;0.0127386;4.21249e-07;0.45571;1;1;0
1;15900;0.0127743;1.685e-07;0.455819;1;1;0
1;16000;0.0127952;3.36999e-07;0.455883;1;1;0
1;16100;0.012826;1.348e-07;0.455977;1;1;0
1;16200;0.0128421;2.69599e-07;0.456026;1;1;0
1;16300;0.0128742;5.39199e-07;0.456123;1;1;0
1;16400;0.0128883;1.0784e-07;0.456166;1;1;0
1;16500;0.0129089;2.1568e-07;0.456228;1;1;0
1;16600;0.0129501;4.31359e-07;0.456352;1;1;0
1;16700;0.0129695;1.72544e-07;0.45641;1;1;0
1;16800;0.0130023;3.45087e-07;0.456509;1;1;0
1;16900;0.0130186;1.38035e-07;0.456558;1;1;0
1;17000;0.0130445;2.7607e-07;0.456635;1;1;0
1;17100;0.013068;1.10428e-07;0.456706;1;1;0
1;17200;0.013086;2.20856e-07;0.456759;1;1;0
1;17300;0.013122;4.41712e-07;0.456866;1;1;0
1;17400;0.0131493;1.76685e-07;0.456948;1;1;0
1;17500;0.013178;3.53369e-07;0.457033;1;1;0
1;17600;0.0132;1.41348e-07;0.457098;1;1;0
1;17700;0.0132228;2.82696e-07;0.457165;1;1;0
1;17800;0.0132505;1.13078e-07;0.457247;1;1;0
1;17900;0.0132661;2.26156e-07;0.457293;1;1;0
1;18000;0.0132958;9.04626e-08;0.45738;1;1;0
1;18100;0.0133051;1.80925e-07;0.457408;1;1;0
1;18200;0.0133238;3.6185e-07;0.457462;1;1;0
1;18300;0.0133597;1.4474e-07;0.457567;1;1;0
1;18400;0.0133743;2.8948e-07;0.45761;1;1;0
1;18500;0.0134036;5.7896e-07;0.457696;1;1;0
1;18600;0.0134243;1.15792e-07;0.457756;1;1;0
1;18700;0.013445;2.31584e-07;0.457816;1;1;0
1;18800;0.013469;9.26337e-08;0.457886;1;1;0
1;18900;0.0134825;1.85267e-07;0.457925;1;1;0
1;19000;0.0135095;3.70535e-07;0.458004;1;1;0
1;19100;0.0135362;1.48214e-07;0.458081;1;1;0
1;19200;0.0135577;2.96428e-07;0.458143;1;1;0
1;19300;0.0135836;2.37142e-08;0.458217;1;1;0
1;19400;0.0135866;4.74284e-08;0.458226;1;1;0
1;19500;0.0135927;9.48569e-08;0.458244;1;1;0
1;19600;0.0136048;1.89714e-07;0.458279;1;1;0
1;19700;0.0136291;3.79428e-07;0.458348;1;1;0
1;19800;0.0136611;1.51771e-07;0.45844;1;1;0
1;19900;0.0136803;3.03542e-07;0.458495;1;1;0
1;20000;0.0137096;1.21417e-07;0.458579;1;1;0
1;20100;0.0137238;2.42834e-07;0.45862;1;1;0
1;20200;0.0137523;4.85667e-07;0.458701;1;1;0
1;20300;0.0137661;9.71334e-08;0.45874;1;1;0
1;20400;0.0137844;1.94267e-07;0.458792;1;1;0
1;20500;0.0138209;3.88534e-07;0.458896;1;1;0
1;20600;0.0138391;1.55414e-07;0.458948;1;1;0
1;20700;0.0138682;3.10827e-07;0.45903;1;1;0
1;20800;0.0138849;1.24331e-07;0.459077;1;1;0
