condition;iter;t;dt;5FTHFabc;ACt;ADNabc;CO2t;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;GSNabc;H2Ot;Ht;LIPTA;NACabc;NH3t;O2t;PIabc;PYRt2r;THMDabc;URAt2;trdoxt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCYTK;DGK1;DGSNK;DNAP;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;MTHFC;MTHFD;NADK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E1;PDH_E2;PDH_E3;PFK;PGI;PGK;PGK3;PGM;PGMT;PGPP;PGSA;PPA;PPM;PRPPS;PSSYN;PTAr;PUNP1;PUNP3;PYK;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;rRNAP;rRNA_degrad;tRNAP;AATRS;Ribosome
1;1000;0.000619347;3.2768e-06;23.0271;7.82607e-08;319.379;0.0243497;4.43595;17.7245;10.0345;9.76979;5.39542;7.82607e-08;4676.58;2.13316;376.998;563.477;3.23522;2.18931;8.28591;0.834022;411.919;1205.9;2257.78;17.6942;91.1615;1.44122;801.557;31.266;6.8261;72.2495;17.8154;29285.1;3542.17;207.121;73.6566;4.49467;0.728414;0.75092;434.513;498.524;6.43351;14.9508;15.1498;1.15403;0.729777;3.94926;7.48352;6.50993;7.46994;46.8091;4698.62;13.2162;4362.61;399.905;20.5497;9.37876;23790.7;10.8532;1149.88;9.03548;247.288;12.099;1.46964;1.68061;4.26058;3.44164;3.04738;17485;1.52087;1079.47;1091.75;1088.43;9882.89;3492.78;16707.6;933.18;4699.26;3.77991;1.66587;3.21803;1477.1;197.578;1217.84;4.89358;15.2883;146.172;176.775;5845.26;887.693;341.387;9.22865;3.45861;3.27084;9.09482;532.734;123.033;122.752;123.37;122.275;116.109;15.0616;14.8413;2180.29;0.777266;6.67877;5.97022;1285.38;397.169;133.274;2325.02;1072.79;1046.37;29637.7;488.504
1;1100;0.000710442;6.5536e-07;23.1879;7.90158e-08;322.458;0.0211712;4.47568;17.8923;10.1278;9.86091;5.45166;7.90158e-08;4721.7;2.15716;380.633;568.914;3.27774;2.21849;8.36046;0.845571;415.901;1217.54;2279.56;17.862;92.0446;1.45667;809.291;31.5734;6.89585;72.9526;17.9955;29567.6;3576.38;209.234;74.362;4.55263;0.740322;0.758091;438.705;503.344;6.49286;15.0925;15.2929;1.17756;0.737762;3.95232;7.55256;6.57014;7.53901;47.2579;4743.97;13.3402;4404.71;403.908;20.7523;9.42091;24020.2;10.9687;1160.96;9.11901;249.641;12.2044;1.4838;1.62099;4.26007;3.41263;3.04759;17653.7;1.53432;1089.88;1102.29;1098.93;9978.27;3526.5;16868.8;942.227;4744.62;3.77017;1.68118;3.24963;1491.39;199.482;1229.57;4.96611;15.4275;147.592;178.49;5901.64;896.276;344.712;9.298;3.47287;3.2819;9.16261;537.865;124.217;123.982;124.561;123.436;117.141;15.2039;14.9818;2201.31;0.786503;6.7433;6.02734;1297.77;400.977;134.55;2347.49;1082.99;1056.64;29923.7;492.712
1;1200;0.000834305;1.31072e-06;23.3773;7.98595e-08;325.898;0.0184614;4.51869;18.0793;10.2314;9.9622;5.51387;7.98595e-08;4772.12;2.18313;384.694;574.989;3.3264;2.25308;8.44305;0.857657;420.35;1230.55;2303.9;18.0491;93.0305;1.47348;817.934;31.9185;6.97308;73.7397;18.1992;29883.3;3614.61;211.611;75.1489;4.62041;0.74753;0.766081;443.389;508.735;6.55965;15.2513;15.4533;1.20736;0.746952;3.94924;7.63019;6.63785;7.61665;47.7595;4794.64;13.4792;4451.74;408.399;20.9803;9.458;24276.7;11.1003;1173.3;9.21301;252.29;12.3195;1.49961;1.53626;4.2522;3.35014;3.04286;17842.2;1.54869;1101.51;1114.07;1110.66;10084.8;3564.2;17049;952.356;4795.31;3.75048;1.6978;3.28525;1507.36;201.609;1242.69;5.05432;15.5812;149.182;180.409;5964.64;905.868;348.427;9.37098;3.48444;3.28959;9.23378;543.596;125.535;125.367;125.895;124.73;118.28;15.3634;15.1393;2224.78;0.796459;6.81537;6.09103;1311.6;405.238;135.975;2372.59;1094.36;1068.14;30243.2;497.346
1;1300;0.000862879;1.04858e-07;23.4187;8.00315e-08;326.599;0.018123;4.5272;18.1173;10.2525;9.98275;5.52636;8.00315e-08;4782.4;2.18821;385.521;576.227;3.3364;2.26041;8.45978;0.859909;421.256;1233.2;2308.86;18.0871;93.2312;1.47678;819.696;31.9891;6.98868;73.9003;18.2409;29947.7;3622.4;212.097;75.3091;4.63465;0.750309;0.767706;444.343;509.834;6.57336;15.2837;15.4861;1.21398;0.748867;3.94765;7.64611;6.65174;7.63257;47.8617;4804.97;13.5076;4461.32;409.316;21.027;9.46415;24329;11.1276;1175.81;9.23231;252.834;12.3425;1.50283;1.51634;4.24937;3.33195;3.04101;17880.6;1.5515;1103.88;1116.47;1113.05;10106.6;3571.88;17085.7;954.422;4805.64;3.74522;1.7011;3.29257;1510.61;202.043;1245.37;5.07343;15.6123;149.506;180.8;5977.47;907.823;349.185;9.38521;3.48617;3.29048;9.24763;544.764;125.802;125.65;126.167;124.994;118.51;15.396;15.1714;2229.56;0.798402;6.83005;6.10399;1314.41;406.108;136.265;2377.71;1096.68;1070.48;30308.3;498.282
1;1400;0.000882278;2.09715e-07;23.4464;8.0144e-08;327.058;0.0179406;4.53272;18.1422;10.2662;9.99617;5.53451;8.0144e-08;4789.13;2.1915;386.063;577.037;3.34297;2.26527;8.4707;0.861345;421.85;1234.94;2312.11;18.112;93.3626;1.47892;820.849;32.0354;6.99887;74.0055;18.2683;29989.8;3627.5;212.414;75.4139;4.64406;0.751454;0.768769;444.968;510.554;6.58235;15.305;15.5076;1.21844;0.75013;3.9464;7.65655;6.66085;7.64301;47.9286;4811.73;13.5262;4467.6;409.918;21.0577;9.46789;24363.2;11.1455;1177.46;9.24496;253.191;12.3575;1.50493;1.50276;4.24695;3.31894;3.03948;17905.7;1.55332;1105.44;1118.04;1114.62;10120.8;3576.91;17109.7;955.775;4812.4;3.74153;1.70324;3.29737;1512.74;202.327;1247.12;5.08618;15.6326;149.718;181.056;5985.88;909.103;349.68;9.3944;3.48718;3.29094;9.25657;545.529;125.977;125.836;126.345;125.167;118.661;15.4174;15.1925;2232.69;0.799654;6.83966;6.11247;1316.26;406.678;136.455;2381.06;1098.2;1072.02;30351;498.892
1;1500;0.000921075;4.1943e-07;23.5012;8.03602e-08;327.939;0.0176986;4.54318;18.1899;10.2925;10.0219;5.55007;8.03602e-08;4802.05;2.1977;387.104;578.594;3.35561;2.27474;8.4916;0.863997;422.989;1238.28;2318.35;18.1598;93.6148;1.48297;823.064;32.1243;7.01839;74.2077;18.3211;30070.7;3637.3;213.025;75.6151;4.66232;0.753617;0.77081;446.169;511.937;6.59965;15.3459;15.5488;1.22727;0.752576;3.94355;7.67663;6.67838;7.66309;48.0572;4824.71;13.5619;4479.65;411.074;21.1166;9.47446;24428.9;11.18;1180.61;9.26931;253.877;12.3861;1.50898;1.47547;4.242;3.29154;3.03616;17954;1.55675;1108.42;1121.06;1117.63;10148.1;3586.57;17155.9;958.375;4825.39;3.7339;1.7073;3.30664;1516.84;202.872;1250.48;5.11123;15.6715;150.126;181.548;6002.02;911.561;350.633;9.41176;3.48885;3.29151;9.27345;546.998;126.311;126.193;126.687;125.5;118.95;15.4585;15.233;2238.71;0.802023;6.85811;6.12875;1319.79;407.774;136.82;2387.5;1101.11;1074.97;30432.8;500.061
1;1600;0.00099867;8.38861e-07;23.608;8.07606e-08;329.571;0.0176038;4.56205;18.2779;10.341;10.0692;5.57859;1.04517e-06;4825.97;2.20883;389.03;581.477;3.37919;2.29275;8.52998;0.86856;425.1;1244.45;2329.9;18.2479;94.0816;1.49024;827.166;32.2893;7.0544;74.5824;18.4194;30220.5;3655.46;214.159;75.9875;4.69682;0.757629;0.774582;448.391;514.5;6.63179;15.4217;15.6254;1.24467;0.757185;3.93658;7.71392;6.71093;7.70036;48.2952;4848.76;13.6281;4501.98;413.219;21.2261;9.48436;24550.6;11.2447;1186.44;9.31454;255.15;12.4383;1.51647;1.42049;4.2306;3.23246;3.02849;18043.5;1.56286;1113.93;1126.65;1123.2;10198.7;3604.46;17241.4;963.191;4849.44;3.71779;1.71464;3.32393;1524.42;203.881;1256.72;5.15975;15.7431;150.882;182.46;6031.91;916.113;352.397;9.44289;3.49094;3.29151;9.30366;549.717;126.926;126.853;127.322;126.118;119.485;15.5346;15.3082;2249.84;0.80629;6.89225;6.15885;1326.34;409.806;137.496;2399.42;1106.51;1080.44;30584.5;502.211
1;1700;0.00115386;1.67772e-06;23.8071;0.000295059;332.397;0.0182622;4.59307;18.4294;10.4239;10.1502;5.6274;0.000508228;4867.42;2.2273;392.367;586.471;3.42104;2.32564;8.59514;0.875664;428.757;1255.15;2349.91;18.3998;94.8893;1.50226;834.272;32.576;7.11653;75.2328;18.5914;30480.1;3686.91;216.137;76.6314;4.75896;0.765397;0.781096;452.243;518.944;6.68763;15.5531;15.7581;1.27867;0.765466;3.91835;7.77867;6.76748;7.76507;48.7072;4890.41;13.743;4540.65;416.948;21.4169;9.4935;24761.5;11.3592;1196.54;9.39314;257.358;12.5263;1.52938;1.30949;4.20279;3.10421;3.00951;18198.4;1.57257;1123.49;1136.33;1132.84;10286.3;3635.45;17389.5;971.541;4891.12;3.68296;1.72665;3.35451;1537.56;205.631;1267.52;5.25171;15.8658;152.194;184.042;6083.69;923.998;355.455;9.49327;3.49111;3.28781;9.35242;554.429;127.996;127.959;128.423;127.206;120.42;15.6667;15.4385;2269.14;0.813444;6.95125;6.21089;1337.66;413.339;138.666;2420.09;1115.83;1089.93;30847.2;505.889
1;1800;0.0012354;6.71089e-07;23.9028;0.000608429;333.702;0.018763;4.60667;18.4989;10.4617;10.1871;5.64985;0.000939178;4886.57;2.23563;393.908;588.778;3.44102;2.3416;8.62456;0.878759;430.447;1260.1;2359.15;18.4694;95.2624;1.50768;837.555;32.7089;7.14517;75.5339;18.6718;30600;3701.45;217.057;76.9284;4.78873;0.767931;0.784094;454.022;520.999;6.71347;15.6139;15.8195;1.29626;0.769436;3.90707;7.8086;6.79363;7.79499;48.8973;4909.66;13.796;4558.52;418.676;21.5056;9.49411;24858.9;11.4132;1201.19;9.42952;258.38;12.5657;1.53526;1.25105;4.18606;3.03387;2.99801;18270;1.57662;1127.91;1140.81;1137.3;10326.8;3649.78;17457.9;975.401;4910.37;3.66377;1.73186;3.36904;1543.63;206.442;1272.52;5.29803;15.9218;152.801;184.774;6107.61;927.641;356.868;9.51496;3.48965;3.28446;9.37334;556.605;128.488;128.453;128.933;127.718;120.858;15.7278;15.4988;2278.05;0.816704;6.97838;6.23488;1342.88;414.974;139.206;2429.64;1120.13;1094.32;30968.5;507.568
1;1900;0.00135888;1.34218e-06;24.0351;0.00107465;335.491;0.0195028;4.62452;18.5936;10.5129;10.2371;5.68072;0.00158318;4912.83;2.24701;396.021;591.942;3.46936;2.36438;8.66406;0.882963;432.765;1266.88;2371.83;18.5645;95.7738;1.51508;842.057;32.8916;7.18447;75.9474;18.7829;30764.4;3721.38;218.329;77.335;4.83077;0.772465;0.788193;456.462;523.82;6.74888;15.6973;15.9035;1.32258;0.775048;3.88828;7.8496;6.82948;7.83597;49.1577;4936.05;13.8685;4583.02;421.053;21.6277;9.49084;24992.5;11.4885;1207.57;9.47939;259.784;12.6184;1.53955;1.1671;4.15897;2.92492;2.97929;18368.2;1.58165;1133.96;1146.95;1143.41;10382.4;3669.42;17551.7;980.694;4936.77;3.6339;1.73858;3.38964;1551.95;207.555;1279.37;5.36607;15.9979;153.634;185.778;6140.41;932.635;358.806;9.54292;3.48593;3.278;9.40021;559.589;129.162;129.126;129.633;128.425;121.457;15.8115;15.5813;2290.28;0.821584;7.01535;6.26771;1350.04;417.219;139.947;2442.74;1126.01;1100.34;31135;509.849
1;2000;0.00144424;5.36871e-07;24.1115;0.000959185;336.598;0.019569;4.63489;18.6513;10.5436;10.2672;5.7003;0.00159012;4929.08;2.25444;397.328;593.9;3.48803;2.37915;8.68727;0.885965;434.2;1271.08;2379.68;18.6224;96.0908;1.52008;844.843;33.0045;7.20962;76.2038;18.8524;30866.2;3733.73;219.122;77.5862;4.85775;0.775294;0.79072;457.971;525.566;6.77021;15.7483;15.9549;1.3405;0.778647;3.87407;7.87432;6.85111;7.86071;49.3181;4952.38;13.9128;4598.19;422.529;21.7033;9.48573;25075.2;11.5361;1211.52;9.50948;260.656;12.6499;1.5129;1.14338;4.13962;2.84812;2.96575;18428.9;1.58441;1137.71;1150.75;1147.19;10416.7;3681.58;17609.8;983.969;4953.11;3.61263;1.74246;3.40302;1557.11;208.246;1283.61;5.41151;16.0445;154.151;186.401;6160.71;935.725;360.006;9.55885;3.48229;3.27258;9.41546;561.436;129.578;129.542;130.066;128.864;121.825;15.8627;15.6319;2297.84;0.82803;7.03797;6.28801;1354.46;418.61;140.405;2450.85;1129.63;1104.07;31238;511.242
1;2100;0.00153765;1.07374e-06;24.1908;0.00087894;337.712;0.0196817;4.64467;18.7089;10.5739;10.297;5.72007;0.00164314;4945.46;2.26188;398.644;595.873;3.50738;2.39457;8.70982;0.888951;435.646;1275.3;2387.58;18.6802;96.41;1.52508;847.649;33.1182;7.23536;76.4625;18.923;30968.7;3746.16;219.926;77.839;4.8857;0.77817;0.793258;459.492;527.326;6.79142;15.7994;16.0064;1.35987;0.782375;3.85764;7.89889;6.87263;7.88531;49.4793;4968.83;13.957;4613.47;424.019;21.7797;9.47827;25158.5;11.5849;1215.5;9.53941;261.537;12.6809;1.48152;1.11742;4.11878;2.76284;2.95115;18490.2;1.58693;1141.49;1154.57;1151;10451.4;3693.83;17668.3;987.264;4969.57;3.58901;1.74615;3.41724;1562.3;208.943;1287.88;5.45999;16.0909;154.672;187.029;6181.16;938.839;361.216;9.57382;3.47758;3.26599;9.42972;563.297;129.997;129.96;130.502;129.307;122.196;15.9139;15.6825;2305.47;0.835046;7.06041;6.30845;1358.92;420.012;140.867;2459.03;1133.28;1107.83;31341.7;512.632
