condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2dr1p;2dr5p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;ac;acald;accoa;actp;ade;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;dump;e4p;f6p;fa;fdp;fmettrna;fmn;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gtp;gua;h2o;h;lac__L;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r5p;ribflv;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;rRNA;AA;tRNA;AAtRNA;Protein
1;1000;0.00252762;3.2768e-06;0.588418;0.858067;0.476729;1.15441;0.79952;0.298194;0.713748;0.823827;0.0518818;0.957451;1.06253;22.5704;16.89;0.0137487;1.12914;19.514;0.964069;0.930787;0.696815;1.12168;0.0724398;0.762483;190.901;4.73876;0.589601;0.733556;2.09139;1.02182;1.00158;0.0698613;0.969269;1.14071;1.02523;0.962314;0.869958;1.02766;1.49343;0.844532;0.959343;0.885047;0.962665;1.13671;1.01633;1.42361;1.30807;0.0256039;1.02586;0.96269;0.867878;0.440635;0.683619;2.20231;1.16353;0.664704;5.60646;0.913046;0.97342;0.828221;1.53793;0.762903;1.00915;0.391664;0.852002;1.13782;0.769617;0.0427447;0.980175;1.06624;1.18254;0.990446;0.977506;1.59733;1.22196;14.7552;1.02263;1.07171;0.621349;0.976863;0.488364;1.09964;1.53107;1.1229;1.23482;0.00290453;1.46439;1.05263;0.901992;1.5824;1.61676;0.14672;1.16303;2.1071;0.959646;0.506181;0.882996;0.863189;0.960504;0.997952;15.2015;0.779522;0.596929;0.97701;0.832194;1.00249;0.745419;1.19841;0.58542;0.511429;50.6626;0.930944;0.813081;14.7044;650.825
1;1100;0.00292083;6.5536e-06;0.540555;0.833952;0.404706;1.17794;0.78349;0.222071;0.720469;0.795917;0.0536034;0.953511;1.07758;22.5641;16.8847;0.0135691;1.13316;19.5269;0.957902;0.929949;0.642763;1.15561;0.0737288;0.740173;190.893;4.84434;0.519156;0.683298;2.09131;1.02388;1.00759;0.0722899;0.969113;1.15356;1.03896;0.961753;0.853671;1.04172;1.5761;0.825397;0.953941;0.882091;0.96215;1.14904;1.01774;1.46877;1.32823;0.0259033;1.03966;0.96221;0.851317;0.357156;0.645072;2.29963;1.16969;0.681155;5.9076;0.9104;0.973419;0.799667;1.57612;0.787876;1.0177;0.284034;0.840522;1.14203;0.720048;0.0432803;0.991455;1.08289;1.19707;0.991063;0.978476;1.57721;1.26492;14.7927;1.03661;1.08701;0.632449;0.976958;0.401036;1.09949;1.50348;1.12882;1.28864;0.00295121;1.50053;1.06847;0.88769;1.60444;1.6775;0.147994;1.17844;2.18264;0.952316;0.450198;0.883391;0.833603;0.95512;0.997837;15.203;0.765272;0.532764;0.977595;0.79852;1.00944;0.691889;1.21895;0.603694;0.455896;50.7789;0.926249;0.861136;15.5214;649.764
1;1200;0.0035159;2.62144e-06;0.471202;0.798038;0.317286;1.2131;0.74109;0.158479;0.728237;0.754845;0.055496;0.94773;1.10013;22.5545;16.877;0.0134851;1.13908;19.5404;0.947636;0.928798;0.564101;1.20252;0.0824633;0.706755;190.881;4.9869;0.419569;0.611806;2.09117;1.027;1.01816;0.0761993;0.96891;1.17096;1.05898;0.960897;0.829748;1.06221;1.69777;0.79731;0.946134;0.886434;0.961364;1.16575;1.00934;1.53082;1.33784;0.0263913;1.05978;0.961479;0.826993;0.234271;0.589103;2.43296;1.17885;0.706457;6.31452;0.906367;0.973417;0.758881;1.61236;0.825833;1.03148;0.136138;0.823308;1.14822;0.644807;0.0421389;1.00894;1.10635;1.21882;0.992323;0.980041;1.5675;1.32819;14.8478;1.05729;1.11102;0.652132;0.977094;0.271534;1.09913;1.46062;1.13765;1.36556;0.00416264;1.55001;1.09131;0.867068;1.63722;1.75875;0.152226;1.1986;2.28827;0.94158;0.369358;0.886764;0.789074;0.947353;0.99773;15.2051;0.752586;0.440184;0.978378;0.744271;1.02064;0.614166;1.24865;0.629068;0.378047;50.96;0.919454;0.925989;16.6219;648.328
1;1300;0.00382261;5.24288e-06;0.436732;0.779808;0.28582;1.23097;0.712642;0.147858;0.730465;0.732646;0.0554978;0.944793;1.11161;22.549;16.873;0.0134745;1.14234;19.5446;0.942089;0.928089;0.527697;1.22827;0.0783482;0.68953;190.875;5.06162;0.370786;0.576743;2.09109;1.02875;1.02401;0.0792494;0.968819;1.17847;1.06877;0.960418;0.817788;1.07224;1.75893;0.783221;0.942289;0.894354;0.960921;1.17298;0.998017;1.55969;1.33922;0.0267449;1.06962;0.961065;0.814831;0.172454;0.561098;2.49643;1.18389;0.71854;6.50573;0.904077;0.973417;0.739014;1.62269;0.844924;1.03888;0.0741796;0.814363;1.15166;0.601968;0.0388664;1.01823;1.11782;1.2301;0.993213;0.980882;1.56605;1.35986;14.8755;1.06746;1.12221;0.662901;0.97716;0.206291;1.09915;1.43946;1.14234;1.4034;0.0031339;1.57261;1.10261;0.856858;1.65225;1.79196;0.156097;1.20793;2.34124;0.936238;0.32924;0.889821;0.766323;0.943535;0.997803;15.2062;0.749168;0.394474;0.978703;0.715162;1.02665;0.576588;1.26333;0.642054;0.340695;51.0535;0.91598;0.956105;17.1365;647.652
1;1400;0.00443602;1.04858e-05;0.370152;0.744187;0.252723;1.26639;0.658884;0.141115;0.73021;0.68641;0.0552321;0.938827;1.13424;22.5382;16.8648;0.0134732;1.14982;19.5508;0.930818;0.925882;0.457339;1.27833;0.0811399;0.654278;190.864;5.20292;0.279913;0.511414;2.09094;1.03307;1.03559;0.0916013;0.968677;1.19006;1.08671;0.959265;0.794672;1.09065;1.87807;0.755751;0.935044;0.920257;0.959844;1.18415;0.962179;1.61141;1.3398;0.0272649;1.08766;0.960043;0.791317;0.0518049;0.506805;2.61471;1.19542;0.739732;6.85749;0.898398;0.973416;0.700942;1.63813;0.881611;1.05406;0.0404142;0.795712;1.15963;0.463065;0.0299864;1.03782;1.14055;1.25304;0.995513;0.982606;1.56534;1.42091;14.9293;1.08677;1.14699;0.684648;0.977244;0.0787705;1.09985;1.39665;1.15226;1.47452;0.00350695;1.6118;1.12418;0.83737;1.67248;1.83582;0.160503;1.22436;2.4387;0.926066;0.251641;0.897964;0.72139;0.936363;0.99795;15.2087;0.747458;0.308;0.979074;0.65544;1.03899;0.507001;1.29182;0.67623;0.272477;51.2256;0.908767;1.0091;18.0692;646.403
1;1500;0.00470587;3.35544e-09;0.341809;0.72897;0.244253;1.2819;0.63891;0.139641;0.728704;0.669387;0.0557627;0.9362;1.14405;22.5335;16.8612;0.0134753;1.15323;19.553;0.925867;0.9247;0.42789;1.29771;0.0846828;0.638556;190.859;5.26348;0.244487;0.485546;2.09087;1.03515;1.04065;0.0940297;0.968627;1.19371;1.09413;0.958707;0.784747;1.09827;1.92916;0.743911;0.932034;0.934595;0.95932;1.18768;0.942592;1.63189;1.33969;0.0273904;1.09511;0.959544;0.78122;1.04204e-07;0.483841;2.66316;1.20074;0.748108;7.00089;0.895617;0.973415;0.684573;1.64404;0.896965;1.06083;0.0405946;0.787306;1.1633;0.392365;0.0298163;1.04682;1.15002;1.26308;0.996691;0.983375;1.56541;1.44722;14.9521;1.09502;1.15859;0.693666;0.976979;0.024772;1.10022;1.37761;1.15665;1.50324;0.00423465;1.62711;1.13319;0.82923;1.6799;1.84945;0.161998;1.22997;2.47826;0.921782;0.218649;0.901971;0.701901;0.933391;0.997976;15.2098;0.74904;0.272536;0.979051;0.628805;1.04449;0.478677;1.30378;0.691101;0.245816;51.2987;0.905584;1.03144;18.4467;645.889
1;1600;0.0047064;6.71089e-09;0.341754;0.72894;0.244239;1.28193;0.638874;0.139638;0.7287;0.669356;0.0557644;0.936195;1.14407;22.5335;16.8612;0.0134753;1.15324;19.553;0.925857;0.924697;0.427838;1.29776;0.0847417;0.638525;190.859;5.26361;0.244419;0.485496;2.09087;1.03515;1.04066;0.0940332;0.968627;1.19371;1.09414;0.958706;0.784728;1.09828;1.92916;0.743888;0.932028;0.934625;0.959319;1.18769;0.942551;1.63193;1.33969;0.0273963;1.09513;0.959543;0.7812;1.04204e-07;0.483796;2.66325;1.20075;0.748124;7.00116;0.895612;0.973415;0.684541;1.64405;0.896995;1.06085;0.0405954;0.787289;1.16331;0.392227;0.0298162;1.04683;1.15003;1.2631;0.996693;0.983376;1.56541;1.44727;14.9522;1.09503;1.1586;0.693681;0.976977;0.0246702;1.10022;1.37757;1.15666;1.5033;0.0041406;1.62714;1.13321;0.829214;1.67994;1.84947;0.162006;1.22998;2.47834;0.921773;0.218584;0.901979;0.701863;0.933385;0.997976;15.2098;0.749044;0.272467;0.979051;0.628752;1.0445;0.478623;1.30381;0.691128;0.245766;51.2988;0.905578;1.03148;18.4475;645.888
1;1700;0.00470747;1.34218e-08;0.341643;0.72888;0.244212;1.28199;0.6388;0.139633;0.728693;0.669293;0.0557676;0.936185;1.14411;22.5334;16.8612;0.0134753;1.15325;19.553;0.925838;0.924693;0.427734;1.29786;0.0848382;0.638462;190.859;5.26385;0.244282;0.485396;2.09087;1.03516;1.04068;0.09404;0.968627;1.19373;1.09417;0.958704;0.784689;1.09831;1.92916;0.743841;0.932016;0.934684;0.959317;1.1877;0.94247;1.63201;1.33969;0.0274078;1.09515;0.959541;0.781161;1.04204e-07;0.483706;2.66344;1.20077;0.748156;7.00172;0.8956;0.973415;0.684477;1.64407;0.897055;1.06087;0.040597;0.787256;1.16332;0.39195;0.0298162;1.04687;1.15005;1.26313;0.996698;0.983379;1.56541;1.44738;14.9523;1.09506;1.15864;0.693713;0.976973;0.0244666;1.10024;1.37749;1.15668;1.50341;0.0039773;1.6272;1.13325;0.829182;1.68001;1.84951;0.162024;1.23;2.4785;0.921757;0.218456;0.901995;0.701786;0.933374;0.997977;15.2098;0.749053;0.27233;0.979051;0.628647;1.04452;0.478514;1.30385;0.691183;0.245665;51.2991;0.905565;1.03157;18.4489;645.886
1;1800;0.0047096;2.68435e-08;0.341421;0.728761;0.244157;1.28211;0.638653;0.139622;0.728679;0.669167;0.0557734;0.936164;1.14419;22.5334;16.8611;0.0134753;1.15328;19.553;0.925799;0.924683;0.427526;1.29805;0.0849556;0.638338;190.859;5.26434;0.244009;0.485195;2.09087;1.03518;1.04072;0.0940536;0.968626;1.19375;1.09423;0.958699;0.784611;1.09837;1.92915;0.743748;0.931993;0.934803;0.959313;1.18772;0.942308;1.63217;1.33969;0.0274302;1.09521;0.959537;0.781081;1.04204e-07;0.483528;2.66382;1.20081;0.748221;7.00283;0.895578;0.973415;0.684349;1.64412;0.897174;1.06093;0.0406001;0.78719;1.16335;0.391397;0.0298162;1.04694;1.15009;1.26321;0.996708;0.983385;1.56541;1.44759;14.9524;1.09513;1.15871;0.693775;0.976964;0.0240601;1.10026;1.37734;1.15671;1.50363;0.00373921;1.62731;1.13332;0.829119;1.68012;1.84958;0.162061;1.23004;2.47883;0.921723;0.218199;0.902027;0.701632;0.93335;0.997978;15.2098;0.74907;0.272056;0.97905;0.628436;1.04457;0.478297;1.30394;0.691292;0.245464;51.2997;0.90554;1.03175;18.4518;645.882
1;1900;0.00471387;5.36871e-08;0.340977;0.728522;0.244047;1.28236;0.63836;0.139601;0.72865;0.668917;0.0557827;0.936123;1.14434;22.5333;16.8611;0.0134754;1.15334;19.553;0.92572;0.924664;0.427112;1.29845;0.0849865;0.63809;190.859;5.26534;0.243463;0.484794;2.09087;1.03521;1.0408;0.0940807;0.968626;1.1938;1.09435;0.958691;0.784455;1.09849;1.92914;0.743562;0.931946;0.935042;0.959304;1.18777;0.941984;1.63248;1.33968;0.0274708;1.09533;0.959529;0.780922;1.04204e-07;0.48317;2.66456;1.2009;0.748349;7.00504;0.895534;0.973415;0.684092;1.64421;0.897413;1.06103;0.0406063;0.787056;1.16341;0.390291;0.0298162;1.04708;1.15018;1.26337;0.996727;0.983397;1.56541;1.44802;14.9528;1.09526;1.15886;0.693899;0.976945;0.0232497;1.10032;1.37704;1.15678;1.50408;0.00350889;1.62754;1.13346;0.828992;1.68029;1.84973;0.162134;1.23012;2.47947;0.921656;0.217684;0.902091;0.701326;0.933304;0.99798;15.2098;0.749104;0.271508;0.979048;0.628013;1.04465;0.477863;1.30413;0.69151;0.245062;51.3008;0.90549;1.03209;18.4577;645.875
