id;contribution
protein_0913;0.0673195309361309
protein_0025;0.008272568831830014
protein_0027;0.014956540065911114
protein_0082;0.008309388254894518
protein_0137;0.009692480872369992
protein_0148;0.014373582338975665
protein_0149;0.016620650558670604
protein_0198;0.01295672148572095
protein_0199;0.006600266717829065
protein_0238;0.02212795739953693
protein_0247;0.021046598344499536
protein_0263;0.032604783268245716
protein_0289;0.012789251392352107
protein_0294;0.009517337432728914
protein_0301;0.01810962095250502
protein_0348;0.046103742864698545
protein_0362;0.00980432006364355
protein_0365;0.013433197694677082
protein_0377;0.04489638610716918
protein_0403;0.032019258108262165
protein_0422;0.0068220075778905095
protein_0482;0.006010935925528957
protein_0499;0.009404556159541728
protein_0500;0.010963689570096493
protein_0501;0.010396285752895537
protein_0930;0.005277985153806474
protein_0526;0.00602409185075498
protein_0536;0.019339066153073823
protein_0540;0.030352630293194672
protein_0637;0.013558470832986476
protein_0638;0.01591640164130929
protein_0644;0.012895091307262989
protein_0646;0.012586646710357668
protein_0647;0.012693644832948213
protein_0648;0.004052808181923366
protein_0653;0.014436480040764811
protein_0654;0.025818995640492004
protein_0655;0.01216209571426743
protein_0656;0.018310588405263634
protein_0657;0.013167518531338187
protein_0658;0.00663550431186484
protein_0659;0.018852678782109934
protein_0660;0.010928478423395761
protein_0661;0.012201334001315439
protein_0662;0.009448617141334723
protein_0663;0.014496437077289889
protein_0664;0.014660718178838234
protein_0665;0.024327244842964127
protein_0666;0.011482248592981872
protein_0667;0.009150119619134226
protein_0668;0.028913385807522347
protein_0669;0.010061687061571775
protein_0670;0.021428410261560726
protein_0671;0.022521943720902122
protein_0672;0.010699135856860874
protein_0806;0.01194857617070083
protein_0807;0.016789715287146192
protein_0809;0.02315649416666322
protein_0810;0.014396556814137956
protein_0833;0.015762180920416966
protein_0932;0.00562262390309722
protein_0910;0.004771735091841992
