condition;iter;t;dt;mu;density;consistent;mu_diff
1;10600;0.00917171;3.56812e-06;0.370301;1;1;0
1;10700;0.0093059;2.8545e-08;0.370638;1;1;0
1;10800;0.00931035;5.70899e-08;0.370649;1;1;0
1;10900;0.00931925;1.1418e-07;0.370672;1;1;0
1;11000;0.00933707;2.2836e-07;0.370716;1;1;0
1;11100;0.00937269;4.56719e-07;0.370804;1;1;0
1;11200;0.00944394;9.13439e-07;0.370979;1;1;0
1;11300;0.00958644;1.82688e-06;0.371325;1;1;0
1;11400;0.00979046;1.4615e-07;0.371808;1;1;0
1;11500;0.00980815;2.923e-07;0.37185;1;1;0
1;11600;0.00984351;5.84601e-07;0.371932;1;1;0
1;11700;0.00991425;1.1692e-06;0.372096;1;1;0
1;11800;0.0100557;2.3384e-06;0.37242;1;1;0
1;11900;0.0103387;4.67681e-06;0.373052;1;1;0
1;12000;0.0103395;7.48289e-09;0.373054;1;1;0
1;12100;0.0103409;1.49658e-08;0.373057;1;1;0
1;12200;0.0103438;2.99316e-08;0.373063;1;1;0
1;12300;0.0103496;5.98631e-08;0.373076;1;1;0
1;12400;0.0103611;1.19726e-07;0.373101;1;1;0
1;12500;0.0103842;2.39452e-07;0.373152;1;1;0
1;12600;0.0104305;4.78905e-07;0.373252;1;1;0
1;12700;0.0105229;9.5781e-07;0.373452;1;1;0
1;12800;0.0107077;1.91562e-06;0.373839;1;1;0
1;12900;0.0108204;3.06499e-08;0.374066;1;1;0
1;13000;0.0108254;6.12998e-08;0.374076;1;1;0
1;13100;0.0108354;1.226e-07;0.374096;1;1;0
1;13200;0.0108554;2.45199e-07;0.374136;1;1;0
1;13300;0.0108953;4.90399e-07;0.374215;1;1;0
1;13400;0.0109753;9.80797e-07;0.374373;1;1;0
1;13500;0.0111351;1.96159e-06;0.374683;1;1;0
1;13600;0.0112842;3.13855e-08;0.374967;1;1;0
1;13700;0.0112884;6.2771e-08;0.374976;1;1;0
1;13800;0.011297;1.25542e-07;0.374992;1;1;0
1;13900;0.0113141;2.51084e-07;0.375024;1;1;0
1;14000;0.0113482;5.02168e-07;0.375088;1;1;0
1;14100;0.0114165;1.00434e-06;0.375216;1;1;0
1;14200;0.0115531;2.00867e-06;0.375468;1;1;0
1;14300;0.0117495;1.60694e-07;0.375825;1;1;0
1;14400;0.0117683;3.21388e-07;0.375859;1;1;0
1;14500;0.0118059;6.42775e-07;0.375926;1;1;0
1;14600;0.0118811;1.28555e-06;0.37606;1;1;0
1;14700;0.0120315;2.5711e-06;0.376325;1;1;0
1;14800;0.0122573;4.11376e-08;0.376716;1;1;0
1;14900;0.0122617;8.22752e-08;0.376723;1;1;0
1;15000;0.0122705;1.6455e-07;0.376738;1;1;0
1;15100;0.0122881;3.29101e-07;0.376768;1;1;0
1;15200;0.0123233;6.58202e-07;0.376828;1;1;0
1;15300;0.0123938;1.3164e-06;0.376948;1;1;0
1;15400;0.0125346;2.63281e-06;0.377183;1;1;0
1;15500;0.0128026;1.05312e-06;0.377621;1;1;0
1;15600;0.0128105;4.21249e-08;0.377634;1;1;0
1;15700;0.0128185;8.42498e-08;0.377647;1;1;0
1;15800;0.0128346;1.685e-07;0.377672;1;1;0
1;15900;0.0128668;3.36999e-07;0.377724;1;1;0
1;16000;0.0129312;6.73999e-07;0.377825;1;1;0
