reaction_id
ACALDt
ADEt2
ADNabc
CO2t
GUAt2
NAt
NAt3
GSNabc
PYRt2r
DURIabc
DURIK1
NTD1
PUNP1
PUNP3
PPM
NTD5
NTD6
NTD8
NTD9
RNDR1
RNDR2
RNDR3
RNDR4
PYK
PYK3
PYK9
PGK2
GAPDP
NADK
PDH_E1
PDH_E2
DUTPDP
CTPDP
DCDPMP
DCTPDP
DCTPMP
