condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2dr1p;2dr5p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;ac;acald;accoa;acdhlpl_PdhC;actp;ade;adn;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;co2;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;dudp;dump;duri;dutp;e4p;f6p;fa;fad;fdp;fmettrna;fmn;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gsn;gtp;gua;h2o;h;lac__L;lgltn;lpl_PdhC;methfglu3;mlthfglu3;na1;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r1p;r5p;ribflv;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;rRNA;AA;tRNA;AAtRNA;Protein
1;1000;0.000768366;1.04858e-09;0.714492;0.862657;0.76921;0.973846;0.810803;0.658356;0.659748;0.847177;0.0210469;0.890559;0.91933;20.7971;16.9141;0.875915;0.90734;0.942451;0.943945;0.86803;0.855374;0.827803;0.968185;0.666263;0.0745771;0.787419;175.228;3.95586;0.97179;0.824055;0.894205;0.675816;0.98816;0.837022;0.306418;0.891156;1.00145;0.881242;0.886948;0.876518;0.931989;0.854708;0.853377;0.866741;0.844181;0.887132;0.898234;0.91017;1.10324;0.90723;0.230231;0.890516;0.887019;0.864936;0.932127;0.894012;0.89694;0.848841;0.776661;1.55816;1.02126;8.99218e-08;0.629386;3.82325;1.37183;0.894285;0.864411;1.19546;0.673191;0.904631;0.802425;0.828451;1.00629;0.898966;0.867115;0.0345713;0.997936;0.947955;1.0063;0.901676;0.895481;0.922992;0.97687;0.985323;0.98817;0.880485;1.04528;0.566519;0.727262;0.894215;0.996604;1.36679;0.990781;0.966811;0.653083;1.21663;0.918078;0.874849;1.16743;1.14443;0.140643;0.971651;0.609541;1.68834;0.901391;0.694309;0.831842;0.886991;0.897321;0.894223;0.990733;0.80811;0.776318;0.895341;0.853537;0.9027;0.897998;0.995221;0.479245;0.694162;50.2593;0.870206;0.499073;9.86384;721.24
1;1100;0.000768492;2.09715e-09;0.714467;0.862649;0.769181;0.973859;0.81079;0.658315;0.659735;0.847166;0.0210473;0.890557;0.919335;20.7971;16.9141;0.875911;0.90734;0.942459;0.943953;0.868024;0.855371;0.827777;0.968197;0.666303;0.0745805;0.787406;175.228;3.95599;0.9718;0.824034;0.894205;0.675758;0.988162;0.83701;0.306427;0.891156;1.00146;0.881244;0.886947;0.876514;0.931996;0.854704;0.85337;0.866738;0.844176;0.887131;0.898233;0.910173;1.10328;0.907233;0.230139;0.89052;0.887018;0.864929;0.932134;0.894014;0.896938;0.848834;0.776642;1.55824;1.02127;8.99218e-08;0.629365;3.8235;1.37182;0.894285;0.864403;1.1955;0.67318;0.904633;0.802352;0.828444;1.00629;0.898949;0.867111;0.0345729;0.997946;0.947959;1.0063;0.901675;0.895481;0.922998;0.976889;0.98534;0.988172;0.880489;1.04529;0.566518;0.727236;0.894215;0.996607;1.36683;0.990785;0.966832;0.653012;1.21666;0.918085;0.874844;1.16748;1.14443;0.140623;0.971663;0.609499;1.68842;0.901389;0.69428;0.831838;0.886981;0.89732;0.894223;0.990737;0.80809;0.776286;0.895341;0.853527;0.902702;0.89798;0.99523;0.47925;0.69413;50.2594;0.870203;0.499109;9.86451;721.239
1;1200;0.000768746;4.1943e-09;0.714418;0.862633;0.769123;0.973884;0.810764;0.658234;0.659709;0.847142;0.021048;0.890553;0.919346;20.7971;16.9141;0.875904;0.907342;0.942475;0.943969;0.868013;0.855365;0.827726;0.968221;0.666382;0.0745874;0.78738;175.228;3.95625;0.97182;0.823992;0.894205;0.675641;0.988167;0.836988;0.306446;0.891155;1.00149;0.881247;0.886947;0.876507;0.932009;0.854695;0.853355;0.866731;0.844166;0.88713;0.898229;0.910179;1.10334;0.907238;0.229957;0.890527;0.887017;0.864917;0.932147;0.894017;0.896935;0.848818;0.776602;1.5584;1.02128;8.99218e-08;0.629323;3.82399;1.37182;0.894285;0.864388;1.19557;0.673157;0.904638;0.802206;0.82843;1.0063;0.898915;0.867104;0.0345761;0.997966;0.947969;1.00631;0.901672;0.895481;0.923011;0.976926;0.985373;0.988177;0.880497;1.04531;0.566515;0.727183;0.894215;0.996613;1.3669;0.990792;0.966873;0.65287;1.2167;0.918097;0.874835;1.16758;1.14442;0.140582;0.971687;0.609415;1.68859;0.901385;0.694223;0.831829;0.886961;0.897316;0.894222;0.990744;0.808049;0.776221;0.895342;0.853507;0.902706;0.897945;0.995247;0.479259;0.694066;50.2594;0.870198;0.499182;9.86586;721.237
1;1300;0.000769254;8.38861e-09;0.71432;0.862602;0.769006;0.973934;0.810713;0.658071;0.659659;0.847094;0.0210489;0.890546;0.919366;20.7971;16.9141;0.87589;0.907345;0.942508;0.944;0.86799;0.855352;0.827623;0.968271;0.66654;0.0746012;0.787328;175.228;3.95678;0.97186;0.823908;0.894205;0.675408;0.988178;0.836943;0.306483;0.891155;1.00155;0.881254;0.886945;0.876494;0.932035;0.854679;0.853326;0.866717;0.844147;0.887128;0.898222;0.910192;1.10348;0.907248;0.229592;0.890543;0.887016;0.864893;0.932173;0.894023;0.896929;0.848787;0.776522;1.55871;1.0213;8.99218e-08;0.629239;3.82498;1.37181;0.894285;0.864356;1.19572;0.673111;0.904648;0.801914;0.828401;1.00631;0.898846;0.867089;0.0345824;0.998006;0.947988;1.00634;0.901667;0.895483;0.923037;0.977;0.98544;0.988188;0.880514;1.04534;0.56651;0.727077;0.894215;0.996625;1.36704;0.990808;0.966955;0.652585;1.2168;0.918122;0.874815;1.16778;1.1444;0.140501;0.971736;0.609247;1.68892;0.901376;0.694107;0.831811;0.886922;0.89731;0.89422;0.990759;0.807968;0.776093;0.895343;0.853468;0.902714;0.897874;0.995283;0.479279;0.693937;50.2596;0.870189;0.499328;9.86855;721.234
1;1400;0.000770269;1.67772e-08;0.714124;0.862538;0.768774;0.974035;0.81061;0.657746;0.659557;0.846998;0.021049;0.890532;0.919407;20.797;16.914;0.875862;0.907352;0.942574;0.944062;0.867946;0.855326;0.827417;0.968369;0.666851;0.0746287;0.787224;175.228;3.95784;0.971939;0.82374;0.894205;0.674943;0.988198;0.836853;0.306557;0.891153;1.00166;0.881267;0.886941;0.876467;0.932086;0.854646;0.853267;0.866688;0.844109;0.887125;0.898208;0.910217;1.10375;0.907268;0.228863;0.890574;0.887012;0.864844;0.932225;0.894036;0.896916;0.848724;0.776363;1.55935;1.02134;8.99218e-08;0.629071;3.82695;1.37179;0.894285;0.864294;1.19601;0.673021;0.904669;0.80133;0.828343;1.00634;0.898709;0.867059;0.0345951;0.998088;0.948027;1.00638;0.901656;0.895485;0.923089;0.977148;0.985574;0.988208;0.880547;1.04542;0.566501;0.726865;0.894215;0.996649;1.36732;0.990839;0.967119;0.652016;1.21699;0.918171;0.874775;1.16817;1.14437;0.140342;0.971833;0.608911;1.68958;0.901359;0.693877;0.831775;0.886843;0.897296;0.894216;0.990788;0.807806;0.775835;0.895345;0.853387;0.90273;0.897733;0.995353;0.479317;0.69368;50.2599;0.87017;0.499618;9.87394;721.227
1;1500;0.000772299;3.35544e-08;0.713731;0.86241;0.768308;0.974235;0.810405;0.657096;0.659355;0.846806;0.021044;0.890504;0.919489;20.797;16.914;0.875806;0.907365;0.942706;0.944187;0.867856;0.855274;0.827007;0.968565;0.667455;0.0746833;0.787016;175.228;3.95997;0.972098;0.823404;0.894205;0.674012;0.98824;0.836673;0.306705;0.891151;1.0019;0.881293;0.886933;0.876412;0.93219;0.854581;0.853149;0.866632;0.844033;0.887117;0.898181;0.910267;1.10428;0.907308;0.227405;0.890635;0.887004;0.864746;0.932329;0.894062;0.896891;0.848599;0.776045;1.56062;1.02142;8.99218e-08;0.628737;3.83089;1.37175;0.894285;0.864168;1.19659;0.672841;0.904709;0.800163;0.828227;1.0064;0.898433;0.867;0.0346206;0.998251;0.948105;1.00648;0.901635;0.895489;0.923192;0.977445;0.985841;0.98825;0.880613;1.04557;0.566483;0.72644;0.894215;0.996697;1.36787;0.990901;0.967448;0.650878;1.21737;0.91827;0.874696;1.16896;1.1443;0.140029;0.972029;0.60824;1.69091;0.901325;0.693417;0.831703;0.886685;0.89727;0.894207;0.990846;0.807483;0.775319;0.895348;0.853227;0.902764;0.897448;0.995496;0.479396;0.693166;50.2604;0.870131;0.500199;9.8847;721.213
1;1600;0.000776359;6.71089e-08;0.712948;0.862154;0.767377;0.974636;0.809995;0.655796;0.658957;0.84642;0.0210215;0.890448;0.919653;20.7968;16.9139;0.875694;0.907391;0.94297;0.944437;0.867676;0.85517;0.82619;0.968956;0.66861;0.0747909;0.786599;175.228;3.96428;0.972416;0.822731;0.894204;0.672152;0.988325;0.836312;0.307005;0.891146;1.00237;0.881344;0.886917;0.876304;0.932397;0.854448;0.852913;0.866518;0.84388;0.887102;0.898126;0.910367;1.10535;0.907389;0.224492;0.890758;0.886989;0.86455;0.932537;0.894113;0.89684;0.848349;0.775409;1.56316;1.02158;8.99218e-08;0.628074;3.83875;1.37166;0.894285;0.863915;1.19776;0.672489;0.904791;0.797833;0.827994;1.00653;0.897877;0.866881;0.0346721;0.998581;0.948262;1.00666;0.901592;0.895499;0.923399;0.978037;0.986375;0.988335;0.880747;1.04588;0.566452;0.72559;0.894214;0.996795;1.36898;0.991028;0.968106;0.648606;1.21812;0.918468;0.874536;1.17052;1.14414;0.139431;0.972421;0.6069;1.69355;0.901257;0.692497;0.831561;0.886368;0.897217;0.894191;0.990965;0.806834;0.774287;0.895355;0.852906;0.90283;0.896875;0.995784;0.47956;0.692138;50.2616;0.870053;0.501356;9.90616;721.186
1;1700;0.000784479;1.34218e-07;0.711382;0.861639;0.765519;0.975436;0.809177;0.653199;0.65818;0.845637;0.0209672;0.890335;0.919981;20.7965;16.9137;0.87547;0.907445;0.943497;0.944936;0.867316;0.85496;0.824572;0.969736;0.670783;0.0749996;0.785765;175.228;3.97301;0.973054;0.821387;0.894202;0.668435;0.988497;0.835592;0.307609;0.891136;1.0033;0.881444;0.886886;0.876089;0.932812;0.854182;0.852442;0.866289;0.843571;0.887072;0.898017;0.910569;1.10747;0.90755;0.218677;0.891;0.886959;0.86416;0.932953;0.894215;0.896739;0.847848;0.77414;1.56822;1.0219;8.99218e-08;0.626768;3.85438;1.37149;0.894285;0.863406;1.20007;0.67181;0.904954;0.79319;0.827527;1.00677;0.896749;0.866641;0.0347752;0.99925;0.948579;1.00704;0.901507;0.895517;0.923813;0.979219;0.987445;0.988507;0.88102;1.04647;0.566408;0.723886;0.894213;0.996993;1.37118;0.991283;0.969422;0.644077;1.21962;0.918866;0.874216;1.1736;1.14377;0.138339;0.973209;0.604226;1.69882;0.90112;0.690662;0.83128;0.885731;0.897112;0.894157;0.991205;0.805538;0.772222;0.89537;0.852261;0.902963;0.895713;0.996369;0.47991;0.690087;50.2638;0.869896;0.503659;9.94887;721.132
1;1800;0.000800719;2.68435e-07;0.708258;0.860602;0.761826;0.977029;0.807548;0.648016;0.656702;0.844032;0.020911;0.890107;0.920639;20.7958;16.9134;0.87502;0.907552;0.944548;0.945928;0.866593;0.85454;0.821377;0.971282;0.674869;0.0753939;0.7841;175.228;3.99058;0.974347;0.818701;0.894199;0.661015;0.988841;0.834149;0.308844;0.891117;1.00515;0.881641;0.886822;0.875661;0.933641;0.853645;0.851499;0.865826;0.842949;0.887012;0.897795;0.910974;1.11168;0.907874;0.207097;0.891483;0.886898;0.86338;0.933786;0.894422;0.896534;0.846846;0.771607;1.57822;1.02255;8.99218e-08;0.624245;3.88534;1.37115;0.894285;0.86237;1.20464;0.670545;0.905285;0.783979;0.826595;1.00726;0.89443;0.866158;0.0349786;1.00061;0.949219;1.0078;0.901332;0.895555;0.924643;0.981581;0.989585;0.988851;0.881586;1.04763;0.566389;0.720472;0.89421;0.997388;1.37546;0.991795;0.972057;0.63507;1.22259;0.919671;0.873572;1.17965;1.14288;0.136539;0.974779;0.598904;1.70927;0.900844;0.687012;0.830735;0.884447;0.896898;0.894087;0.991687;0.802952;0.768084;0.895399;0.85096;0.903231;0.893325;0.997559;0.480685;0.685999;50.2684;0.86958;0.508221;10.0334;721.025
1;1900;0.0008332;5.36871e-07;0.702041;0.858494;0.754535;0.980192;0.80432;0.637692;0.654043;0.840657;0.0209533;0.889647;0.92196;20.7945;16.9127;0.874118;0.907765;0.946642;0.947899;0.865142;0.853706;0.815121;0.974338;0.682649;0.0761282;0.780796;175.228;4.02541;0.977011;0.813344;0.894193;0.646221;0.989518;0.83127;0.311401;0.891079;1.00882;0.882035;0.886695;0.874813;0.935299;0.852567;0.849615;0.864897;0.841706;0.886892;0.897342;0.91179;1.11995;0.908525;0.184136;0.892456;0.886778;0.861822;0.935451;0.894845;0.896116;0.844843;0.766565;1.5978;1.02383;8.99218e-08;0.61956;3.94603;1.37048;0.894285;0.860229;1.21358;0.668371;0.905957;0.765862;0.824743;1.00824;0.889576;0.865187;0.0353641;1.00341;0.950513;1.00931;0.900972;0.895631;0.92631;0.986308;0.99387;0.989529;0.88279;1.0498;0.566596;0.713629;0.894205;0.998166;1.38368;0.992812;0.977339;0.617245;1.22844;0.921309;0.872262;1.19138;1.14057;0.134212;0.977882;0.588363;1.72984;0.900281;0.679784;0.829704;0.88184;0.896463;0.893942;0.992647;0.797831;0.759789;0.895457;0.848311;0.903777;0.888336;0.999998;0.482492;0.677883;50.2777;0.868944;0.517179;10.1993;720.816
