condition;iter;t;dt;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;PYRt2r;RIBFLVabc;THMDabc;URAt2;trdoxt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK;PYK2;PYK4;PYK5;PYK7;PYK8;PdhC_transl;RBFK;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;rRNAP;tRNAP;AATRS;Ribosome
1;1000;0.00252762;3.2768e-06;9.78891;12.3176;1950.9;1.82206;131.06;4.77662;150.161;2.46538;3.24467e-08;1996.03;0.949935;233.616;15.5663;0.866622;3.24467e-08;3.32843;0.339899;175.986;483.025;947.289;1.20708;7.25256;36.2694;4.77756;325.071;13.4496;118.486;34.4138;7.2513;11935.5;1104.96;82.4641;35.1425;2.07989;0.298383;0.657391;172.642;0.554824;2.64261;6.17449;6.24661;0.455886;0.296136;2.11245;0.137204;3.75204;2.67531;3.06315;19.37;72.91;1970.7;6.10273;1790.29;163.326;8.87478;3.79384;9977.66;4.46252;157.908;4.23229;98.2866;2.4649;4.88443;3.24467e-08;0.68068;1.58107;1.37392;1.12905;7470.37;0.579011;12947.8;12978.7;4055.65;1490.83;7262.83;128.096;1.74158;1970.91;1.569;1.04202;1.84946;346.823;72.9979;484.241;1.96424;191.794;55.5756;67.2794;2741.72;181.574;0.135;3.83408;1.36452;3.77879;162.671;0.521367;101.308;101.159;101.433;101.02;95.1905;6.20959;6.12891;894.723;4.77212;2.71989;2.43171;261.512;157.857;54.1911;32.9384;415.224;12021;191.974
1;1100;0.00292083;6.5536e-06;9.90297;12.4584;1973.34;1.84343;132.562;4.82438;151.882;2.49493;3.28201e-08;2019;0.961784;236.305;15.7496;0.876606;3.28201e-08;3.35796;0.344758;178.014;488.582;958.19;1.2142;7.32913;36.6878;4.83295;328.807;13.6051;119.852;34.8124;7.33738;12072.9;1117.7;83.4639;35.5449;2.11234;0.301911;0.664929;174.625;0.559613;2.67139;6.24399;6.3167;0.46504;0.299842;2.11905;0.11249;3.79336;2.70452;3.09663;19.5868;73.7677;1993.4;6.17107;1810.89;165.297;8.97941;3.81244;10092.5;4.52535;159.724;4.2788;99.395;2.49482;4.92898;3.28201e-08;0.64756;1.5718;1.36545;1.12272;7556.36;0.57966;13096.8;13128.1;4102.33;1508;7346.42;129.621;1.76178;1993.62;1.56978;1.04916;1.87072;350.816;73.834;489.786;1.99483;194.004;56.2076;68.0465;2773.27;183.681;0.165196;3.87137;1.37311;3.81534;164.534;0.525838;102.473;102.339;102.596;102.179;96.2576;6.27926;6.19783;905.006;4.82751;2.75121;2.45953;264.524;159.651;54.8059;33.3939;420.104;12159.3;193.867
1;1200;0.0035159;2.62144e-06;10.0443;12.6325;2001.14;1.87031;134.42;4.88165;154.012;2.53184;3.32826e-08;2047.46;0.97669;239.635;15.978;0.888927;3.32826e-08;3.39223;0.351015;180.526;495.466;971.692;1.22116;7.42218;37.2062;4.90167;333.432;13.798;121.545;35.3068;7.44469;12243;1133.5;84.7158;36.0427;2.15502;0.305945;0.674255;177.079;0.565051;2.70652;6.32957;6.40294;0.477981;0.304554;2.12337;0.0748261;3.84395;2.74021;3.13753;19.8538;74.8269;2021.52;6.2551;1836.4;167.752;9.10973;3.82945;10234.7;4.60622;161.975;4.33571;100.762;2.53319;4.98105;2.70613e-07;0.595096;1.5551;1.34833;1.11122;7662.88;0.579037;13281.4;13313.1;4160.15;1529.27;7449.95;131.519;1.78251;2021.74;1.56675;1.05686;1.89705;355.764;74.8749;496.65;2.036;196.741;56.9891;68.9952;2812.34;186.295;0.208476;3.91574;1.38186;3.85878;166.842;0.530887;103.916;103.804;104.037;103.613;97.5732;6.36498;6.28268;917.739;4.89623;2.78997;2.49394;268.257;161.867;55.5666;33.9853;426.16;12330.7;196.164
1;1300;0.00382261;5.24288e-06;10.1057;12.7084;2013.28;1.88218;135.23;4.90575;154.942;2.54817;3.34847e-08;2059.89;0.983366;241.09;16.0784;0.894302;3.34847e-08;3.40607;0.353916;181.623;498.473;977.59;1.22331;7.46195;37.4329;4.93179;335.451;13.8823;122.285;35.5231;7.49168;12317.3;1140.4;85.2656;36.2599;2.17471;0.308203;0.678325;178.15;0.567093;2.72151;6.36661;6.44022;0.484332;0.306665;2.12366;0.055416;3.86564;2.75545;3.15502;19.9696;75.2874;2033.81;6.29142;1847.55;168.829;9.16687;3.83442;10296.8;4.64282;162.962;4.36009;101.357;2.55086;5.00249;3.25678e-06;0.56749;1.54482;1.3383;1.10414;7709.41;0.578174;13362;13393.9;4185.42;1538.56;7495.18;132.351;1.78831;2034.03;1.56383;1.05974;1.90854;357.926;75.3324;499.644;2.0554;197.938;57.3303;69.4094;2829.42;187.437;0.229799;3.93436;1.3849;3.87699;167.851;0.53276;104.546;104.445;104.667;104.238;98.1455;6.40204;6.3194;923.301;4.92632;2.80687;2.50895;269.887;162.834;55.8987;34.2544;428.809;12405.5;197.149
1;1400;0.00443602;1.04858e-05;10.2101;12.838;2034.08;1.90254;136.617;4.94492;156.533;2.57664;3.38309e-08;2081.19;0.99523;243.582;16.2515;0.903508;3.38309e-08;3.42719;0.35932;183.505;503.623;987.695;1.22505;7.52808;37.8217;4.98358;338.91;14.0259;123.554;35.8942;7.57275;12444.6;1152.24;86.2183;36.6315;2.21042;0.311419;0.685288;179.984;0.569508;2.74601;6.42894;6.50283;0.49649;0.31038;2.12187;0.016819;3.90151;2.78045;3.18373;20.1662;76.0749;2054.85;6.35238;1866.65;170.685;9.26485;3.83902;10403.3;4.70782;164.696;4.40027;102.372;2.5832;5.03688;4.9606e-05;0.511685;1.5238;1.31628;1.08956;7789.14;0.575713;13500.2;13532.4;4228.69;1554.48;7572.65;133.775;1.79109;2055.08;1.55605;1.06388;1.92821;361.633;76.1183;504.769;2.09127;199.988;57.9149;70.1192;2858.66;189.396;0.269351;3.96487;1.38864;3.90676;169.578;0.534887;105.624;105.546;105.747;105.309;99.1217;6.46426;6.38115;932.829;4.97806;2.83573;2.53462;272.681;164.486;56.4683;34.7252;433.341;12533.8;198.803
1;1500;0.00470587;3.35544e-09;10.2509;12.8882;2042.15;1.91048;137.155;4.95944;157.15;2.58783;3.39653e-08;2089.46;0.999947;244.55;16.3191;0.907084;3.39653e-08;3.43454;0.36153;184.235;505.623;991.619;1.22507;7.5531;37.9727;5.00373;340.252;14.0816;124.047;36.0385;7.60441;12494.1;1156.83;86.5916;36.7757;2.22501;0.312487;0.687988;180.695;0.570106;2.75514;6.45277;6.52671;0.501664;0.311857;2.12086;3.39653e-08;3.91499;2.78979;3.19446;20.242;76.3804;2063.03;6.37563;1874.07;171.408;9.30296;3.83976;10444.6;4.73385;165.38;4.41535;102.764;2.59653;5.04943;0.000252649;0.487354;1.51449;1.30597;1.08306;7820.1;0.574462;13553.8;13586.2;4245.5;1560.66;7602.74;134.331;1.78966;2063.25;1.55211;1.06524;1.93585;363.073;76.4235;506.759;2.10612;200.784;58.1422;70.395;2870.02;190.157;0.284755;3.97621;1.38957;3.91781;170.25;0.53535;106.042;105.974;106.166;105.725;99.4996;6.48799;6.40475;936.529;4.9982;2.84687;2.54457;273.765;165.127;56.6898;34.9128;435.1;12583.6;199.435
1;1600;0.0047064;6.71089e-09;10.251;12.8883;2042.17;1.91049;137.156;4.95947;157.152;2.58785;3.39655e-08;2089.47;0.999956;244.552;16.3192;0.90709;3.39655e-08;3.43456;0.361535;184.237;505.627;991.626;1.22507;7.55315;37.973;5.00377;340.255;14.0817;124.048;36.0388;7.60447;12494.2;1156.84;86.5923;36.7759;2.22504;0.31252;0.687993;180.696;0.570107;2.75516;6.45281;6.52676;0.501674;0.31186;2.12085;3.39655e-08;3.91502;2.7898;3.19448;20.2421;76.381;2063.04;6.37567;1874.08;171.41;9.30304;3.83976;10444.7;4.7339;165.381;4.41538;102.765;2.59656;5.04945;0.000254009;0.487308;1.51447;1.30595;1.08304;7820.16;0.574459;13553.9;13586.3;4245.53;1560.67;7602.79;134.332;1.78966;2063.27;1.5521;1.06525;1.93586;363.076;76.4241;506.763;2.10615;200.786;58.1426;70.3956;2870.04;190.158;0.284785;3.97623;1.38957;3.91783;170.251;0.535351;106.042;105.975;106.167;105.726;99.5003;6.48804;6.40479;936.536;4.99824;2.84689;2.54458;273.767;165.128;56.6902;34.9132;435.103;12583.7;199.436
1;1700;0.00470747;1.34218e-08;10.2511;12.8885;2042.2;1.91052;137.158;4.95953;157.154;2.58789;3.39661e-08;2089.5;0.999974;244.556;16.3195;0.907104;3.39661e-08;3.43458;0.361543;184.24;505.635;991.641;1.22507;7.55324;37.9736;5.00385;340.26;14.0819;124.05;36.0394;7.60458;12494.4;1156.86;86.5937;36.7765;2.2251;0.312577;0.688003;180.699;0.570109;2.75519;6.4529;6.52685;0.501695;0.311866;2.12085;3.39661e-08;3.91507;2.78984;3.19452;20.2424;76.3822;2063.07;6.37576;1874.11;171.412;9.30318;3.83976;10444.9;4.734;165.384;4.41543;102.767;2.59661;5.0495;0.000256763;0.487214;1.51443;1.30591;1.08302;7820.27;0.574454;13554.1;13586.5;4245.6;1560.7;7602.91;134.334;1.78965;2063.3;1.55209;1.06525;1.93589;363.081;76.4253;506.77;2.10621;200.789;58.1435;70.3966;2870.08;190.161;0.284844;3.97628;1.38957;3.91787;170.253;0.535352;106.044;105.977;106.168;105.727;99.5017;6.48812;6.40488;936.55;4.99832;2.84694;2.54462;273.771;165.13;56.691;34.9139;435.11;12583.9;199.438
1;1800;0.0047096;2.68435e-08;10.2514;12.8889;2042.26;1.91058;137.162;4.95964;157.159;2.58798;3.39671e-08;2089.57;1.00001;244.563;16.32;0.907131;3.39671e-08;3.43464;0.36156;184.245;505.65;991.671;1.22506;7.55343;37.9747;5.004;340.27;14.0823;124.054;36.0405;7.60482;12494.7;1156.89;86.5965;36.7776;2.22521;0.312663;0.688024;180.704;0.570113;2.75526;6.45308;6.52703;0.501735;0.311877;2.12084;3.39671e-08;3.91517;2.78991;3.1946;20.243;76.3845;2063.14;6.37593;1874.16;171.418;9.30347;3.83976;10445.2;4.7342;165.389;4.41555;102.77;2.59671;5.04959;0.000262412;0.487027;1.51434;1.30583;1.08297;7820.51;0.574444;13554.5;13586.9;4245.72;1560.74;7603.14;134.338;1.78963;2063.36;1.55205;1.06526;1.93595;363.092;76.4276;506.785;2.10632;200.795;58.1452;70.3987;2870.17;190.167;0.284963;3.97636;1.38958;3.91796;170.259;0.535355;106.047;105.98;106.171;105.731;99.5046;6.4883;6.40506;936.578;4.99847;2.84702;2.5447;273.779;165.135;56.6927;34.9154;435.123;12584.3;199.443
1;1900;0.00471387;5.36871e-08;10.252;12.8897;2042.38;1.9107;137.17;4.95985;157.168;2.58815;3.39691e-08;2089.69;1.00008;244.578;16.321;0.907185;3.39691e-08;3.43474;0.361594;184.256;505.68;991.731;1.22506;7.5538;37.977;5.00431;340.29;14.0831;124.061;36.0426;7.60529;12495.5;1156.96;86.6021;36.7798;2.22544;0.312757;0.688065;180.715;0.57012;2.7554;6.45344;6.52739;0.501816;0.3119;2.12082;3.39691e-08;3.91537;2.79005;3.19477;20.2441;76.3891;2063.26;6.37629;1874.28;171.429;9.30405;3.83977;10445.8;4.7346;165.399;4.41577;102.776;2.59692;5.04978;0.000274306;0.486653;1.51417;1.30566;1.08286;7820.98;0.574423;13555.4;13587.7;4245.98;1560.84;7603.59;134.347;1.7896;2063.48;1.55199;1.06528;1.93607;363.114;76.4322;506.815;2.10655;200.807;58.1487;70.4029;2870.34;190.178;0.285201;3.97653;1.38959;3.91812;170.269;0.53536;106.053;105.986;106.178;105.737;99.5103;6.48866;6.40542;936.634;4.99877;2.84719;2.54485;273.796;165.145;56.6961;34.9183;435.15;12585;199.453
1;2000;0.0047224;1.07374e-07;10.2533;12.8912;2042.62;1.91094;137.187;4.96028;157.187;2.58849;3.39732e-08;2089.94;1.00023;244.607;16.3231;0.907293;3.39732e-08;3.43496;0.361663;184.278;505.741;991.849;1.22505;7.55455;37.9816;5.00492;340.331;14.0848;124.076;36.047;7.60625;12497;1157.1;86.6134;36.7841;2.22589;0.312828;0.688146;180.737;0.570136;2.75567;6.45416;6.52811;0.501977;0.311945;2.12078;3.39732e-08;3.91578;2.79033;3.19509;20.2464;76.3983;2063.51;6.37698;1874.5;171.451;9.3052;3.83978;10447.1;4.7354;165.42;4.41622;102.788;2.59733;5.05015;0.000300769;0.485909;1.51383;1.30533;1.08265;7821.91;0.574381;13557;13589.3;4246.49;1561.02;7604.5;134.364;1.78953;2063.73;1.55186;1.06532;1.9363;363.157;76.4414;506.875;2.10701;200.831;58.1555;70.4112;2870.68;190.201;0.285675;3.97687;1.38961;3.91845;170.289;0.535371;106.066;105.999;106.191;105.749;99.5217;6.48937;6.40613;936.746;4.99938;2.84752;2.54515;273.829;165.164;56.7028;34.924;435.203;12586.5;199.472
1;2100;0.00473948;2.14748e-07;10.2557;12.8942;2043.11;1.91142;137.219;4.96114;157.224;2.58916;3.39813e-08;2090.44;1.00051;244.665;16.3272;0.907509;3.39813e-08;3.43538;0.3618;184.322;505.861;992.085;1.22504;7.55604;37.9907;5.00613;340.412;14.0882;124.106;36.0557;7.60815;12500;1157.38;86.6357;36.7928;2.22678;0.312916;0.688309;180.779;0.570164;2.75621;6.45558;6.52954;0.5023;0.312035;2.1207;3.39813e-08;3.91658;2.79088;3.19572;20.251;76.4167;2064;6.37837;1874.95;171.494;9.3075;3.8398;10449.5;4.73698;165.461;4.41712;102.811;2.59815;5.05088;0.000367447;0.484437;1.51318;1.30467;1.08222;7823.78;0.574297;13560.2;13592.6;4247.5;1561.39;7606.31;134.397;1.78939;2064.22;1.5516;1.06539;1.93676;363.244;76.4598;506.995;2.10793;200.879;58.1692;70.4278;2871.37;190.247;0.286623;3.97754;1.38966;3.9191;170.329;0.53539;106.091;106.025;106.216;105.774;99.5444;6.49079;6.40754;936.968;5.00059;2.84819;2.54575;273.894;165.203;56.7161;34.9355;435.309;12589.5;199.509
