p_id;copy_per_cell
protein_0544;219.8702498
protein_0545;610.4749996
protein_0548;185.7661239
protein_0549;129.1198562
protein_0599;2.355539211
protein_0600;120.2363366
protein_0601;72.47261436
protein_0604;345.3820491
protein_0605;68.09481638
protein_0606;410.6292649
protein_0607;1355.037007
protein_0608;40.83908248
protein_0609;14.80271244
protein_0610;120.6663034
protein_0611;100.9008115
protein_0612;35.66401823
protein_0613;98.35885517
protein_0614;164.9895521
protein_0615;232.7303967
protein_0616;366.4092197
protein_0617;205.002863
protein_0620;17.69768581
protein_0621;137.8649646
protein_0634;207.7142432
protein_0636;111.1823182
protein_0637;426.1474985
protein_0638;632.0323465
protein_0639;94.54516389
protein_0640;13.55126377
protein_0641;24.97276003
protein_0642;273.8404051
protein_0644;117.1034276
protein_0645;187.2768818
protein_0646;227.7664813
protein_0647;664.68384
protein_0650;68.56145227
protein_0651;213.0770342
protein_0652;65.98954368
protein_0653;285.0221872
protein_0654;394.8749213
protein_0655;274.1276801
protein_0656;715.6949824
protein_0657;217.0324416
protein_0658;331.3548926
protein_0659;703.0165365
protein_0660;305.3908106
protein_0661;100.1722414
protein_0662;530.2305382
protein_0663;533.4164543
protein_0664;167.6346195
protein_0665;1001.070034
protein_0666;372.8895543
protein_0667;630.455284
protein_0668;184.0534226
protein_0669;348.8187651
protein_0670;257.6275506
protein_0671;433.6567634
protein_0672;724.6191561
protein_0684;76.38678817
protein_0685;17.44826247
protein_0686;305.4656103
protein_0687;212.2388548
protein_0688;144.209238
protein_0689;86.95877684
protein_0690;47.54656948
protein_0691;11.09926244
protein_0692;35.50427543
protein_0693;21.26161322
protein_0694;289.91989
protein_0695;217.5187162
protein_0696;3.619875953
protein_0697;119.4076789
protein_0706;1.703800308
protein_0707;40.8628684
protein_0708;210.3921676
protein_0710;80.6457312
protein_0726;141.7222984
protein_0727;409.5919966
protein_0728;105.2156539
protein_0729;321.6627431
protein_0730;16.20937753
protein_0732;171.3095591
protein_0733;274.0500787
protein_0747;629.2135402
protein_0771;381.8536214
protein_0772;49.87537303
protein_0773;296.9387123
protein_0774;3.82425854
protein_0775;139.6300477
protein_0776;93.13454421
protein_0777;9.916276782
protein_0778;4.82740945
protein_0779;830.5412011
protein_0787;64.55620538
protein_0789;108.3021369
protein_0790;346.9675188
protein_0791;136.3260126
protein_0792;326.7151627
protein_0793;31.57896096
protein_0794;180.8109766
protein_0796;8.442332722
protein_0797;8.532743848
protein_0798;362.4729099
protein_0799;177.5295681
protein_0800;206.5583054
protein_0803;546.4179813
protein_0804;529.1531156
protein_0805;27.3707586
protein_0806;764.9489475
protein_0807;283.0911991
protein_0809;657.9083714
protein_0810;946.4787781
protein_0813;85.98364026
protein_0814;78.46729748
protein_0817;26.46539117
protein_0818;54.80874638
protein_0819;100.2922375
protein_0820;12.8498683
protein_0821;130.7289399
protein_0822;0.300669164
protein_0823;34.5549684
protein_0824;144.017323
protein_0825;48.68087163
protein_0826;8.110869052
protein_0827;211.7101009
protein_0830;7.570894136
protein_0831;315.3002408
protein_0832;151.8085823
protein_0833;121.6585606
protein_0834;117.7105267
protein_0835;296.8370091
protein_0836;0.959722501
protein_0837;111.373658
protein_0838;135.0853641
protein_0932;34.04047965
protein_0839;8.465888012
protein_0840;238.0774627
protein_0853;7.238224698
protein_0859;175.1559005
protein_0870;24.30489841
protein_0872;167.8450199
protein_0874;131.2460961
protein_0875;36.18146935
protein_0876;45.66164841
protein_0877;8.978861619
protein_0878;7.12893004
protein_0879;80.47530078
protein_0881;33.49142061
protein_0885;140.52487
protein_0886;43.61651473
protein_0887;126.8431077
protein_0906;75.46942576
protein_0907;29.90618078
protein_0908;119.932076
protein_0909;6.305544457
protein_0913;227.0069133
protein_0264;0.876798844
protein_0286;13.12836753
protein_0299;53.33857593
protein_0523;50.51331476
protein_0592;78.65478255
