;S;PSU;Met;Ribosome
q0;0.7855650737463125;0.22911838557604858;0.9622513274336293;0.9840000000000008
1;0.7834865530704285;0.23115805539817794;0.9720277906051615;0.9935903795975594
2;0.7834749478852401;0.23116944366401693;0.9720815801308453;0.9936603397612003
3;0.7834681693535253;0.2311760954942044;0.9721136532683442;0.9937076320330962
4;0.7834630653291466;0.23118110411625828;0.9721381655637115;0.9937468162473069
5;0.7834582647603805;0.231185814954767;0.9721612746234779;0.9937842287634315
6;0.7834534246951318;0.2311905645515064;0.9721845214372346;0.9938214599157029
7;0.7834485604109601;0.2311953379144787;0.9722078383888346;0.9938584467003886
8;0.7834434871927316;0.23120031630619825;0.9722320558716251;0.9938960482288834
9;0.7834382166269285;0.23120548835675275;0.9722571228001704;0.9939342177875554
10;0.7834327487714634;0.2312108540093119;0.9722830345216775;0.9939729563843503
11;0.783427164597282;0.23121633380640577;0.9723094443553808;0.9940119128700937
12;0.7834213256366807;0.23122206362755654;0.9723369589678822;0.994051715996994
13;0.7834152930220216;0.23122798348306314;0.9723653100774504;0.9940920951549188
14;0.7834090727913864;0.23123408744770513;0.9723944714454786;0.994133028326384
15;0.7834027135330401;0.2312403278414094;0.9724242257638964;0.9941742972748508
16;0.7833960614903582;0.23124685554684504;0.972455265321607;0.9942166170461263
17;0.7833892037163367;0.2312535851381745;0.9724871969262492;0.9942595886928489
18;0.7833821241353539;0.23126053239054073;0.9725200967241181;0.9943032945780521
19;0.7833748867307689;0.23126763451653543;0.9725536771829477;0.9943474440101373
20;0.7833674840156438;0.2312748988631534;0.9725879692233279;0.9943920730526373
21;0.783359848205577;0.23128239194779837;0.9726232884704807;0.9944375091328549
22;0.7833520267540406;0.23129006720397907;0.9726594121402233;0.9944835281143771
23;0.7833439622554377;0.23129798096429027;0.9726966022388192;0.9945304024714268
24;0.7833356759714886;0.2313061123644273;0.972734764040601;0.9945780388654114
25;0.7833272020590499;0.23131442788597925;0.972773744906546;0.9946262845543853
26;0.7833185621629847;0.23132290628866015;0.9728134483636743;0.9946750443813117
27;0.7833097460762962;0.2313315575886815;0.9728539209408719;0.9947243697789738
28;0.7833007020388845;0.23134043257866505;0.9728953951099111;0.9947745027654482
29;0.7832914806067228;0.2313494816476087;0.9729376463878402;0.994825216779226
30;0.7832820657939106;0.23135872048261136;0.9729807453539759;0.9948765878734883
31;0.7832724555528474;0.23136815109300043;0.9730247024521828;0.9949286303409548
32;0.7832626019305831;0.2313778205354094;0.9730697336087061;0.9949815690719163
33;0.7832525983925881;0.23138763709138577;0.9731154197628105;0.9950349781889787
34;0.7832425472995338;0.23139750031354175;0.9731613018915324;0.9950883909722413
35;0.7832323096473539;0.23140754660773696;0.973208004694094;0.9951424512421705
36;0.7832218963078168;0.2314177653054137;0.9732554798991302;0.9951971131616705
37;0.7832114404003586;0.23142802577534924;0.9733031303286145;0.9952517685438694
38;0.7832007651475397;0.23143850149073233;0.9733517502195665;0.9953072348142251
39;0.7831898209545285;0.2314492411193881;0.9734015627400597;0.9953637442235754
40;0.7831787177891656;0.2314601367489498;0.9734520746063301;0.9954207950791145
41;0.7831675554364026;0.23147109045960512;0.9735028382383618;0.9954779326159623
42;0.7831562553789144;0.23148217930106557;0.9735542066103003;0.995535522157729
43;0.783144776463601;0.23149344365721414;0.9736063649127257;0.9955937571209413
44;0.7831331603991457;0.23150484259896947;0.9736591276491955;0.995652451189933
45;0.783121529134776;0.23151625645652854;0.9737119435167998;0.9957110436589327
46;0.7831097716861695;0.23152779413974048;0.9737653153261636;0.9957700531255904
47;0.7830979462532346;0.23153939853654568;0.9738189807278755;0.9958292147370503
48;0.7830859243309085;0.23155119575004324;0.9738735170307865;0.9958891234668862
49;0.7830739457506994;0.2315629504315569;0.9739278477133353;0.9959486806664146
50;0.783061839867488;0.23157483003657736;0.9739827392593435;0.9960086750102121
51;0.7830496007616783;0.23158684037405414;0.9740382185270654;0.9960691377210438
52;0.7830373783452635;0.2315988343340874;0.9740936126851137;0.9961293835801183
53;0.7830250130450326;0.23161096850721116;0.9741496384601895;0.9961901501672281
54;0.783012737525711;0.23162301457757345;0.9742052514392308;0.996250371801199
55;0.7830004997136191;0.23163502364551425;0.9742606856564335;0.9963102917903685
56;0.7829882999424814;0.23164699538354647;0.9743159398277128;0.9963699124574606
57;0.7829761892922957;0.23165887966643897;0.9743707848101286;0.9964290028052285
58;0.7829638784098387;0.23167096043894347;0.9744265199735722;0.9964888966249141
59;0.7829516353786458;0.23168297462843196;0.9744819418221797;0.9965483652834556
60;0.7829394002108228;0.23169498110152928;0.9745373198709348;0.9966076881333447
61;0.7829272973779913;0.2317068577131863;0.9745920954153627;0.9966662966096795
62;0.7829151718050371;0.23171875663991703;0.974646964888889;0.9967249069712842
63;0.7829031145602969;0.23173058851559666;0.9747015195502435;0.9967831040503932
64;0.7828912214469251;0.2317422593277839;0.9747553293929202;0.9968404508758568
65;0.782879306347718;0.2317539517148565;0.9748092302061541;0.9968978061162046
66;0.7828675023059489;0.23176553512033077;0.9748626247660831;0.9969545614899884
67;0.7828558777941735;0.2317769423515122;0.9749152053493229;0.9970104050244729
68;0.7828444569660938;0.23178814970616982;0.9749668648670264;0.9970652299867891
69;0.7828331941543244;0.23179920199809315;0.9750178072414716;0.9971192480031942
70;0.7828221182700555;0.23181007085648775;0.9750679031897356;0.9971723294995816
71;0.782811155558779;0.23182082865727313;0.9751174839734804;0.9972248162185356
72;0.7828000868638251;0.2318316904607326;0.9751675336940993;0.9972777179824043
