;rho;x_C;x_PSU;condition;mu;density;consistent;converged;run_time;S_q;PSU_q;Met_q;Ribosome_q;S_v;PSU_v;Met_v;Ribosome_v;S_p;PSU_p;Met_p;Ribosome_p;C_b;e_b;A_b;Protein_b;C_c;e_c;A_c;Protein_c
0;385.67;0.000525;1100.0;1;0.0936198562532419;1.0;1;1;0.08429;0.7834862196803998;0.2311583825566171;0.9720292876611066;0.99359191835728;28.28884330727301;8.346290080219008;35.0964490734018;35.8749973946543;8.385931167693414;137.95520793750424;44.33178455822632;192.52567148942825;0.0058627895515145;2.81023794394e-05;0.0005171897117658;0.99359191835728;2.2611020463326112;0.0108382446784062;0.1994645561367322;383.19859515285214
1;385.67;0.000525;1047.619047619048;2;0.0953166444596032;1.0;1;1;0.018499;0.783474888046423;0.2311695023843514;0.9720818488308002;0.993660615931878;28.801140370797583;8.497968970288976;35.734477527276425;36.52772962736168;8.537811331816446;142.46890127284942;45.13896972844951;187.0794074133321;0.0058094089817828;2.73951667087e-05;0.0005025799196304;0.993660615931878;2.240514762004187;0.0105654939445731;0.193829997603868;383.22508974644734
2;385.67;0.000525;997.7324263038548;3;0.0969404416523399;1.0;1;1;0.0186939999999999;0.7834682119808243;0.2311760536636771;0.9721134618556356;0.9937074353198504;29.291541814154535;8.642983772373611;36.344425569041206;37.151759889678935;8.683201620320618;147.04297067284975;45.910257417504894;181.6067168691316;0.0057774424963159;2.67081964965e-05;0.000488413987337;0.9937074353198504;2.228186247554174;0.0103005501428091;0.1883666224962649;383.2431465798068
3;385.67;0.000525;950.2213583846236;4;0.0984846026030449;1.0;1;1;0.018155;0.7834630727655165;0.2311810968188858;0.9721381321712392;0.9937467819345238;29.757930572638433;8.780849114635647;36.92429171173492;37.745043476275;8.821474482353567;151.67439548013795;46.64341509015745;176.1190363360389;0.0057525670285252;2.60389794687e-05;0.0004746120574823;0.9937467819345238;2.218592525891323;0.0100424532116947;0.1830436322092131;383.2583213886878
4;385.67;0.000525;904.97272227107;5;0.0999426319313059;1.0;1;1;0.018543;0.7834582596447383;0.2311858199747896;0.972161297594444;0.9937842523644764;30.198300573647735;8.91102849962889;37.47183555654482;38.30528964219314;8.95203524197004;156.35882920566357;47.33573361777024;170.62617454400373;0.005729221569183;2.53863393847e-05;0.0004611397269558;0.9937842523644764;2.2095888825868446;0.0097907495105078;0.1778477584950542;383.2727726094076
5;385.67;0.000525;861.8787831153047;6;0.1013082398192455;1.0;1;1;0.020188;0.7834534268834789;0.2311905624040629;0.9721845116122916;0.9938214498225028;30.610738841030475;9.032973352880951;37.98475463773119;38.83014332599944;9.074316803830287;161.09114865189207;47.98433987250048;165.1373132248218;0.0057058175936455;2.47496868963e-05;0.0004479828969552;0.9938214498225028;2.2005626713412694;0.0095452117453072;0.1727735638687296;383.2871185530447
6;385.67;0.000525;820.8369363002902;7;0.1025753970026871;1.0;1;1;0.018557;0.783448510759221;0.2311953866381477;0.9722080613400448;0.9938586757088864;30.99342158173701;9.146148071536768;38.46079722721663;39.31730101709154;9.18777850029565;165.8658008879296;48.58639538707201;159.66150068534907;0.0056820616871852;2.41286236838e-05;0.0004351339802444;0.9938586757088864;2.1914007308967216;0.0093056862961622;0.1678181221608645;383.3014754606463
7;385.67;0.000525;781.7494631431334;8;0.1037383891962613;1.0;1;1;0.0181869999999999;0.7834435053757813;0.2312002984630185;0.9722319742246108;0.9938959643739648;31.344622422546628;9.25004293172028;38.89781960038131;39.764569515005434;9.291908536259923;170.67696173843103;49.139191691720185;154.20779461369597;0.0056579259960927;2.35227932087e-05;0.0004225868367336;0.9938959643739648;2.182092318913078;0.0090720356568106;0.1629790653230802;383.3158565801071
8;385.67;0.000525;744.5232982315556;9;0.1047918703466182;1.0;1;1;0.0180139999999999;0.783438224495621;0.2312054806351384;0.972257087470326;0.9939341815065612;31.66271901676978;9.344188143488413;39.29384858959988;40.169930093041046;9.386225951592724;175.51873435233628;49.64025732871504;148.78537814899144;0.00563255451936;2.29317546126e-05;0.000410332219466;0.9939341815065612;2.172307301481597;0.0088440898014649;0.1582528270814791;383.33059578163545
9;385.67;0.000525;709.0698078395767;10;0.1057309137088686;1.0;1;1;0.0186389999999999;0.7834327559935346;0.2312108469222325;0.9722830074229812;0.9939729283528108;31.946226682402447;9.428140540078273;39.64701899040697;40.53147413406379;9.470290585083267;180.38484908727287;50.08722502112162;143.40317458435072;0.0056063500551496;2.23552251402e-05;0.0003983663668993;0.9939729283528108;2.1622010257695634;0.0086217396798342;0.153637956722085;383.3455392778285
10;385.67;0.000525;675.3045788948349;11;0.1065510602693493;1.0;1;1;0.017804;0.7834271772600238;0.2312163213803506;0.9723093874967552;0.9940118544944028;32.193801854213625;9.501498865552593;39.955641916252965;40.8474732728233;9.543704102518115;185.26889073110777;50.47795048136681;138.07000660786372;0.0055796672626196;2.17929185275e-05;0.0003866853244499;0.9940118544944028;2.1519102731745026;0.008404874888521;0.1491329290806178;383.3605519228564
11;385.67;0.000525;643.1472179950808;12;0.1072483635663835;1.0;1;1;0.017683;0.7834213348351187;0.2312220546010519;0.972336917664924;0.9940516735967339;32.40424645507898;9.563916771195828;40.21826278705733;41.11643886631148;9.606111296968061;190.1645109776364;50.810613806199925;132.79467287524795;0.0055518007031795;2.12444408581e-05;0.0003752812592284;0.9940516735967339;2.1411629771952416;0.0081933435057729;0.1447347232466467;383.37590895605234
12;385.67;0.000525;612.5211599953151;13;0.1078194299020758;1.0;1;1;0.017783;0.7834152991556191;0.2312279774641123;0.972365282536219;0.9940920668850686;32.576538660560516;9.615088134456483;40.4335928247372;41.337051604611446;9.657209200476409;195.06511068555;51.08357668370866;127.58559086582932;0.0055230731266439;2.07095174691e-05;0.0003641504708182;0.9940920668850686;2.1300836127527556;0.0079870396023316;0.1404419120804863;383.3914874355645
