;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
rho;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340;340
x_C;5;4.166666667;3.472222222;2.893518519;2.411265432;2.00938786;1.674489883;1.395408236;1.162840197;0.9690334973;0.8075279144;0.6729399287;0.5607832739;0.4673193949;0.3894328291;0.3245273576;0.2704394647;0.2253662206;0.1878051838;0.1565043198;0.1304202665;0.1086835554;0.09056962953;0.07547469127;0.06289557606;0.05241298005;0.04367748338;0.03639790281;0.03033158568;0.0252763214;0.02106360117;0.01755300097;0.01462750081;0.01218958401;0.01015798667;0.008464988894;0.007054157412;0.00587846451;0.004898720425;0.004082267021
x_P;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
x_N;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
x_Ace;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
