Cond.,mu,density,tC,tP,tN,tAce,Resp,Ferm,Nucprod,Aaprod,Replication,Transcription,tRNAcharging,Ribosome,converged?,time_to_execute
1,0.6717678720250865,1.0,0.5489301041401096,0.22676131913124173,0.22430857672864873,1e-10,0.29915267533571377,3.2289716706459024e-07,0.6237428909552475,0.2169506682995299,0.01743098593718429,0.5309850152630502,0.8341865115458741,0.7786804566776474,True,21.35609245300293
2,0.6708753378525444,1.0,0.5489229273355154,0.22676481752052158,0.22431225514396297,1e-10,0.2991541628321541,3.2288114459838167e-07,0.6237602078730657,0.2169551890307496,0.017426406865824282,0.5310085021164801,0.8342401613707012,0.7787556465222328,True,20.866216897964478
3,0.6698695954978924,1.0,0.5489122973476439,0.2267702272514812,0.2243174754008749,1e-10,0.2991602863224089,3.2261850724218503e-07,0.6237667675794455,0.21695731312370994,0.017423793377610925,0.5310191012225571,0.8342687285744319,0.7788025532402334,True,20.466500282287598
4,0.6686056791055722,1.0,0.5489015810477736,0.22677549760990737,0.22432292134231896,1e-10,0.29916332010024393,3.2254440711748974e-07,0.6237887168222381,0.21696312322857517,0.017417805298768865,0.5310492267075154,0.8343384386487798,0.7789016502528904,True,20.61665153503418
5,0.6670355522948199,1.0,0.5488907738863391,0.22678059619124788,0.22432862992241304,1e-10,0.29916263867562,3.2269734201692403e-07,0.62382891870069,0.21697329732188875,0.01740780897168799,0.5311025191351184,0.8344569730208328,0.779062689038995,True,20.449731826782227
6,0.6653033625122808,1.0,0.5488730795737424,0.22678954903257054,0.22433737139368704,1e-10,0.29917200116370296,3.223086364167149e-07,0.6238441921520694,0.216977864856701,0.017402497432389655,0.5311256991292724,0.8345161854700235,0.7791555104903787,True,20.616830825805664
7,0.6631391436784643,0.9999999999999999,0.5488552622063103,0.22679825400067635,0.22434648379301328,1e-10,0.29917608028787485,3.2224224553783e-07,0.6238854356416134,0.21698863496439735,0.017391478007886492,0.5311818494317505,0.8346448889601454,0.7793364877735214,True,37.436036348342896
8,0.6606618195781981,1.0,0.5488305007808278,0.2268107292705293,0.2243587699486429,1e-10,0.29918836631894125,3.2174670812485446e-07,0.6239112394331171,0.21699606315499742,0.017383056675105882,0.5312199390163583,0.834739671418597,0.779481455865174,True,51.61241388320923
9,0.6575842952824982,1.0,0.5488055367980831,0.22682287457267852,0.22437158862923834,1e-10,0.2991933307814049,3.216966339350363e-07,0.6239731969158766,0.2170121105185089,0.017366671009257203,0.5313039585117566,0.834931308440732,0.779749341224232,True,48.819183588027954
10,0.6539966504491445,1.0,0.5487734483056459,0.2268387398122561,0.224387811882098,1e-10,0.29920432359548177,3.2135147763791185e-07,0.6240316192497858,0.21702764144623074,0.017350237966306005,0.5313850866460765,0.8351210956854216,0.7800220182216235,True,44.583245277404785
11,0.6497812072615625,1.0,0.5487339140653299,0.22685841357854594,0.2244076723561242,1e-10,0.2992205904135722,3.207617415301213e-07,0.624092906578704,0.21704417396319806,0.01733231062521729,0.5314715332161453,0.835326518253623,0.7803219273635779,True,47.45162391662598
12,0.644732435188977,1.0,0.5486894149790744,0.2268803054410667,0.2244302795798589,1e-10,0.2992358337521729,3.2029232075324847e-07,0.6241824804504533,0.21706755906239084,0.017307558446717816,0.5315950792724672,0.8356131243151166,0.7807296684507565,True,46.312039852142334
13,0.6388057145724967,1.0,0.5486358124395818,0.22690673969100003,0.22445744786941818,1e-10,0.29926140379734356,3.1934813299952864e-07,0.6242837814593805,0.2170937536457016,0.01727914671670391,0.5317357332932626,0.8359413449400143,0.7811991234592933,True,46.956815004348755
14,0.42900398845413484,1.0,0.5553680824332912,0.2229837641749743,0.22164815339173455,1e-10,0.28157947033962294,0.025349557122601885,0.6550420237898904,0.22311751337913008,0.009911022559840351,0.5719271781231459,0.9213095509501091,0.8883259303011166,True,51.499797344207764
15,0.4248281271077783,1.0,0.5553777535024005,0.22297708445869566,0.22164516203890391,1e-10,0.28152235227294264,0.025432904489153498,0.655154299861246,0.2231422316085857,0.009880960201407165,0.572079441963176,0.9216500717491211,0.8887798767952314,True,49.299394369125366
16,0.20420340123325967,1.0,0.5595615091571028,0.2205274005115051,0.2199110903313921,1e-10,0.26752807536725753,0.04280521966445622,0.6749804099213312,0.22659445394185013,0.005257820695182111,0.5979998481674236,0.9772855546612794,0.9605909708082736,True,47.03188347816467
17,0.41169056688367855,1.0,0.5554662597999305,0.22292290423327724,0.22161083596679235,1e-10,0.2811584309858031,0.025931404191060287,0.6557159733349792,0.22325865428031952,0.009733613528896698,0.572835652889717,0.9233180346837121,0.8909661551198987,True,48.41606307029724
18,0.5910239527310268,1.0,0.5481591903221582,0.22714381244218174,0.22469699723566006,1e-10,0.2994088679776946,3.141158637744503e-07,0.6250376159028728,0.2172958511932994,0.017055657371371276,0.5328028694465469,0.8384748796706212,0.784884029034235,True,47.90067267417908
19,0.5766849216291826,1.0,0.5480094744254562,0.22721813883194739,0.22477238674259645,1e-10,0.29945967200489065,3.1212162128364674e-07,0.6252838919825845,0.2173602354961327,0.01698228931152946,0.53315210686593,0.839301820888755,0.7860798632285804,True,49.51580762863159
20,0.5603668914291701,1.0,0.5478395125082566,0.22730213046284542,0.224858357028898,1e-10,0.29951369199170214,3.1000855604297137e-07,0.6255934473994692,0.21743955207208454,0.016891602869637076,0.5335880481707855,0.8403250559830855,0.7875442209616516,True,47.341190338134766
21,0.542116257119554,1.0,0.5476373558481007,0.22740246309923678,0.22496018105266247,1e-10,0.2995734675141896,3.075218155157846e-07,0.6259280080046964,0.21752586843230312,0.016790305534694017,0.5340650452620403,0.8414553391117826,0.7891750208154552,True,45.900142192840576
