condition;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RBFK;RNAP;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
11;0.00780564;0.0382857;0.69072;0.00660575;0.443738;0.0263398;0.4561;0.00735297;0.000257903;5.67185;0.00258792;0.00357255;0.000848143;0.00266999;2.74106;0.0102204;0.117437;0.0116336;1.53511;0.00356642;0.0595909;0.110274;0.213668;0.212256;0.999059;0.0106092;0.366045;0.106447;0.0225831;36.7833;3.37905;0.258162;0.107947;0.00689878;0.000927884;0.00202326;0.500431;5.74009;0.0022867;0.0191616;0.0591376;0.0554708;0.00155847;0.000963593;0.00518951;2.24433;0.0232472;0.0227685;0.0207722;0.213159;0.221465;5.57626;0.0183701;5.06125;0.500817;0.00599896;0.00948383;28.2287;0.0135889;0.468274;0.0122297;0.290571;22.8676;0.0151807;0.0260569;0.000670618;0.00451628;0.00198345;0.00323789;0.47323;0.00248334;39.9049;40.0001;11.4661;4.23751;29.3478;0.380341;8.8119;5.5766;0.00332259;0.00374659;0.00514019;1.0848;0.221601;1.46799;0.00638439;0.591836;0.173106;0.199497;0.553439;0.00151598;0.0390033;7.59248;0.011888;0.0383913;0.499737;0.00104304;0.353613;0.306714;0.306656;0.306848;0.306345;0.287055;0.054917;0.0585419;2.52888;0.226393;0.00721444;0.0071556;0.795973;0.479735;0.165329;1.02055;36.9228;0.47828
12;0.0078653;0.0383369;0.69064;0.00669104;0.443786;0.0263911;0.456146;0.00731691;0.00030946;5.67221;0.00253554;0.00362563;0.000865489;0.00267078;2.74111;0.0102883;0.117486;0.0115925;1.53529;0.00359578;0.0596409;0.110224;0.213631;0.212309;0.999121;0.0106749;0.366065;0.106472;0.0225826;36.7835;3.37916;0.258283;0.107924;0.0069257;0.000927626;0.00202298;0.500337;5.74013;0.00209791;0.019082;0.0591252;0.0554548;0.0015776;0.000961533;0.00532099;2.24439;0.0233044;0.0228341;0.0208292;0.213288;0.221479;5.57613;0.0184121;5.06128;0.501049;0.00604181;0.0095665;28.2284;0.0135899;0.467894;0.0122133;0.290344;22.8681;0.0151784;0.0262272;0.000532847;0.00455896;0.00200507;0.00327108;0.472644;0.00256139;39.9049;40.0001;11.4662;4.23771;29.3477;0.380026;8.81187;5.5765;0.00335212;0.00383613;0.00526701;1.08458;0.221619;1.46791;0.00642535;0.591825;0.173132;0.199514;0.553369;0.00138236;0.0390268;7.59246;0.0118962;0.0384145;0.499952;0.00102966;0.354118;0.306737;0.306677;0.306878;0.306354;0.287097;0.0549017;0.0585284;2.52884;0.226358;0.00727436;0.00720758;0.79595;0.479747;0.165535;1.019;36.9226;0.476679
13;0.00792407;0.0383872;0.690546;0.00677606;0.443832;0.0264395;0.45619;0.00728388;0.00036003;5.67254;0.00248415;0.00368081;0.000883404;0.00267218;2.74116;0.0103527;0.117533;0.011554;1.53547;0.0036227;0.059688;0.110174;0.213595;0.21236;0.999181;0.010737;0.366092;0.106496;0.0225838;36.7837;3.37927;0.258394;0.107902;0.0069502;0.000927442;0.00202268;0.500249;5.74016;0.0019356;0.0189967;0.0591075;0.0554326;0.00159554;0.000961213;0.00544013;2.24444;0.0233558;0.0228947;0.0208853;0.213416;0.221492;5.576;0.0184515;5.06131;0.501296;0.00608276;0.00964467;28.228;0.0135915;0.467558;0.0121896;0.290143;22.8685;0.0151761;0.0264038;0.000389469;0.00459081;0.00202194;0.00329654;0.472081;0.00263887;39.9049;40.0001;11.4663;4.2379;29.3477;0.379746;8.81186;5.57639;0.00338006;0.00391653;0.00538119;1.08439;0.221635;1.46785;0.00646406;0.591813;0.173156;0.19953;0.553304;0.00126709;0.0390503;7.59246;0.0119043;0.0384376;0.500149;0.00101108;0.354552;0.306759;0.306697;0.306906;0.306363;0.287136;0.0548804;0.0585094;2.5288;0.226323;0.00733097;0.00725662;0.795928;0.479759;0.165722;1.01762;36.9225;0.475099
14;0.00798088;0.0384361;0.69044;0.00685962;0.443874;0.0264845;0.456231;0.00725422;0.000409347;5.67286;0.00243406;0.00373809;0.000901723;0.00267315;2.74121;0.0104128;0.117578;0.0115185;1.53564;0.00364681;0.0597319;0.110126;0.213561;0.21241;0.999237;0.010795;0.366127;0.10652;0.0225864;36.7839;3.37938;0.258498;0.10788;0.00697223;0.000927333;0.00202238;0.500169;5.74019;0.00179738;0.0189074;0.0590858;0.0554057;0.00161202;0.000962134;0.00554594;2.24449;0.0234022;0.0229527;0.0209391;0.213539;0.221506;5.57588;0.0184878;5.06133;0.501557;0.00612143;0.00971708;28.2277;0.0135953;0.467264;0.0121604;0.28997;22.8689;0.0151738;0.0265804;0.000244991;0.00461214;0.00203414;0.00331444;0.471542;0.00271213;39.9049;40.0001;11.4664;4.23808;29.3477;0.379502;8.81185;5.57629;0.00340597;0.0039884;0.00548215;1.08422;0.221652;1.4678;0.00649999;0.591802;0.173182;0.199544;0.553246;0.00116854;0.0390733;7.59247;0.0119123;0.0384604;0.500327;0.000988454;0.354919;0.30678;0.306716;0.306933;0.306372;0.287172;0.0548543;0.0584862;2.52877;0.226287;0.00738337;0.00730202;0.795903;0.479767;0.16589;1.01643;36.9223;0.473542
15;0.00803293;0.0384834;0.690323;0.00694094;0.443912;0.0265254;0.456268;0.00722825;0.000456803;5.67315;0.0023857;0.00379709;0.00092023;0.00267394;2.74126;0.0104679;0.117622;0.0114864;1.53581;0.00366765;0.0597718;0.11008;0.213528;0.212459;0.99929;0.0108478;0.366166;0.106544;0.0225901;36.784;3.37947;0.258594;0.107859;0.00699162;0.000927282;0.00202208;0.500099;5.74022;0.00168106;0.0188159;0.0590609;0.0553752;0.00162698;0.000963926;0.00563813;2.24455;0.0234438;0.023008;0.0209904;0.213656;0.22152;5.57575;0.0185204;5.06136;0.501832;0.00615729;0.00978336;28.2274;0.0136073;0.467011;0.0121269;0.289821;22.8693;0.0151716;0.0267158;0.00012516;0.00462486;0.00204243;0.00332607;0.471026;0.00277706;39.9049;40.0001;11.4665;4.23824;29.3476;0.37929;8.81186;5.5762;0.00342972;0.00405113;0.00556958;1.08407;0.221669;1.46776;0.00653302;0.591791;0.173209;0.199558;0.553195;0.00108507;0.0390955;7.59248;0.01192;0.0384822;0.500486;0.000962708;0.355224;0.306801;0.306736;0.306959;0.306383;0.287208;0.0548246;0.0584598;2.52874;0.226255;0.00743129;0.00734361;0.795876;0.479772;0.166039;1.0154;36.9221;0.472007
16;0.00807701;0.038528;0.690198;0.00701727;0.443945;0.0265606;0.4563;0.0072064;0.000501618;5.67343;0.00234013;0.00385534;0.000938269;0.0026747;2.7413;0.010516;0.117661;0.0114583;1.53597;0.00368429;0.0598062;0.110036;0.213499;0.212504;0.999336;0.0108935;0.366209;0.106566;0.0225942;36.7842;3.37956;0.258679;0.10784;0.0070081;0.000927257;0.00202178;0.500038;5.74024;0.00158391;0.0187246;0.0590332;0.0553414;0.00164087;0.000966213;0.00571731;2.24459;0.0234793;0.0230586;0.0210373;0.213765;0.221534;5.57563;0.0185477;5.06138;0.502116;0.00618915;0.00984492;28.2271;0.0136302;0.466793;0.0120898;0.289694;22.8697;0.0151694;0.0267321;0.000103278;0.00463732;0.00205014;0.00333706;0.470513;0.00282901;39.9049;40.0001;11.4666;4.2384;29.3475;0.379107;8.81187;5.5761;0.00345177;0.00410353;0.00564343;1.08394;0.221685;1.46773;0.00656396;0.59178;0.173234;0.19957;0.553152;0.00101432;0.0391162;7.5925;0.0119272;0.0385027;0.50063;0.000934216;0.355477;0.306822;0.306756;0.306985;0.306394;0.287242;0.0547916;0.0584305;2.5287;0.226235;0.00747581;0.0073824;0.795846;0.479774;0.166172;1.01452;36.922;0.470496
17;0.00812156;0.0385702;0.690069;0.0070886;0.443974;0.0265912;0.456328;0.00718781;0.000544106;5.67368;0.00229695;0.00391232;0.000955127;0.00267538;2.74135;0.0105583;0.117698;0.0114337;1.53612;0.00369753;0.0598361;0.109995;0.213474;0.212548;0.999378;0.0109334;0.366254;0.106587;0.0225985;36.7843;3.37965;0.258752;0.107823;0.00702154;0.000927265;0.00202148;0.499988;5.74026;0.00150627;0.0186357;0.0590045;0.0553065;0.00165368;0.000968869;0.0057847;2.24464;0.02351;0.0231056;0.0210808;0.213867;0.221547;5.57551;0.018571;5.0614;0.502404;0.00621768;0.00990149;28.2268;0.0136504;0.466609;0.0120515;0.289587;22.87;0.0151674;0.0267319;0.000100786;0.00465482;0.00205972;0.00335136;0.470016;0.00286551;39.9049;40.0001;11.4667;4.23854;29.3475;0.378951;8.8119;5.57601;0.00347205;0.00414346;0.00570274;1.08383;0.221701;1.4677;0.00659279;0.591771;0.17326;0.199581;0.553118;0.000955973;0.0391357;7.59253;0.0119338;0.0385219;0.500759;0.000904665;0.355682;0.306842;0.306775;0.30701;0.306405;0.287274;0.0547573;0.0584002;2.52868;0.226218;0.00751678;0.00741841;0.795815;0.479772;0.166291;1.01378;36.9219;0.469024
18;0.00814825;0.0385809;0.690143;0.00707769;0.44399;0.0266086;0.456343;0.00717858;0.000553992;5.67397;0.0022864;0.00385528;0.00093297;0.00267628;2.74136;0.0105804;0.117709;0.0114191;1.53614;0.00371149;0.0598528;0.109985;0.213463;0.212558;0.99936;0.0109539;0.366223;0.106583;0.0225811;36.7844;3.37958;0.258728;0.107829;0.00703268;0.000926425;0.00202156;0.499933;5.74028;0.00140914;0.0186719;0.0590253;0.0553301;0.00168257;0.000964233;0.00591387;2.24464;0.0235169;0.0231078;0.0210828;0.213957;0.221493;5.57537;0.0185833;5.06141;0.502679;0.0062294;0.0100171;28.2264;0.0136523;0.466349;0.0120784;0.289432;22.8706;0.0151683;0.0267318;0.000101193;0.00472965;0.00209434;0.00340648;0.469214;0.00283233;39.9049;40.0001;11.4667;4.23869;29.3474;0.378735;8.81198;5.5759;0.00351295;0.00416005;0.00574104;1.08372;0.221647;1.46765;0.00665013;0.591769;0.173213;0.199536;0.553138;0.00088283;0.0391526;7.5926;0.0119398;0.0385386;0.500928;0.000924536;0.356134;0.306876;0.306807;0.307054;0.306426;0.287323;0.0547806;0.0584214;2.52866;0.226217;0.00760094;0.00749223;0.795931;0.479864;0.166461;1.01262;36.9217;0.467377
19;0.00816239;0.0385839;0.690235;0.00705255;0.443998;0.0266173;0.45635;0.00717259;0.000555921;5.67422;0.00228386;0.00379072;0.000907277;0.00267703;2.74136;0.0105911;0.117713;0.0114094;1.53612;0.00372039;0.059861;0.109982;0.213458;0.212561;0.999333;0.0109631;0.366185;0.106575;0.0225639;36.7846;3.3795;0.258688;0.107839;0.0070395;0.000925624;0.00202168;0.499888;5.7403;0.0013422;0.0187234;0.0590507;0.0553592;0.00170905;0.000960571;0.00604754;2.24463;0.0235178;0.0231011;0.0210766;0.214028;0.221438;5.57525;0.0185893;5.06141;0.502926;0.006234;0.0101236;28.226;0.0136518;0.46614;0.0121119;0.289309;22.8711;0.0151696;0.0267321;0.000101316;0.00478919;0.00212199;0.00345038;0.468484;0.00279064;39.9049;40.0001;11.4668;4.23882;29.3474;0.378561;8.81207;5.5758;0.00355059;0.00415732;0.0057394;1.08364;0.221592;1.46761;0.0067022;0.591769;0.173163;0.199493;0.553164;0.000833536;0.0391658;7.59268;0.0119446;0.0385516;0.501069;0.000949134;0.356507;0.306908;0.306837;0.307097;0.306447;0.287368;0.0548094;0.0584475;2.52866;0.22622;0.00767827;0.00755956;0.796059;0.47996;0.166605;1.01167;36.9216;0.465909
20;0.0081693;0.038586;0.690304;0.00703074;0.444002;0.0266214;0.456354;0.0071678;0.000557241;5.67443;0.002282;0.00374136;0.00088589;0.0026776;2.74136;0.0105962;0.117717;0.0114022;1.5361;0.00372511;0.0598647;0.10998;0.213454;0.212563;0.99931;0.0109669;0.366155;0.106568;0.0225507;36.7847;3.37943;0.258653;0.107846;0.00704342;0.000925008;0.00202178;0.499851;5.7403;0.00129892;0.0187648;0.0590709;0.0553822;0.00173028;0.000958528;0.0061483;2.24462;0.023518;0.0230954;0.0210712;0.214085;0.221396;5.57513;0.0185922;5.06141;0.503135;0.0062359;0.0102116;28.2257;0.0136519;0.46599;0.0121386;0.289221;22.8715;0.0151706;0.0267326;0.000100937;0.00482793;0.00214027;0.00347917;0.467883;0.00275557;39.9049;40.0001;11.4668;4.23893;29.3473;0.378435;8.81215;5.57571;0.00358178;0.00415277;0.00573411;1.08358;0.22155;1.46758;0.00674406;0.59177;0.173125;0.19946;0.553189;0.00080133;0.0391767;7.59276;0.0119487;0.0385624;0.501176;0.000968599;0.356775;0.306937;0.306865;0.307135;0.306466;0.287408;0.0548321;0.0584682;2.52865;0.226222;0.00774192;0.00761384;0.796163;0.480038;0.166715;1.01099;36.9215;0.464674
