Time	Temp	Well	OD	CMRL	glucose
7.819444444444445	37.0	A1	0.0	25.0	0.1
7.902777777777779	37.0	A1	0.0	25.0	0.1
7.986111111111112	37.0	A1	0.0	25.0	0.1
8.069444444444445	37.0	A1	0.0	25.0	0.1
8.152777777777779	37.0	A1	0.0	25.0	0.1
8.23611111111111	37.0	A1	0.0	25.0	0.1
8.319444444444445	37.0	A1	-0.0010000000000000009	25.0	0.1
8.402777777777779	37.0	A1	0.0	25.0	0.1
8.48611111111111	37.0	A1	0.0	25.0	0.1
8.569444444444445	37.1	A1	0.0	25.0	0.1
8.652777777777779	37.0	A1	0.0	25.0	0.1
8.73611111111111	37.0	A1	-0.0010000000000000009	25.0	0.1
8.819444444444445	37.0	A1	0.0	25.0	0.1
8.902777777777779	37.0	A1	-0.0010000000000000009	25.0	0.1
8.98611111111111	37.0	A1	0.0	25.0	0.1
9.069444444444445	37.0	A1	0.0010000000000000009	25.0	0.1
9.152777777777779	37.1	A1	0.0	25.0	0.1
9.23611111111111	37.0	A1	-0.0010000000000000009	25.0	0.1
9.319444444444445	37.0	A1	-0.0010000000000000009	25.0	0.1
9.402777777777779	37.0	A1	0.0	25.0	0.1
9.48611111111111	37.0	A1	-0.0010000000000000009	25.0	0.1
9.569444444444445	37.0	A1	0.0	25.0	0.1
9.652777777777779	37.0	A1	0.0	25.0	0.1
9.73611111111111	37.0	A1	0.0	25.0	0.1
9.819444444444445	37.0	A1	0.0	25.0	0.1
9.902777777777779	37.0	A1	0.0	25.0	0.1
9.98611111111111	37.0	A1	0.0	25.0	0.1
10.069444444444445	37.0	A1	0.0010000000000000009	25.0	0.1
10.152777777777779	37.0	A1	0.0	25.0	0.1
10.23611111111111	37.0	A1	0.0	25.0	0.1
10.319444444444445	37.0	A1	0.0	25.0	0.1
10.402777777777779	37.0	A1	0.0	25.0	0.1
10.48611111111111	37.0	A1	0.0	25.0	0.1
10.569444444444445	37.0	A1	0.0	25.0	0.1
10.652777777777779	37.0	A1	0.0	25.0	0.1
10.73611111111111	37.0	A1	0.0	25.0	0.1
10.819444444444445	37.0	A1	0.0	25.0	0.1
10.902777777777779	37.0	A1	0.0	25.0	0.1
10.98611111111111	37.0	A1	0.0	25.0	0.1
11.069444444444445	37.0	A1	0.0	25.0	0.1
11.152777777777779	37.0	A1	0.0	25.0	0.1
11.23611111111111	37.0	A1	0.0	25.0	0.1
11.319444444444445	37.1	A1	0.0	25.0	0.1
11.402777777777779	37.0	A1	0.0	25.0	0.1
11.48611111111111	37.0	A1	0.0	25.0	0.1
11.569444444444445	37.0	A1	0.0	25.0	0.1
11.652777777777779	37.0	A1	0.0	25.0	0.1
11.73611111111111	37.0	A1	0.0	25.0	0.1
11.819444444444445	37.0	A1	0.0	25.0	0.1
11.902777777777779	37.0	A1	0.0	25.0	0.1
11.98611111111111	37.0	A1	0.0	25.0	0.1
12.069444444444445	37.0	A1	0.0	25.0	0.1
12.152777777777779	37.0	A1	0.0	25.0	0.1
12.23611111111111	37.0	A1	0.0	25.0	0.1
12.319444444444445	37.0	A1	0.0	25.0	0.1
12.402777777777779	37.0	A1	0.0	25.0	0.1
12.48611111111111	37.0	A1	0.0	25.0	0.1
12.569444444444445	37.0	A1	-0.0010000000000000009	25.0	0.1
12.652777777777779	37.0	A1	0.0	25.0	0.1
12.73611111111111	37.0	A1	0.0	25.0	0.1
12.819444444444445	37.0	A1	0.0	25.0	0.1
12.902777777777779	37.0	A1	0.0	25.0	0.1
12.98611111111111	37.0	A1	0.0	25.0	0.1
13.069444444444445	37.0	A1	0.0	25.0	0.1
13.152777777777779	37.0	A1	-0.0010000000000000009	25.0	0.1
13.23611111111111	37.0	A1	0.0	25.0	0.1
13.319444444444445	37.0	A1	-0.0010000000000000009	25.0	0.1
13.402777777777779	37.0	A1	-0.0010000000000000009	25.0	0.1
13.48611111111111	37.0	A1	0.0	25.0	0.1
13.569444444444445	37.0	A1	-0.0010000000000000009	25.0	0.1
13.652777777777779	37.0	A1	-0.0010000000000000009	25.0	0.1
13.73611111111111	37.0	A1	-0.0010000000000000009	25.0	0.1
13.819444444444445	37.0	A1	-0.0010000000000000009	25.0	0.1
13.902777777777779	37.0	A1	0.0	25.0	0.1
13.98611111111111	37.0	A1	-0.0010000000000000009	25.0	0.1
14.069444444444445	37.0	A1	0.0	25.0	0.1
14.152777777777779	37.0	A1	0.0	25.0	0.1
14.23611111111111	37.0	A1	-0.0010000000000000009	25.0	0.1
14.319444444444445	37.0	A1	0.0	25.0	0.1
14.402777777777779	37.0	A1	-0.0010000000000000009	25.0	0.1
14.48611111111111	37.1	A1	0.0	25.0	0.1
14.569444444444445	37.0	A1	0.0	25.0	0.1
14.652777777777779	37.0	A1	0.0	25.0	0.1
14.73611111111111	37.0	A1	0.0010000000000000009	25.0	0.1
14.819444444444445	37.0	A1	0.0	25.0	0.1
14.902777777777779	37.0	A1	0.0	25.0	0.1
14.98611111111111	37.0	A1	0.0	25.0	0.1
15.069444444444445	37.0	A1	0.0	25.0	0.1
15.152777777777779	37.0	A1	-0.0010000000000000009	25.0	0.1
15.23611111111111	37.0	A1	0.0	25.0	0.1
15.319444444444445	37.0	A1	0.0	25.0	0.1
15.402777777777779	37.0	A1	0.0	25.0	0.1
15.48611111111111	37.0	A1	0.0	25.0	0.1
15.569444444444445	37.0	A1	0.0	25.0	0.1
15.652777777777779	37.0	A1	0.0	25.0	0.1
15.73611111111111	37.1	A1	0.0	25.0	0.1
15.819444444444445	37.0	A1	0.0010000000000000009	25.0	0.1
15.902777777777779	37.0	A1	0.0	25.0	0.1
15.98611111111111	37.0	A1	0.0	25.0	0.1
