;5FTHFabc;ACALDt;ACt;ADEt2;ADNabc;ATPase;CO2t;COAabc;DADNabc;DCYTabc;DGSNabc;DURIabc;FAt;FORt;GLCpts;GLYCt;GSNabc;GUAt2;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NAt;NAt3;NH3t;O2t;PIabc;PYRt2r;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPDP;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCDPMP;DCMPDA;DCTPDP;DCTPMP;DCYTK;DGK1;DGSNK;DNAP;DRPA;DURIK1;DUTPDP;ENO;FAKr;FBA;FMETTRS;FMNAT;FTHFCL;GALU;GAPD;GAPDP;GHMT;GHMT2;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADK;NADS;NCTPPRT;NNATr;NOX;NTD1;NTD5;NTD6;NTD8;NTD9;PAPA;PDH_E1;PDH_E2;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK2;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM;PPM2;PRPPS;PSSYN;PTAr;PUNP1;PUNP2;PUNP3;PUNP4;PYK;PYK2;PYK3;PYK4;PYK5;PYK6;PYK7;PYK8;PYK9;PdhC_transl;RBFK;RNAP;RNA_degrad;RNDR1;RNDR2;RNDR3;RNDR4;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
forward;768.4081560769074;151031612147.72144;205884520778.80774;466729424746.6472;385.42313147202015;113.35256591106629;150883850058.50055;702.4402114544476;377.6016100503934;365.8567966413612;385.42313147202015;366.3382101224677;919663783037.8301;154339509539.49536;248.35662133231472;315738100130.20123;393.24465289364696;521582333377.7335;61764227593.07591;3455659480.9948087;101504.37437145022;308826781168.2117;376.51048897447714;78818913188.68387;82274572669.67868;58388039218.792175;109705817262.17259;499.43925352212756;301915462206.222;533.0477749646533;373.1953103987631;387738367404.074;39493711601116.0;39500623324633.24;183.89212859250688;280.6009395074761;2527.371407979306;911.8189540593161;7846.443604486465;485707.53871274367;1195.9520872901667;239.59266645889647;1770.4270731329525;67.09413146665818;263.7205165543598;328.13375169511863;192.04601610841212;21.960953080084494;53.49629430727173;533.9231670521109;523.5602729675862;1173.3972498347234;125.41139411713759;420.4474375881498;44192.48756497539;93.67402290188362;155.35843433220955;271.76364025811927;185.86542289223203;185.86542289223203;118.8837035574766;376.42360173503494;125.39853272227889;46230.947518111694;134.77471229190945;117.81735860570018;113.16706117981158;141.5706461897469;39.65724503019362;60.34907629919175;8733.28730235414;384.1816523377231;449.69218418249926;487.5453665582743;387.15189061872485;415.0102161695679;85.62208018764666;169.0374703053294;191.76134655657748;2277.565359801057;118.25404958762826;1952.44087873067;216.21630952113952;666.3955572718584;410.93695069595867;410.581894304489;50.51041494479741;122.94259026756079;135.5328629361525;525.7048128380219;125.2318603661147;130.65036466543847;134.1322378544603;140.31283107064036;146.49342428682039;266.7466784168915;23249.63924170836;22033.90358317452;26541.987496499583;20001.72801667985;63.02172061699585;428.27757472857087;2282.3678351000217;2229.150968298241;2335.5847019018024;2282.3678351000217;220.73868544076848;390.5874467954538;412.76137400949733;476.44475836727236;261.1489692320616;48.3565539620301;8.539319116048334;16.510141451956564;8767.177337655534;2300.9534064510262;812.1973338395741;1291.471029196825;345.98695377547955;401.8008427033424;39.80389874072451;38.25006141319667;40.882913249731715;38.183648230524916;38.72488423171732;39.80389874072451;37.10463372151772;38.11701512303009;37.171046904189474;2492433.9031652627;203.7734163968999;27410.835240085216;13093.975298397005;777.7897409550254;778.8314732387039;762.5133491745397;776.2895919819039;289.6494678848763;4326.329162231359;176.22621415239544;84.97505490493003;116.15302793444287;204.03480583242626;268.2222623507539;13.753903637319041;1576.927161205482;566.7238844773428;109.98700737310551;196.28737647242508;493.34311151103606;1528796.6863704189;20802.82929437573;3722.4271040189856;1.5599375993759934
backward;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39493711601116.0;39500623324633.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
