condition;iter;t;dt;mu;density;consistent;mu_diff
1;10600;0.0120051;7.13624e-07;0.348894;1;1;0
1;10700;0.0120705;5.70899e-08;0.349009;1;1;0
1;10800;0.0120787;1.1418e-07;0.349023;1;1;0
1;10900;0.0120953;2.2836e-07;0.349052;1;1;0
1;11000;0.0121284;4.56719e-07;0.34911;1;1;0
1;11100;0.0121946;9.13439e-07;0.349225;1;1;0
1;11200;0.0122916;3.65375e-07;0.349391;1;1;0
1;11300;0.0123366;7.30751e-07;0.349468;1;1;0
1;11400;0.0124265;1.4615e-06;0.34962;1;1;0
1;11500;0.0124613;2.923e-07;0.349679;1;1;0
1;11600;0.012518;5.84601e-07;0.349774;1;1;0
1;11700;0.0125834;2.3384e-07;0.349883;1;1;0
1;11800;0.0126185;4.67681e-07;0.349941;1;1;0
1;11900;0.0126887;9.35361e-07;0.350057;1;1;0
1;12000;0.0127408;7.48289e-08;0.350143;1;1;0
1;12100;0.0127518;1.49658e-07;0.350161;1;1;0
1;12200;0.0127738;2.99316e-07;0.350197;1;1;0
1;12300;0.0128178;5.98631e-07;0.350268;1;1;0
1;12400;0.0128941;2.39452e-07;0.350392;1;1;0
1;12500;0.0129207;4.78905e-07;0.350435;1;1;0
1;12600;0.0129738;9.5781e-07;0.350521;1;1;0
1;12700;0.0130629;3.83124e-07;0.350663;1;1;0
1;12800;0.013105;7.66248e-07;0.35073;1;1;0
1;12900;0.0131893;1.5325e-06;0.350864;1;1;0
1;13000;0.0132027;6.12998e-08;0.350885;1;1;0
1;13100;0.0132145;1.226e-07;0.350903;1;1;0
1;13200;0.0132382;2.45199e-07;0.350941;1;1;0
1;13300;0.0132855;4.90399e-07;0.351015;1;1;0
1;13400;0.0133439;1.96159e-07;0.351106;1;1;0
1;13500;0.0133723;3.92319e-07;0.35115;1;1;0
1;13600;0.0134292;7.84638e-07;0.351238;1;1;0
1;13700;0.0134862;3.13855e-07;0.351326;1;1;0
1;13800;0.0135314;6.2771e-07;0.351396;1;1;0
1;13900;0.0136024;2.51084e-07;0.351505;1;1;0
1;14000;0.013632;5.02168e-07;0.35155;1;1;0
1;14100;0.0136913;1.00434e-06;0.35164;1;1;0
1;14200;0.0137248;2.00867e-07;0.351691;1;1;0
1;14300;0.0137614;4.01735e-07;0.351746;1;1;0
1;14400;0.0138345;8.03469e-07;0.351856;1;1;0
1;14500;0.013875;3.21388e-07;0.351917;1;1;0
1;14600;0.0139332;6.42775e-07;0.352004;1;1;0
1;14700;0.0139845;2.5711e-07;0.35208;1;1;0
1;14800;0.0140261;5.1422e-07;0.352142;1;1;0
1;14900;0.0140862;2.05688e-07;0.35223;1;1;0
1;15000;0.0141123;4.11376e-07;0.352269;1;1;0
1;15100;0.0141646;8.22752e-07;0.352346;1;1;0
1;15200;0.0141953;1.6455e-07;0.352391;1;1;0
1;15300;0.0142244;3.29101e-07;0.352433;1;1;0
1;15400;0.0142827;6.58202e-07;0.352518;1;1;0
1;15500;0.0143242;2.63281e-07;0.352578;1;1;0
1;15600;0.0143689;5.26561e-07;0.352643;1;1;0
1;15700;0.0144212;2.10625e-07;0.352719;1;1;0
1;15800;0.0144513;4.21249e-07;0.352762;1;1;0
1;15900;0.0145093;1.685e-07;0.352845;1;1;0
1;16000;0.0145265;3.36999e-07;0.35287;1;1;0
1;16100;0.0145609;6.73999e-07;0.352919;1;1;0
1;16300;0.0146552;2.69599e-07;0.353053;1;1;0
1;16400;0.0147092;5.39199e-07;0.35313;1;1;0
1;16500;0.0147521;2.1568e-07;0.35319;1;1;0
1;16600;0.0147896;4.31359e-07;0.353243;1;1;0
1;16700;0.0148369;1.72544e-07;0.35331;1;1;0
1;16800;0.0148609;3.45087e-07;0.353343;1;1;0
1;16900;0.0149088;6.90175e-07;0.35341;1;1;0
1;17000;0.0149625;2.7607e-07;0.353485;1;1;0
1;17100;0.0150004;5.5214e-07;0.353538;1;1;0
1;17200;0.015059;2.20856e-07;0.353619;1;1;0
1;17300;0.0150851;4.41712e-07;0.353655;1;1;0
1;17400;0.0151372;8.83424e-07;0.353727;1;1;0
1;17500;0.0151639;1.76685e-07;0.353763;1;1;0
1;17600;0.0151967;3.53369e-07;0.353809;1;1;0
1;17700;0.0152437;1.41348e-07;0.353873;1;1;0
1;17800;0.0152623;2.82696e-07;0.353898;1;1;0
1;17900;0.0152996;5.65391e-07;0.353949;1;1;0
1;18000;0.0153559;2.26156e-07;0.354026;1;1;0
1;18100;0.0153829;4.52313e-07;0.354062;1;1;0
1;18200;0.0154367;9.04626e-07;0.354135;1;1;0
1;18300;0.0154618;1.80925e-07;0.354169;1;1;0
1;18400;0.015496;3.6185e-07;0.354215;1;1;0
1;18500;0.0155382;1.4474e-07;0.354272;1;1;0
1;18600;0.0155591;2.8948e-07;0.3543;1;1;0
1;18700;0.0156007;5.7896e-07;0.354356;1;1;0
1;18800;0.0156384;4.63168e-08;0.354406;1;1;0
1;18900;0.0156449;9.26337e-08;0.354415;1;1;0
1;19000;0.0156578;1.85267e-07;0.354432;1;1;0
1;19100;0.0156835;3.70535e-07;0.354466;1;1;0
1;19200;0.015735;7.41069e-07;0.354535;1;1;0
1;19300;0.0157503;1.48214e-07;0.354555;1;1;0
1;19400;0.0157796;2.96428e-07;0.354594;1;1;0
1;19500;0.0158383;5.92855e-07;0.354671;1;1;0
1;19600;0.0158635;2.37142e-07;0.354705;1;1;0
1;19700;0.0159099;4.74284e-07;0.354766;1;1;0
1;19800;0.0159488;1.89714e-07;0.354817;1;1;0
1;19900;0.0159811;3.79428e-07;0.354859;1;1;0
1;20000;0.016026;1.51771e-07;0.354918;1;1;0
1;20100;0.0160459;3.03542e-07;0.354944;1;1;0
1;20200;0.0160856;6.07084e-07;0.354995;1;1;0
1;20300;0.0161358;2.42834e-07;0.355061;1;1;0
1;20400;0.0161671;4.85667e-07;0.355101;1;1;0
1;20500;0.0162249;1.94267e-07;0.355176;1;1;0
1;20600;0.0162453;3.88534e-07;0.355202;1;1;0
1;20700;0.0162861;7.77068e-07;0.355255;1;1;0
1;20800;0.0163183;1.55414e-07;0.355296;1;1;0
1;20900;0.016345;3.10827e-07;0.35533;1;1;0
1;21000;0.0163985;6.21654e-07;0.355399;1;1;0
1;21100;0.0164335;2.48662e-07;0.355443;1;1;0
1;21200;0.0164761;4.97323e-07;0.355498;1;1;0
1;21300;0.0165179;1.98929e-07;0.355551;1;1;0
1;21400;0.0165484;3.97859e-07;0.355589;1;1;0
1;21500;0.0165951;1.59143e-07;0.355648;1;1;0
1;21600;0.0166143;3.18287e-07;0.355673;1;1;0
1;21700;0.0166528;6.36574e-07;0.355721;1;1;0
1;21800;0.0166807;1.27315e-07;0.355757;1;1;0
1;21900;0.0167022;2.54629e-07;0.355784;1;1;0
1;22000;0.0167453;5.09259e-07;0.355838;1;1;0
1;22100;0.0167839;2.03704e-07;0.355886;1;1;0
1;22200;0.0168159;4.07407e-07;0.355926;1;1;0
1;22300;0.0168621;1.62963e-07;0.355984;1;1;0
1;22400;0.0168826;3.25926e-07;0.356009;1;1;0
1;22500;0.0169237;6.51852e-07;0.35606;1;1;0
1;22600;0.016948;1.3037e-07;0.356091;1;1;0
1;22700;0.0169711;2.60741e-07;0.356119;1;1;0
1;22800;0.0170173;5.21481e-07;0.356176;1;1;0
1;22900;0.0170493;2.08592e-07;0.356216;1;1;0
1;23000;0.0170849;4.17185e-07;0.35626;1;1;0
1;23100;0.0171281;1.66874e-07;0.356313;1;1;0
1;23200;0.0171516;3.33748e-07;0.356342;1;1;0
1;23300;0.0171987;6.67496e-07;0.3564;1;1;0
1;23400;0.017213;1.33499e-07;0.356417;1;1;0
1;23500;0.0172393;2.66998e-07;0.356449;1;1;0
1;23600;0.0172919;5.33997e-07;0.356513;1;1;0
1;23700;0.0173148;2.13599e-07;0.356541;1;1;0
1;23800;0.0173565;4.27197e-07;0.356592;1;1;0
1;23900;0.0173918;1.70879e-07;0.356635;1;1;0
1;24000;0.0174206;3.41758e-07;0.35667;1;1;0
1;24100;0.0174613;1.36703e-07;0.356719;1;1;0
1;24200;0.0174791;2.73406e-07;0.356741;1;1;0
1;24300;0.0175146;5.46813e-07;0.356784;1;1;0
1;24400;0.0175592;2.18725e-07;0.356837;1;1;0
1;24500;0.0175875;4.3745e-07;0.356871;1;1;0
1;24600;0.0176416;1.7498e-07;0.356936;1;1;0
1;24700;0.0176595;3.4996e-07;0.356958;1;1;0
1;24800;0.0176952;6.9992e-07;0.357;1;1;0
1;24900;0.0177292;1.39984e-07;0.357041;1;1;0
1;25000;0.017752;2.79968e-07;0.357068;1;1;0
1;25100;0.0177976;5.59936e-07;0.357123;1;1;0
1;25200;0.0178322;2.23974e-07;0.357164;1;1;0
1;25300;0.0178685;4.47949e-07;0.357207;1;1;0
1;25400;0.0179158;1.7918e-07;0.357263;1;1;0
1;25500;0.0179398;3.58359e-07;0.357291;1;1;0
1;25600;0.0179878;7.16718e-07;0.357347;1;1;0
1;25700;0.018002;1.43344e-07;0.357364;1;1;0
1;25800;0.0180306;2.86687e-07;0.357398;1;1;0
1;25900;0.0180876;5.73375e-07;0.357465;1;1;0
1;26000;0.0181116;2.2935e-07;0.357493;1;1;0
1;26100;0.0181568;4.587e-07;0.357546;1;1;0
1;26200;0.018189;1.8348e-07;0.357584;1;1;0
1;26300;0.0182216;3.6696e-07;0.357622;1;1;0
1;26400;0.0182615;1.46784e-07;0.357668;1;1;0
1;26500;0.0182824;2.93568e-07;0.357693;1;1;0
1;26600;0.0183241;5.87136e-07;0.357741;1;1;0
1;26700;0.0183409;1.17427e-07;0.35776;1;1;0
1;26800;0.0183629;2.34854e-07;0.357786;1;1;0
1;26900;0.0184071;4.69709e-07;0.357837;1;1;0
1;27000;0.0184388;1.87883e-07;0.357874;1;1;0
1;27100;0.0184715;3.75767e-07;0.357911;1;1;0
1;27200;0.0185103;1.50307e-07;0.357956;1;1;0
1;27300;0.0185318;3.00613e-07;0.357981;1;1;0
1;27400;0.0185748;6.01227e-07;0.35803;1;1;0
1;27500;0.0185896;1.20245e-07;0.358047;1;1;0
1;27600;0.0186128;2.40491e-07;0.358074;1;1;0
1;27700;0.0186592;4.80982e-07;0.358127;1;1;0
1;27800;0.0186864;1.92393e-07;0.358158;1;1;0
1;27900;0.0187218;3.84785e-07;0.358198;1;1;0
1;28000;0.0187574;1.53914e-07;0.358239;1;1;0
1;28100;0.0187814;3.07828e-07;0.358266;1;1;0
1;28200;0.0188249;1.23131e-07;0.358315;1;1;0
1;28300;0.0188382;2.46263e-07;0.35833;1;1;0
1;28400;0.0188648;4.92525e-07;0.35836;1;1;0
1;28500;0.0189146;1.9701e-07;0.358417;1;1;0
1;28600;0.0189349;3.9402e-07;0.35844;1;1;0
1;28700;0.0189755;7.8804e-07;0.358485;1;1;0
1;28800;0.0190068;1.57608e-07;0.358521;1;1;0
1;28900;0.0190343;3.15216e-07;0.358552;1;1;0
1;29000;0.0190718;1.26086e-07;0.358594;1;1;0
1;29100;0.0190886;2.52173e-07;0.358613;1;1;0
1;29200;0.0191221;5.04346e-07;0.35865;1;1;0
1;29300;0.0191632;2.01738e-07;0.358696;1;1;0
1;29400;0.0191896;4.03477e-07;0.358726;1;1;0
1;29500;0.019241;1.61391e-07;0.358783;1;1;0
1;29600;0.0192573;3.22781e-07;0.358801;1;1;0
1;29700;0.0192899;6.45562e-07;0.358837;1;1;0
1;29800;0.0193234;1.29112e-07;0.358874;1;1;0
1;29900;0.0193439;2.58225e-07;0.358897;1;1;0
1;30000;0.019385;5.1645e-07;0.358943;1;1;0
1;30100;0.0194181;2.0658e-07;0.358979;1;1;0
1;30200;0.0194508;4.1316e-07;0.359015;1;1;0
1;30300;0.0194941;1.65264e-07;0.359063;1;1;0
1;30400;0.0195159;3.30528e-07;0.359087;1;1;0
1;30500;0.0195595;6.61056e-07;0.359135;1;1;0
1;30600;0.0195747;1.32211e-07;0.359152;1;1;0
1;30700;0.0196005;2.64422e-07;0.35918;1;1;0
1;30800;0.019652;5.28845e-07;0.359236;1;1;0
1;30900;0.0196746;2.11538e-07;0.359261;1;1;0
1;31000;0.0197156;4.23076e-07;0.359306;1;1;0
1;31100;0.0197495;1.6923e-07;0.359343;1;1;0
1;31200;0.0197782;3.38461e-07;0.359374;1;1;0
1;31300;0.0198172;1.35384e-07;0.359416;1;1;0
1;31400;0.0198352;2.70769e-07;0.359436;1;1;0
1;31500;0.0198712;5.41537e-07;0.359475;1;1;0
1;31600;0.0199153;2.16615e-07;0.359523;1;1;0
1;31700;0.0199437;4.3323e-07;0.359553;1;1;0
1;31800;0.019992;1.73292e-07;0.359605;1;1;0
1;31900;0.0200112;3.46584e-07;0.359626;1;1;0
1;32000;0.0200497;6.93167e-07;0.359668;1;1;0
1;32100;0.020075;1.38633e-07;0.359695;1;1;0
1;32200;0.0200997;2.77267e-07;0.359721;1;1;0
1;32300;0.0201388;1.10907e-07;0.359763;1;1;0
1;32400;0.0201523;2.21814e-07;0.359778;1;1;0
1;32500;0.0201793;4.43627e-07;0.359807;1;1;0
1;32600;0.0202276;1.77451e-07;0.359858;1;1;0
1;32700;0.0202466;3.54902e-07;0.359879;1;1;0
1;32800;0.0202846;7.09803e-07;0.359919;1;1;0
1;32900;0.0203111;1.41961e-07;0.359947;1;1;0
1;33000;0.0203362;2.83921e-07;0.359974;1;1;0
1;33100;0.020375;1.13569e-07;0.360015;1;1;0
1;33200;0.0203891;2.27137e-07;0.36003;1;1;0
1;33300;0.0204173;4.54274e-07;0.36006;1;1;0
1;33400;0.0204625;1.8171e-07;0.360108;1;1;0
1;33500;0.0204832;3.63419e-07;0.36013;1;1;0
1;33600;0.0205247;7.26839e-07;0.360174;1;1;0
1;33700;0.0205472;1.45368e-07;0.360197;1;1;0
1;33800;0.0205741;2.90735e-07;0.360226;1;1;0
1;33900;0.0206101;1.16294e-07;0.360264;1;1;0
1;34000;0.020626;2.32588e-07;0.36028;1;1;0
1;34100;0.0206579;4.65177e-07;0.360314;1;1;0
1;34200;0.0206976;1.86071e-07;0.360356;1;1;0
1;34300;0.020722;3.72141e-07;0.360381;1;1;0
1;34400;0.0207682;1.48857e-07;0.360429;1;1;0
1;34500;0.0207835;2.97713e-07;0.360445;1;1;0
1;34600;0.0208142;5.95426e-07;0.360477;1;1;0
1;34700;0.0208446;1.19085e-07;0.360509;1;1;0
1;34800;0.0208636;2.38171e-07;0.360529;1;1;0
1;34900;0.0209017;4.76341e-07;0.360569;1;1;0
1;35000;0.0209328;1.90536e-07;0.360601;1;1;0
1;35100;0.0209629;3.81073e-07;0.360632;1;1;0
1;35200;0.0210034;1.52429e-07;0.360674;1;1;0
1;35300;0.0210234;3.04858e-07;0.360695;1;1;0
1;35400;0.0210633;6.09717e-07;0.360736;1;1;0
1;35500;0.0210813;1.21943e-07;0.360755;1;1;0
1;35600;0.0211041;2.43887e-07;0.360778;1;1;0
1;35700;0.0211497;4.87773e-07;0.360825;1;1;0
1;35800;0.0211736;1.95109e-07;0.36085;1;1;0
1;35900;0.0212097;3.90219e-07;0.360887;1;1;0
1;36000;0.0212461;1.56087e-07;0.360924;1;1;0
1;36100;0.0212705;3.12175e-07;0.360949;1;1;0
1;36200;0.0213101;1.2487e-07;0.36099;1;1;0
1;36300;0.0213247;2.4974e-07;0.361005;1;1;0
1;36400;0.0213539;4.9948e-07;0.361035;1;1;0
1;36500;0.0213993;1.99792e-07;0.361081;1;1;0
1;36600;0.0214223;3.99584e-07;0.361104;1;1;0
1;36700;0.0214683;7.99168e-07;0.361151;1;1;0
1;36800;0.0214898;1.59834e-07;0.361173;1;1;0
1;36900;0.0215202;3.19667e-07;0.361204;1;1;0
1;37000;0.0215542;1.27867e-07;0.361238;1;1;0
1;37100;0.0215735;2.55734e-07;0.361258;1;1;0
