condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;ac;accoa;acdhlpl_PdhC;actp;ade;adn;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;co2;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;e4p;f6p;fa;fdp;fmettrna;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gsn;gtp;gua;h2o;h;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r1p;r5p;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;rRNA;AA;tRNA;AAtRNA;Protein
1;1000;8.20041e-06;5.24288e-09;0.990715;0.990739;0.979808;0.99115;0.989309;0.99864;0.815408;0.991303;0.991033;23.0725;16.9341;0.989899;0.994692;0.99109;0.990948;0.982324;0.990906;0.985571;0.42664;0.980845;0.9793;194.174;1.70102;0.979467;0.99099;0.990991;0.998627;1.01717;0.990895;0.978633;0.989744;0.994086;0.979407;0.988945;0.994428;0.979433;0.98891;0.991947;0.993731;0.979401;0.98897;0.994322;0.992045;0.991397;0.991015;0.980613;0.979414;0.988931;0.994362;0.990742;1.00185;1.02611;0.978833;0.992859;0.990982;0.990938;0.991373;1.00008;0.991016;0.979306;0.98142;1.02232;0.997792;0.985648;0.988919;0.990904;1.00311;1.01673;0.990994;0.990854;0.982127;13.7658;0.986035;0.991989;0.989818;0.980485;0.990472;1.01743;1.00126;1.01717;0.991253;0.990991;0.976969;0.991207;0.990796;0.924992;0.983909;0.975316;1.0251;0.990139;1.00155;0.990336;0.990647;0.990485;0.993953;0.999982;0.999052;0.979489;0.990935;0.990993;0.990893;0.991011;0.998189;1.01694;0.999365;0.990535;50.1255;0.984136;0.0965146;2.21164;697.542
1;1100;9.02878e-06;1.04858e-08;0.990427;0.990714;0.979144;0.991172;0.989114;0.999083;0.805374;0.991321;0.991039;23.0725;16.9338;0.989901;0.994907;0.991104;0.990942;0.981817;0.990894;0.985266;0.398023;0.979432;0.978608;194.174;1.73745;0.978806;0.99099;0.990991;0.998977;1.01871;0.990882;0.976103;0.989738;0.994265;0.978738;0.988825;0.994622;0.978766;0.988789;0.991995;0.993888;0.978732;0.988853;0.994515;0.992099;0.99145;0.991018;0.979827;0.978746;0.988811;0.994551;0.99071;1.00263;1.02816;0.978075;1.00117;0.990982;0.990931;0.991424;1.00054;0.991019;0.978624;0.980856;1.02416;0.998036;0.985348;0.98676;0.990891;1.0037;1.01825;0.990994;0.99085;0.981635;13.7658;0.985744;0.991988;0.989671;0.979872;0.990426;1.01899;1.00202;1.0187;0.991279;0.990991;0.976268;0.991228;0.990777;0.922041;0.985646;0.97414;1.02709;0.990027;1.00241;0.990252;0.990604;0.990686;0.994123;0.99998;0.999773;0.978831;0.990927;0.990993;0.99088;0.991014;0.998488;1.01846;0.998396;0.990475;50.1262;0.983817;0.0975876;2.23254;697.516
1;1200;1.06855e-05;2.09715e-08;0.989856;0.990663;0.97802;0.991217;0.988718;0.999823;0.788456;0.991351;0.99105;23.0725;16.9332;0.989901;0.99527;0.991132;0.990931;0.980965;0.99087;0.984761;0.351138;0.976437;0.977438;194.174;1.79809;0.977703;0.990989;0.990991;0.999497;1.0213;0.990855;0.971176;0.989727;0.994563;0.97762;0.988625;0.994942;0.977651;0.988585;0.992069;0.994151;0.977612;0.988655;0.994836;0.992184;0.991559;0.991024;0.978318;0.977628;0.988609;0.994864;0.990643;1.00403;1.03163;0.97677;1.0176;0.990982;0.990916;0.991529;1.00125;0.991026;0.977477;0.979906;1.02725;0.998337;0.98485;0.982381;0.990866;1.00471;1.02082;0.990995;0.990844;0.980825;13.7659;0.985254;0.991881;0.98937;0.97883;0.990348;1.02161;1.00349;1.02129;0.99133;0.990991;0.975169;0.99127;0.990739;0.917264;0.989304;0.971886;1.03042;0.989797;1.00408;0.990081;0.990516;0.991081;0.994408;0.999982;1.00099;0.977734;0.990912;0.990993;0.990853;0.991019;0.998907;1.02103;0.996232;0.990353;50.1276;0.983279;0.0997675;2.27406;697.463
1;1300;1.3999e-05;4.1943e-08;0.988732;0.990562;0.976518;0.991313;0.987901;1.00078;0.766136;0.99139;0.991075;23.0724;16.9324;0.989887;0.995744;0.991192;0.990907;0.979847;0.990817;0.984135;0.295291;0.969602;0.975878;194.174;1.87507;0.976295;0.990989;0.990991;0.999886;1.02472;0.990798;0.96185;0.989705;0.994945;0.97618;0.988363;0.995338;0.976215;0.988318;0.99214;0.994488;0.976171;0.988396;0.995249;0.992271;0.991786;0.991038;0.975457;0.97619;0.988346;0.995251;0.990502;1.00628;1.03619;0.974925;1.04973;0.990982;0.990887;0.991749;1.00195;0.99104;0.975976;0.97865;1.03133;0.998263;0.984232;0.973445;0.990813;1.00606;1.02422;0.990997;0.990846;0.97984;13.7661;0.984608;0.991207;0.988745;0.977421;0.990244;1.0251;1.00626;1.0247;0.991431;0.990991;0.974092;0.991354;0.990663;0.911811;0.997172;0.967622;1.03478;0.989316;1.0073;0.989725;0.990333;0.991845;0.994774;0.999965;1.0026;0.976341;0.990881;0.990994;0.990797;0.991031;0.999088;1.02441;0.991111;0.990098;50.1309;0.982565;0.104059;2.35605;697.36
1;1400;2.0626e-05;8.38861e-08;0.986549;0.99036;0.975251;0.991523;0.986187;1.00146;0.748389;0.991418;0.991127;23.0724;16.9318;0.989831;0.996103;0.991323;0.990854;0.978985;0.990703;0.983783;0.272406;0.953319;0.974582;194.174;1.92656;0.975353;0.990987;0.99099;0.999114;1.02742;0.990673;0.94471;0.989661;0.995211;0.97517;0.988164;0.995558;0.97521;0.988116;0.992098;0.994719;0.975158;0.988199;0.995538;0.992247;0.992277;0.991067;0.969885;0.975181;0.988146;0.995462;0.990198;1.00954;1.03977;0.972999;1.11133;0.990981;0.990823;0.992229;1.00165;0.991072;0.974828;0.977643;1.03453;0.996497;0.983883;0.955493;0.990696;1.00724;1.02696;0.991;0.990884;0.979366;13.7664;0.984097;0.988629;0.987402;0.976173;0.990162;1.02793;1.01163;1.0274;0.991631;0.990991;0.974587;0.991519;0.990515;0.910431;1.01363;0.959349;1.03804;0.988279;1.01368;0.988962;0.989944;0.993284;0.995026;0.999942;1.00388;0.975428;0.990811;0.990996;0.990675;0.991056;0.997885;1.02709;0.979258;0.989545;50.1388;0.981986;0.112276;2.51532;697.161
1;1500;3.388e-05;1.67772e-07;0.982398;0.989955;0.973856;0.992004;0.982517;1.00196;0.731287;0.99144;0.991248;23.0723;16.9312;0.989694;0.996419;0.991624;0.990733;0.978195;0.990442;0.983748;0.286095;0.917551;0.973195;194.174;1.96373;0.974794;0.990984;0.99099;0.996336;1.03;0.990388;0.913238;0.98958;0.995401;0.974454;0.987988;0.995571;0.974503;0.987938;0.991857;0.994878;0.974437;0.988027;0.995749;0.992034;0.993403;0.991134;0.958393;0.974468;0.98797;0.995465;0.989502;1.01577;1.04312;0.970164;1.22569;0.990981;0.990678;0.993338;0.999561;0.991143;0.973799;0.976638;1.03755;0.991581;0.983842;0.921607;0.990428;1.00868;1.02966;0.991008;0.990996;0.979493;13.7672;0.983611;0.982658;0.984367;0.974674;0.990084;1.03078;1.02264;1.02996;0.992023;0.990991;0.977676;0.991843;0.990223;0.913941;1.04418;0.942354;1.0408;0.985935;1.02706;0.987243;0.98907;0.995855;0.995204;0.999927;1.00509;0.974928;0.990644;0.991001;0.990394;0.991114;0.99419;1.02964;0.955935;0.988275;50.1564;0.981418;0.12761;2.81417;696.789
1;1600;6.0388e-05;3.35544e-07;0.974756;0.989148;0.971015;0.993178;0.974468;1.00274;0.69993;0.991476;0.991546;23.072;16.9302;0.9894;0.996992;0.992359;0.990434;0.97673;0.989806;0.983996;0.316263;0.84187;0.97043;194.173;2.04237;0.974047;0.990975;0.990989;0.989926;1.03472;0.989691;0.857304;0.989437;0.995738;0.973322;0.98767;0.995404;0.97339;0.987615;0.991217;0.995159;0.973291;0.987713;0.996124;0.991457;0.996168;0.991302;0.934177;0.973341;0.98765;0.995277;0.987791;1.03036;1.04924;0.963861;1.42673;0.99098;0.99033;0.996095;0.993973;0.991321;0.97191;0.974693;1.04307;0.980485;0.984072;0.861849;0.989776;1.01186;1.03462;0.991028;0.991281;0.980105;13.7689;0.982725;0.971486;0.977022;0.971499;0.989941;1.03605;1.0456;1.03463;0.992775;0.990991;0.985254;0.992463;0.989665;0.921191;1.09457;0.906827;1.04552;0.980358;1.05589;0.983176;0.98702;1.00003;0.995519;0.999915;1.00731;0.974295;0.990202;0.991013;0.9897;0.991258;0.985771;1.0343;0.914893;0.985153;50.1957;0.980402;0.155146;3.34545;696.127
1;1700;0.000113404;6.71089e-07;0.961244;0.987597;0.964866;0.996198;0.956655;1.00375;0.642396;0.991534;0.992323;23.0712;16.9282;0.988746;0.998043;0.994247;0.989647;0.973951;0.988179;0.985354;0.369457;0.686125;0.964637;194.173;2.21473;0.973423;0.990949;0.990985;0.974879;1.04332;0.9879;0.764094;0.989204;0.996366;0.971687;0.987084;0.994563;0.971799;0.987021;0.989495;0.995683;0.971623;0.987136;0.996822;0.989881;1.00333;0.991747;0.88441;0.97172;0.987064;0.99439;0.983368;1.0658;1.06043;0.949043;1.7545;0.990978;0.989452;1.00338;0.979033;0.991787;0.968371;0.970778;1.05314;0.954923;0.985373;0.763877;0.988118;1.01909;1.0438;0.991081;0.992052;0.982165;13.7727;0.981117;0.954823;0.958131;0.964241;0.989681;1.04575;1.09183;1.04313;0.994105;0.990991;1.0039;0.993562;0.988679;0.936248;1.16777;0.835017;1.05333;0.966799;1.11687;0.973392;0.982221;1.0058;0.996107;0.999902;1.01135;0.973793;0.988889;0.991044;0.987871;0.991637;0.966213;1.04279;0.848257;0.977085;50.2865;0.978614;0.20127;4.22263;695.037
1;1800;0.000219436;1.34218e-06;0.938134;0.98475;0.951484;1.00392;0.918973;1.00372;0.544617;0.991605;0.994389;23.0692;16.925;0.987205;0.99983;0.999077;0.98753;0.968947;0.984018;0.990258;0.458519;0.388709;0.952631;194.173;2.54516;0.974596;0.990865;0.990977;0.939326;1.0578;0.983318;0.617835;0.988856;0.997471;0.970159;0.986083;0.991613;0.970375;0.986007;0.985015;0.996613;0.970014;0.986152;0.998045;0.985733;1.02193;0.992951;0.789215;0.970223;0.986067;0.991345;0.971926;1.14853;1.07936;0.914524;2.24637;0.990975;0.987227;1.02261;0.942204;0.993044;0.962096;0.963077;1.0701;0.895674;0.990114;0.614106;0.983988;1.03491;1.05961;0.991224;0.99417;0.988436;13.7811;0.978455;0.945247;0.909344;0.947152;0.989241;1.06213;1.17669;1.05737;0.996195;0.990991;1.04807;0.995286;0.987143;0.971738;1.26041;0.702318;1.06432;0.93551;1.23592;0.951075;0.972176;1.01164;0.997142;0.999811;1.01818;0.974344;0.984558;0.991127;0.982945;0.992656;0.920489;1.05704;0.74943;0.956446;50.5;0.975746;0.272498;5.55448;693.38
1;1900;0.0004315;2.68435e-06;0.899242;0.979122;0.925158;1.02188;0.850504;0.995737;0.397292;0.99163;0.999678;23.064;16.9203;0.983471;1.00241;1.0103;0.981979;0.960997;0.954823;1.00314;0.580623;0.0535112;0.929626;194.172;3.02773;0.982593;0.990527;0.990953;0.862979;1.079;0.972661;0.395319;0.988377;0.998996;0.971261;0.984622;0.983451;0.971695;0.984534;0.974485;0.997883;0.970931;0.984723;0.99974;0.975912;1.06692;0.996012;0.60422;0.971389;0.984622;0.982999;0.9443;1.31681;1.10715;0.842095;2.93364;0.990972;0.981835;1.0674;0.868808;0.996364;0.952088;0.949222;1.09489;0.770491;1.00261;0.395031;0.975162;1.06195;1.08412;0.9916;0.999934;1.00555;13.7992;0.97483;0.99541;0.801354;0.909042;0.988598;1.08572;1.31508;1.07824;0.999648;0.905401;1.14041;0.998086;0.984684;1.07392;1.39803;0.456876;1.07625;0.873621;1.42442;0.90562;0.95609;1.01329;0.99856;0.999762;1.02814;0.97558;0.968787;0.991348;0.969937;0.995348;0.823092;1.07789;0.621289;0.908314;50.9615;0.971817;0.374661;7.43178;691.044
