condition;mu;density;run_time;converged;model;solver
29;0.4805;1;0.256492;1;EC12b;gbacpp
30;0.446232;1;0.197894;1;EC12b;gbacpp
1;0.0931932;1;20.41;1;newextended16;gbacpp
2;0.0942047;1;20.55;1;newextended16;gbacpp
3;0.0951726;1;21.06;1;newextended16;gbacpp
4;0.0960948;1;21.02;1;newextended16;gbacpp
5;0.0969691;1;22.12;1;newextended16;gbacpp
6;0.0977934;1;21.53;1;newextended16;gbacpp
7;0.0985657;1;22.1;1;newextended16;gbacpp
8;0.0992842;1;21.97;1;newextended16;gbacpp
9;0.0999469;1;22.78;1;newextended16;gbacpp
10;0.100552;1;22.59;1;newextended16;gbacpp
11;0.101098;1;23.39;1;newextended16;gbacpp
12;0.101584;1;23.18;1;newextended16;gbacpp
13;0.102008;1;23.34;1;newextended16;gbacpp
14;0.102368;1;23.85;1;newextended16;gbacpp
15;0.102665;1;24;1;newextended16;gbacpp
16;0.102896;1;26.94;1;newextended16;gbacpp
17;0.103061;1;24.77;1;newextended16;gbacpp
18;0.10316;1;25.32;1;newextended16;gbacpp
19;0.103192;1;25.68;1;newextended16;gbacpp
20;0.103156;1;26.27;1;newextended16;gbacpp
21;0.103053;1;26.29;1;newextended16;gbacpp
22;0.102882;1;27.6;1;newextended16;gbacpp
23;0.102645;1;27.92;1;newextended16;gbacpp
24;0.10234;1;28.28;1;newextended16;gbacpp
25;0.10197;1;28.89;1;newextended16;gbacpp
26;0.101534;1;29.19;1;newextended16;gbacpp
27;0.101033;1;29.55;1;newextended16;gbacpp
28;0.100469;1;30.11;1;newextended16;gbacpp
29;0.099843;1;30.69;1;newextended16;gbacpp
30;0.099156;1;30.99;1;newextended16;gbacpp
31;0.0984099;1;31.67;1;newextended16;gbacpp
32;0.0976062;1;35.5;1;newextended16;gbacpp
33;0.0967467;1;33.53;1;newextended16;gbacpp
34;0.0958334;1;34.22;1;newextended16;gbacpp
35;0.0948683;1;35.81;1;newextended16;gbacpp
36;0.0938536;1;35.32;1;newextended16;gbacpp
37;0.0927916;1;36.14;1;newextended16;gbacpp
38;0.0916846;1;37.01;1;newextended16;gbacpp
39;0.0905349;1;37.64;1;newextended16;gbacpp
40;0.0893451;1;37.42;1;newextended16;gbacpp
41;0.0881176;1;37.61;1;newextended16;gbacpp
42;0.0868551;1;38.17;1;newextended16;gbacpp
43;0.0855601;1;38.96;1;newextended16;gbacpp
44;0.0842353;1;40.3;1;newextended16;gbacpp
45;0.0828833;1;41.66;1;newextended16;gbacpp
46;0.0815066;1;41.84;1;newextended16;gbacpp
47;0.0801078;1;42.64;1;newextended16;gbacpp
48;0.0786896;1;44.64;1;newextended16;gbacpp
49;0.0772545;1;45.6;1;newextended16;gbacpp
50;0.075805;1;46.67;1;newextended16;gbacpp
51;0.0743435;1;47.8;1;newextended16;gbacpp
52;0.0728724;1;48.68;1;newextended16;gbacpp
53;0.0713943;1;49.78;1;newextended16;gbacpp
54;0.0699111;1;51.91;1;newextended16;gbacpp
55;0.0684253;1;52.26;1;newextended16;gbacpp
56;0.0669388;1;53.27;1;newextended16;gbacpp
57;0.0654539;1;54.5;1;newextended16;gbacpp
58;0.0639724;1;57.13;1;newextended16;gbacpp
59;0.0624963;1;57.39;1;newextended16;gbacpp
60;0.0610271;1;59.23;1;newextended16;gbacpp
61;0.0595668;1;59.9;1;newextended16;gbacpp
62;0.0581166;1;60.89;1;newextended16;gbacpp
63;0.0566786;1;62.74;1;newextended16;gbacpp
64;0.0552536;1;62.42;1;newextended16;gbacpp
65;0.0538434;1;64.18;1;newextended16;gbacpp
66;0.0524491;1;65.41;1;newextended16;gbacpp
67;0.0510712;1;69.5;1;newextended16;gbacpp
68;0.0497117;1;72.17;1;newextended16;gbacpp
69;0.0483712;1;73.99;1;newextended16;gbacpp
70;0.0470501;1;75.62;1;newextended16;gbacpp
71;0.0457495;1;77.29;1;newextended16;gbacpp
72;0.0444711;1;79.59;1;newextended16;gbacpp
73;0.0432134;1;81.09;1;newextended16;gbacpp
74;0.0419789;1;83.13;1;newextended16;gbacpp
75;0.0407672;1;85.08;1;newextended16;gbacpp
76;0.0395783;1;87.02;1;newextended16;gbacpp
77;0.0384134;1;89.04;1;newextended16;gbacpp
78;0.037272;1;86.92;1;newextended16;gbacpp
79;0.0361547;1;92.83;1;newextended16;gbacpp
80;0.0350622;1;91.73;1;newextended16;gbacpp
81;0.0339934;1;97.34;1;newextended16;gbacpp
82;0.0329489;1;97.11;1;newextended16;gbacpp
83;0.0319293;1;99.69;1;newextended16;gbacpp
84;0.0309334;1;104.82;1;newextended16;gbacpp
85;0.0299622;1;104.04;1;newextended16;gbacpp
86;0.0290144;1;105.98;1;newextended16;gbacpp
87;0.0280913;1;108.83;1;newextended16;gbacpp
88;0.0271918;1;120.42;1;newextended16;gbacpp
89;0.0263158;1;113.81;1;newextended16;gbacpp
90;0.025463;1;116.54;1;newextended16;gbacpp
91;0.0246323;1;120.67;1;newextended16;gbacpp
92;0.023825;1;121.49;1;newextended16;gbacpp
93;0.0230403;1;126.9;1;newextended16;gbacpp
94;0.0222777;1;130.59;1;newextended16;gbacpp
95;0.0215363;1;131.14;1;newextended16;gbacpp
96;0.020816;1;133.94;1;newextended16;gbacpp
97;0.0201168;1;137.98;1;newextended16;gbacpp
98;0.0194385;1;140.55;1;newextended16;gbacpp
99;0.0187798;1;151.84;1;newextended16;gbacpp
100;0.018142;1;148.09;1;newextended16;gbacpp
101;0.0175221;1;149.89;1;newextended16;gbacpp
102;0.0169217;1;153.59;1;newextended16;gbacpp
103;0.016339;1;156.58;1;newextended16;gbacpp
104;0.0157758;1;161.63;1;newextended16;gbacpp
105;0.0152286;1;121.24;1;newextended16;gbacpp
106;0.0146993;1;125.57;1;newextended16;gbacpp
107;0.0141875;1;180.88;1;newextended16;gbacpp
108;0.0136912;1;181.88;1;newextended16;gbacpp
109;0.0132114;1;186.8;1;newextended16;gbacpp
110;0.0127457;1;189.53;1;newextended16;gbacpp
111;0.0122965;1;194.13;1;newextended16;gbacpp
112;0.0118612;1;197.64;1;newextended16;gbacpp
113;0.0114409;1;202.99;1;newextended16;gbacpp
114;0.0110344;1;207.37;1;newextended16;gbacpp
115;0.0106405;1;213.42;1;newextended16;gbacpp
116;0.0102605;1;240.61;1;newextended16;gbacpp
117;0.00989395;1;223.83;1;newextended16;gbacpp
118;0.00953732;1;227.5;1;newextended16;gbacpp
119;0.00919506;1;225.89;1;newextended16;gbacpp
120;0.00886351;1;230.31;1;newextended16;gbacpp
121;0.00854402;1;235.05;1;newextended16;gbacpp
122;0.00823465;1;239.69;1;newextended16;gbacpp
123;0.00793649;1;245.2;1;newextended16;gbacpp
124;0.00764613;1;248.51;1;newextended16;gbacpp
125;0.00736986;1;260.13;1;newextended16;gbacpp
126;0.00710066;1;261.48;1;newextended16;gbacpp
127;0.00684152;1;264.89;1;newextended16;gbacpp
128;0.00659221;1;284.06;1;newextended16;gbacpp
129;0.00634902;1;275.39;1;newextended16;gbacpp
130;0.006116;1;286.82;1;newextended16;gbacpp
