condition;mu;density;run_time;converged;model;solver
2;2.1691132849996;1;0.06;1;C;IPOPT
3;2.13993333681938;0.999999999999999;0.057;1;C;IPOPT
4;2.09788078852355;1;0.077;1;C;IPOPT
5;2.03833949018397;1;0.045;1;C;IPOPT
6;1.95605782341188;0.999999999999999;0.054;1;C;IPOPT
7;1.84596751344771;1;0.053;1;C;IPOPT
8;1.70466367431901;0.999999999999999;0.05;1;C;IPOPT
9;1.53235260929432;0.999999999999999;0.059;1;C;IPOPT
10;1.33451934113239;1;0.049;1;C;IPOPT
11;1.12216429714592;0.999999999999999;0.055;1;C;IPOPT
12;0.909835542342539;1;0.055;1;C;IPOPT
13;0.711978850102478;1;0.061;1;C;IPOPT
14;0.539366626610096;1;0.073;1;C;IPOPT
15;0.397296753310895;1;0.12;1;C;IPOPT
16;0.285948400245789;1;0.12;1;C;IPOPT
17;0.202050816252251;0.999999999999999;0.112;1;C;IPOPT
18;0.140748448113289;0.999999999999999;0.114;1;C;IPOPT
19;0.0969898452133126;1;0.137;1;C;IPOPT
20;0.0662952865239274;0.999999999999999;0.132;1;C;IPOPT
21;0.0450407158263119;0.999999999999999;0.095;1;C;IPOPT
22;0.0304629153857237;0.999999999999999;0.108;1;C;IPOPT
23;0.0205339573824235;0.999999999999999;0.109;1;C;IPOPT
24;0.0138062984198723;0.999999999999999;0.134;1;C;IPOPT
25;0.00926520734214353;1;0.096;1;C;IPOPT
1;2.25540433807271;1;0.164;1;D;IPOPT
2;2.25457054282809;0.999999999999999;0.048;1;D;IPOPT
3;2.25332151567285;1;0.046;1;D;IPOPT
4;2.25145169531235;0.999999999999999;0.032;1;D;IPOPT
5;2.24865532716399;1;0.062;1;D;IPOPT
6;2.24447945204097;1;0.075;1;D;IPOPT
7;2.23825700823588;0.999999999999999;0.051;1;D;IPOPT
8;2.22901478535965;0.999999999999999;0.046;1;D;IPOPT
9;2.21535163955825;1;0.053;1;D;IPOPT
10;2.19528981779186;1;0.07;1;D;IPOPT
11;2.1661170116893;1;0.056;1;D;IPOPT
12;2.12426735450759;1;0.063;1;D;IPOPT
13;2.06533583258491;0.999999999999999;0.074;1;D;IPOPT
14;1.98437394875931;0.999999999999999;0.077;1;D;IPOPT
15;1.87663804776594;1;0.064;1;D;IPOPT
16;1.73888485463831;1;0.064;1;D;IPOPT
17;1.58388982353927;0.999999999999999;0.118;1;D;IPOPT
18;1.40247079172002;1;0.061;1;D;IPOPT
19;1.20313757150146;1;0.074;1;D;IPOPT
20;0.997694714160856;1;0.062;1;D;IPOPT
21;0.799403108577406;1;0.07;1;D;IPOPT
22;0.619853564854918;0.999999999999999;0.077;1;D;IPOPT
23;0.466580616274055;1;0.054;1;D;IPOPT
24;0.342339112048206;0.999999999999999;0.061;1;D;IPOPT
25;0.24591694936706;1;0.076;1;D;IPOPT
1;0.854230721686601;1;0.64;1;EC12b;IPOPT
2;0.853252679097258;1;0.131;1;EC12b;IPOPT
3;0.852082926416093;0.999999999999999;0.154;1;EC12b;IPOPT
4;0.850684835011683;0.999999999999998;0.156;1;EC12b;IPOPT
5;0.849015148757056;1;0.157;1;EC12b;IPOPT
6;0.847022962912863;1;0.159;1;EC12b;IPOPT
7;0.84464861347193;1;0.157;1;EC12b;IPOPT
8;0.84182249786398;1;0.159;1;EC12b;IPOPT
9;0.838463863910182;1;0.159;1;EC12b;IPOPT
10;0.834479686761826;1;0.163;1;EC12b;IPOPT
11;0.829763694618026;0.999999999999999;0.231;1;EC12b;IPOPT
12;0.82419535119506;0.999999999999999;0.208;1;EC12b;IPOPT
13;0.8176400650531;1;0.241;1;EC12b;IPOPT
14;0.809949245081048;1;0.244;1;EC12b;IPOPT
15;0.80096186049746;1;0.264;1;EC12b;IPOPT
16;0.790507040995274;1;0.364;1;EC12b;IPOPT
17;0.778408355263706;1;0.4;1;EC12b;IPOPT
18;0.764489806644788;1;0.436;1;EC12b;IPOPT
19;0.748583981129726;1;0.32;1;EC12b;IPOPT
20;0.730542020585769;1;0.375;1;EC12b;IPOPT
21;0.710245362519661;1;0.422;1;EC12b;IPOPT
22;0.687618641499802;0.999999999999998;0.318;1;EC12b;IPOPT
23;0.662642345854431;0.999999999999999;0.397;1;EC12b;IPOPT
24;0.635364714341067;1;0.55;1;EC12b;IPOPT
25;0.605910501361483;0.999999999999999;0.426;1;EC12b;IPOPT
26;0.574487944860196;1;0.336;1;EC12b;IPOPT
27;0.546355455192078;1;4.452;1;EC12b;IPOPT
28;0.513726280154622;1;0.19;1;EC12b;IPOPT
29;0.480596428742839;0.999999999999999;1.805;1;EC12b;IPOPT
30;0.44637398480732;1;27.95;1;EC12b;IPOPT
1;-2.1317098479629e-16;0.999999998311245;22.32;0;newextended16;IPOPT
2;-4.69018057164853e-12;1.00002946632173;27.17;0;newextended16;IPOPT
3;3.00713392063552e-10;0.999976292642557;35.58;0;newextended16;IPOPT
4;-1.07402019096369e-09;0.999999468071483;27.6;0;newextended16;IPOPT
5;7.9506888978347e-11;0.999999682263915;25.34;0;newextended16;IPOPT
6;5.25649969108611e-12;0.999998895433536;33.27;0;newextended16;IPOPT
7;2.13431108932653e-12;0.999999967288057;29.11;0;newextended16;IPOPT
8;-1.14097502257414e-11;1.00000001417304;29.05;0;newextended16;IPOPT
9;1.11343152564056e-11;0.999999529401977;32.96;0;newextended16;IPOPT
10;9.03750625684915e-13;1.0000079381372;33.58;0;newextended16;IPOPT
11;7.07886443481006e-16;0.999999726566044;28.55;0;newextended16;IPOPT
12;1.288207285201e-12;0.99999954216447;26.57;0;newextended16;IPOPT
13;-2.91887888285526e-12;1.00000218801808;26.39;0;newextended16;IPOPT
14;1.92523550945101e-13;0.999999969093239;31.45;0;newextended16;IPOPT
15;-2.24373531487536e-11;0.999999432740496;28.12;0;newextended16;IPOPT
16;-6.50504207834897e-11;0.999933968326748;27.95;0;newextended16;IPOPT
17;5.57134121290383e-11;0.999998725436707;28.93;0;newextended16;IPOPT
18;7.1877858593374e-14;0.999999990366579;27.41;0;newextended16;IPOPT
19;3.49537375654394e-13;0.999999902169895;27.95;0;newextended16;IPOPT
20;-5.06387177726729e-12;0.999999916429918;28.39;0;newextended16;IPOPT
21;5.90146490810321e-12;0.999999628422137;27.67;0;newextended16;IPOPT
22;5.50108556644179e-10;0.999999744400411;24.25;0;newextended16;IPOPT
23;3.79609873217943e-05;1;22.7;0;newextended16;IPOPT
24;-2.27025680717134e-16;0.999999999999908;18.37;0;newextended16;IPOPT
25;-7.95009028712366e-11;0.999995806037919;29.1;0;newextended16;IPOPT
26;9.78707046298778e-16;0.999999974014783;32.73;0;newextended16;IPOPT
27;-1.7093019165945e-11;0.999997964139398;26.95;0;newextended16;IPOPT
28;1.4579621523477e-11;0.999999621446803;25.8;0;newextended16;IPOPT
29;9.90997612417983e-12;0.999998070138235;30.02;0;newextended16;IPOPT
30;1.73078161957258e-11;0.999999669368756;36.22;0;newextended16;IPOPT
31;3.69585703399457e-11;0.99999879742892;27.13;0;newextended16;IPOPT
32;-1.19885076660519e-10;0.99999846831267;28.39;0;newextended16;IPOPT
33;-7.41288829898694e-19;0.99999999899083;40.95;0;newextended16;IPOPT
34;1.32876175053747e-13;0.999999884281142;27.56;0;newextended16;IPOPT
35;-5.14373245853809e-13;1.00000002389304;39.1;0;newextended16;IPOPT
36;-3.36492036936515e-10;0.999997596593153;27.84;0;newextended16;IPOPT
37;1.30113305957347e-13;0.999999900730625;27.7;0;newextended16;IPOPT
38;5.02037881358175e-05;1;0.374;0;newextended16;IPOPT
39;1.12860553516198e-14;1.00000000000276;22.13;0;newextended16;IPOPT
40;6.51443074613047e-10;0.999975651955373;26.9;0;newextended16;IPOPT
41;-6.98629857601028e-12;0.999997073095557;23.39;0;newextended16;IPOPT
42;-3.74042602246744e-12;0.999999765667922;27.58;0;newextended16;IPOPT
43;-2.46350486738854e-09;0.999981105111791;23.51;0;newextended16;IPOPT
44;1.5499783915032e-10;1.00000138393422;30.45;0;newextended16;IPOPT
45;1.62977599207438e-11;0.999997239664774;24.61;0;newextended16;IPOPT
46;3.34433432645545e-11;0.999996386102963;23.4;0;newextended16;IPOPT
47;2.4607158732019e-12;0.999999191469368;25.66;0;newextended16;IPOPT
48;1.16430667159851e-14;0.999999003065612;24.83;0;newextended16;IPOPT
49;6.99648553368748e-15;0.999999958466592;29.88;0;newextended16;IPOPT
50;1.75650219019014e-12;1.00000024581139;21.63;0;newextended16;IPOPT
51;6.03667148147398e-12;0.999999865359468;29.62;0;newextended16;IPOPT
52;2.61402179989455e-13;0.999999978172112;39.68;0;newextended16;IPOPT
53;2.2031673669773e-14;0.999999916663931;34.14;0;newextended16;IPOPT
54;-2.88991742020375e-16;0.99999999976505;24.4;0;newextended16;IPOPT
55;1.13622133780997e-14;0.999999996581625;24.47;0;newextended16;IPOPT
56;1.55450979779144e-11;0.999998529895179;28.57;0;newextended16;IPOPT
57;-4.38649870866585e-08;0.999994446006049;23.67;0;newextended16;IPOPT
58;-9.70712909586117e-15;0.999999997162063;21.8;0;newextended16;IPOPT
59;1.1450152439646e-19;0.999999997101218;25.91;0;newextended16;IPOPT
60;2.23804352209303e-13;0.999999999999544;23.54;0;newextended16;IPOPT
61;2.82611157872175e-09;0.999989708822468;23.97;0;newextended16;IPOPT
62;-1.24677809146116e-09;0.999989019616447;23.26;0;newextended16;IPOPT
63;6.27793891027673e-12;0.999997868160995;25.04;0;newextended16;IPOPT
64;6.27216685183037e-14;0.99999998873149;25.68;0;newextended16;IPOPT
65;-9.78991995875329e-13;1.00000355502121;25.48;0;newextended16;IPOPT
66;-5.32589654346357e-10;0.999990803022978;25.15;0;newextended16;IPOPT
67;-7.74418932951838e-15;0.999998218462731;22.74;0;newextended16;IPOPT
68;1.16071178013282e-07;0.999999999999998;44.85;0;newextended16;IPOPT
69;0.0153437765599486;0.999999999999999;13.76;0;newextended16;IPOPT
70;5.02258176245647e-14;0.999999583871823;20.9;0;newextended16;IPOPT
71;-3.22220833778703e-15;0.999999999999999;2.913;0;newextended16;IPOPT
72;-2.3707358588895e-11;1.00000000030546;23.64;0;newextended16;IPOPT
73;9.22257814045253e-07;1;41.55;0;newextended16;IPOPT
74;0.033759982392569;0.999999999999999;1.041;0;newextended16;IPOPT
75;-4.34198262168624e-08;0.999942163196267;23.94;0;newextended16;IPOPT
76;-6.81727676090466e-10;1.00001387690719;21.93;0;newextended16;IPOPT
77;3.44713851676246e-10;0.999998235456196;26.32;0;newextended16;IPOPT
78;-9.14523338112097e-19;0.999999996878943;20.43;0;newextended16;IPOPT
79;5.00260844372794e-11;0.999999390605046;21.76;0;newextended16;IPOPT
80;8.86104051513646e-11;0.999996583741488;22.43;0;newextended16;IPOPT
81;1.52437734820622e-10;0.999999321870135;21.81;0;newextended16;IPOPT
82;-1.2382712611095e-11;0.999993565069303;24.92;0;newextended16;IPOPT
83;0.0106230890998607;1;12.16;0;newextended16;IPOPT
84;2.7245342892466e-05;1;4.327;0;newextended16;IPOPT
85;4.97759449549617e-12;0.999999506015682;20.55;0;newextended16;IPOPT
86;3.69701695754613e-07;1;6.786;0;newextended16;IPOPT
87;0.0052621660148281;0.999999999999999;14.91;0;newextended16;IPOPT
88;2.11699307812424e-12;0.999999905121885;25.87;0;newextended16;IPOPT
89;8.90700685101387e-12;0.99997694333395;20.45;0;newextended16;IPOPT
90;3.15904095650468e-13;0.999999974937135;21.9;0;newextended16;IPOPT
91;2.21377585388268e-12;0.999998609606955;25.76;0;newextended16;IPOPT
92;-8.67196870694036e-14;0.999996666975215;23.02;0;newextended16;IPOPT
93;-1.45695749687787e-09;0.999999999943848;23.39;0;newextended16;IPOPT
94;8.9348816159442e-12;0.999997543372565;21.42;0;newextended16;IPOPT
95;1.63665882277151e-08;0.999992972413714;20.07;0;newextended16;IPOPT
96;-2.71067908041572e-09;0.999998467526753;21.6;0;newextended16;IPOPT
97;9.67489389039134e-10;0.999998188862445;21.34;0;newextended16;IPOPT
98;-1.27315366979468e-10;0.99999401566195;19.46;0;newextended16;IPOPT
99;4.05826888187873e-13;1.00000015067171;22.82;0;newextended16;IPOPT
100;1.64720564341596e-12;0.99999995390947;21.43;0;newextended16;IPOPT
101;4.15650893837269e-13;0.99999997641732;20.63;0;newextended16;IPOPT
102;0.00100410788488797;1;4.453;0;newextended16;IPOPT
103;-2.27278433640719e-11;0.999999995499715;16.05;0;newextended16;IPOPT
104;-9.30202042056763e-13;0.999999999999349;1.239;0;newextended16;IPOPT
105;-9.36447457069835e-13;0.99999999999935;0.621;0;newextended16;IPOPT
106;-9.42509533150331e-13;0.99999999999935;13.32;0;newextended16;IPOPT
107;-9.48388970848106e-13;0.99999999999935;1.228;0;newextended16;IPOPT
108;-9.54086678569065e-13;0.99999999999935;0.321;0;newextended16;IPOPT
109;-9.59603662838397e-13;0.999999999999349;0.642;0;newextended16;IPOPT
110;-9.64941070038807e-13;0.999999999999349;0.874;0;newextended16;IPOPT
111;-9.70100180535909e-13;0.999999999999349;1.611;0;newextended16;IPOPT
112;-9.75081983726063e-13;0.999999999999349;0.351;0;newextended16;IPOPT
113;-9.79889047933283e-13;0.999999999999349;1.682;0;newextended16;IPOPT
114;-9.8452179990713e-13;0.999999999999349;1.029;0;newextended16;IPOPT
115;-9.88982218656881e-13;0.999999999999349;0.926;0;newextended16;IPOPT
116;-9.932720385634e-13;0.999999999999349;0.334;0;newextended16;IPOPT
117;-9.97392862120122e-13;0.999999999999349;0.654;0;newextended16;IPOPT
118;-8.50499287497794e-14;0.999999999609827;22.18;0;newextended16;IPOPT
119;-1.0051346469992e-12;0.99999999999935;0.316;0;newextended16;IPOPT
120;-1.00875904111365e-12;0.999999999999349;0.499;0;newextended16;IPOPT
121;-1.01222166142763e-12;0.999999999999349;0.277;0;newextended16;IPOPT
122;-1.01552414543427e-12;0.999999999999349;0.453;0;newextended16;IPOPT
123;-1.01866813837298e-12;0.999999999999349;0.38;0;newextended16;IPOPT
124;-1.02165555409239e-12;0.999999999999349;0.486;0;newextended16;IPOPT
125;-1.0244880074863e-12;0.999999999999349;0.576;0;newextended16;IPOPT
126;-1.02716724598231e-12;0.999999999999349;0.376;0;newextended16;IPOPT
127;-1.02969486588539e-12;0.999999999999349;9.787;0;newextended16;IPOPT
128;-1.03207218212345e-12;0.999999999999349;0.504;0;newextended16;IPOPT
129;-1.03430106846664e-12;0.999999999999348;0.425;0;newextended16;IPOPT
130;-1.03638283590877e-12;0.999999999999348;1.296;0;newextended16;IPOPT
131;-1.03831894102071e-12;0.999999999999348;0.346;0;newextended16;IPOPT
132;-1.04011051546468e-12;0.999999999999348;2.146;0;newextended16;IPOPT
133;-1.04175889559866e-12;0.999999999999348;0.585;0;newextended16;IPOPT
134;-1.04326534224221e-12;0.999999999999348;0.701;0;newextended16;IPOPT
135;-1.04463079307366e-12;0.999999999999348;1.336;0;newextended16;IPOPT
136;-1.04585628370679e-12;0.999999999999348;0.29;0;newextended16;IPOPT
137;-1.04694268497374e-12;0.999999999999348;0.287;0;newextended16;IPOPT
138;-1.04789083666512e-12;0.999999999999348;0.465;0;newextended16;IPOPT
139;-1.0487013847755e-12;0.999999999999348;0.964;0;newextended16;IPOPT
140;-1.04937497434549e-12;0.999999999999348;0.351;0;newextended16;IPOPT
141;-1.04991211023885e-12;0.999999999999348;0.352;0;newextended16;IPOPT
142;-1.05031318760554e-12;0.999999999999348;0.695;0;newextended16;IPOPT
143;7.10541457280463e-12;0.999999979160461;23.18;0;newextended16;IPOPT
144;-1.05070925021032e-12;0.999999999999348;0.371;0;newextended16;IPOPT
145;-1.05070266161272e-12;0.99999999999935;0.638;0;newextended16;IPOPT
146;-1.0505615656452e-12;0.999999999999351;0.547;0;newextended16;IPOPT
147;3.14745440796717e-14;0.999999999521099;22.26;0;newextended16;IPOPT
148;-1.04987253121252e-12;0.999999999999348;0.355;0;newextended16;IPOPT
149;-1.04932397768676e-12;0.999999999999351;0.477;0;newextended16;IPOPT
150;-1.04863896521655e-12;0.999999999999351;0.907;0;newextended16;IPOPT
151;2.81515156240487e-13;0.99999999954896;22.24;0;newextended16;IPOPT
152;-1.0468573587499e-12;0.999999999999349;0.317;0;newextended16;IPOPT
153;-1.04575933247188e-12;0.99999999999935;0.411;0;newextended16;IPOPT
154;-1.04452219173304e-12;0.99999999999935;0.632;0;newextended16;IPOPT
155;-1.04314500885063e-12;0.99999999999935;1.447;0;newextended16;IPOPT
156;-1.04162678747364e-12;0.99999999999935;0.486;0;newextended16;IPOPT
157;0.00357557613722531;1;14.45;0;newextended16;IPOPT
158;8.50425375642336e-09;0.999978293822663;25.13;0;newextended16;IPOPT
159;1.45057519760456e-10;0.999280426512848;20.57;0;newextended16;IPOPT
160;2.26536376181136e-09;0.99998606550731;22.83;0;newextended16;IPOPT
161;-3.3583569166268e-16;1.00000032110522;23.3;0;newextended16;IPOPT
162;1.65199687384802e-14;1.00000055458655;20.26;0;newextended16;IPOPT
163;-9.84543026773339e-11;0.999632339333175;21.94;0;newextended16;IPOPT
164;3.54270422048231e-07;1.00000006754652;25.09;0;newextended16;IPOPT
165;-1.25807123961045e-08;0.999984521260863;19.32;0;newextended16;IPOPT
166;3.39766099482443e-09;0.999985141702466;22.77;0;newextended16;IPOPT
167;1.83449539002381e-08;0.999978640327126;20.18;0;newextended16;IPOPT
168;-1.64338236569937e-09;0.999990478194369;20.44;0;newextended16;IPOPT
169;-9.41311039089363e-18;0.999999999288424;28.51;0;newextended16;IPOPT
170;1.15401825543589e-09;0.999990833942723;31.72;0;newextended16;IPOPT
171;9.40332444291936e-10;0.999968153312165;21.76;0;newextended16;IPOPT
172;-7.59713584970846e-12;1.00000002288723;23.29;0;newextended16;IPOPT
173;-1.14541709436524e-10;0.999997112464184;24.45;0;newextended16;IPOPT
174;1.75569094345732e-15;0.999999927299736;25.6;0;newextended16;IPOPT
175;5.64631701033668e-06;0.999999999999999;14.23;0;newextended16;IPOPT
176;3.9344321947527e-05;1;2.178;0;newextended16;IPOPT
177;0.000128826512560797;1;0.918;0;newextended16;IPOPT
178;3.63336927693746e-07;1;16.58;0;newextended16;IPOPT
179;1.13612481519828e-14;0.999999846859044;18.07;0;newextended16;IPOPT
180;7.88611306706125e-09;1.00000001934205;21.54;0;newextended16;IPOPT
181;3.07488828031061e-15;0.999999999510831;19.21;0;newextended16;IPOPT
182;0.000163835021584427;0.999999999999999;18.46;0;newextended16;IPOPT
183;0.000175999617716447;1;3.106;0;newextended16;IPOPT
184;-6.39703749005085e-08;0.999951535758972;26.81;0;newextended16;IPOPT
185;-6.74583243251458e-12;1.00000023210774;22.86;0;newextended16;IPOPT
186;3.1868717232104e-11;0.999998386474354;25.41;0;newextended16;IPOPT
187;1.57189793612499e-10;0.999998511400783;21.59;0;newextended16;IPOPT
188;-5.8220855303709e-12;0.999999993451101;20.47;0;newextended16;IPOPT
189;-3.16461479353039e-13;0.999999901910016;21.12;0;newextended16;IPOPT
190;-3.65680117131762e-12;0.999905331348571;20.78;0;newextended16;IPOPT
191;-3.77394759086821e-12;0.99999910761396;24.6;0;newextended16;IPOPT
192;3.90425410286848e-11;0.999999607193965;21.44;0;newextended16;IPOPT
193;6.06203330063574e-10;0.9999935681177;18.02;0;newextended16;IPOPT
194;6.41243547350362e-10;0.999993025649007;21.57;0;newextended16;IPOPT
195;-4.0439016204154e-19;1.00000004145333;19.71;0;newextended16;IPOPT
196;1.21336383017438e-11;0.999992345346229;23.08;0;newextended16;IPOPT
197;4.52236949110891e-10;0.999998447409164;19.88;0;newextended16;IPOPT
198;1.19667814884598e-12;0.999929287944874;21.74;0;newextended16;IPOPT
199;2.50496260844911e-10;0.999864698512134;21.26;0;newextended16;IPOPT
200;2.2775212944109e-17;0.99999999526569;26.42;0;newextended16;IPOPT
1;2.68310589045257;1.00000000000557;0.194;1;A;LBFGS
2;2.6786850628826;1.00000000038172;0.098;1;A;LBFGS
3;2.67208485406266;0.999999995833797;0.087;1;A;LBFGS
4;2.66225366185373;1.00000000004753;0.097;1;A;LBFGS
5;2.64766005009478;0.999999995116896;0.077;1;A;LBFGS
6;2.62610662570312;1.00000000005046;0.097;1;A;LBFGS
7;2.59450996225829;1.00000000005638;0.098;1;A;LBFGS
8;2.54868690065825;0.999999997392715;0.084;1;A;LBFGS
9;2.48324793110707;1.00000000517247;0.076;1;A;LBFGS
10;2.39179081148856;1.00000000467014;0.096;1;A;LBFGS
11;2.26767921161611;1.000000003673;0.099;1;A;LBFGS
12;2.10567295859886;1.00000000256437;0.1;1;A;LBFGS
13;1.90436385026683;1.00000000150743;0.091;1;A;LBFGS
14;1.66866636975496;1.00000000002723;0.083;1;A;LBFGS
15;1.41086102447137;1.00000000170671;0.114;1;A;LBFGS
16;1.14879033059593;1.00000000641397;0.082;1;A;LBFGS
17;0.901361923385511;1.0000000017349;0.08;1;A;LBFGS
18;0.683517878598358;1.00000000002611;0.07;1;A;LBFGS
19;0.5032570153035;1.00000000002808;0.074;1;A;LBFGS
20;0.361668069234642;1.00000000239575;0.06;1;A;LBFGS
21;0.255002659729418;1.00000000095897;0.072;1;A;LBFGS
22;0.177195930097375;0.999999999967111;0.051;1;A;LBFGS
23;0.121797490087055;0.999999999994129;0.058;1;A;LBFGS
24;0.0830507304843021;1.0000000000114;0.072;0;A;LBFGS
25;0.0562996433570821;0.999999996125679;0.056;1;A;LBFGS
1;3.48059751421759;0.999999999690496;0.301;1;B;LBFGS
2;3.47380160861664;1.00000000035806;0.211;1;B;LBFGS
3;3.46370351908549;1.00000000051938;0.203;1;B;LBFGS
4;3.44876429146308;1.00000000036455;0.203;1;B;LBFGS
5;3.42679990806987;1.00000000020606;0.171;1;B;LBFGS
6;3.39478409248734;1.00000000123324;0.205;1;B;LBFGS
7;3.34865846830766;1.00000000156699;0.196;1;B;LBFGS
8;3.2832168784795;0.999999997919762;0.192;1;B;LBFGS
9;3.19217553092899;0.999999997701912;0.198;1;B;LBFGS
10;3.06858808824603;1.00000000279839;0.199;1;B;LBFGS
11;2.90579286165452;1.00000000002017;0.218;1;B;LBFGS
12;2.6990307812856;1.00000000011932;0.194;1;B;LBFGS
13;2.44764279385658;0.999999996125311;0.176;1;B;LBFGS
14;2.15726558865606;0.999999998048265;0.18;1;B;LBFGS
15;1.84086685310143;1.00000000720461;0.163;1;B;LBFGS
16;1.51738711704393;0.999999997757801;0.167;1;B;LBFGS
17;1.20777808334585;0.999999995687821;0.155;1;B;LBFGS
18;0.929949703482367;1.00000000837706;0.161;1;B;LBFGS
19;0.69503371888723;1.00000000175592;0.131;1;B;LBFGS
20;0.506454972642995;0.999999999163248;0.156;1;B;LBFGS
21;0.361480292286166;0.999999998482675;0.124;1;B;LBFGS
22;0.253819856541237;1.00000000287995;0.122;1;B;LBFGS
23;0.175990491019092;1.00000000009425;0.115;1;B;LBFGS
24;0.120863976461132;0.999999999997531;0.117;1;B;LBFGS
25;0.0824103056627321;0.999999999939955;0.139;1;B;LBFGS
1;2.18910784778507;1.0000000028317;0.402;1;C;LBFGS
2;2.16911328623119;1.00000000283659;0.273;1;C;LBFGS
3;2.13993333833055;1.00000000322359;0.263;1;C;LBFGS
4;2.09788078845962;0.999999999701642;0.31;1;C;LBFGS
5;2.03833948993852;0.999999999055886;0.301;1;C;LBFGS
6;1.95605782346075;1.0000000000643;0.297;1;C;LBFGS
7;1.84596751376549;1.00000000136214;0.241;1;C;LBFGS
8;1.70466367452141;1.00000000090305;0.259;1;C;LBFGS
9;1.5323526097941;1.00000000265412;0.225;1;C;LBFGS
10;1.3345193411316;0.999999999993035;0.311;1;C;LBFGS
11;1.12216429733645;1.0000000015102;0.243;1;C;LBFGS
12;0.90983554240651;1.00000000052155;0.22;1;C;LBFGS
13;0.711978850210268;1.00000000157662;0.204;1;C;LBFGS
14;0.539366626568738;0.999999999055587;0.242;1;C;LBFGS
15;0.397296753441099;1.00000000429837;0.197;1;C;LBFGS
16;0.285948400248742;0.999999999193128;0.194;1;C;LBFGS
17;0.202050816268768;1.00000000044507;0.184;1;C;LBFGS
18;0.140748448113109;0.999999999970231;0.191;1;C;LBFGS
19;0.0969899418344585;1.00000000007714;0.173;1;C;LBFGS
20;0.0662952865264597;0.999999999163364;0.16;1;C;LBFGS
21;0.045040915024842;0.999999998900862;0.127;1;C;LBFGS
22;0.0304629153872993;1.0000000004974;0.171;1;C;LBFGS
23;0.0205339573842213;1.0000000001742;0.114;1;C;LBFGS
24;0.0138062984270942;1.00000000002221;0.102;1;C;LBFGS
25;0.00926520734618347;0.999999999992099;0.105;1;C;LBFGS
1;2.25540433747058;0.999999998658219;1.012;1;D;LBFGS
2;2.25457054134017;0.999999996948777;0.702;1;D;LBFGS
3;2.25332151537947;0.99999999943388;0.649;1;D;LBFGS
4;2.2514517074795;0.999999997407532;0.704;1;D;LBFGS
5;2.24865535161379;0.999999999950116;0.792;1;D;LBFGS
6;2.24447945420134;1.00000000450912;0.612;1;D;LBFGS
7;2.23825700730615;0.999999998057809;0.701;1;D;LBFGS
8;2.22901478531194;0.999999999890075;0.634;1;D;LBFGS
9;2.21535164618219;0.999999999224075;0.577;1;D;LBFGS
10;2.19528981704161;0.99999999842978;0.411;1;D;LBFGS
11;2.16611701085182;0.999999997999564;0.491;1;D;LBFGS
12;2.12426736086834;0.999999998261929;0.486;1;D;LBFGS
13;2.06533582933283;0.999999992105094;0.49;1;D;LBFGS
14;1.98437395232714;0.999999993267748;0.521;1;D;LBFGS
15;1.87663805043124;0.999999999877009;0.495;1;D;LBFGS
16;1.73888485368437;0.999999995410887;0.62;1;D;LBFGS
17;1.58388982338075;0.9999999993093;0.483;1;D;LBFGS
18;1.40247079349126;1.00000000256458;0.438;1;D;LBFGS
19;1.20313757130711;0.999999999203396;0.378;1;D;LBFGS
20;0.99769471547207;1.00000000658111;0.329;0;D;LBFGS
21;0.799403109164899;0.999999999712927;0.416;1;D;LBFGS
22;0.619853564230696;0.999999993023038;0.57;1;D;LBFGS
23;0.466580616703603;1.00000000388628;0.433;0;D;LBFGS
24;0.342339112096867;1.00000000078038;0.404;1;D;LBFGS
25;0.245267777077166;1.00000000078038;0.453;0;D;LBFGS
1;0.854230758350266;1.00000000052171;3.854;1;EC12b;LBFGS
2;0.853252686734328;1.0000000005213;3.647;1;EC12b;LBFGS
3;0.852082930448443;1.00000000124393;2.221;1;EC12b;LBFGS
4;0.850684839267248;0.999999996207445;2.156;1;EC12b;LBFGS
5;0.849015157157789;1.00000000117274;2.11;1;EC12b;LBFGS
6;0.847022976820588;1.00000000757379;1.719;1;EC12b;LBFGS
7;0.844648626954185;0.999999992420015;1.952;1;EC12b;LBFGS
8;0.841822520308351;0.999999993843153;1.943;1;EC12b;LBFGS
9;0.838463908712955;0.999999998317053;1.831;1;EC12b;LBFGS
10;0.834473806184635;0.999999998317053;2.012;0;EC12b;LBFGS
11;0.829763696397439;0.999999999510739;2.257;1;EC12b;LBFGS
12;0.824195364927046;1.00000000077698;2.194;1;EC12b;LBFGS
13;0.817640067656913;0.999999998606288;2.27;1;EC12b;LBFGS
14;0.80994924831539;1.00000000238914;1.825;1;EC12b;LBFGS
15;0.800961859549406;0.999999993317135;2.164;1;EC12b;LBFGS
16;0.790507046963679;0.999999993105561;3.413;1;EC12b;LBFGS
17;0.778408357734307;0.999999998516571;2.717;1;EC12b;LBFGS
18;0.764489815184218;0.999999999597375;3.711;1;EC12b;LBFGS
19;0.748583989486077;1.00000000073432;2.232;1;EC12b;LBFGS
20;0.730542030013686;1.00000000385823;2.006;1;EC12b;LBFGS
21;0.71024539417408;1.00000000994134;1.696;1;EC12b;LBFGS
22;0.687618642842038;1.00000000112782;2.14;1;EC12b;LBFGS
23;0.662642347483994;1.0000000049162;2.09;1;EC12b;LBFGS
24;0.63536472033372;0.999999998991653;2.085;1;EC12b;LBFGS
