condition;mu;density;rxn1;rxn2;Ribosome;converged;run_time
1;1.6988461296790818;1.0;1.0;0.8630310304732124;0.7509893880713469;True;0.40865039825439453
2;1.6798835556825384;1.0;1.0;0.8651726381350677;0.7539890265576851;True;0.32587409019470215
3;1.6523514799074812;1.0;1.0;0.8681916317412677;0.7582566967507168;True;0.4010031223297119
4;1.612965290201958;1.0;1.0;0.8723380349470573;0.7641946543931829;True;0.31883883476257324
5;1.5577760395639133;1.0;1.0;0.8778409018924047;0.7722168268316417;True;0.31344008445739746
6;1.4825923003442092;1.0;1.0;0.8848365439903135;0.7826588255229255;True;0.3100459575653076
7;1.3839021431306922;1.0;1.0;0.8932891925214734;0.7956585546768868;True;0.2967257499694824
8;1.2603012327586645;1.0;1.0;0.9029449102722841;0.8110504536448742;True;0.28942108154296875
9;1.1140460787857818;1.0;1.0;0.913357797165778;0.8283325437912296;True;0.30038928985595703
10;0.9518967737020314;1.0;1.0;0.9239875820736199;0.8467389603753669;True;0.29468512535095215
11;0.7843698072851897;1.0;1.0;0.9343216911635948;0.8653946898727434;True;0.21280908584594727
12;0.6232909064434192;1.0;1.0;0.943965381607843;0.8834858189203982;True;0.27832794189453125
13;0.47871739795669144;1.0;1.0;0.9526750344840051;0.9003817458561785;True;0.2120060920715332
14;0.35677962816878767;1.0;1.0;0.9603449293233448;0.9156828046871683;True;0.21852898597717285
15;0.2592628938653316;1.0;1.0;0.9669718191037316;0.929204974314393;True;0.20545005798339844
16;0.18459684298910053;1.0;1.0;0.9726170683013582;0.9409308409047241;True;0.21166110038757324
17;0.12935496411746997;1.0;1.0;0.9773760887764856;0.9509532676259059;True;0.2150280475616455
18;0.08954557754712708;1.0;1.0;0.981357144541689;0.9594267876808209;True;0.22556018829345703
19;0.061419861799191046;1.0;1.0;0.9846684313112558;0.9665323035935313;True;0.2335948944091797
20;0.04183907656527803;1.0;1.0;0.9874109188165371;0.9724540755827945;True;0.25399184226989746
21;0.02835452213032085;1.0;1.0;0.9896750590548914;0.9773664514436512;True;0.27054786682128906
22;0.019142302219671056;1.0;1.0;0.9915397713987975;0.9814271993734505;True;0.2981071472167969
23;0.012885906829134883;1.0;1.0;0.9930726826204196;0.984774980106771;True;0.3512411117553711
24;0.008655510230177894;1.0;1.0;0.9943310434678129;0.9875293151400738;True;0.37706708908081055
25;0.005804363715987745;1.0;1.0;0.9953628862265966;0.9897918081494927;True;0.4317941665649414
