;Carbon_met;PSII;PSI;Cyt6bf;ATPase;Rubisco;TCA;AA_s;Ribosome
x_C;-0.4;0;0;0;0;0;0;0;0
x_PSU;0;-0.6;-0.4;0;0;0;0;0;0
CO2;1;0;0;0;0;-0.5;0.1;0.1;0
H;0;0.5;0;0.3;-1;0;0;0;0
oxPC;0;0;0.5;-0.6;0;0;0;0;0
Q;0;-0.4;0.5;0.7;0;0;0;0;0
QH2;0;0.5;-0.6;-0.4;0;0;0;0;0
ATP;-0.6;0;0;0;1;-0.5;0.3;-0.3;-0.5
NADPH;0;0;0;0;0;0;0.6;-0.5;0
C3;0;0;0;0;0;1;-1;-0.2;0
AA;0;0;0;0;0;0;0;0.9;-0.5
Protein;0;0;0;0;0;0;0;0;1
