;Carbon_met;PSII;PSI;Cyt6bf;ATPase;Rubisco;TCA;AA_s;Ribosome
kcat_forward;8.43455015840061;1.17269497031127;3.43502272840039;8.08512625600385;5.16425157938563;2.58;41.879286067485;1.94;4.55
kcat_backward;0;0;0;0;0;0;0;0;0
