;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;PYRt2r;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FMNAT;FTHFCL;GALU;GAPD;GHMT;GHMT2;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK;PYK2;PYK4;PYK5;PYK7;PYK8;PdhC_transl;RBFK;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;rRNAP;rRNA_degrad;tRNAP;AATRS;Ribosome
forward;284.8667016410238;600520540000.0;239.15199341286362;290.52918540433103;209.813287199664;203.28731420774042;214.15929388156107;2682460000000.0;450174910000.0;505.9226747632868;920939630000.0;180152870000.0;10079410000.0;50893.79147250249;900780810000.0001;139.58115915244596;170305260000.00003;319988100000.0;254.20393833308216;880621990000.0001;214.8712688953742;207.36493902082043;1130948810000.0;115194599999999.98;115214760000000.0;531.2868019561837;818.4521453100019;33360.40492742977;10752.592090666583;1377.5767428243932;1416703.6566251214;39804.113362860364;319.7083262425376;5163.95219012432;554.4088706674077;315.5324187853819;10785.904143678654;33.23626238766017;61.20024719109559;2152.297341979633;2122.1825738870366;356.4366438451457;162.10493450255362;1185.8790263368514;128899.91144586324;676.069546470602;4375.569632691274;190.87596651463016;36584.6607733082;251.66996628462786;134845.65747473025;16384.767921557297;826.9589636444798;1665.7087344837907;774.9536238900545;25473.10689633953;1120.5746427523036;1311.6546705771132;2941.8862645469444;9964.5293961547;18414.087148840194;493.04567708151444;18639.369496775722;123033.84433430545;1278.7499318479088;7599.415459498589;7556.436782025507;1583.0748540320726;4302.996984287054;3.4836918380983994;358.5968989664512;253.9602121262963;186482.27253778692;2760.2885615216724;354533.5121148397;178056.30459220582;2161.4510828223524;15427.204269295746;12248.707406201112;8021.954938842797;1959.7931849921783;4765.169905890354;9.719348447980776;1203.9354987625636;1389.6861332390877;3490.305432351571;344.71763716119267;345.6916464138077;25571.956789995795;81586.93575182134;678.2227928388896;1370.7948104625032;31739.105219572695;3355.0105353552003;5176.013592223621;5558.168384092758;3846.2770844125007;1519.700320722747;7269889.682727312;190.13669360112368;42741.95174317333;511.8009742110875;917.0004146896893;231.64539990812978;282.5379805090907;2159.0048343619733;577.019762234804;8348.880457675492;5276.291066444019;12112.144131450312;1181.69485771202;4994.178112012837;393.9222940180195;4459168.703778893;1214906.853108078;580972.132576928;60677.345893369486;10857.51335826609;1.1397390025265532
backward;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;115194599999999.98;115214760000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
