reaction;protein;contribution
NH3t;spontaneous_protein;1.0
NNATr;protein_0380;1.0
NOX;average_protein;1.0
O2t;spontaneous_protein;1.0
PAPA;average_protein;1.0
PDH_E3;protein_0228;1.0
PDH_acald;protein_0227;1.0
PFK;protein_0220;1.0
PGI;protein_0445;1.0
PGK;protein_0606;1.0
PGK3;protein_0606;1.0
PGK4;protein_0606;1.0
PGM;protein_0729;1.0
PGMT;protein_0733;1.0
PGPP;protein_0214;1.0
PGSA;protein_0875;1.0
PIabc;protein_0425;0.28620792596007316
PIabc;protein_0426;0.5135497079622393
PIabc;protein_0427;0.20024236607768744
PPA;protein_0344;1.0
PPM2;protein_0733;1.0
PRPPS;protein_0831;1.0
PSSYN;protein_0113;1.0
PTAr;protein_0229;1.0
PUNP2;protein_0747;1.0
PUNP4;protein_0747;1.0
PYK2;protein_0221;1.0
PYK4;protein_0221;1.0
PYK5;protein_0221;1.0
PYK6;protein_0221;1.0
PYK7;protein_0221;1.0
PYK8;protein_0221;1.0
PdhC_transl;protein_0201;0.33153473181694953
PdhC_transl;protein_0227;0.6684652681830505
RBFK;protein_0291;1.0
RIBFLVabc;protein_0641;0.36457922851945823
RIBFLVabc;protein_0642;0.16562517522630243
RIBFLVabc;protein_0643;0.22230055717720046
RIBFLVabc;protein_0877;0.247495039077039
RNAP;average_protein;1.0
RPE;protein_0262;1.0
RPI;protein_0800;1.0
TALA;average_protein;1.0
THMDabc;protein_0008;0.1358904650088565
THMDabc;protein_0009;0.3862941601280572
THMDabc;protein_0010;0.23734415132416306
THMDabc;protein_0011;0.24047122353892328
TKT1;protein_0316;1.0
TKT2;protein_0316;1.0
TMDK1;protein_0140;1.0
TMPK;protein_0045;1.0
TPI;protein_0727;1.0
TRDR;protein_0065;0.5787990101995142
TRDR;protein_0819;0.4212009898004858
UDPG4E;protein_0813;1.0
UDPGALM;protein_0814;1.0
UMPK;protein_0537;1.0
UPPRT;protein_0798;1.0
URAt2;spontaneous_protein;1.0
dUTPase_transl;protein_0201;0.5370267675956966
dUTPase_transl;protein_0447;0.4629732324043035
trdoxt;spontaneous_protein;1.0
trdrdt;spontaneous_protein;1.0
AAabc;protein_0876;0.4782693660784224
AAabc;protein_0878;0.4692832563156701
AAabc;protein_0886;0.05244737760590758
tRNAP;average_protein;1.0
AATRS;protein_0163;0.05328287424717863
AATRS;protein_0535;0.0324980228642794
AATRS;protein_0076;0.05385416298970706
AATRS;protein_0287;0.0683385849469373
AATRS;protein_0837;0.026566359644067037
AATRS;protein_0126;0.02893246822536512
AATRS;protein_0405;0.05480675061352876
AATRS;protein_0288;0.049700284552548
AATRS;protein_0519;0.05451853324119526
AATRS;protein_0634;0.04779354991653647
AATRS;protein_0064;0.05961270295638755
AATRS;protein_0012;0.030465437090159538
AATRS;protein_0528;0.09474996318334705
AATRS;protein_0529;0.020736178783614525
AATRS;protein_0282;0.05685350110564153
AATRS;protein_0061;0.05003719473998011
AATRS;protein_0222;0.07655381321993766
AATRS;protein_0308;0.039429359520131935
AATRS;protein_0613;0.04831415874233685
AATRS;protein_0260;0.05295609941712022
Ribosome;protein_0913;0.0673195309361309
Ribosome;protein_0025;0.008272568831830014
Ribosome;protein_0027;0.014956540065911114
Ribosome;protein_0082;0.008309388254894518
Ribosome;protein_0137;0.009692480872369992
Ribosome;protein_0148;0.014373582338975665
Ribosome;protein_0149;0.016620650558670604
Ribosome;protein_0198;0.01295672148572095
Ribosome;protein_0199;0.006600266717829065
Ribosome;protein_0238;0.02212795739953693
Ribosome;protein_0247;0.021046598344499536
Ribosome;protein_0263;0.032604783268245716
Ribosome;protein_0289;0.012789251392352107
Ribosome;protein_0294;0.009517337432728914
Ribosome;protein_0301;0.01810962095250502
Ribosome;protein_0348;0.046103742864698545
Ribosome;protein_0362;0.00980432006364355
Ribosome;protein_0365;0.013433197694677082
Ribosome;protein_0377;0.04489638610716918
Ribosome;protein_0403;0.032019258108262165
Ribosome;protein_0422;0.0068220075778905095
Ribosome;protein_0482;0.006010935925528957
Ribosome;protein_0499;0.009404556159541728
Ribosome;protein_0500;0.010963689570096493
Ribosome;protein_0501;0.010396285752895537
Ribosome;protein_0930;0.005277985153806474
Ribosome;protein_0526;0.00602409185075498
Ribosome;protein_0536;0.019339066153073823
Ribosome;protein_0540;0.030352630293194672
Ribosome;protein_0637;0.013558470832986476
Ribosome;protein_0638;0.01591640164130929
Ribosome;protein_0644;0.012895091307262989
Ribosome;protein_0646;0.012586646710357668
Ribosome;protein_0647;0.012693644832948213
Ribosome;protein_0648;0.004052808181923366
Ribosome;protein_0653;0.014436480040764811
Ribosome;protein_0654;0.025818995640492004
Ribosome;protein_0655;0.01216209571426743
Ribosome;protein_0656;0.018310588405263634
Ribosome;protein_0657;0.013167518531338187
Ribosome;protein_0658;0.00663550431186484
Ribosome;protein_0659;0.018852678782109934
Ribosome;protein_0660;0.010928478423395761
Ribosome;protein_0661;0.012201334001315439
Ribosome;protein_0662;0.009448617141334723
Ribosome;protein_0663;0.014496437077289889
Ribosome;protein_0664;0.014660718178838234
Ribosome;protein_0665;0.024327244842964127
Ribosome;protein_0666;0.011482248592981872
Ribosome;protein_0667;0.009150119619134226
Ribosome;protein_0668;0.028913385807522347
Ribosome;protein_0669;0.010061687061571775
Ribosome;protein_0670;0.021428410261560726
Ribosome;protein_0671;0.022521943720902122
Ribosome;protein_0672;0.010699135856860874
Ribosome;protein_0806;0.01194857617070083
Ribosome;protein_0807;0.016789715287146192
Ribosome;protein_0809;0.02315649416666322
Ribosome;protein_0810;0.014396556814137956
Ribosome;protein_0833;0.015762180920416966
Ribosome;protein_0932;0.00562262390309722
Ribosome;protein_0910;0.004771735091841992
