;rho;x_G;x_CO2;condition;mu;density;consistent;converged;run_time;G transport_q;CO2 excretion_q;AA production_q;Ribosome_q;G transport_v;CO2 excretion_v;AA production_v;Ribosome_v;G transport_p;CO2 excretion_p;AA production_p;Ribosome_p;G_b;CO2_b;AA_b;Protein_b;G_c;CO2_c;AA_c;Protein_c
0;340.0;100.0;1.0;1;1.4913104707748903;1.0;1;1;0.0217409999999999;1.1726127468916363;0.1726127468916362;1.026419883158393;0.7222752588465671;594.5680869852251;87.52252692176243;520.4416445163214;366.22646314184016;65.40248956837478;1.6631331590550744;78.14331636623022;100.3646489141728;0.1461928637332432;0.0326712297400423;0.0988606476801473;0.7222752588465671;49.70557366930271;11.108218111614402;33.612620211250096;245.57358800783285
1;340.0;66.66666666666667;1.0;2;1.473505376628336;1.0;1;1;0.0184959999999999;1.1734411533776423;0.1734411533776422;1.029440822109693;0.7254246318291329;587.88442854403;86.89260049039576;515.7414393417711;363.43181241521194;67.60670928256344;1.656568575992183;77.63506791036401;99.7460290529856;0.1440003312679494;0.0324470110442962;0.0981280258586213;0.7254246318291329;48.9601126311028;11.031983755060736;33.36352879193126;246.6443748219052
2;340.0;44.44444444444445;1.0;3;1.4476931570446718;1.0;1;1;0.0172519999999999;1.1746168019018155;0.1746168019018155;1.0337124669584878;0.7299099595521921;578.1648001294047;85.94912673421635;508.8094780209736;359.273122258837;70.82518801585209;1.6463740938111284;76.877022445705;98.82080169237717;0.1409043349433276;0.032125691489882;0.0970600140145981;0.7299099595521921;47.9074738807314;10.922735106559893;33.000404764963385;248.1693862477453
3;340.0;29.62962962962964;1.0;4;1.4108494927554365;0.9999999999999998;1;1;0.016698;1.1762468104018908;0.1762468104018909;1.0396045107427048;0.7361595127199968;564.2324533756406;84.5436258387923;498.68666886018696;353.12749353675287;75.4660906389919;1.6304870975538803;75.75339811999427;97.44425846825887;0.136642299659186;0.03167409174665;0.0955240958741671;0.7361595127199968;46.45838188412326;10.769191193861012;32.47819259721682;250.29423432479888
4;340.0;19.75308641975309;1.0;5;1.3593889362370764;1.0;1;1;0.016451;1.1784382780940532;0.1784382780940531;1.0474697932750263;0.7446181074624619;544.6650254749712;82.4727871543652;484.1324083270069;344.1567097821288;82.04016946216754;1.6057992139222914;74.10683241646964;95.41735544467754;0.1309684848190268;0.031055680560952;0.0933577271575591;0.7446181074624619;44.529284838469145;10.55893139072371;31.741627233570124;253.17015653723703
5;340.0;13.16872427983539;1.0;6;1.289604196641508;0.9999999999999998;1;1;0.015218;1.1812727250899988;0.1812727250899988;1.0575458068038683;0.7556535446027367;517.9472496424323;79.48182278431969;463.6972736022655;331.3279539910849;91.12634423396544;1.5679585044261768;71.74064339643184;92.48725903010707;0.1237269182861302;0.0302364362707748;0.0903831008403581;0.7556535446027367;42.06715221728429;10.28038833206344;30.730254285721777;256.92220516493046
6;340.0;8.779149519890263;1.0;7;1.1985759790572972;1.0;1;1;0.015817;1.184774086106188;0.1847740861061881;1.0698391929006372;0.7694299290004266;482.8141984735892;75.29836559410819;435.9764097420149;313.5548783590088;103.27697464224116;1.5115904207166613;68.44281131616142;88.3747994810258;0.1149348932055509;0.0291937524739393;0.0864414253200832;0.7694299290004266;39.07786368988732;9.925875841139367;29.390084608828303;261.6061758601451
7;340.0;5.852766346593508;1.0;8;1.0855192296914429;1.0;1;1;0.0159599999999999;1.1888840037300108;0.1888840037300107;1.0840484466493612;0.7857929716918126;438.7891922933032;69.71265419821253;400.0968478167068;290.01774965146774;118.85016638131891;1.43135101606649;64.04307346946487;82.84501950836604;0.1048355570806493;0.0279256855998615;0.0814457856276765;0.7857929716918126;35.64408940742079;9.494733103952937;27.691567113410034;267.1696103752163
8;340.0;3.901844231062339;1.0;9;0.9531443701351988;1.0;1;1;0.016305;1.193460405619287;0.193460405619287;1.0995822662069716;0.8042302226720347;386.7636226424;62.694536796432445;356.3406198221307;260.62615307102527;137.79964852036443;1.3239341967340847;58.497645360137845;75.81704763125546;0.0938781394123153;0.0264560476221072;0.0754355902935426;0.8042302226720347;31.91856740018723;8.99505619151647;25.64810069980449;273.4382757084918
9;340.0;2.601229487374893;1.0;10;0.808214745264902;1.0;1;1;0.016201;1.198304593769272;0.1983045937692719;1.1156823295194822;0.8239435398152689;329.28573028101795;54.49271689095128;306.58170931470784;226.41392816911613;159.51706969062667;1.190358555915628;51.96478275335275;67.46859253729643;0.0826222642497898;0.0248318721346245;0.0686023238003169;0.8239435398152689;28.09156984492853;8.442836525772332;23.32479009210776;280.1408035371914
