;G transport;CO2 excretion;AA production;Ribosome
q0;1.075087499690814;0.07508749969081396;0.9584801378793718;0.6700000000000004
1;1.1726127468916363;0.17261274689163628;1.026419883158393;0.7222752588465672
2;1.1734411533776423;0.1734411533776423;1.029440822109693;0.725424631829133
3;1.1746168019018155;0.17461680190181555;1.0337124669584878;0.7299099595521922
4;1.1762468104018908;0.17624681040189094;1.0396045107427048;0.7361595127199968
5;1.1784382780940532;0.1784382780940532;1.0474697932750263;0.7446181074624619
6;1.1812727250899988;0.1812727250899989;1.0575458068038686;0.7556535446027367
7;1.1847740861061882;0.18477408610618815;1.0698391929006372;0.7694299290004266
8;1.1888840037300108;0.1888840037300107;1.0840484466493614;0.7857929716918126
9;1.193460405619287;0.19346040561928707;1.0995822662069716;0.8042302226720347
10;1.198304593769272;0.19830459376927195;1.1156823295194822;0.8239435398152689
11;1.2032049340465591;0.20320493404655926;1.131593161835964;0.8440110235918674
12;1.207976574967214;0.20797657496721406;1.1466999368812734;0.8635678107268836
13;1.212483806171684;0.21248380617168414;1.160591612951274;0.8819372240730096
14;1.2166440406232426;0.2166440406232427;1.1730560320417678;0.8986832501571237
15;1.2204194518124258;0.2204194518124258;1.1840371116426556;0.9135958587831888
16;1.2238050255270585;0.22380502552705855;1.1935839918792173;0.9266410633158776
17;1.2268162731232313;0.22681627312323135;1.2018061682738168;0.9379020765186282
18;1.2294804172970253;0.22948041729702537;1.2088416314348087;0.9475292042869587
19;1.2318298341545681;0.23182983415456823;1.214835706614281;0.9557026689156858
20;1.2338980916398667;0.23389809163986686;1.2199288098653431;0.962608510722453
21;1.2357173938970134;0.23571739389701352;1.224249798912837;0.9684242386295788
22;1.2373180353441364;0.2373180353441365;1.227913933503118;0.973312085710009
23;1.2387268765338175;0.2387268765338176;1.2310213191310075;0.9774152684383287
24;1.239968107194015;0.239968107194015;1.233658449136666;0.9808583430259302
25;1.24106280739969;0.24106280739969022;1.2358988852709294;0.9837478023571765
