Reaction Name;Subsystem;Parameter Type;Related Species;Value;Units
GHMT;Cofactor metabolism;Eff Enzyme Count;;178;#
GHMT;Cofactor metabolism;Substrate Catalytic Rate Constant;;640;1/s
GHMT;Cofactor metabolism;Product Catalytic Rate Constant;;23.173;1/s
GHMT;Cofactor metabolism;Michaelis Menten Constant;M_ser__L_c;2.3312;mM
GHMT;Cofactor metabolism;Michaelis Menten Constant;M_thfglu3_c;0.0684;mM
GHMT;Cofactor metabolism;Michaelis Menten Constant;M_gly_c;0.1463;mM
GHMT;Cofactor metabolism;Michaelis Menten Constant;M_mlthfglu3_c;0.1463;mM
MTHFD;Cofactor metabolism;Eff Enzyme Count;;76;#
MTHFD;Cofactor metabolism;Substrate Catalytic Rate Constant;;19.4491;1/s
MTHFD;Cofactor metabolism;Product Catalytic Rate Constant;;3.2;1/s
MTHFD;Cofactor metabolism;Michaelis Menten Constant;M_mlthfglu3_c;0.1738;mM
MTHFD;Cofactor metabolism;Michaelis Menten Constant;M_nadp_c;0.0303;mM
MTHFD;Cofactor metabolism;Michaelis Menten Constant;M_methfglu3_c;0.0575;mM
MTHFD;Cofactor metabolism;Michaelis Menten Constant;M_nadph_c;0.0575;mM
FTHFCL;Cofactor metabolism;Eff Enzyme Count;;38;#
FTHFCL;Cofactor metabolism;Substrate Catalytic Rate Constant;;3.0655;1/s
FTHFCL;Cofactor metabolism;Product Catalytic Rate Constant;;0;1/s
FTHFCL;Cofactor metabolism;Michaelis Menten Constant;M_5fthfglu3_c;0.0191;mM
FTHFCL;Cofactor metabolism;Michaelis Menten Constant;M_atp_c;0.0164;mM
FTHFCL;Cofactor metabolism;Michaelis Menten Constant;M_adp_c;0.5231;mM
FTHFCL;Cofactor metabolism;Michaelis Menten Constant;M_methfglu3_c;0.5231;mM
FTHFCL;Cofactor metabolism;Michaelis Menten Constant;M_pi_c;0.5231;mM
GHMT2;Cofactor metabolism;Eff Enzyme Count;;178;#
GHMT2;Cofactor metabolism;Substrate Catalytic Rate Constant;;0;1/s
GHMT2;Cofactor metabolism;Product Catalytic Rate Constant;;0;1/s
GHMT2;Cofactor metabolism;Michaelis Menten Constant;M_methfglu3_c;0,0684;mM
GHMT2;Cofactor metabolism;Michaelis Menten Constant;M_5fthfglu3_c;0,1463;mM
