;rxn1;Ribosome
q0;1.0;0.8100000000000005
1;1.0;0.8126909834801854
2;1.0;0.8130665659284848
3;1.0;0.8136253933936848
4;1.0;0.814453615849333
5;1.0;0.8156739838362879
6;1.0;0.8174569567605264
7;1.0;0.82003026676065
8;1.0;0.8236805048653295
9;1.0;0.828736250747505
10;1.0;0.835519495586947
11;1.0;0.8442593226667711
12;1.0;0.8549841751420691
13;1.0;0.8674409127432902
14;1.0;0.8810984280467203
15;1.0;0.8952542383306645
16;1.0;0.9091963550785942
17;1.0;0.9223424259627045
18;1.0;0.9343073861059272
19;1.0;0.9449012564858156
20;1.0;0.9540871622683431
21;1.0;0.9619293323493173
22;1.0;0.9685481314640898
23;1.0;0.9740877559786912
24;1.0;0.9786957710069619
25;1.0;0.9825115867146468
