;rho;x_G;condition;mu;density;consistent;converged;run_time;rxn1_q;Ribosome_q;rxn1_v;Ribosome_v;rxn1_p;Ribosome_p;AA_b;Protein_b;AA_c;Protein_c
0;340.0;100.0;1;2.6831058904514196;1.0;1;1;0.0060219999999999;1.0;0.8126909834801854;912.2560027534826;741.3822280634306;92.13785627810176;184.1770781051613;0.1873090165198145;0.8126909834801854;63.68506561673696;276.31493438326305
1;340.0;66.66666666666667;2;2.6786850628039898;1.0;1;1;0.0058219999999999;1.0;0.8130665659284848;910.7529213533564;740.5027501741091;92.44142151736568;184.0012108983192;0.1869334340715151;0.8130665659284848;63.557367584315166;276.44263241568484
2;340.0;44.44444444444445;3;2.6720848549189897;1.0;1;1;0.0061929999999999;1.0;0.8136253933936847;908.5088506724563;739.1858710300218;92.89502998125869;183.73760377259413;0.1863746066063152;0.8136253933936847;63.36736624614717;276.6326337538528
3;340.0;29.62962962962964;4;2.662253661843992;1.0;1;1;0.0057359999999999;1.0;0.8144536158493328;905.1662450269571;737.2159212069683;93.57156057966169;183.34266880911153;0.185546384150667;0.8144536158493328;63.08577061122679;276.9142293887732
4;340.0;19.75308641975309;5;2.64766005109115;1.0;1;1;0.005935;1.0;0.8156739838362878;900.204417370991;734.2733233840206;94.57772660003971;182.75142790429817;0.1843260161637121;0.8156739838362878;62.67084549566213;277.32915450433785
5;340.0;13.16872427983539;6;2.626106625692895;1.0;1;1;0.006137;1.0;0.8174569567605264;892.8762527355842;729.8879043249733;96.06790431776926;181.8674609808097;0.1825430432394735;0.8174569567605264;62.06463470142101;277.935365298579
6;340.0;8.779149519890263;7;2.594509962246978;1.0;1;1;0.0057939999999999;1.0;0.82003026676065;882.1333871639724;723.3760767945481;98.26138932956191;180.5489013690592;0.1799697332393499;0.82003026676065;61.189709301378976;278.81029069862103
7;340.0;5.852766346593508;8;2.5486869011736086;1.0;1;1;0.005823;1.0;0.8236805048653295;866.5535463990269;713.7632625907921;101.46123437407982;178.59013728013224;0.1763194951346704;0.8236805048653295;59.94862834578797;280.05137165421206
8;340.0;3.901844231062339;9;2.483247930107856;1.0;1;1;0.0060089999999999;1.0;0.828736250747505;844.3042962366709;699.7055769531894;106.06902527838896;175.7012999757627;0.1712637492524949;0.828736250747505;58.22967474584829;281.77032525415166
9;340.0;2.601229487374893;10;2.391790810617094;1.0;1;1;0.005765;1.0;0.835519495586947;813.208875609812;679.4518695563385;112.58336861298888;171.49325988657316;0.1644805044130529;0.835519495586947;55.923371500438;284.076628499562
10;340.0;1.734152991583262;11;2.2676792109654262;1.0;1;1;0.00578;1.0;0.844259322666771;771.0109317282449;650.9331669895643;121.56146866854824;165.4867010381539;0.1557406773332289;0.844259322666771;52.95183029329784;287.04816970670214
11;340.0;1.156101994388841;12;2.105672958178192;1.0;1;1;0.005858;1.0;0.8549841751420691;715.9288057805853;612.1077994707604;133.51897440501818;157.17564514328535;0.1450158248579308;0.8549841751420691;49.305380451696486;290.69461954830354
12;340.0;0.7707346629258942;13;1.9043638500455649;1.0;1;1;0.005621;1.0;0.86744091274329;647.4837090154921;561.6538595348094;148.75701099014833;146.17289934257033;0.1325590872567098;0.86744091274329;45.070089667281344;294.92991033271863
13;340.0;0.5138231086172628;14;1.6686663697515387;1.0;1;1;0.00585;1.0;0.8810984280467203;567.3465657155232;499.8881672096528;167.15136539617023;132.4221001397147;0.1189015719532796;0.8810984280467203;40.426534464115086;299.5734655358849
14;340.0;0.3425487390781752;15;1.4108610242973598;1.0;1;1;0.0058069999999999;1.0;0.8952542383306645;479.69274826110234;429.4469659772364;188.00562397513704;116.38081705728888;0.1047457616693354;0.8952542383306645;35.61355896757406;304.3864410324259
15;340.0;0.2283658260521167;16;1.1487903300957896;1.0;1;1;0.0056119999999999;1.0;0.909196355078594;390.58871223256847;355.1218334966932;210.09528196162623;99.03147876509583;0.0908036449214058;0.909196355078594;30.87323927327797;309.126760726722
16;340.0;0.1522438840347445;17;0.9013619232881273;1.0;1;1;0.0057309999999999;1.0;0.9223424259627044;306.46305391796324;282.66387661863337;231.94375379900023;81.65267102831935;0.0776575740372954;0.9223424259627044;26.40357517268045;313.59642482731954
17;340.0;0.1014959226898296;18;0.6835178785973597;1.0;1;1;0.005571;1.0;0.9343073861059272;232.39607872310236;217.12937285304903;252.2104596702708;65.45405160574454;0.0656926138940727;0.9343073861059272;22.335488723984746;317.6645112760153
18;340.0;0.0676639484598864;19;0.5032570153028071;1.0;1;1;0.0058469999999999;1.0;0.9449012564858156;171.10738520295445;161.6795832722741;269.98895372583144;51.27747347934588;0.0550987435141844;0.9449012564858156;18.733572794822702;321.2664272051773
19;340.0;0.0451092989732576;20;0.3616680691980219;1.0;1;1;0.005917;1.0;0.9540871622683432;122.96714352732744;117.3213730202319;284.8949287480102;39.49470642322643;0.0459128377316568;0.9540871622683432;15.61036482876334;324.38963517123665
20;340.0;0.0300728659821717;21;0.2550026597206295;1.0;1;1;0.0056719999999999;1.0;0.9619293323493172;86.70090430501406;83.40014299220421;296.9728559747416;30.08311702402624;0.0380706676506826;0.9619293323493172;12.944027001232108;327.0559729987679
21;340.0;0.0200485773214478;22;0.1771959300975511;1.0;1;1;0.005733;1.0;0.9685481314640898;60.246616233167394;58.35174757966838;306.5278607641159;22.77850393367465;0.0314518685359101;0.9685481314640898;10.693635302209469;329.30636469779046
