;rho;x_G;x_N;condition;mu;density;consistent;converged;run_time;rxn1_q;rxn2_q;rxn3_q;rxn4_q;Ribosome_q;rxn1_v;rxn2_v;rxn3_v;rxn4_v;Ribosome_v;rxn1_p;rxn2_p;rxn3_p;rxn4_p;Ribosome_p;G_b;N_b;AA_b;Protein_b;G_c;N_c;AA_c;Protein_c
0;340.0;100.0;10.0;1;1.7099395867577527;1.0;1;1;0.0376309999999999;0.5753866345255327;0.4246133654744673;1e-10;0.611443649844554;0.6209696297306835;334.5179705826181;246.861488915018;5.81379459e-08;355.48077865988864;361.018987697272;21.797622599254463;27.154763780651983;9.084102e-09;50.05070538342835;112.12658233601356;0.0862317145798894;0.1781307095294197;0.1146679461600071;0.6209696297306835;29.318782957162423;60.56444124000273;38.987101694402426;211.1296741084324
1;340.0;66.66666666666667;10.0;2;1.7090662214737136;1.0;1;1;0.022498;0.5753374794869084;0.4246625205130915;1e-10;0.611513793860805;0.6211207958319354;334.31854972722635;246.76396557383637;5.81082515e-08;355.3399734779322;360.92243434781886;21.892472772460305;27.144036213122;9.0822493e-09;50.0396849231172;112.10487666507632;0.0861264443282644;0.1781356025445433;0.1146171572952566;0.6211207958319354;29.282991071609906;60.56610486514475;38.96983348038727;211.18107058285807
2;340.0;44.44444444444445;10.0;3;1.707758381165798;1.0;1;1;0.019623;0.575264087098517;0.424735912901483;1e-10;0.6116184810927418;0.6213467161819927;334.02010248290253;246.6177471134688;5.80637849e-08;355.12883963508847;360.7774211376792;22.03455192185599;27.127952182481568;9.0794696e-09;50.02312899139135;112.07225039706915;0.0859693021543235;0.1781428734165361;0.1145411082471475;0.6213467161819927;29.22956273247;60.5685769616223;38.94397680403016;211.25788350187753
3;340.0;29.62962962962964;10.0;4;1.7058015660360468;1.0;1;1;0.020035;0.5751547529165838;0.4248452470834161;1e-10;0.6117743258482004;0.6216837373488333;333.5739586009826;246.39857385127328;5.79972532e-08;354.8123050514524;360.559491534586;22.247230948630047;27.103843123640065;9.0752982e-09;49.99823823255157;112.02315838470632;0.0857352921680235;0.1781536344140094;0.1144273360691336;0.6216837373488333;29.14999933712799;60.572235700763216;38.905294263505446;211.3724706986033
4;340.0;19.75308641975309;10.0;5;1.7028773974890905;1.0;1;1;0.0199159999999999;0.574992425243413;0.4250075747565869;1e-10;0.6120054710472698;0.6221851478396409;332.9081455893109;246.07016955697995;5.78978315e-08;354.3378964872604;360.2317086052412;22.565265836114172;27.0677186512678;9.0690375e-09;49.96077863488008;111.94918713414685;0.0853880483355971;0.1781694509492047;0.1142573528755571;0.6221851478396409;29.031936434103034;60.577613322729626;38.84749997768942;211.54295026547797
5;340.0;13.16872427983539;10.0;6;1.698515774374096;1.0;1;1;0.020014;0.5747526162403417;0.4252473837596582;1e-10;0.6123464292368715;0.6229281779915952;331.9169709159806;245.5783923712121;5.77495363e-08;353.6272236097624;359.7381344510853;23.04012360612341;27.01362316083333;9.059639e-09;49.90432424455681;111.8375094965692;0.0848754727808444;0.1781924622839648;0.1140038869435954;0.6229281779915952;28.857660745487117;60.585437176548055;38.761321560822445;211.7955805171424
6;340.0;8.779149519890263;10.0;7;1.6920279577109127;1.0;1;1;0.0193989999999999;0.5744009084812817;0.4255990915187181;1e-10;0.6128453318206251;0.6240228531003966;330.44681466885794;244.84269095285245;5.75289505e-08;352.5634879656605;358.9937986567764;23.747533687240807;26.93269600481377;9.0455262e-09;49.81908388481558;111.6684564682192;0.0841246429547816;0.1782254545045137;0.1136270494403078;0.6240228531003966;28.60237860462575;60.59665453153468;38.63319680970468;212.16777005413485
7;340.0;5.852766346593508;10.0;8;1.682416515882524;1.0;1;1;0.019573;0.5738905156278792;0.4261094843721206;1e-10;0.6135669460827692;0.6256221327444615;328.2777798122318;243.7438355878263;5.72021615e-08;350.97355565434606;357.86938300251654;24.797878457892736;26.811821914660896;9.0243319e-09;49.69010004023573;111.4117247113033;0.0830369586916638;0.1782716685766744;0.1130692399871999;0.6256221327444615;28.232565955165704;60.612367316069296;38.44354159564799;212.71152513311696
8;340.0;3.901844231062339;10.0;9;1.668261610047903;1.0;1;1;0.01965;0.573160907528218;0.4268390924717819;1e-10;0.6145936012747885;0.627930888491784;325.10199505924436;242.10695235704267;5.67208947e-08;348.602989667858;356.16801831159876;26.349811650958564;26.631764759274695;8.992507e-09;49.49449044862396;111.02043521935686;0.0814860264383871;0.1783341944884674;0.1122488905813613;0.627930888491784;27.70524898905163;60.63362612607894;38.16462279766286;213.49650208720655
9;340.0;2.601229487374893;10.0;10;1.6475929726476146;1.0;1;1;0.019625;0.572139602646843;0.4278603973531568;1e-10;0.6160211496948472;0.631209089612935;320.50208415607466;239.6795265441143;5.6018161e-08;345.0837198614417;353.59172450797394;28.62670014016512;26.364747919852572;8.9447651e-09;49.197424679824515;110.42221771961098;0.0793226828209652;0.1784143494616004;0.1110538781044991;0.631209089612935;26.96971215912817;60.66087881694414;37.75831855552972;214.61109046839792
