;rxn1;rxn2;rxn3;rxn4;Ribosome
q0;0.5031740174550985;0.4968259825449015;0.5236106094018439;1e-10;0.5600000000000003
1;0.5753866345255327;0.4246133654744673;1e-10;0.611443649844554;0.6209696297306836
2;0.5753374794869085;0.4246625205130915;1e-10;0.6115137938608051;0.6211207958319355
3;0.575264087098517;0.42473591290148305;1e-10;0.6116184810927418;0.6213467161819928
4;0.5751547529165838;0.4248452470834162;1e-10;0.6117743258482004;0.6216837373488333
5;0.5749924252434131;0.42500757475658696;1e-10;0.6120054710472699;0.622185147839641
6;0.5747526162403418;0.42524738375965826;1e-10;0.6123464292368717;0.6229281779915953
7;0.5744009084812818;0.42559909151871816;1e-10;0.6128453318206252;0.6240228531003966
8;0.5738905156278793;0.42610948437212065;1e-10;0.6135669460827693;0.6256221327444617
9;0.573160907528218;0.426839092471782;1e-10;0.6145936012747886;0.627930888491784
10;0.572139602646843;0.4278603973531569;1e-10;0.6160211496948472;0.6312090896129351
11;0.5707500402515546;0.42924995974844543;1e-10;0.6179459334110108;0.6357612230746306
12;0.5689281111359008;0.4310718888640992;1e-10;0.6204403632216864;0.6419029983727828
13;0.5666466693380564;0.4333533306619436;1e-10;0.6235214221285942;0.6499016975943928
14;0.5639407283331579;0.4360592716668421;1e-10;0.6271266026307937;0.6598998730821627
15;0.5609206072795898;0.4390793927204102;1e-10;0.6311169334227302;0.671848501894682
16;0.5577624614584757;0.4422375385415243;1e-10;0.6353143185591025;0.6854804273369476
17;0.49248361669491225;0.5075163833050877;0.6204068576283462;1e-10;0.6775005803892107
18;0.48840462342587754;0.5115953765741225;0.6262186212799647;1e-10;0.6941674578508733
19;0.48480322910680995;0.51519677089319;0.6317879193516498;1e-10;0.7109664016141444
20;0.4817961876422592;0.5182038123577408;0.6370627376648554;1e-10;0.7273680763723505
21;0.47942469030808976;0.5205753096919102;0.6420318217265081;1e-10;0.7429605979367749
22;0.47766794747240593;0.5223320525275941;0.6466983292022863;1e-10;0.7574640761334579
23;0.4764623905758997;0.5235376094241003;0.6510641404778924;1e-10;0.7707183234720975
24;0.4757206907573863;0.5242793092426137;0.6551247463746076;1e-10;0.7826575620080489
25;0.47534773044876155;0.5246522695512384;0.658871216832409;1e-10;0.7932840408743458
