;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90
rho;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0
x_5fthf;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095
x_ac;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997
x_adn;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999
x_co2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_coa;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197
x_dad_2;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005
x_dcyt;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684
x_dgsn;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996
x_fa;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002
