reaction;protein;contribution
Ribosome;protein_0647;0.017985481310927306
Ribosome;protein_0648;0.0057423779199773164
Ribosome;protein_0653;0.020454884738447913
Ribosome;protein_0654;0.03658264191807619
Ribosome;protein_0655;0.017232335396913837
Ribosome;protein_0656;0.025944064915077877
Ribosome;protein_0657;0.01865690757645591
Ribosome;protein_0658;0.00940177075695793
Ribosome;protein_0659;0.026712146618159387
Ribosome;protein_0660;0.015484437057091141
Ribosome;protein_0661;0.017287931680539402
Ribosome;protein_0662;0.0133876384006337
Ribosome;protein_0663;0.02053983718308236
Ribosome;protein_0664;0.02077260521153444
Ribosome;protein_0665;0.03446899714208106
Ribosome;protein_0666;0.016269067725958434
Ribosome;protein_0667;0.012964700648904575
Ribosome;protein_0668;0.040967048229286596
Ribosome;protein_0669;0.014256290213239538
Ribosome;protein_0670;0.03036167132089757
Ribosome;protein_0671;0.031911086469555885
Ribosome;protein_0672;0.015159484177244786
Ribosome;protein_0806;0.01692980197874486
Ribosome;protein_0807;0.023789157053531868
Ribosome;protein_0809;0.032810173795006614
Ribosome;protein_0810;0.020398317971706065
Ribosome;protein_0833;0.022333255270209976
Ribosome;protein_0932;0.007966632000372493
Ribosome;protein_0910;0.006761017299952864
