metabolite;value
RNA;0.16274000000000002
DNA;0.055
ACP;0.00017999999999999998
dUTPase;3e-05
lgltn;0.06368
pg;0.02944
clpn;0.02944
12dgr;0.013660000000000002
galfur12dgr;0.0131
fa;0.005490000000000001
pi;0.00375
atp;0.00167
gtp;0.00115
utp;0.00106
ctp;0.00053
mlthfglu3;0.00015
coa;0.00012
nadp;8e-05
dttp;3e-05
datp;3e-05
dctp;2e-05
dgtp;1e-05
AA;0.012470000000000002
