;S;PSU;Met;Ribosome
x_C;0.0007875;0.0;0.0;0.0
x_PSU;0.0;440.0;0.0;0.0
C;0.0;0.0;0.00648;0.0
e;7.41e-07;0.0;7.41e-07;7.41e-07
A;0.0;0.0;0.0;9.7812e-05
Protein;0.0;0.0;0.0;0.0
