;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200
rho;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67;385.67
x_C;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525;0.000525
x_PSU;1100.0;1047.6190476190477;997.7324263038548;950.2213583846236;904.97272227107;861.8787831153047;820.8369363002902;781.7494631431334;744.5232982315556;709.0698078395767;675.3045788948349;643.1472179950808;612.5211599953151;583.3534857098239;555.5747482950703;529.1188079000669;503.9226741905399;479.9263563719428;457.0727203542312;435.3073527183154;414.5784311603004;394.836601105048;376.0348581952838;358.12843637646074;341.074701310915;324.8330488675381;309.3648084452744;294.6331509002613;280.6030008573917;267.24095319751586;254.51519352144368;242.39542240137493;230.8527832394047;219.8597935613378;209.39027958222647;199.41931388783476;189.9231560836521;180.8791962701449;172.26590120966176;164.06276305682073;156.25025053030544;148.80976240981468;141.72358324744255;134.97484118804053;128.54746779813382;122.42615980774649;116.59634267404428;111.04413588004216;105.75631988575442;100.72030465309945;95.92409966961851;91.35628539963668;87.00598609489207;82.8628438998972;78.91699419037828;75.15904208607455;71.58004008197575;68.17146674473881;64.92520642356077;61.83352992720073;58.889076121143546;56.08483440108909;53.41412800103723;50.870598096225926;48.44818866307231;46.14113206006886;43.94393529530368;41.85136694790826;39.85844471229358;37.9604235355177;36.152784319540665;34.4312231614673;32.79164110615933;31.23013438681841;29.742985130303246;28.32665250505071;26.977764290524483;25.693108848118555;24.469627474398624;23.30440711847488;22.19467344616655;21.13778423444433;20.13122308042317;19.17259340992683;18.259612771358885;17.390107401294177;16.562007048851598;15.77334004652533;15.02222861573841;14.306884395941342;13.6256041866108;12.976765892010286;12.358824659057415;11.7703091991023;11.209818284859333;10.676017414151746;10.16763563252547;9.683462507167114;9.22234524492106;8.783185947543867;8.364938997660825;7.966608569200786;7.5872462563817;7.225948815601619;6.881856014858684;6.554148585579699;6.242046271980666;5.94480597331492;5.661719974585638;5.392114261510131;5.135346915723934;4.890806586403746;4.657911034670234;4.4361057473049845;4.224862616480937;4.023678682362798;3.832074935583617;3.6495951767463017;3.475804930234573;3.3102904097472123;3.152657533092583;3.002530983897698;2.859553317997808;2.723384112378864;2.5936991546465373;2.47018967109194;2.352561591516133;2.240534849062984;2.133842713393318;2.032231155612684;1.9354582434406515;1.8432935651815725;1.755517681125307;1.6719216010717208;1.5923062867349722;1.5164821778428306;1.4442687408026955;1.37549403885971;1.3099943227235331;1.2476136406890792;1.1882034673229325;1.1316223498313642;1.077735571267966;1.0264148297790152;0.9775379331228716;0.9309885077360682;0.8866557216533982;0.844434020622284;0.8042228767831276;0.7659265493172644;0.7294538564926327;0.6947179585644121;0.6616361510137257;0.6301296676321197;0.6001234929829712;0.5715461837933059;0.5443296988507675;0.5184092370007309;0.4937230828578389;0.4702124598646085;0.4478213903472462;0.4264965622354725;0.4061872021290215;0.3868449544085919;0.3684237661034208;0.3508797772413532;0.3341712164203363;0.3182583013527013;0.3031031441454297;0.2886696610908855;0.2749234867532242;0.2618318921459278;0.2493637068056455;0.2374892445768052;0.2261802329302907;0.2154097456478959;0.2051521387122818;0.1953829892497922;0.1860790373807545;0.1772181308388138;0.1687791722274417;0.1607420687880397;0.1530876845600378;0.1457977948190836;0.1388550426848415;0.1322428977950871;0.125945616947702;0.1199482066168591;0.1142363872541515;0.1087965592896681;0.1036157707520648;0.0986816864305379;0.0939825585052742;0.0895071985764516;0.085244951025192;0.08118566764304;0.0773196834695619;0.0736377937805352;0.0701312321719383;0.0667916496875602
