;Carbon_T;PSII;PSI;Cyt6bf;ATPsyn;C_fix;Met;Ribosome
q0;0.3262927513303981;2.0474513064649438;4.722250455364117;6.663552205403822;0.10014792946883908;0.2638216706869716;0.19472393533033355;0.19000000000000003
1;0.28126496513430327;2.1812380716371034;5.034238773533296;7.064364205539652;0.1120974297509034;0.25114316032720185;0.23951428818230183;0.23355614466440325
2;0.2810201086323835;2.1818930623337605;5.036007862205645;7.0668001862027445;0.11214056620789976;0.25072722689585464;0.23906032585965342;0.23458061098078584
3;0.28077340257986333;2.1825542686373836;5.037789045821971;7.069260805865142;0.11218446248579232;0.2503152270633115;0.23861462961209745;0.235598870501754
4;0.2805228480277459;2.183227718602887;5.039596085922431;7.071766052549798;0.11222943048069436;0.24990690475458505;0.23817741759690958;0.23661172895280896
5;0.28027009499686795;2.1839084780980023;5.041417581433008;7.074299526300251;0.11227521913990392;0.24950250094563362;0.2377485861168547;0.23761851467525594
6;0.2800165754330765;2.1845922629660963;5.043243640246448;7.076847002967228;0.11232161024515154;0.24910219533083608;0.23732801959138608;0.23861863561919416
7;0.2797597526846499;2.1852867202959345;5.0450917281260335;7.0794338075470336;0.11236899739179407;0.24870566745064;0.2369159884138411;0.2396131191580175
8;0.2795008086701672;2.1859883181569937;5.046953676008354;7.082048193931358;0.11241719995784047;0.24831306203477116;0.2365123957750217;0.24060147472968174
9;0.27923848145726976;2.1867008744604086;5.0488381591126235;7.084702762308992;0.11246641405024237;0.2479242305554292;0.2361173956887072;0.24158421308863182
10;0.2789730542961572;2.1874235597850533;5.050743202682992;7.087394707250166;0.11251659669303643;0.24753920515557729;0.23573097682889219;0.24256121046768384
11;0.278708437227151;2.1881446254086017;5.052641846042605;7.090085096633316;0.1125671435885648;0.24715837575432087;0.23535268055639244;0.2435308349762704
12;0.2784343466023419;2.1888950498290094;5.054604918807808;7.092876354904695;0.11261964400249365;0.24678068642070664;0.2349837491800937;0.2444973429732536
13;0.2781604653828591;2.189645704497821;5.056565688211877;7.095672039842581;0.11267259995449684;0.24640710211712016;0.23462301649000783;0.24545670332759073
14;0.27787652120504325;2.1904275465965672;5.058594893473508;7.098574414336728;0.11272759892740794;0.24603665362869923;0.23427179754188024;0.24641319096679085
15;0.2775933988647424;2.1912078143105225;5.060617536928531;7.101475083926498;0.11278295466583955;0.24567032603637498;0.23392868538468292;0.24736224656513828
16;0.2773018603733568;2.192014357139765;5.062697225164006;7.1044659724182155;0.11284009418157537;0.24530730232067377;0.2335949091685085;0.2483077280388271
17;0.27701525933544435;2.1928069564790786;5.0647419761000245;7.10741414511155;0.11289694602779497;0.2449486417667032;0.23326860283355386;0.24924400148713963
18;0.2767333397514785;2.193586390034119;5.066753546426247;7.11032214266231;0.11295354430350166;0.2445941985123784;0.232949696433689;0.250171130191702
19;0.2764324828159823;2.1944238687193303;5.068894551402447;7.113424882912434;0.11301354425961449;0.2442422250618059;0.23264161533806593;0.25109908444921814
20;0.27612323603792205;2.195287627521024;5.0710923357035504;7.116617327041572;0.11307530715519604;0.24389355361335519;0.23234287614203636;0.25202340949900315
21;0.27580928012041095;2.1961665885916397;5.073321538216294;7.1198627779333865;0.11313825658082101;0.24354842969635804;0.2320529192648581;0.25294253063543176
22;0.27548956111813483;2.1970639462441324;5.075589398686335;7.123171625612805;0.11320254941887832;0.2432067685348314;0.23177188617519975;0.2538568789764607
23;0.2751718469713635;2.1979562860004886;5.077842428983015;7.126466553903119;0.11326697271749103;0.24286897408214528;0.23149849531018335;0.25476311294856807
24;0.2748575636775107;2.1988393130758452;5.080070806516802;7.129733321336114;0.11333129606781073;0.2425350160743965;0.2312324136706721;0.2556605809321757
25;0.27454366907667943;2.1997222107757812;5.082295465365095;7.133002087911875;0.11339598221745556;0.24220463408719936;0.23097404104900887;0.25655054692532325
26;0.27422803020123204;2.200611422537121;5.084531078470683;7.136293951980887;0.11346135266605975;0.24187765071391756;0.23072365635485798;0.2574338948466146
27;0.27385056717505235;2.2016882428083306;5.087191142158654;7.140205566424033;0.11353673555371604;0.2415516380290323;0.2304916656244676;0.2583365319581668
28;0.27355201961883835;2.202528019457283;5.0893069863162195;7.143338790011147;0.11360024677872743;0.2412322205921815;0.2302535738212903;0.2591977077092637
29;0.27317762483279984;2.203597756112033;5.091943758043251;7.14723061257812;0.11367593333528611;0.24091346288641038;0.23003647215301115;0.2600842606777222
30;0.27281771366242696;2.2046248802768105;5.094479754465165;7.150983744619217;0.11374974077074207;0.24059868754150998;0.22982438988390563;0.2609571235043457
31;0.27246494967358265;2.205631528331989;5.096965469899546;7.154670950408764;0.11382279621157627;0.24028747844047324;0.22961847130062257;0.26181941876275033
32;0.2721113276327395;2.2066418612065632;5.099455995229318;7.158371574663552;0.11389633186590485;0.2399794999112162;0.22942006330078266;0.26267458653678766
33;0.2717551224835904;2.207661087405308;5.10196320000715;7.162102585770949;0.1139706031109173;0.23967464516246498;0.2292293997170495;0.2635233519372667
34;0.27134435921179284;2.2088461007954607;5.104844743007792;7.166379416480513;0.11405369243805263;0.23937201623219068;0.2290564249711186;0.26438842390398637
35;0.27098766878502284;2.2098689899515844;5.107353089076692;7.1701241805464395;0.11412866742291443;0.23907347688108466;0.22888021562047967;0.26522230580427214
36;0.2705798389881546;2.2110473527007932;5.110212241316479;7.174380349046497;0.11421190411591235;0.2387773799311297;0.2287210710573164;0.2660710210107429
37;0.27018972812360653;2.212173322134289;5.112948369442008;7.178464772029604;0.11429265974079886;0.23848460671458355;0.22856547237885647;0.2669043911728648
