;rho;x_C;x_PSU;condition;mu;density;consistent;converged;run_time;Carbon_T_q;PSII_q;PSI_q;Cyt6bf_q;ATPsyn_q;C_fix_q;Met_q;Ribosome_q;Carbon_T_v;PSII_v;PSI_v;Cyt6bf_v;ATPsyn_v;C_fix_v;Met_v;Ribosome_v;Carbon_T_p;PSII_p;PSI_p;Cyt6bf_p;ATPsyn_p;C_fix_p;Met_p;Ribosome_p;CO2_b;H+_b;PC_b;PC-_b;PQ_b;PQH2_b;ATP_b;NADPH_b;C3_b;A_b;Protein_b;CO2_c;H+_c;PC_c;PC-_c;PQ_c;PQH2_c;ATP_c;NADPH_c;C3_c;A_c;Protein_c
0;385.67;0.000525;1100.0;1;0.0931957823263788;1.0;1;1;2.996735;0.2812649651343032;2.181238071637104;5.034238773533296;7.064364205539652;0.1120974297509033;0.2511431603272018;0.2395142881823018;0.2335561446644032;10.10945527434951;78.3998416489388;180.94472483314627;253.91315247356653;4.029097445162334;9.026792745318664;8.6088183175976;8.394665853270626;1.3729878495507664;30.349772201599965;6.753775655101315;0.6020409020082154;1.8043321140164144;4.83671725397978;5.526550515098114;38.829421821365834;0.0552361208398216;0.0021709737372352;0.0388414419202067;0.3435964056423923;0.1561949971885026;0.0183040485424657;0.0146850642747642;0.0258095153098577;0.0355803009631301;0.0760249869172195;0.2335561446644032;21.302914724294;0.8372794412395034;14.979978905366147;132.51482576410143;60.239724565689805;7.059322401372747;5.663588738848313;9.953955769552849;13.722254672450424;29.320556704364073;90.0755983127204
1;385.67;0.000525;1057.692307692308;2;0.0942073419401501;1.0;1;1;0.261616;0.2810201086323835;2.1818930623337605;5.036007862205645;7.0668001862027445;0.1121405662078997;0.2507272268958546;0.2390603258596534;0.2345806109807858;10.210288309908012;79.27460186473145;182.97299952775631;256.75766649151075;4.074397087778512;9.109658686735683;8.685765806462804;8.52300456961745;1.3866833189253611;31.03855565514428;6.907510897571457;0.60960200123391;1.8272221129024968;4.8837871372336;5.584216824020509;38.233126289928045;0.0553656044261143;0.0021652969008028;0.0388876532416677;0.3436850524948127;0.1563362997604389;0.0182151452262617;0.0144668041895647;0.025870700984281;0.0355729336221665;0.0748538981731033;0.2345806109807858;21.35285265901952;0.8350900557326497;14.997801225714007;132.54901419567443;60.29422072860849;7.025035059412378;5.579412371789443;9.977553248607672;13.71941331006097;28.868902908420765;90.47070423695968
2;385.67;0.000525;1017.011834319526;3;0.0951753463413877;1.0;1;1;0.2683699999999999;0.2807734025798633;2.1825542686373836;5.037789045821971;7.069260805865142;0.1121844624857923;0.2503152270633114;0.2386146296120974;0.2355988705017539;10.306145958994303;80.11343898432406;184.91847425646264;259.4862370082238;4.117873823112677;9.188139767403694;8.758654410059892;8.647957124338438;1.3997031140644585;31.735000308953413;7.062968170741041;0.6169509413839955;1.84954699841036;4.92889673283667;5.639864239221077;37.63048588080044;0.0554896982228829;0.0021592309456067;0.038928591258152;0.3437798148071733;0.1564793999858968;0.0181249415050936;0.014250574475697;0.0259313976244492;0.0355620604124237;0.0736954202608696;0.2355988705017539;21.400711913619276;0.8327505987921636;15.013589790531508;132.58556117668255;60.349410192560846;6.990246190269485;5.4960190580420765;10.000962121821347;13.715219839259486;28.42211273200961;90.86341638641146
3;385.67;0.000525;977.8959945380062;4;0.096097598030264;1.0;1;1;0.274863;0.2805228480277459;2.183227718602887;5.039596085922431;7.071766052549798;0.1122294304806943;0.249906904754585;0.2381774175969095;0.2366117289528089;10.396726750073954;80.91469975827606;186.77731173931127;262.09351504066206;4.159442734264529;9.26203986576236;8.827322074487148;8.769294583597;1.4120062904165045;32.43896237091043;7.220115537342214;0.6240783831222411;1.8712701715409512;4.971998402441503;5.69342114423482;37.02219320522119;0.0556066337486193;0.0021527844168613;0.0389638882783494;0.3438820989291722;0.156624869022341;0.0180333484658898;0.0140364671969994;0.0259917447416495;0.0355472289173664;0.0725492073299433;0.2366117289528089;21.445810437830023;0.8302643660509191;15.027202792311014;132.62500909401385;60.405513235846286;6.954921502839753;5.413444303866791;10.024236194511994;13.709499776560708;27.980052790939244;91.25404550522985
4;385.67;0.000525;940.2846101326984;5;0.0969719532932459;1.0;1;1;0.3147969999999999;0.2802700949968679;2.1839084780980023;5.041417581433008;7.074299526300251;0.1122752191399039;0.2495025009456336;0.2377485861168547;0.2376185146752559;10.481869833025232;81.67637148344105;188.544849435671;264.5729534410011;4.199000369668435;9.33118725333722;8.891600556564944;8.886735992188758;1.4235710023063073;33.150130292198945;7.378883531982445;0.6309680121062101;1.8923557514609528;5.012963921334535;5.744762840021853;36.40869720339471;0.0557178441457976;0.0021459456850586;0.0389937372085027;0.343990849857465;0.1567722276018732;0.017940450645967;0.013824409434234;0.0260516214612056;0.0355287734404643;0.0714156258441755;0.2376185146752559;21.4887009517098;0.8276268723565676;15.038714629203252;132.66695106452855;60.46234501921447;6.919093600630114;5.331659986501045;10.047328848943188;13.702382052783895;27.542864419323184;91.64233255480595
5;385.67;0.000525;904.1198174352868;6;0.0977963335719207;1.0;1;1;0.3081949999999999;0.2800165754330765;2.1845922629660963;5.043243640246448;7.076847002967228;0.1123216102451515;0.249102195330836;0.237328019591386;0.2386186356191941;10.56141652869643;82.39651098821015;190.21658506452215;266.9182307961515;4.236446750119118;9.395415392937812;8.951327488234028;9.00000579746344;1.4343756987627434;33.86818347517533;7.539200681062651;0.6376040972115166;1.9127683345288304;5.0516707388365285;5.793769259381672;35.79047691429533;0.055824599635324;0.0021387050438426;0.0390183017669247;0.3441051558255834;0.1569210642206817;0.0178463168166058;0.0136143430589514;0.0261109256563533;0.0355069776985885;0.0702949746579501;0.2386186356191941;21.529873341355422;0.8248343742587974;15.04818844244988;132.71103544725275;60.519746837990326;6.882789006660385;5.250643687545792;10.070200697885804;13.693976089014663;27.110662876331645;92.0280491992546
6;385.67;0.000525;869.3459783031603;7;0.0985687370197116;1.0;1;1;0.2885409999999999;0.2797597526846499;2.1852867202959345;5.0450917281260335;7.0794338075470336;0.112368997391794;0.2487056674506399;0.236915988413841;0.2396131191580175;10.635068342942056;83.07368517539497;191.78918629340063;269.1247102204359;4.271707975938523;9.454547143513055;9.006362438263325;9.10889387646666;1.4443798389919131;34.592967880537074;7.701032677852858;0.6439791102375074;1.9324729769891384;5.088092582298027;5.84038545352663;35.16828114523946;0.0559246519790739;0.0021310750895949;0.0390371455618501;0.3442267718940223;0.157072093997769;0.0177508436259055;0.0134063813243182;0.0261698344880362;0.035481277878183;0.0691868050032288;0.2396131191580175;21.56846052876944;0.8218917298040854;15.055455928838736;132.75793911636762;60.577994492119565;6.845967861202977;5.1704390853498285;10.092920067000952;13.68406443927884;26.683275085595277;92.4115916656726
7;385.67;0.000525;835.9095945222696;8;0.0992872436029692;1.0;1;1;0.304078;0.2795008086701671;2.1859883181569937;5.0469536760083535;7.082048193931358;0.1124171999578404;0.2483130620347711;0.2365123957750216;0.2406014747296817;10.702676057367828;83.70610784898889;193.25851158664145;271.18657725159017;4.304691926115103;9.508431393869168;9.056558968740513;9.21313843494296;1.453563156538709;35.324150329795046;7.86430518981048;0.6500784465034544;1.9514357534384943;5.1221193395270825;5.884501699885504;34.54261684349758;0.0560190528388731;0.0021230483446129;0.0390504034963194;0.3443549454051177;0.1572249718381131;0.0176540936144462;0.0132004765617446;0.0262282638695938;0.0354519058372516;0.0680913634642444;0.2406014747296817;21.60486810836821;0.8187960550668931;15.06056911642554;132.8073717943918;60.636954888805086;6.808654284283487;5.091027795568049;10.11545452658628;13.672736524252837;26.26079614725517;92.79277075899635
8;385.67;0.000525;803.7592255021823;9;0.0999500278260739;1.0;1;1;0.300707;0.2792384814572697;2.1867008744604086;5.048838159112624;7.084702762308992;0.1124664140502423;0.2479242305554291;0.2361173956887072;0.2415842130886318;10.764008815803907;84.29234884598017;194.6212361943805;273.09918959903047;4.335324651534142;9.556915613575306;9.101788963663395;9.312522349621101;1.461894296682176;36.06149944323761;8.028966571031082;0.6558927969034017;1.9696235888987403;5.153703107988209;5.926050938241406;33.91415271891;0.0561066739573834;0.0021146310620557;0.0390578439052031;0.3444905627918428;0.1573800416783297;0.0175560282785029;0.0129966839968733;0.0262863002789194;0.0354185744355927;0.0670084465266649;0.2415842130886318;21.638660945144085;0.8155497617030323;15.063438658919708;132.85967535193004;60.69676067408144;6.7708334261702525;5.012431117074132;10.137837428570853;13.65988160257504;25.843147571938875;93.17178346189264
9;385.67;0.000525;772.8454091367137;10;0.1005553655447537;1.0;1;1;0.3103319999999999;0.2789730542961572;2.1874235597850533;5.050743202682992;7.087394707250166;0.1125165966930364;0.2475392051555772;0.2357309768288921;0.2425612104676838;10.818906418069078;84.83088393501527;195.8738208225528;274.8575853647019;4.363527270305081;9.599864410339517;9.141927289667004;9.406811863333344;1.4693515009428209;36.80470049356184;8.194946551559216;0.6614101772365026;1.98700453336692;5.182763118389721;5.96494559950026;33.28346006651434;0.0561877696561376;0.0021058215751663;0.0390594755810464;0.344633465587921;0.1575372083685018;0.0174566764143024;0.0127949939105462;0.0263439229276064;0.0353813260095743;0.0659381295015135;0.2425612104676838;21.669937123282605;0.8121522068943912;15.064067947342204;132.91478867329351;60.7573751514801;6.73251639270404;4.934645301480368;10.160060755489976;13.645516002112522;25.430358404848715;93.54858204107161
10;385.67;0.000525;743.1205857083785;11;0.1011016414495227;1.0;1;1;0.3028259999999999;0.2787084372271509;2.1881446254086017;5.052641846042604;7.090085096633316;0.1125671435885648;0.2471583757543208;0.2353526805563924;0.2435308349762703;10.86736316838402;85.31985090168762;197.01195430968525;276.4556767869362;4.38920343558725;9.637167271118644;9.176841138018583;9.495722672471391;1.4759339954885495;37.55324276231262;8.362131187223326;0.666611659425408;2.003547778256769;5.209131864698708;6.001042066839354;32.650895811053466;0.0562658990482622;0.0020965998859403;0.0390558599388581;0.3447810552386423;0.1576953661222531;0.0173562039104351;0.0125952559078765;0.0264008656448903;0.0353409632535676;0.0648810960730031;0.2435308349762703;21.700069285943282;0.8085956780106321;15.062673502619436;132.97170957388718;60.81837185236935;6.693767162137517;4.8576123459907325;10.182021853264876;13.629949298003444;25.022692322475127;93.9225371252982
11;385.67;0.000525;714.5390247195946;12;0.1015873686141902;1.0;1;1;0.313695;0.2784343466023418;2.1888950498290094;5.054604918807808;7.092876354904695;0.1126196440024936;0.2467806864207066;0.2349837491800937;0.2444973429732535;10.90883507865428;85.75915792878179;198.0353793268884;277.8932245002386;4.412347607368159;9.668669981313087;9.206475412426524;9.57921041068129;1.4815678949895668;38.307320379605194;8.530563484576467;0.6715078433804531;2.0192239745248948;5.233001533593265;6.034437219831781;32.01766793399309;0.0563317288237059;0.0020870205431334;0.0390454211864428;0.3449402579572122;0.1578573616253;0.0172542423610204;0.0123978758644541;0.026457827408038;0.0352953121586223;0.0638356090988161;0.2444973429732535;21.72545785543867;0.8049012128702937;15.058647588975408;133.03310928635807;60.88084865802948;6.654443651374764;4.78148878464402;10.203990296458043;13.612343040215864;24.61947936114044;94.29529026449472
12;385.67;0.000525;687.0567545380717;13;0.1020111755810143;1.0;1;1;0.311692;0.2781604653828591;2.1896457044978206;5.056565688211877;7.095672039842581;0.1126725999544968;0.2464071021171201;0.2346230164900078;0.2454567033275907;10.943569857408477;86.14646476509286;198.93869450986125;279.16254219088063;4.432838674326787;9.694308397380391;9.230691239965562;9.656917190361463;1.4862868426332747;39.06610863072641;8.70005950920224;0.6760691042400658;2.03400501120896;5.2540698266133035;6.064901412326472;31.38378643540119;0.0563940734774509;0.0020770345338853;0.0390296034399515;0.3451045881006917;0.1580204779047351;0.0171511784550903;0.0122024783720346;0.0265141509517623;0.0352463872761131;0.0628033241606943;0.2454567033275907;21.749502318048506;0.8010499086835767;15.052547158686112;133.0964864927938;60.94375771351921;6.614694994774713;4.706129833742595;10.225712597566192;13.593474180778548;24.221358029054983;94.66528677235193
13;385.67;0.000525;660.6314947481459;14;0.1023718389235425;1.0;1;1;0.329303;0.2778765212050432;2.1904275465965672;5.058594893473508;7.098574414336728;0.1127275989274079;0.2460366536286992;0.2342717975418802;0.2464131909667908;10.971050540147786;86.48190647424411;199.72216435471955;280.26411992261103;4.4506825540309665;9.713956940239342;9.249459867344097;9.728823292202224;1.490020622707582;39.82980289524832;8.870662377771227;0.6803073218449409;2.0478648050446164;5.272544553554368;6.092545235367012;30.75042754862416;0.0564435329392139;0.0020666961478906;0.0390068545030635;0.3452809417661839;0.1581875323641075;0.0170466713636177;0.0120094538667912;0.0265705263762061;0.0351920358410069;0.0617825638651266;0.2464131909667908;21.76857734866664;0.797062703356998;15.043773576196507;133.16450081096417;61.00818560686536;6.574389744806441;4.631686072805394;10.247454907511408;13.572512462801168;23.827681405863395;95.03417536016222
