;Carbon_T;PSII;PSI;Cyt6bf;ATPsyn;C_fix;Met;Ribosome
kcat_f;51.544473190226;3.69205776839722;37.9659872964601;1404.89106667044;4.9;3.45;3.45;4.55
kcat_b;0.0;0.0;0.0;702.44;0.0;0.0;0.0;0.0
