;rho;x_G;condition;mu;density;consistent;converged;run_time;rxn1_q;rxn2_q;Ribosome_q;rxn1_v;rxn2_v;Ribosome_v;rxn1_p;rxn2_p;Ribosome_p;G_b;AA_b;Protein_b;G_c;AA_c;Protein_c
0;340.0;100.0;1;1.6988461296790844;1.0;1;1;0.009903;1.0;0.8630309979603104;0.7509893498310329;577.6076840908887;498.4933360305034;433.7772191328252;63.53684524999777;75.6920381903999;116.10749550215353;0.1369690020396896;0.1120416481292774;0.7509893498310329;46.56946069349448;38.09416036395432;255.3363789425512
1;340.0;66.66666666666667;2;1.6798835556797371;1.0;1;1;0.013764;1.0;0.8651726012600754;0.753988982942784;571.1604089311105;494.15233673169746;430.6486558271528;65.68344702707772;75.24357730522999;115.42922986823892;0.1348273987399245;0.1111836183172912;0.753988982942784;45.84131557157434;37.80243022787904;256.35625420054663
2;340.0;44.44444444444445;3;1.652351479915586;1.0;1;1;0.0142319999999999;1.0;0.8681915940918141;0.7582566518583986;561.7995031712993;487.7496062182796;425.9882102903812;68.82043913848418;74.5732737886143;114.41354870475712;0.1318084059081858;0.1099349422334154;0.7582566518583986;44.8148580087832;37.377880359361264;257.8072616318555
3;340.0;29.62962962962964;4;1.6129652902005247;1.0;1;1;0.0129619999999999;1.0;0.8723380093411283;0.7641946235112576;548.4081986681784;478.3973163325528;419.0905969117156;73.34959657186886;73.57677747792532;112.8997979440335;0.1276619906588716;0.1081433858298707;0.7641946235112576;43.405076824016355;36.76875118215604;259.8261719938276
4;340.0;19.75308641975309;5;1.5577760395619311;1.0;1;1;0.0129979999999999;1.0;0.8778408637651279;0.7722167801213851;529.6438534510568;464.9430178013664;408.99987112305774;79.77760542606542;72.11068515453894;110.6654146606666;0.122159136234872;0.1056240836437427;0.7722167801213851;41.534106319856505;35.91218843887254;262.55370524127096
5;340.0;13.16872427983539;6;1.482592300341547;1.0;1;1;0.0105459999999999;1.0;0.8848365161496936;0.782658790697154;504.08138211612606;446.0296140075554;394.5237249399573;88.68681816605594;69.99271834332373;107.42445232765276;0.1151634838503063;0.1021777254525394;0.782658790697154;39.155584509104166;34.74042665386341;266.10398883703243
6;340.0;8.779149519890263;7;1.3839021431272671;1.0;1;1;0.0097249999999999;1.0;0.893289173043727;0.7956585296598742;470.5267286632709;420.31643234258337;374.3786050938887;100.64860805312776;67.02056825043195;102.85472378079756;0.1067108269562729;0.0976306433838527;0.7956585296598742;36.28168116513282;33.194418750509925;270.52390008435725
7;340.0;5.852766346593508;8;1.2603012327354253;1.0;1;1;0.0100929999999999;1.0;0.9029449006846177;0.8110504409344846;428.5024191300446;386.9140742844966;347.537075976916;116.06389743155192;63.02065780882639;96.67259467734648;0.0970550993153821;0.0918944597501332;0.8110504409344846;32.99873376722993;31.24411631504529;275.7571499177248
8;340.0;3.901844231062339;9;1.1140460787919195;1.0;1;1;0.00945;1.0;0.9133577783449898;0.8283325179338179;378.7756667892526;345.9577015097739;313.7522018036024;134.95362721815516;57.92466075651948;88.75476812282345;0.0866422216550101;0.0850252604111719;0.8283325179338179;29.45835536270344;28.908588539798473;281.63305609749807
9;340.0;2.601229487374893;10;0.9518967737613228;1.0;1;1;0.014295;1.0;0.9239875665693028;0.8467389382612238;323.64490307884984;299.0438664283843;274.042741606642;156.78446349735762;51.84424837322573;79.2625271382328;0.0760124334306971;0.0772486283080789;0.8467389382612238;25.84422736643705;26.264533624746857;287.89123900881606
10;340.0;1.734152991583262;11;0.7843698071866722;1.0;1;1;0.0172919999999999;1.0;0.9343216840866388;0.86539467940461;266.6857344434685;249.1702645271036;230.7884156604884;180.45300638528792;45.094069884982446;68.68711472729707;0.0656783159133612;0.0689270046820287;0.86539467940461;22.330627410542828;23.435181591889766;294.23419099756734
11;340.0;1.156101994388841;12;0.6232909065713462;1.0;1;1;0.0167309999999999;1.0;0.9439653766222404;0.8834858112883223;211.91890823425769;200.0441120247251;187.2273485686787;204.49657264458807;38.130547239246106;57.758055954195456;0.0560346233777595;0.060479565333918;0.8834858112883223;19.051771948438248;20.563052213532146;300.3851758380296
12;340.0;0.7707346629258942;13;0.4787173979249391;1.0;1;1;0.016725;1.0;0.9526750325399816;0.9003817427933066;162.76391529447932;155.06111829950288;146.5496577167054;227.45661103143368;31.42866266719186;47.24451885109874;0.0473249674600184;0.0522932897466749;0.9003817427933066;16.090488936406278;17.77971851386947;306.12979254972424
13;340.0;0.5138231086172628;14;0.3567796279672628;1.0;1;1;0.011365;1.0;0.9603449246626632;0.915682797164688;121.30507350886936;116.49471168007396;111.0769690208696;248.2138431808199;25.362206316101275;37.75610153907281;0.0396550753373368;0.044662127497975;0.915682797164688;13.482725614694516;15.185123349311516;311.33215103599395
14;340.0;0.3425487390781752;15;0.2592628939135256;1.0;1;1;0.0101349999999999;1.0;0.9669718152801204;0.9292049680128311;88.14938393059873;85.23796979519533;81.90884547558275;266.14878282003235;20.142851356750352;29.63805494757989;0.0330281847198795;0.0377668472672892;0.9292049680128311;11.229582804759051;12.84072807087836;315.92968912436254
15;340.0;0.2283658260521167;16;0.1845968430252921;1.0;1;1;0.010378;1.0;0.9726170717789094;0.9409308467248046;62.76292662859935;61.04429391378284;59.055573695574765;281.111313793718;15.826429791331046;22.978744301384587;0.0273829282210905;0.0316862250541047;0.9409308467248046;9.310195595170793;10.773316518395628;319.9164878864336
