;rxn1;rxn2;Ribosome
q0;1.0;0.8633873585390246;0.7500000000000004
1;1.0;0.8630309979603104;0.7509893498310329
2;1.0;0.8651726012600754;0.7539889829427842
3;1.0;0.8681915940918141;0.7582566518583986
4;1.0;0.8723380093411284;0.7641946235112577
5;1.0;0.8778408637651279;0.7722167801213852
6;1.0;0.8848365161496936;0.7826587906971542
7;1.0;0.893289173043727;0.7956585296598743
8;1.0;0.9029449006846179;0.8110504409344846
9;1.0;0.9133577783449899;0.8283325179338179
10;1.0;0.9239875665693028;0.8467389382612238
11;1.0;0.9343216840866387;0.86539467940461
12;1.0;0.9439653766222404;0.8834858112883224
13;1.0;0.9526750325399815;0.9003817427933066
14;1.0;0.9603449246626632;0.9156827971646881
15;1.0;0.9669718152801204;0.9292049680128311
16;1.0;0.9726170717789094;0.9409308467248046
17;1.0;0.9773760897062863;0.9509532692007251
18;1.0;0.9813571474218526;0.9594267926211458
19;1.0;0.9846684330753135;0.9665323066132285
20;1.0;0.9874109192100099;0.972454076266684
21;1.0;0.9896750613715857;0.9773664554804958
22;1.0;0.9915397735277854;0.9814272030662061
23;1.0;0.9930726845068447;0.9847749833897664
24;1.0;0.9943310449231207;0.9875293177227483
25;1.0;0.9953628877083848;0.989791810722422
