condition;iter;t;dt;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RBFK;RNAP;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
70;1000;0.00215267;2.62144e-06;0.967384;4.65706;84.2657;0.737071;54.0413;3.23007;55.5456;0.89188;0.0252047;690.934;0.319988;0.241615;0.0295798;0.326301;333.678;1.2711;14.2937;1.41559;186.845;0.458601;7.27694;13.428;26.0063;25.8341;121.579;1.31696;44.475;12.9292;2.72087;4478.06;411.113;31.1739;13.1687;0.811768;0.111735;0.246578;60.8371;698.807;0.193734;2.46788;7.25669;6.81744;0.186868;0.112307;0.823031;273.179;2.8127;2.68187;2.58163;26.048;26.8565;678.554;2.27378;616.119;61.1073;0.740321;1.42911;3435.88;1.65154;56.7245;1.56815;35.2869;2784.53;1.85257;3.07751;0.158051;0.621589;0.476484;0.446933;56.5292;0.258694;4857.82;4869.42;1395.79;516.054;3572.6;45.9534;1072.84;678.666;0.504319;0.426781;0.693826;131.903;26.8724;178.828;0.769277;72.0233;20.9768;24.1975;67.3885;0.0220796;4.83154;924.373;1.52139;4.75716;61.0733;0.182108;43.6836;37.4176;37.4092;37.4625;37.3238;35.0683;6.7499;7.18542;307.858;27.5802;1.02085;0.911526;97.064;58.5676;20.3716;122.377;4494.56;56.6337
70;1100;0.0023519;1.04858e-06;0.970934;4.67377;84.5343;0.743043;54.2167;3.24046;55.7259;0.89358;0.0269275;693.18;0.319388;0.251666;0.0322512;0.327356;334.765;1.27536;14.3418;1.41874;187.455;0.459572;7.30047;13.4701;26.0898;25.9197;121.976;1.32127;44.6221;12.9729;2.73034;4492.61;412.458;31.2885;13.21;0.818097;0.112113;0.247368;61.034;701.077;0.19263;2.47065;7.27864;6.83768;0.189407;0.112819;0.824858;274.069;2.82376;2.69654;2.58815;26.1353;26.9465;680.759;2.2793;618.122;61.3184;0.743142;1.42991;3447.04;1.65709;56.907;1.57087;35.395;2793.58;1.85833;3.09601;0.15165;0.620858;0.470465;0.446541;56.7154;0.261676;4873.61;4885.24;1400.33;517.737;3584.22;46.1047;1076.33;680.872;0.502092;0.430222;0.696066;132.332;26.9625;179.401;0.775731;72.2607;21.0474;24.2783;67.6097;0.0264781;4.844;927.377;1.523;4.76936;61.2711;0.181069;43.8199;37.5374;37.5289;37.5831;37.4472;35.1775;6.76993;7.20708;308.856;27.6683;1.0242;0.914383;97.3787;58.7531;20.4367;122.795;4509.17;56.7777
70;1200;0.0024987;2.09715e-06;0.973297;4.68495;84.7121;0.747197;54.3332;3.24736;55.8456;0.894651;0.0281668;694.67;0.318893;0.258691;0.0341714;0.328057;335.485;1.27821;14.3737;1.42075;187.861;0.460199;7.3161;13.4979;26.1452;25.9766;122.239;1.32415;44.7199;13.002;2.73666;4502.27;413.352;31.3651;13.2373;0.822529;0.112365;0.247892;61.1646;702.584;0.191773;2.47212;7.29308;6.85098;0.191216;0.113169;0.826091;274.66;2.83122;2.70664;2.59235;26.1934;27.0063;682.222;2.28286;619.451;61.4589;0.745047;1.42972;3454.45;1.66079;57.028;1.57251;35.4663;2799.58;1.86214;3.10886;0.14694;0.620423;0.465992;0.446323;56.8391;0.263814;4884.09;4895.75;1403.34;518.853;3591.92;46.2053;1078.64;682.336;0.501929;0.432665;0.697552;132.617;27.0225;179.78;0.780269;72.4182;21.0944;24.3322;67.7565;0.0296124;4.85206;929.371;1.52386;4.77725;61.4023;0.180261;43.9101;37.617;37.6083;37.6629;37.5291;35.25;6.78309;7.22132;309.519;27.7266;1.02642;0.916273;97.5873;58.8762;20.4799;123.073;4518.86;56.872
70;1300;0.00272436;8.38861e-07;0.976649;4.70063;84.9588;0.753243;54.4952;3.25699;56.0121;0.896057;0.0300317;696.744;0.318064;0.268942;0.0370414;0.329031;336.488;1.28223;14.4183;1.42344;188.425;0.461047;7.33786;13.5365;26.2221;26.0558;122.606;1.3282;44.8561;13.0426;2.74551;4515.7;414.595;31.4726;13.2752;0.829007;0.112718;0.248618;61.3464;704.68;0.190403;2.47364;7.31299;6.86928;0.193906;0.113668;0.827828;275.482;2.84178;2.72121;2.59799;26.2745;27.0897;684.257;2.28765;621.3;61.6549;0.747746;1.42908;3464.75;1.66593;57.196;1.57455;35.5649;2807.93;1.86742;3.12754;0.139736;0.619885;0.459057;0.446074;57.0115;0.267017;4898.66;4910.35;1407.53;520.405;3602.64;46.3455;1081.86;684.372;0.50164;0.436298;0.699615;133.012;27.106;180.308;0.786938;72.6372;21.1602;24.4074;67.9606;0.0342449;4.86296;932.143;1.52472;4.7879;61.5848;0.178968;44.0352;37.7275;37.7188;37.7735;37.6429;35.3509;6.80119;7.24096;310.44;27.8075;1.0295;0.918896;97.8772;59.0472;20.5399;123.46;4532.34;57.0016
70;1400;0.00282418;1.67772e-06;0.97804;4.70706;85.059;0.755803;54.5611;3.26092;56.0798;0.8966;0.0308418;697.588;0.317676;0.273284;0.0382807;0.329428;336.896;1.28389;14.4364;1.42449;188.655;0.461385;7.34672;13.5521;26.2534;26.0882;122.755;1.32987;44.9117;13.0592;2.74913;4521.17;415.102;31.5167;13.2906;0.831753;0.112862;0.248913;61.4203;705.533;0.189781;2.47407;7.32104;6.87665;0.195062;0.113877;0.828543;275.816;2.84614;2.72733;2.60022;26.3077;27.1238;685.086;2.28954;622.053;61.7348;0.748865;1.42869;3468.95;1.66802;57.2643;1.57529;35.6049;2811.33;1.86957;3.13543;0.13657;0.619691;0.455972;0.445992;57.0819;0.268403;4904.59;4916.3;1409.24;521.037;3607;46.4027;1083.17;685.201;0.501484;0.437864;0.700454;133.173;27.1401;180.523;0.789781;72.7264;21.187;24.4381;68.0437;0.0362212;4.86728;933.272;1.52495;4.79212;61.659;0.17838;44.086;37.7725;37.7637;37.8184;37.6891;35.392;6.80848;7.24889;310.815;27.8404;1.03076;0.919962;97.9951;59.1168;20.5643;123.619;4537.83;57.0538
70;1500;0.00302383;3.35544e-06;0.980677;4.71914;85.2455;0.760743;54.6841;3.26826;56.2062;0.897566;0.0324359;699.162;0.316869;0.281656;0.0407069;0.330167;337.657;1.28701;14.4704;1.42639;189.084;0.462005;7.36327;13.5812;26.3116;26.1485;123.033;1.333;45.0154;13.0902;2.75592;4531.36;416.046;31.5993;13.3192;0.837037;0.113132;0.249463;61.5583;707.123;0.188513;2.47456;7.33594;6.89028;0.197318;0.114273;0.829894;276.44;2.85437;2.73905;2.60426;26.3697;27.1874;686.63;2.29301;623.457;61.8843;0.750983;1.42775;3476.77;1.67193;57.3915;1.57652;35.6791;2817.67;1.87356;3.15062;0.130283;0.61937;0.449776;0.445876;57.2132;0.271126;4915.65;4927.38;1412.42;522.215;3615.13;46.5097;1085.61;686.746;0.501129;0.440929;0.702016;133.473;27.2039;180.922;0.795287;72.8925;21.2373;24.4956;68.1985;0.0400435;4.87514;935.377;1.52518;4.7998;61.7974;0.177181;44.1805;37.8565;37.8475;37.902;37.7753;35.4687;6.82196;7.26356;311.515;27.9017;1.03309;0.921952;98.2147;59.2465;20.6097;123.914;4548.07;57.1502
70;1600;0.00327817;6.71089e-07;0.98379;4.73319;85.4597;0.766738;54.8259;3.27676;56.3519;0.898604;0.0344185;700.978;0.315793;0.29178;0.0437021;0.331018;338.535;1.29067;14.5097;1.42848;189.579;0.462703;7.38239;13.6146;26.3787;26.2182;123.354;1.33666;45.1353;13.126;2.76381;4543.11;417.136;31.6955;13.3521;0.843379;0.113445;0.250096;61.7173;708.956;0.186866;2.47459;7.35293;6.90578;0.200087;0.114744;0.831481;277.16;2.86403;2.75309;2.60872;26.4415;27.261;688.411;2.2969;625.075;62.0571;0.753484;1.42632;3485.79;1.67645;57.5379;1.57769;35.7641;2824.98;1.87815;3.16894;0.122376;0.619076;0.441841;0.445804;57.365;0.274498;4928.4;4940.16;1416.09;523.573;3624.51;46.6334;1088.43;688.527;0.500612;0.444719;0.703813;133.819;27.2776;181.383;0.801982;73.0839;21.2956;24.5621;68.377;0.0446734;4.88386;937.804;1.52509;4.8083;61.957;0.175619;44.289;37.9532;37.9441;37.998;37.8744;35.5573;6.8373;7.28029;312.321;27.9721;1.03577;0.924259;98.4674;59.3962;20.662;124.256;4559.86;57.26
70;1700;0.00336474;1.34218e-06;0.9848;4.73768;85.5275;0.768708;54.8709;3.27946;56.3981;0.898915;0.0350816;701.553;0.315417;0.2951;0.0446982;0.331288;338.813;1.29185;14.5222;1.42912;189.736;0.462921;7.38845;13.6252;26.4;26.2404;123.456;1.33784;45.1734;13.1374;2.76632;4546.84;417.481;31.7262;13.3625;0.845438;0.113545;0.250296;61.7677;709.538;0.186299;2.47446;7.35827;6.91065;0.201002;0.114896;0.831991;277.388;2.86714;2.75767;2.61008;26.4643;27.2843;688.975;2.29811;625.588;62.112;0.754291;1.42579;3488.64;1.67788;57.5842;1.578;35.791;2827.3;1.87961;3.17494;0.119714;0.619;0.439131;0.445796;57.4132;0.275622;4932.44;4944.21;1417.25;524.004;3627.48;46.6728;1089.32;689.092;0.500423;0.445983;0.704381;133.929;27.3011;181.528;0.804184;73.1445;21.3141;24.5832;68.4335;0.0461911;4.88655;938.573;1.52497;4.81092;62.0075;0.17508;44.3233;37.9838;37.9747;38.0283;37.9058;35.5854;6.8421;7.28555;312.576;27.9944;1.03661;0.924997;98.5474;59.4436;20.6785;124.365;4563.6;57.2945
70;1800;0.00353788;2.68435e-06;0.986743;4.74626;85.656;0.772559;54.9563;3.28461;56.486;0.899483;0.0363907;702.647;0.314655;0.301566;0.046657;0.331802;339.342;1.29411;14.546;1.43029;190.034;0.463331;7.4;13.6452;26.4403;26.2825;123.65;1.34009;45.2458;13.1591;2.77111;4553.92;418.139;31.7848;13.3822;0.849404;0.113735;0.250676;61.8635;710.642;0.185159;2.47405;7.36836;6.91982;0.20279;0.115191;0.832971;277.822;2.8731;2.76656;2.61261;26.5078;27.3289;690.048;2.30041;626.563;62.2165;0.755847;1.42467;3494.08;1.6806;57.6721;1.5785;35.8418;2831.7;1.88236;3.18662;0.114435;0.618881;0.433698;0.445801;57.5049;0.277835;4940.12;4951.91;1419.46;524.822;3633.13;46.7477;1091.02;690.165;0.500028;0.448475;0.705461;134.138;27.3457;181.805;0.808471;73.2597;21.3495;24.6235;68.541;0.0491443;4.89154;940.036;1.52463;4.81578;62.1036;0.173995;44.3883;38.0421;38.0329;38.0859;37.9654;35.6389;6.85117;7.29547;313.062;28.0368;1.03821;0.92642;98.6992;59.5338;20.7099;124.572;4570.71;57.3596
70;1900;0.00376283;1.07374e-06;0.989133;4.7567;85.8105;0.777399;55.0594;3.29085;56.5919;0.900126;0.0380593;703.967;0.313645;0.309649;0.0491379;0.33242;339.98;1.29687;14.5748;1.43165;190.395;0.463818;7.41395;13.6693;26.489;26.3334;123.883;1.34285;45.3334;13.1853;2.77693;4562.46;418.932;31.8559;13.406;0.854243;0.113966;0.251133;61.9791;711.974;0.183667;2.4732;7.38041;6.93074;0.205018;0.115556;0.834166;278.345;2.88038;2.7776;2.61553;26.5606;27.3827;691.342;2.30318;627.739;62.3429;0.757762;1.42312;3500.63;1.68389;57.7779;1.57894;35.9029;2837.01;1.88568;3.20119;0.107672;0.618779;0.426616;0.445843;57.6159;0.28064;4949.39;4961.2;1422.13;525.808;3639.94;46.8383;1093.07;691.46;0.499488;0.451646;0.70676;134.389;27.3997;182.139;0.813798;73.3985;21.3923;24.6722;68.6706;0.0528273;4.89735;941.8;1.524;4.82143;62.2195;0.172572;44.4665;38.1123;38.103;38.1553;38.0371;35.7034;6.86198;7.30733;313.648;28.0877;1.04012;0.928206;98.8821;59.6425;20.7478;124.822;4579.28;57.4374
