condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2dr1p;2dr5p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;RNA;ac;acald;accoa;actp;ade;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;dump;e4p;f6p;fa;fdp;fmettrna;fmn;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gtp;gua;h2o;h;lac__L;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r5p;ribflv;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;AA;tRNA;AAtRNA;Protein
67;1000;0.00130104;1.31072e-06;0.244709;0.334755;0.184439;0.411476;0.217556;0.0469873;0.315506;0.296088;0.0153954;0.297707;0.406899;7.15246;19.3565;0.00172832;57.1351;0.267998;5.94034;0.163169;0.311767;0.214941;0.215019;0.0428753;0.193921;61.0931;1.79972;0.2016;0.247247;0.66916;0.338947;0.523559;0.0632228;0.310334;0.370044;0.347626;0.304634;0.230662;0.323202;0.1607;0.227686;0.307017;0.549058;0.21744;0.368951;0.117966;0.553116;0.432811;0.0150089;0.347214;0.305176;0.2303;0.499687;0.116843;0.94846;0.289643;0.253083;1.86;0.277283;0.240399;0.104397;0.577047;0.315628;0.345043;0.184919;0.244109;0.269729;0.22604;0.0539599;0.334092;1.07687;0.347802;0.269186;0.3153;0.499793;0.334904;0.328559;0.348926;0.580467;0.136921;0.308693;0.0223619;0.268826;0.423783;0.253261;0.296743;0.00153244;0.429928;0.261739;0.35666;0.887116;0.042337;0.0640967;0.263846;0.824508;0.321266;0.0236854;0.274495;0.337169;0.324688;0.266924;0.248639;0.327286;0.158031;0.314546;0.179364;0.338729;0.215654;0.292111;0.320334;0.0388157;0.315458;0.403283;4.4412;162.351
67;1100;0.00154876;2.62144e-06;0.239176;0.336234;0.16983;0.425349;0.213997;0.0469062;0.321061;0.297973;0.0160347;0.295821;0.425304;7.13719;19.358;0.00391401;57.1186;0.260276;5.94425;0.141044;0.312358;0.201542;0.228148;0.0452851;0.177955;61.0905;1.85753;0.175994;0.235281;0.669102;0.342399;0.555994;0.0667777;0.310273;0.362569;0.357927;0.303671;0.212518;0.324535;0.161277;0.20985;0.302519;0.565068;0.199569;0.361837;0.118419;0.573495;0.432249;0.0156295;0.357405;0.304354;0.212116;0.51415;0.103105;0.995841;0.285876;0.261454;1.98167;0.27293;0.230792;0.0646748;0.580538;0.333277;0.352695;0.158149;0.235159;0.262019;0.205336;0.0528632;0.34939;1.14576;0.359613;0.260129;0.316169;0.498112;0.355565;0.311741;0.358035;0.597062;0.138197;0.289143;0.0122179;0.260564;0.401458;0.244217;0.295957;0.00160915;0.436477;0.253817;0.36384;0.899426;0.0418275;0.065319;0.26062;0.835018;0.322528;0.0239653;0.261114;0.339176;0.326676;0.267656;0.231957;0.338456;0.138067;0.315061;0.149122;0.34495;0.197253;0.289346;0.334167;0.039477;0.316873;0.435848;4.75938;161.932
67;1200;0.00169085;1.04858e-06;0.236293;0.337297;0.16468;0.433201;0.213391;0.0470303;0.323548;0.298469;0.0166187;0.294799;0.435426;7.12882;19.3589;0.0017371;57.1099;0.256213;5.94639;0.130061;0.312347;0.194887;0.234649;0.0465368;0.168831;61.089;1.88876;0.16206;0.229235;0.669067;0.344435;0.572588;0.0687329;0.310242;0.357698;0.363528;0.303105;0.202354;0.324908;0.162533;0.199881;0.299954;0.573766;0.189437;0.357208;0.118962;0.582926;0.433168;0.0159243;0.362943;0.303871;0.201932;0.521663;0.0966668;1.02081;0.284174;0.265396;2.0451;0.270353;0.225632;0.0430596;0.583905;0.342109;0.356988;0.144011;0.230002;0.257981;0.194008;0.0522858;0.358308;1.18164;0.366478;0.255126;0.316656;0.499351;0.36962;0.299639;0.363129;0.603373;0.140202;0.275439;0.0123577;0.256123;0.388476;0.239456;0.294804;0.00164852;0.439797;0.249136;0.368079;0.904864;0.041799;0.0660236;0.258965;0.84054;0.323365;0.0243004;0.254067;0.340244;0.327903;0.269213;0.222087;0.344493;0.127659;0.315277;0.132145;0.348442;0.188335;0.287692;0.34184;0.0402391;0.317675;0.452874;4.92495;161.714
67;1300;0.00188274;2.09715e-06;0.232672;0.338953;0.160161;0.443644;0.213653;0.047329;0.326294;0.298873;0.0173655;0.293498;0.448617;7.11794;19.3602;0.00280443;57.0987;0.251047;5.94917;0.117095;0.312001;0.186808;0.242675;0.0481014;0.15667;61.087;1.92865;0.144109;0.221858;0.66902;0.347184;0.592901;0.0712036;0.310202;0.350744;0.37082;0.302339;0.188898;0.325136;0.16472;0.186709;0.29656;0.585027;0.175923;0.350609;0.119994;0.594068;0.433566;0.0163116;0.370148;0.303217;0.188448;0.53133;0.0898167;1.05217;0.282249;0.270181;2.1248;0.266857;0.218992;0.0167688;0.589026;0.351524;0.362668;0.126036;0.22309;0.252863;0.179203;0.0516599;0.370363;1.22666;0.375719;0.248718;0.317303;0.497851;0.388345;0.28337;0.369917;0.61263;0.143094;0.257109;0.0125677;0.250422;0.370744;0.233393;0.292581;0.00169747;0.44371;0.242684;0.373918;0.911499;0.0418093;0.0668709;0.256754;0.84773;0.324597;0.0247656;0.24507;0.341606;0.329638;0.271608;0.209122;0.352247;0.114258;0.315439;0.109681;0.353065;0.178076;0.285322;0.352066;0.0413163;0.318762;0.474316;5.13266;161.44
67;1400;0.00198717;8.38861e-07;0.230817;0.33995;0.158586;0.44923;0.214153;0.04753;0.327558;0.299061;0.0177166;0.292822;0.455572;7.11222;19.3609;0.00174025;57.093;0.248362;5.95064;0.110921;0.311659;0.182775;0.24673;0.0489171;0.150152;61.0859;1.9493;0.134728;0.218201;0.668994;0.348674;0.602986;0.0724406;0.310182;0.346854;0.374663;0.301922;0.181699;0.325153;0.166034;0.179679;0.294753;0.590936;0.168655;0.346923;0.120681;0.599571;0.433779;0.0165234;0.373944;0.302862;0.181236;0.536439;0.0869666;1.06788;0.281343;0.272591;2.16567;0.264951;0.215509;0.00918779;0.591899;0.351193;0.3657;0.116724;0.219365;0.250208;0.171374;0.0513815;0.37688;1.24973;0.380699;0.245365;0.31765;0.498689;0.398391;0.274586;0.373568;0.617985;0.144699;0.247248;0.0126827;0.24744;0.361024;0.230245;0.291079;0.00172284;0.445501;0.23912;0.377141;0.914753;0.0416583;0.0672128;0.255603;0.85152;0.325308;0.0250124;0.240394;0.342314;0.330614;0.27301;0.202225;0.356311;0.105979;0.315437;0.0976966;0.355533;0.173338;0.283944;0.358529;0.0418909;0.319363;0.48533;5.23905;161.3
67;1500;0.00213985;1.67772e-06;0.228231;0.341525;0.157088;0.457255;0.215164;0.047852;0.329152;0.299363;0.018149;0.291865;0.465469;7.10409;19.362;0.00142003;57.0852;0.244544;5.95277;0.102988;0.31097;0.177277;0.252299;0.0500603;0.140779;61.0844;1.97818;0.121478;0.213303;0.668956;0.350843;0.616537;0.0741096;0.310153;0.341109;0.380145;0.301311;0.1713;0.325085;0.168029;0.169543;0.292167;0.599332;0.158145;0.341488;0.121794;0.607078;0.433842;0.016831;0.379359;0.302343;0.170817;0.54377;0.0837874;1.08811;0.280136;0.275906;2.22265;0.262161;0.21053;0.00810804;0.596142;0.344334;0.370049;0.103654;0.213974;0.246441;0.160189;0.0509982;0.386303;1.28186;0.387862;0.240574;0.318148;0.498925;0.41288;0.26186;0.378859;0.626139;0.147068;0.232999;0.0128519;0.243184;0.346742;0.225782;0.288526;0.00175819;0.447499;0.233853;0.381901;0.918845;0.041525;0.0676111;0.254133;0.856877;0.326387;0.0253515;0.233844;0.343309;0.332071;0.275116;0.1923;0.362251;0.0922358;0.315241;0.0805276;0.359076;0.167424;0.281781;0.369039;0.0426752;0.320242;0.500718;5.38722;161.104
67;1600;0.00218723;1.34218e-07;0.227456;0.342043;0.156779;0.459707;0.215527;0.0479569;0.329588;0.299466;0.0182831;0.291574;0.468477;7.10163;19.3624;0.001743;57.0828;0.24338;5.95342;0.100785;0.310711;0.175659;0.253944;0.0503929;0.137912;61.084;1.98687;0.117478;0.211872;0.668945;0.351513;0.620464;0.074604;0.310144;0.339321;0.38182;0.301122;0.168098;0.325049;0.168658;0.166426;0.291379;0.601885;0.154911;0.339799;0.122159;0.609299;0.433787;0.0169234;0.381014;0.302182;0.167609;0.546015;0.083011;1.09373;0.279782;0.276891;2.23971;0.261295;0.209007;0.00802198;0.597468;0.342639;0.371376;0.0997309;0.212316;0.245294;0.156764;0.0508891;0.3892;1.29147;0.390051;0.239108;0.318301;0.49865;0.417327;0.257942;0.380495;0.628728;0.147803;0.228621;0.0129046;0.241884;0.342288;0.224425;0.287662;0.00176845;0.447992;0.232205;0.38339;0.920051;0.0415417;0.0677562;0.253726;0.858491;0.32673;0.0254498;0.231884;0.34361;0.33253;0.275776;0.189254;0.364094;0.0880804;0.315116;0.0752975;0.360158;0.16581;0.281076;0.372129;0.0429003;0.320514;0.505329;5.43157;161.046
67;1700;0.00221112;2.68435e-07;0.227071;0.34231;0.156647;0.460936;0.215716;0.0480105;0.329799;0.299518;0.0183519;0.291428;0.469983;7.10039;19.3626;0.00174309;57.0816;0.242797;5.95374;0.0997234;0.310573;0.174858;0.254759;0.0505572;0.136476;61.0837;1.99121;0.115481;0.211165;0.668939;0.35185;0.622391;0.0748491;0.31014;0.33842;0.382661;0.301026;0.166487;0.32503;0.168977;0.164859;0.290984;0.603163;0.153286;0.338947;0.122346;0.610401;0.433842;0.0169698;0.381844;0.302101;0.165996;0.547143;0.0826537;1.09646;0.279607;0.27738;2.24821;0.260859;0.208243;0.00798324;0.598138;0.341884;0.372041;0.0977785;0.211484;0.244719;0.155044;0.0508355;0.390656;1.29625;0.391148;0.238372;0.318378;0.498591;0.419561;0.255973;0.381318;0.630042;0.148174;0.226422;0.0129312;0.241232;0.340039;0.223746;0.287215;0.00177351;0.448223;0.231372;0.384142;0.920657;0.0415544;0.0678311;0.253527;0.859295;0.326904;0.0254981;0.230909;0.34376;0.332763;0.27611;0.187724;0.36502;0.0860155;0.315039;0.0726805;0.360699;0.165035;0.280715;0.373651;0.0430102;0.320652;0.507625;5.45364;161.017
67;1800;0.0022589;5.36871e-07;0.226309;0.342854;0.156429;0.463378;0.216107;0.0481191;0.330202;0.299626;0.0184876;0.29114;0.472972;7.09794;19.3629;0.00174346;57.0793;0.241637;5.9544;0.0976909;0.31028;0.173283;0.256367;0.0508798;0.13362;61.0833;1.99979;0.111528;0.209776;0.668927;0.352521;0.626149;0.075331;0.310131;0.336617;0.384335;0.300836;0.163275;0.324987;0.169617;0.161732;0.290198;0.605704;0.150046;0.337245;0.122727;0.612573;0.433896;0.0170619;0.383497;0.30194;0.162776;0.549389;0.082002;1.10171;0.279264;0.278344;2.26501;0.259986;0.206722;0.00791301;0.599483;0.340553;0.373361;0.093927;0.209825;0.243577;0.151619;0.0507293;0.393556;1.3057;0.393332;0.236908;0.318531;0.49853;0.42401;0.252047;0.382965;0.632681;0.148919;0.222039;0.0129845;0.239935;0.335535;0.222399;0.286301;0.00178345;0.448654;0.229702;0.38565;0.921871;0.0415856;0.0679821;0.253141;0.860885;0.327256;0.0255918;0.228988;0.344057;0.33323;0.27678;0.184676;0.366866;0.0819488;0.314851;0.0674897;0.361776;0.163558;0.279981;0.376628;0.0432226;0.320928;0.512162;5.49726;160.959
67;1900;0.00235446;1.07374e-06;0.22482;0.343986;0.156153;0.468193;0.216931;0.0483409;0.330947;0.299845;0.0187554;0.290571;0.478865;7.09312;19.3637;0.00174442;57.0748;0.239345;5.95569;0.0939837;0.309635;0.170237;0.259487;0.0515047;0.127987;61.0824;2.01663;0.103782;0.207094;0.668903;0.353856;0.633287;0.0762612;0.310114;0.333017;0.387653;0.300455;0.15688;0.324894;0.170902;0.155511;0.288648;0.610717;0.143607;0.333849;0.123509;0.616801;0.433918;0.0172438;0.386774;0.301617;0.156369;0.553844;0.0809254;1.11151;0.2786;0.280224;2.29782;0.258242;0.20371;0.00779621;0.602191;0.338526;0.37596;0.0864527;0.206538;0.241321;0.144819;0.0505122;0.399305;1.32413;0.397651;0.234005;0.318834;0.498494;0.432835;0.244247;0.386251;0.638003;0.150409;0.21334;0.0130912;0.237371;0.326508;0.219744;0.284396;0.00180271;0.44942;0.226348;0.388679;0.924309;0.0416631;0.0682816;0.252405;0.863984;0.327968;0.0257681;0.225265;0.34464;0.334173;0.278125;0.17863;0.370508;0.0740884;0.314318;0.0573046;0.363895;0.160891;0.278473;0.382319;0.0436182;0.321481;0.521026;5.58242;160.847
67;2000;0.00254559;2.14748e-06;0.221975;0.346458;0.156134;0.477509;0.218706;0.0488006;0.332236;0.300287;0.0192697;0.289469;0.490318;7.08377;19.3652;0.00248422;57.0662;0.234869;5.95825;0.0879131;0.308122;0.164521;0.265396;0.0526854;0.117082;61.0806;2.04903;0.0889122;0.202065;0.668855;0.35648;0.64617;0.0780003;0.310082;0.325857;0.394178;0.299695;0.144216;0.324682;0.173477;0.143197;0.285627;0.620483;0.130897;0.327105;0.125155;0.62487;0.433335;0.0175996;0.39322;0.300975;0.143679;0.562621;0.0794993;1.12871;0.277349;0.283816;2.36058;0.254763;0.197804;0.00762845;0.607691;0.336409;0.380944;0.0725798;0.200098;0.236923;0.131374;0.049977;0.410572;1.35933;0.406104;0.2283;0.319429;0.498311;0.45019;0.228866;0.392802;0.648783;0.153372;0.196219;0.0133026;0.232361;0.308388;0.214596;0.280326;0.00183909;0.450682;0.219589;0.394776;0.929261;0.0418505;0.0688482;0.251027;0.869833;0.329429;0.0260785;0.218337;0.345764;0.336086;0.280831;0.166733;0.377412;0.0596888;0.312301;0.0380735;0.367956;0.1566;0.275317;0.392696;0.0442982;0.322588;0.537966;5.74503;160.633
