condition;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RBFK;RNAP;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
11;0.0804695;0.394693;7.12074;0.0680997;4.57456;0.271541;4.702;0.0758029;0.00265876;58.472;0.0266793;0.03683;0.00874363;0.0275253;28.258;0.105364;1.21068;0.119933;15.8257;0.0367668;0.614332;1.13684;2.20274;2.18818;10.2994;0.109372;3.77361;1.09738;0.232813;379.205;34.8352;2.66144;1.11284;0.0711206;0.0095657;0.0208581;5.15902;59.1755;0.0235739;0.19754;0.609659;0.571857;0.0160665;0.00993383;0.0534995;23.1372;0.239659;0.234723;0.214143;2.19749;2.28311;57.4865;0.18938;52.1772;5.163;0.0618442;0.0977703;291.015;0.140091;4.82751;0.126078;2.99554;235.746;0.1565;0.268625;0.0069135;0.0465591;0.0204477;0.0333799;4.8786;0.0256011;411.385;412.367;118.205;43.6851;302.551;3.92099;90.8433;57.49;0.0342531;0.0386242;0.052991;11.1834;2.28452;15.1337;0.0658176;6.10133;1.78458;2.05665;5.70548;0.0156285;0.402091;78.272;0.122555;0.395781;5.15186;0.0107529;3.64546;3.16196;3.16136;3.16334;3.15816;2.9593;0.566148;0.603518;26.0706;2.33392;0.0743748;0.0737682;8.20581;4.94566;1.7044;10.521;380.643;4.93067
12;0.0995867;0.485404;8.74455;0.0847188;5.61901;0.334151;5.77551;0.0926433;0.00391824;71.8188;0.0321038;0.045906;0.0109584;0.0338162;34.7067;0.130265;1.48755;0.146778;19.4391;0.0455281;0.755145;1.3956;2.7049;2.68815;12.6504;0.13516;4.63494;1.34809;0.28593;465.736;42.7854;3.27025;1.36649;0.0876899;0.0117452;0.025614;6.33503;72.6788;0.0265627;0.241608;0.748616;0.702142;0.0199748;0.0121745;0.0673719;28.4174;0.295069;0.289114;0.26373;2.70056;2.80426;70.6023;0.233125;64.0835;6.34405;0.0764985;0.121127;357.415;0.172069;5.92426;0.154639;3.67619;289.545;0.192182;0.332077;0.00674666;0.0577234;0.0253872;0.0414168;5.9844;0.0324312;505.257;506.463;145.18;53.6559;371.587;4.81171;111.572;70.607;0.042443;0.0485712;0.0666884;13.7325;2.80603;18.586;0.0813548;7.49341;2.19211;2.52616;7.0065;0.0175027;0.494139;96.1322;0.150624;0.486386;6.33016;0.013037;4.48368;3.88376;3.883;3.88554;3.87891;3.63508;0.69514;0.741059;32.019;2.86604;0.0921045;0.091259;10.0779;6.07434;2.09593;12.902;467.497;6.03548
13;0.122665;0.594233;10.6896;0.104893;6.87051;0.409283;7.06182;0.112754;0.00557327;87.8109;0.0384547;0.0569789;0.0136751;0.0413654;42.4332;0.160259;1.81941;0.178855;23.769;0.0560793;0.92397;1.70549;3.30645;3.28734;15.4673;0.166209;5.66711;1.64856;0.349596;569.412;52.3111;3.99994;1.67032;0.107589;0.0143568;0.0313111;7.74385;88.8576;0.0299631;0.294068;0.914984;0.858096;0.0246989;0.0148796;0.0842131;34.7439;0.361547;0.35441;0.323304;3.30367;3.4287;86.3165;0.285629;78.349;7.76006;0.0941611;0.149299;436.97;0.210397;7.23779;0.188695;4.49142;354.004;0.234926;0.408731;0.00602897;0.0710657;0.0312996;0.0510304;7.30781;0.0408497;617.727;619.202;177.498;65.6027;454.302;5.87847;136.407;86.3226;0.0523234;0.0606279;0.0833008;16.7863;3.43091;22.7223;0.100064;9.16127;2.68046;3.08872;8.56515;0.0196146;0.604498;117.531;0.184279;0.595015;7.7423;0.0156515;5.48847;4.74862;4.74767;4.75091;4.74249;4.44486;0.849548;0.905725;39.1459;3.50347;0.113483;0.112332;12.321;7.42667;2.56538;15.7528;571.559;7.35453
14;0.150227;0.723499;12.9964;0.129121;8.35522;0.498528;8.58782;0.136549;0.0077053;106.783;0.0458173;0.0703635;0.0169735;0.0503178;51.5989;0.196005;2.21323;0.216817;28.906;0.0686454;1.12436;2.07294;4.01994;3.99829;18.809;0.203198;6.89175;2.00507;0.425153;692.398;63.6114;4.86582;2.03067;0.131241;0.0174556;0.0380681;9.41488;108.05;0.0338327;0.355901;1.1122;1.04292;0.0303437;0.0181106;0.104393;42.249;0.440509;0.432048;0.394145;4.01953;4.1695;104.957;0.348004;95.2715;9.44102;0.115226;0.182908;531.341;0.255909;8.7955;0.2289;5.45822;430.471;0.285623;0.500333;0.00461157;0.0868163;0.0382895;0.0623891;8.87603;0.0510515;751.146;752.939;215.837;79.7751;552.423;7.14351;165.869;104.965;0.064112;0.0750752;0.103193;20.4087;4.17224;27.629;0.122352;11.1397;3.25987;3.7561;10.414;0.0219958;0.735493;142.916;0.224231;0.723955;9.41785;0.0186061;6.68078;5.77464;5.77345;5.77753;5.76697;5.40556;1.03254;1.10091;47.6;4.25949;0.13898;0.137449;14.9816;9.03086;3.12261;19.1326;695.003;8.91367
15;0.18269;0.875213;15.6998;0.157855;10.0957;0.603256;10.3767;0.164389;0.0103889;129.022;0.054257;0.0863557;0.0209284;0.0608124;62.3434;0.238068;2.67502;0.26123;34.9284;0.0834119;1.35937;2.5035;4.85618;4.83187;22.7265;0.246707;8.32756;2.42308;0.513758;836.565;76.8581;5.88111;2.453;0.159008;0.0210888;0.0459873;11.3735;130.548;0.0382316;0.427924;1.3432;1.25938;0.0370019;0.0219222;0.128226;51.0468;0.533174;0.523262;0.477377;4.85909;5.03795;126.807;0.421201;115.109;11.413;0.140033;0.222499;641.964;0.309466;10.6211;0.275798;6.59129;520.108;0.345041;0.607587;0.00284646;0.105181;0.0464502;0.0756434;10.7124;0.0631575;907.541;909.707;260.779;96.3887;667.441;8.62604;200.405;126.817;0.0780008;0.0921332;0.126667;24.6545;5.04133;33.3807;0.148578;13.4589;3.93921;4.53846;12.5811;0.0246774;0.889133;172.673;0.271093;0.875186;11.3824;0.0218945;8.07871;6.97745;6.97598;6.98106;6.96794;6.53185;1.24685;1.32953;57.51;5.14563;0.169007;0.167013;18.1003;10.9113;3.77616;23.0929;839.706;10.7347
16;0.220281;1.05076;18.8235;0.191379;12.1075;0.724377;12.4445;0.196537;0.0136804;154.729;0.0638216;0.105145;0.025589;0.0729462;74.7625;0.286799;3.20893;0.312499;41.8899;0.10048;1.63107;3.00097;5.82269;5.79555;27.2545;0.297095;9.98747;2.90633;0.616202;1003.2;92.1695;7.05485;2.94108;0.191129;0.0252887;0.0551392;13.6373;156.551;0.0431973;0.510669;1.60999;1.50931;0.0447507;0.0263512;0.155926;61.2159;0.640341;0.628869;0.573741;5.82993;6.04181;152.062;0.505843;138.037;13.694;0.168794;0.268497;769.826;0.371732;12.7307;0.329719;7.90071;623.716;0.41371;0.729055;0.00281667;0.126472;0.0559127;0.0910104;12.8321;0.0771544;1088.31;1090.91;312.725;115.592;800.384;10.3392;240.323;152.075;0.0941389;0.111914;0.153911;29.5619;6.04593;40.0287;0.179016;16.1394;4.72456;5.44279;15.0859;0.0276632;1.0668;207.067;0.325285;1.05007;13.6535;0.0254785;9.69479;8.36783;8.36602;8.37229;8.35616;7.83383;1.49431;1.59355;68.9644;6.17003;0.203885;0.201337;21.7048;13.0847;4.53196;27.6686;1006.96;12.8317
17;0.263347;1.25066;22.376;0.229853;14.3961;0.862237;14.7967;0.23307;0.017643;183.973;0.0744803;0.12686;0.0309706;0.0867511;88.89;0.34236;3.81644;0.370745;49.8096;0.119895;1.94022;3.56666;6.92202;6.892;32.4055;0.354521;11.876;3.45614;0.732772;1192.75;109.587;8.3902;3.49622;0.227678;0.0300672;0.065548;16.2124;186.132;0.0488419;0.604275;1.91326;1.79335;0.0536216;0.0314162;0.187573;72.7839;0.762329;0.749214;0.683559;6.93477;7.18382;180.79;0.602176;164.119;16.2908;0.201612;0.321062;915.273;0.442622;15.1301;0.390778;9.39004;741.576;0.491811;0.8668;0.00326805;0.150936;0.0667877;0.10867;15.2406;0.0929161;1293.94;1297.03;371.816;137.438;951.611;12.2877;285.732;180.806;0.112584;0.134354;0.184915;35.1441;7.18879;47.5912;0.213776;19.1886;5.61807;6.47153;17.9352;0.0309981;1.269;246.193;0.386962;1.2491;16.2374;0.0293344;11.5332;9.94957;9.94738;9.95502;9.9354;9.31506;1.77554;1.89367;81.994;7.33526;0.243737;0.240547;25.8048;15.5569;5.39208;32.8724;1197.22;15.2084
18;0.31085;1.47184;26.3285;0.270009;16.9379;1.0151;17.4092;0.273858;0.0211344;216.458;0.0872245;0.147076;0.0355921;0.102098;104.581;0.403636;4.49052;0.435629;58.6025;0.141591;2.28334;4.19584;8.14347;8.10894;38.1249;0.417882;13.9712;4.06605;0.861453;1403.3;128.929;9.87029;4.11361;0.268292;0.0353425;0.077121;19.0721;218.988;0.0537575;0.712321;2.25177;2.1108;0.0641887;0.0367848;0.22561;85.6313;0.897155;0.881546;0.804294;8.16231;8.44979;212.697;0.708941;193.089;19.1769;0.237647;0.382147;1076.82;0.520827;17.7909;0.460781;11.0416;872.497;0.57866;1.0198;0.00386045;0.180433;0.0798978;0.129955;17.9002;0.108051;1522.34;1525.98;437.448;161.703;1119.58;14.4485;336.171;212.717;0.134017;0.158703;0.219016;41.3431;8.45566;55.9897;0.253698;22.5755;6.60795;7.61216;21.1018;0.0336793;1.49364;289.652;0.455496;1.47022;19.1101;0.0352704;13.5863;11.7071;11.7045;11.7139;11.6899;10.9612;2.08984;2.22874;96.4667;8.63003;0.28997;0.285823;30.3642;18.3065;6.35038;38.6306;1408.54;17.8301
19;0.36247;1.71341;30.6515;0.313185;19.7168;1.18201;20.2653;0.318516;0.024687;251.977;0.10142;0.168336;0.0402898;0.11888;121.737;0.470323;5.22734;0.506661;68.2151;0.165213;2.65827;4.88401;9.4791;9.43926;44.3778;0.486844;16.2613;4.7327;1.002;1633.51;150.075;11.4876;4.78883;0.312606;0.0411046;0.0897776;22.1987;254.911;0.0596038;0.831459;2.62229;2.45836;0.0758945;0.0426564;0.268555;99.678;1.04436;1.02586;0.935954;9.50442;9.83348;247.582;0.825502;224.764;22.3336;0.276835;0.44956;1253.44;0.606241;20.7001;0.537858;12.8475;1015.65;0.673641;1.1871;0.00449918;0.212675;0.0942321;0.153222;20.8041;0.123925;1772.07;1776.3;509.208;188.235;1303.24;16.8109;391.321;247.607;0.157672;0.184615;0.254872;48.1214;9.84032;65.1726;0.297627;26.2789;7.68973;8.85895;24.5646;0.0370151;1.73925;337.171;0.53043;1.71198;22.2511;0.0421485;15.8315;13.629;13.6258;13.6374;13.6085;12.7613;2.43394;2.5955;112.291;10.0458;0.340972;0.3357;35.3509;21.3138;7.39849;44.9258;1639.59;20.6898
20;0.417493;1.97194;35.2781;0.359307;22.6907;1.36049;23.322;0.366311;0.0284778;289.992;0.116622;0.191203;0.0452735;0.136839;140.098;0.541521;6.01592;0.582708;78.5026;0.190372;3.05939;5.62054;10.9086;10.863;51.0698;0.560465;18.7124;5.44618;1.15246;1879.88;172.706;13.2185;5.5115;0.359955;0.0472726;0.103323;25.5449;293.359;0.0663815;0.958975;3.01882;2.83031;0.0884263;0.0489856;0.314209;114.711;1.20189;1.18029;1.07685;10.9408;11.3144;284.918;0.950157;258.664;25.7128;0.318686;0.521866;1442.48;0.697684;23.8144;0.620345;14.7806;1168.85;0.775293;1.36617;0.00515839;0.246732;0.109379;0.177803;23.9112;0.140824;2039.34;2044.21;586.01;216.631;1499.8;19.3399;450.346;284.947;0.183047;0.212228;0.293042;55.3763;11.3223;75.001;0.344656;30.2424;8.84757;10.1934;28.2708;0.040952;2.00213;388.028;0.610639;1.97074;25.6126;0.0495003;18.233;15.686;15.6823;15.6962;15.662;14.688;2.8022;2.98802;129.227;11.5611;0.395651;0.389106;40.688;24.5324;8.51997;51.6666;1886.87;23.7472
