condition;iter;t;dt;mu;doubling_time;density;consistent;mu_diff
67;0;0;0.01;0.122181;6.01305;1;1;0
67;100;6.016e-05;6.4e-07;0.246099;3.15041;1;1;0
67;200;0.00018432;1.28e-06;0.288053;2.73829;1;1;0
67;300;0.00043264;2.56e-06;0.315083;2.53066;1;1;0
67;400;0.00073984;1.024e-06;0.327967;2.44367;1;1;0
67;500;0.00088832;2.048e-06;0.331788;2.41917;1;1;0
67;600;0.00118528;4.096e-06;0.336989;2.38671;1;1;0
67;700;0.00144038;3.2768e-07;0.340154;2.36743;1;1;0
67;800;0.00148658;6.5536e-07;0.340639;2.36451;1;1;0
67;900;0.00157899;1.31072e-06;0.341549;2.35905;1;1;0
67;1000;0.0017638;2.62144e-06;0.343144;2.34955;1;1;0
67;1100;0.00193671;2.09715e-07;0.34443;2.34195;1;1;0
67;1200;0.00196544;4.1943e-07;0.344629;2.34078;1;1;0
67;1300;0.0020229;8.38861e-07;0.345014;2.33852;1;1;0
67;1400;0.00213783;1.67772e-06;0.345742;2.33426;1;1;0
67;1500;0.00236767;3.35544e-06;0.347037;2.32672;1;1;0
67;1600;0.00263812;1.34218e-06;0.348357;2.31909;1;1;0
67;1700;0.00281797;2.68435e-06;0.349136;2.31462;1;1;0
67;1800;0.00303487;1.07374e-06;0.349991;2.30974;1;1;0
67;1900;0.0031766;2.14748e-06;0.350506;2.3068;1;1;0
67;2000;0.00341798;8.58993e-07;0.351317;2.30221;1;1;0
67;2100;0.00351333;1.71799e-06;0.351616;2.30051;1;1;0
67;2200;0.00370403;3.43597e-06;0.352184;2.29731;1;1;0
67;2300;0.00381879;6.87195e-07;0.352507;2.29549;1;1;0
67;2400;0.00394386;1.37439e-06;0.352845;2.2936;1;1;0
67;2500;0.004194;2.74878e-06;0.353478;2.29005;1;1;0
67;2600;0.00433693;1.09951e-06;0.353818;2.28816;1;1;0
67;2700;0.00453484;2.19902e-06;0.354263;2.28567;1;1;0
67;2800;0.00471165;8.79609e-07;0.354639;2.28358;1;1;0
67;2900;0.00485326;1.75922e-06;0.354927;2.28198;1;1;0
67;3000;0.00504291;7.03687e-07;0.355295;2.27995;1;1;0
67;3100;0.00513579;1.40737e-06;0.355468;2.27899;1;1;0
67;3200;0.00532157;2.81475e-06;0.355802;2.27714;1;1;0
67;3300;0.00554787;1.1259e-06;0.356187;2.27502;1;1;0
67;3400;0.00569537;2.2518e-06;0.356427;2.2737;1;1;0
67;3500;0.0059246;9.0072e-07;0.356781;2.27176;1;1;0
67;3600;0.00602998;1.80144e-06;0.356936;2.2709;1;1;0
67;3700;0.00624075;3.60288e-06;0.357236;2.26927;1;1;0
67;3800;0.00634379;7.20576e-07;0.357376;2.2685;1;1;0
67;3900;0.00647926;1.44115e-06;0.357555;2.26752;1;1;0
67;4000;0.0067502;2.8823e-06;0.357894;2.26567;1;1;0
67;4100;0.00681649;5.76461e-07;0.357974;2.26523;1;1;0
67;4200;0.0069289;1.15292e-06;0.358106;2.26451;1;1;0
67;4300;0.00715372;2.30584e-06;0.358356;2.26315;1;1;0
67;4400;0.00727778;9.22337e-07;0.358488;2.26244;1;1;0
67;4500;0.00745025;1.84467e-06;0.358661;2.26149;1;1;0
67;4600;0.00761443;7.3787e-07;0.358817;2.26064;1;1;0
67;4700;0.00773249;1.47574e-06;0.358926;2.26006;1;1;0
67;4800;0.00792551;5.90296e-07;0.359097;2.25913;1;1;0
67;4900;0.00799458;1.18059e-06;0.359156;2.25881;1;1;0
67;5000;0.00813271;2.36118e-06;0.359272;2.25818;1;1;0
67;5100;0.00835891;9.44473e-07;0.359453;2.2572;1;1;0
67;5200;0.00846469;1.88895e-06;0.359532;2.25677;1;1;0
67;5300;0.00867625;3.77789e-06;0.359681;2.25597;1;1;0
67;5400;0.00878732;7.55579e-07;0.359757;2.25556;1;1;0
67;5500;0.00892862;1.51116e-06;0.35985;2.25506;1;1;0
67;5600;0.00909212;6.04463e-07;0.359955;2.25449;1;1;0
67;5700;0.00918158;1.20893e-06;0.360011;2.25419;1;1;0
67;5900;0.00932451;1.54743e-10;0.3601;2.25371;1;1;0
67;6000;0.00932451;4.95176e-13;0.3601;2.25371;1;1;0
67;6100;0.00932451;9.90352e-13;0.3601;2.25371;1;1;0
67;6200;0.00932451;1.9807e-12;0.3601;2.25371;1;1;0
67;6300;0.00932451;3.96141e-12;0.3601;2.25371;1;1;0
67;6400;0.00932451;7.92282e-12;0.3601;2.25371;1;1;0
67;6500;0.00932451;1.58456e-11;0.3601;2.25371;1;1;0
67;6600;0.00932452;3.16913e-11;0.3601;2.25371;1;1;0
67;6700;0.00932452;6.33825e-11;0.3601;2.25371;1;1;0
67;6800;0.00932453;1.26765e-10;0.3601;2.25371;1;1;0
67;6900;0.00932456;2.5353e-10;0.3601;2.25371;1;1;0
67;7000;0.00932457;1.01412e-10;0.3601;2.25371;1;1;0
67;7100;0.00932459;2.02824e-10;0.3601;2.25371;1;1;0
67;7200;0.0093246;8.11296e-11;0.3601;2.25371;1;1;0
67;7300;0.00932461;1.62259e-10;0.3601;2.25371;1;1;0
67;7400;0.00932462;6.49037e-11;0.3601;2.25371;1;1;0
67;7500;0.00932464;1.29807e-10;0.3601;2.25371;1;1;0
67;7600;0.00932466;2.59615e-10;0.3601;2.25371;1;1;0
67;7700;0.00932467;1.03846e-10;0.3601;2.25371;1;1;0
67;7800;0.00932469;2.07692e-10;0.3601;2.25371;1;1;0
67;7900;0.0093247;8.30767e-11;0.3601;2.25371;1;1;0
67;8000;0.00932472;1.66153e-10;0.3601;2.25371;1;1;0
67;8100;0.00932473;6.64614e-11;0.3601;2.25371;1;1;0
67;8200;0.00932474;1.32923e-10;0.3601;2.25371;1;1;0
67;8300;0.00932476;2.65846e-10;0.3601;2.25371;1;1;0
67;8400;0.00932478;1.06338e-10;0.3601;2.25371;1;1;0
67;8500;0.00932479;2.12676e-10;0.3601;2.25371;1;1;0
67;8600;0.00932481;8.50706e-11;0.3601;2.25371;1;1;0
67;8700;0.00932482;1.70141e-10;0.3601;2.25371;1;1;0
67;8800;0.00932484;6.80565e-11;0.3601;2.25371;1;1;0
67;8900;0.00932485;1.36113e-10;0.3601;2.25371;1;1;0
67;9000;0.00932487;2.72226e-10;0.3601;2.25371;1;1;0
67;9100;0.00932489;8.71123e-13;0.3601;2.25371;1;1;0
67;9200;0.00932489;1.74225e-12;0.3601;2.25371;1;1;0
67;9300;0.00932489;3.48449e-12;0.3601;2.25371;1;1;0
67;9400;0.00932489;6.96898e-12;0.3601;2.25371;1;1;0
67;9500;0.00932489;1.3938e-11;0.3601;2.25371;1;1;0
