condition;iter;t;dt;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RBFK;RNAP;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
70;0;0;0.01;0.000789103;2.72784e-12;32.7317;0.00648623;0.159207;0.00902757;0.16924;1.19743e-13;9.55358e-21;0.361011;1.30871e-13;2.3873e-20;4.2712e-19;8.60057e-06;1.30862e-10;0.00454213;2.96093e-11;1.58465e-12;0.0552821;0.00574987;0.0065918;4.20532e-12;7.98127e-14;7.91521e-14;0.099623;0.00071497;0.00390441;0.00258824;4.5352e-05;0.0463382;0.0516425;0.0171794;0.0224271;0.00170315;6.61428e-12;0.00012106;0.550149;2.17537;7.15743e-05;0.000834774;0.00092445;0.00853204;9.76022e-05;3.93061e-06;0.00195873;0.138261;0.00370934;0.00115351;0.00325805;0.000889049;0.0261682;0.725697;0.0121744;1.34313;0.00998663;0.000235349;0.000439849;2.95706;0.00271074;0.0472679;0.000104252;0.0385168;0.274715;0.00120659;0.000658219;0.000281164;0.00311568;0.000670305;0.000762147;0.0431984;0.000343351;0.811265;1.01507;4.50161;0.208169;0.344997;0.00348393;0.0857465;0.470779;0.000415709;0.000149733;0.000246942;0.072637;0.414672;2.59847;1.25098e-05;0.00833848;0.00249737;0.00935957;0.277966;5.6594e-11;0.0179287;3.37331;0.00610385;0.0175266;0.000102813;0.000151285;0.00212154;0.0171914;0.0015374;0.0792911;0.0811588;0.0815432;0.00455006;0.00438343;3.26498;0.00369673;0.000349982;0.00158636;0.118573;0.0154568;7.17388e-05;0.0077759;1.27492;106.116
70;100;6.016e-05;6.4e-07;0.00126789;5.48971e-12;58.6848;0.0116732;0.285456;0.0161726;0.303446;2.42275e-13;1.92432e-20;0.724492;2.66727e-13;1.29855e-13;3.39375e-13;1.92202e-05;2.63585e-10;0.00811863;5.96233e-11;3.20088e-12;0.0991243;0.0102712;0.0118151;8.47306e-12;1.60787e-13;1.59406e-13;0.178628;0.00140955;0.0180527;0.00526963;9.12152e-05;0.0226869;0.100298;0.0354103;0.0443939;0.00347704;3.43038e-06;0.000243047;0.964681;3.88571;0.000120521;0.00144537;0.00172149;0.0149537;0.000196139;7.85853e-06;0.00410557;0.279236;0.00649797;0.00202406;0.00570231;0.00161855;0.0531583;1.47291;0.0206019;2.7347;0.00760578;0.000442995;0.000891621;5.28177;0.00545364;0.0828297;0.000188599;0.0788325;0.578943;0.00239897;0.00132542;0.000421371;0.00524819;0.00141662;0.00129646;0.0955467;0.000699045;1.55724;1.76177;7.45512;0.433818;1.56886;0.00709402;0.1749;0.948376;0.000887217;0.000300441;0.000500329;0.141901;0.838664;4.01284;2.5259e-05;0.0161856;0.00493753;0.0184976;0.558867;1.14228e-10;0.0359887;6.73647;0.0122484;0.0351692;5.45462e-05;0.000269845;0.00404519;0.0348496;0.00318422;0.157129;0.159494;0.145376;0.00851335;0.00765471;6.54539;0.00734405;0.000707314;0.00319502;0.175834;0.0316845;3.59832e-05;0.0148404;5.28204;51.7731
70;200;0.00018432;1.28e-06;0.00137058;6.42654e-12;67.3488;0.0135126;0.327609;0.0185606;0.348256;2.8339e-13;1.37091e-15;0.842873;3.11528e-13;3.20521e-13;5.34376e-13;4.06114e-05;3.0852e-10;0.00931801;6.97913e-11;3.74473e-12;0.113765;0.0117824;0.0135598;9.91699e-12;1.88192e-13;1.86586e-13;0.205009;0.00414207;0.0160915;0.00625454;0.000106359;0.0168592;0.14466;0.0441916;0.0500167;0.00414741;1.33539e-05;0.000282755;1.10846;4.42368;0.000135498;0.00166184;0.00198972;0.0170815;0.000229797;9.0666e-06;0.00510492;0.329972;0.00742662;0.00232644;0.00650856;0.00195495;0.0636958;1.7367;0.0234269;3.26907;0.00681418;0.000513738;0.00105;5.22578;0.00637834;0.0947306;0.00021662;0.0965214;0.774927;0.00278123;0.00155082;0.000598523;0.00642044;0.00188374;0.00135021;0.14485;0.000837222;1.57801;1.7081;8.10489;0.540983;1.41016;0.00836351;0.21448;1.11906;0.00114553;0.000353984;0.000589322;0.164268;0.98759;4.29697;2.97973e-05;0.0171318;0.00550963;0.0206309;0.64907;1.33273e-10;0.0417793;7.73551;0.014199;0.0408343;4.13587e-05;0.000306568;0.00505383;0.0414023;0.00399363;0.181672;0.182842;0.149537;0.00984536;0.00874947;7.52335;0.00863304;0.000838182;0.0037386;0.194584;0.0389991;2.6491e-05;0.018561;3.94011;38.3385
70;300;0.00043264;2.56e-06;0.00148213;7.03702e-12;72.7558;0.0147698;0.353925;0.0200439;0.37623;3.08408e-13;1.15858e-14;0.917364;3.35832e-13;5.64979e-13;6.72072e-13;0.00495742;3.37477e-10;0.0100611;7.63671e-11;4.08231e-12;0.122911;0.0126729;0.0146467;1.08436e-11;2.05815e-13;2.04135e-13;0.221486;0.00376456;0.0147894;0.00699062;0.000115681;0.0134172;0.189537;0.0587323;0.0511797;0.00466033;6.82009e-05;0.000306927;1.18037;4.71708;0.000142967;0.00182487;0.00215916;0.0183881;0.000255697;9.72224e-06;0.0061825;0.370242;0.00800002;0.00253144;0.00699914;0.00236932;0.0758418;1.89678;0.025319;3.61766;0.00616043;0.000559309;0.00114894;5.11716;0.0069731;0.102278;0.000233996;0.121552;0.851635;0.00301889;0.00169565;0.000553638;0.016234;0.00287729;0.0012761;0.155303;0.000944457;1.4084;1.52949;8.43069;0.595163;1.30425;0.00923585;0.260557;1.24039;0.00122659;0.000392249;0.000650547;0.184146;1.08366;4.40984;3.32615e-05;0.0174134;0.00579597;0.021694;0.704543;1.45688e-10;0.0453145;8.29866;0.0153643;0.0443082;3.33712e-05;0.000325837;0.00610377;0.0468904;0.00514819;0.199052;0.197672;0.148899;0.0106851;0.0094272;8.05159;0.00969846;0.000947849;0.00408648;0.206393;0.0498851;2.08942e-05;0.0224461;3.07235;30.3943
70;400;0.000731648;1.024e-06;0.00153336;7.32646e-12;75.2398;0.0154676;0.366035;0.0207226;0.389103;3.19328e-13;2.17539e-14;0.952161;3.44565e-13;7.72786e-13;9.90263e-13;0.00516848;3.51023e-10;0.0104002;7.94565e-11;4.233e-12;0.127124;0.0130516;0.0151456;1.1275e-11;2.14038e-13;2.12364e-13;0.229074;0.0036008;0.0140846;0.00742798;0.0001197;0.0117399;0.185786;0.0628417;0.0497491;0.00496766;0.000164144;0.000317299;1.20156;4.83415;0.000145182;0.00192747;0.00223767;0.0189833;0.000274495;9.93666e-06;0.00743722;0.396487;0.00826719;0.00264282;0.0072195;0.00273449;0.0985101;1.9626;0.0262606;3.72903;0.00577103;0.00058096;0.00120488;5.0801;0.00725086;0.106071;0.000241863;0.128956;0.88256;0.0031239;0.00176317;0.000484854;0.0298701;0.00304373;0.00126366;0.157076;0.00101029;1.39648;1.61111;8.55016;0.59397;1.25502;0.00977449;0.294744;1.29362;0.00114641;0.000412989;0.000681241;0.216575;1.13051;4.43894;3.56102e-05;0.0179399;0.00593451;0.0222076;0.72803;1.51805e-10;0.0468626;8.55413;0.0158563;0.0458462;2.94064e-05;0.000332107;0.00724852;0.0518978;0.00725904;0.210058;0.20413;0.147317;0.0110723;0.00973818;8.25804;0.0104322;0.00101993;0.00424642;0.21377;0.0530527;1.8172e-05;0.0266829;2.62553;26.5174
70;500;0.000882176;2.048e-06;0.00154917;7.41717e-12;75.9986;0.0157134;0.369742;0.0209291;0.393043;3.22538e-13;2.62202e-14;0.963028;3.46632e-13;8.57916e-13;1.1843e-12;0.00522814;3.55225e-10;0.010503;8.0418e-11;4.27803e-12;0.128414;0.0131585;0.015298;1.14083e-11;2.16584e-13;2.14922e-13;0.231399;0.00351233;0.0138383;0.00759803;0.000120883;0.0112187;0.183265;0.0635839;0.0488292;0.00508636;0.000416505;0.000320222;1.2082;4.86904;0.00014542;0.00196237;0.0022618;0.0191637;0.000282777;9.97501e-06;0.00833732;0.40579;0.00835104;0.00268254;0.00728522;0.00285228;0.103296;1.98111;0.0265586;3.75788;0.00564085;0.000587735;0.0012327;5.08468;0.00733685;0.107297;0.0002442;0.130405;0.891768;0.00315528;0.00178411;0.000451952;0.0288163;0.00303943;0.00126373;0.157261;0.0010374;1.39959;1.62363;8.58093;0.590645;1.24101;0.0099977;0.302629;1.30687;0.00110669;0.000420459;0.000690995;0.21986;1.15053;4.44482;3.66161e-05;0.0183229;0.00598934;0.0224112;0.734709;1.53832e-10;0.0473194;8.63771;0.0159983;0.0463045;2.81667e-05;0.000333078;0.00805078;0.0550755;0.00932591;0.214822;0.206001;0.146732;0.0111906;0.00983286;8.31625;0.010777;0.00104278;0.00429513;0.216422;0.0536572;1.73281e-05;0.0296476;2.48443;25.3113
70;600;0.00118323;4.096e-06;0.00157274;7.54219e-12;77.0465;0.0161014;0.374873;0.021216;0.398498;3.26617e-13;3.44822e-14;0.977814;3.48378e-13;1.00197e-12;1.59041e-12;0.00481347;3.60945e-10;0.0106481;8.1732e-11;4.33649e-12;0.130201;0.0133039;0.0155092;1.15888e-11;2.20042e-13;2.18411e-13;0.234618;0.0032579;0.0135823;0.00789232;0.000122502;0.0104779;0.203903;0.0642756;0.0469278;0.00529017;0.00266163;0.000323672;1.21439;4.91799;0.00014532;0.00200599;0.00229497;0.0194151;0.000298566;9.97989e-06;0.0104792;0.417879;0.00847336;0.00274792;0.00737566;0.00301427;0.1057;2.00364;0.0270019;3.79366;0.00544556;0.000597388;0.00129245;5.0779;0.00745354;0.109185;0.000247377;0.131761;0.901568;0.00319595;0.00181271;0.000389491;0.0288952;0.00297639;0.00126696;0.156195;0.00108229;1.4064;1.62802;8.6202;0.583989;1.23396;0.010385;0.308585;1.32244;0.00103906;0.00043268;0.000706465;0.219308;1.18115;4.46248;3.85239e-05;0.0191077;0.00606972;0.0227103;0.74276;1.43686e-05;0.0478949;8.75128;0.0161729;0.0468899;2.63902e-05;0.000333407;0.00997433;0.0665298;0.0167731;0.223993;0.208352;0.14564;0.0113521;0.00996453;8.38943;0.011649;0.00108295;0.00435994;0.221404;0.0542111;1.61262e-05;0.036756;2.28449;23.5952
70;700;0.00147569;1.6384e-06;0.00158836;7.62639e-12;77.7362;0.0163991;0.378263;0.0214064;0.402101;3.29118e-13;4.16669e-14;0.987756;3.48706e-13;1.11961e-12;1.99835e-12;0.00530227;3.64743e-10;0.0107462;8.26085e-11;4.37317e-12;0.131383;0.0133971;0.0156489;1.1708e-11;2.22333e-13;2.20733e-13;0.236746;0.00315835;0.0133718;0.00816056;0.000123575;0.00998005;0.202361;0.0646059;0.0451955;0.00547107;0.00288158;0.000325487;1.21695;4.9509;0.00014474;0.00202516;0.00231687;0.0195818;0.000314311;9.94179e-06;0.0114794;0.42408;0.00855964;0.00280232;0.00743438;0.00314827;0.107256;2.01751;0.027308;3.81703;0.00530956;0.000604062;0.00137849;5.06994;0.0075307;0.110635;0.000249396;0.132362;0.905582;0.0032213;0.00183245;0.000335833;0.0278159;0.00289792;0.00126971;0.154772;0.00111714;1.40586;1.62994;8.64967;0.57902;1.22955;0.0107185;0.310439;1.33193;0.00098732;0.000442938;0.00071982;0.221004;1.2007;4.48455;4.04361e-05;0.0198491;0.0061232;0.0229102;0.747356;8.50628e-05;0.0482433;8.82554;0.0162747;0.0472516;2.51917e-05;0.000332478;0.0110757;0.0777169;0.0208765;0.231326;0.211488;0.145224;0.0114578;0.010051;8.43644;0.0136538;0.00111847;0.0044016;0.225894;0.0544527;1.53192e-05;0.0408382;2.14836;22.4409
70;800;0.00171489;3.2768e-06;0.00159775;7.67978e-12;78.1567;0.0166041;0.380338;0.0215228;0.404306;3.30591e-13;4.70353e-14;0.99396;3.48489e-13;1.20459e-12;2.33391e-12;0.00770161;3.67123e-10;0.0108067;8.316e-11;4.39511e-12;0.132107;0.0134502;0.0157345;1.17824e-11;2.23767e-13;2.22192e-13;0.238049;0.00312265;0.0132055;0.00838417;0.000124246;0.00966649;0.200854;0.0648154;0.0438974;0.00561694;0.0028173;0.000326357;1.21777;4.9708;0.000143967;0.00203113;0.00233035;0.0196837;0.000328196;9.89454e-06;0.0115714;0.426903;0.00861509;0.0028434;0.00746922;0.00326141;0.108213;2.02612;0.0274941;3.83259;0.00522234;0.000608312;0.0015085;5.06732;0.00757888;0.111653;0.000250555;0.132702;0.910232;0.00323361;0.0018504;0.000303644;0.0270941;0.0028364;0.00127048;0.154684;0.00114283;1.40595;1.62862;8.66782;0.576052;1.22508;0.0109683;0.311283;1.33796;0.000952641;0.000450766;0.000729956;0.221878;1.21173;4.49986;4.21427e-05;0.020471;0.00615849;0.0230427;0.749844;0.000162395;0.0484385;8.87002;0.0163285;0.0474584;2.44366e-05;0.000330999;0.0114263;0.0786432;0.021209;0.23629;0.21433;0.145036;0.0115222;0.0101031;8.46728;0.0201875;0.00114518;0.00442693;0.229269;0.0545922;1.48122e-05;0.0421487;2.06196;21.7132
70;900;0.00196655;1.31072e-06;0.00160555;7.72571e-12;78.5062;0.0167924;0.38207;0.0216193;0.406147;3.31776e-13;5.2282e-14;0.999182;3.47973e-13;1.2857e-12;2.68418e-12;0.00533216;3.6915e-10;0.0108567;8.36312e-11;4.41301e-12;0.132713;0.0134891;0.0158057;1.18454e-11;2.24988e-13;2.23437e-13;0.239139;0.00309007;0.0130531;0.00863453;0.000124819;0.00939693;0.199153;0.0649761;0.0426429;0.00577454;0.0027517;0.000326875;1.21756;4.98689;0.000142886;0.00203234;0.00234162;0.0197682;0.000344402;9.83487e-06;0.011491;0.428697;0.00866306;0.00288509;0.00749703;0.00338757;0.108867;2.03341;0.0276424;3.84634;0.00514634;0.000611947;0.0018467;5.07376;0.00761975;0.112628;0.00025143;0.132931;0.916619;0.00323584;0.00188242;0.000287383;0.02653;0.00277254;0.00127104;0.155576;0.00116914;1.40923;1.63047;8.68093;0.573641;1.22027;0.0112096;0.311813;1.34322;0.000921438;0.000458736;0.000740017;0.222526;1.22011;4.51187;4.41634e-05;0.0211432;0.00619011;0.0231619;0.75171;0.000247836;0.0485864;8.90603;0.0163663;0.0476183;2.37873e-05;0.000328809;0.0116513;0.0783821;0.0210557;0.241275;0.216982;0.144773;0.0115754;0.0101459;8.49446;0.0218853;0.00117189;0.00444789;0.232581;0.0546879;1.43772e-05;0.0429964;1.9873;21.0874
