;rho;x_G;condition;mu;density;consistent;converged;run_time;rxn1_q;rxn2_q;Ribosome_q;rxn1_v;rxn2_v;Ribosome_v;rxn1_p;rxn2_p;Ribosome_p;G_b;AA_b;Protein_b;G_c;AA_c;Protein_c
0;340.0;100.0;1;2.183374560946016;1.0;1;1;0.0143549999999999;1.0;0.8660812402677307;0.7649132793908663;742.3473507216454;642.9331142224668;567.8313464876154;57.73243850670556;47.42627654013647;154.91179994605258;0.1339187597322692;0.1011679608768643;0.7649132793908663;45.53237830897156;34.39710669813386;260.0705149928946
1;340.0;71.42857142857143;2;2.1586336763135328;1.0;1;1;0.014531;1.0;0.8707616833309038;0.7708484977645284;733.9354499466011;639.0828678517267;565.7530390474707;59.62538787513179;47.74148738412146;154.7216139806864;0.1292383166690961;0.0999131855663755;0.7708484977645284;43.94102766749268;33.970483092567676;262.08848923993963
2;340.0;51.02040816326531;3;2.1246106791376542;1.0;1;1;0.0140459999999999;1.0;0.8769932670401802;0.778835897160892;722.3676309068024;633.5115486330317;562.6058418972876;62.2137995838385;48.1890717183735;154.4013337324913;0.1230067329598197;0.0981573698792881;0.778835897160892;41.82228920633873;33.37350575895797;264.8042050347033
3;340.0;36.44314868804665;4;2.0782033439635246;1.0;1;1;0.013379;1.0;0.8850999647717905;0.7893910952437813;706.5891369475984;625.4020202204492;557.7751727024229;65.71257338507617;48.824832827244656;153.85556617056488;0.1149000352282094;0.0957088695280091;0.7893910952437813;39.06601197759122;32.54101563952312;268.39297238288566
4;340.0;26.03082049146189;5;2.015667299604705;1.0;1;1;0.014538;1.0;0.8952899065468924;0.8029683406525405;685.3268818656;613.5662400195262;550.2957891362005;70.36136809592128;49.72356543498061;152.92430229096192;0.1047100934531075;0.0923215658943519;0.8029683406525405;35.601431774056564;31.38933240407965;273.00923582186374
5;340.0;18.59344320818707;6;1.9328914724614608;1.0;1;1;0.0151339999999999;1.0;0.9074798247797108;0.8197673158486097;657.1831006368967;596.3804050141581;538.7372264301756;76.38846007760793;50.97501357241756;151.35741373850183;0.0925201752202891;0.0877125089311011;0.8197673158486097;31.456859574898292;29.822253036574395;278.72088738852733
6;340.0;13.28103086299076;7;1.8260976256122896;1.0;1;1;0.0149009999999999;1.0;0.9211204559013187;0.8394916847412061;620.8731927081785;571.8989983242648;521.2178825572404;83.95133294597267;52.66431531744401;148.81152454859344;0.0788795440986811;0.0816287711601126;0.8394916847412061;26.81904499355159;27.753782194438315;285.4271728120101
7;340.0;9.486450616421974;8;1.6930333748486455;1.0;1;1;0.0142439999999999;1.0;0.9352021357653828;0.8612257138576443;575.6313474485395;538.3316655473793;495.7485181252061;93.07166422930007;54.83464262655729;144.91043585574178;0.064797864234617;0.0739764219077385;0.8612257138576443;22.031273839769806;25.151983448631118;292.8167427115991
8;340.0;6.776036154587125;9;1.5343979695174457;1.0;1;1;0.0160959999999999;1.0;0.9485636211336572;0.8836036019614621;521.6953096359315;494.8611920367037;460.97185472070936;103.58986162100464;57.449959974853215;139.3854030710393;0.0514363788663428;0.0649600191721949;0.8836036019614621;17.488368814556583;22.086406518546287;300.4252246668971
9;340.0;4.84002582470509;10;1.3548640327702344;1.0;1;1;0.014241;1.0;0.9603145299126156;0.90519458118234;460.65377114187976;442.37250968658793;416.98129743883936;115.1478968365941;60.38621598450237;132.23204478089923;0.0396854700873844;0.0551199487302753;0.90519458118234;13.493059829710708;18.740782568293625;307.76615760199564
10;340.0;3.457161303360778;11;1.1630024104769918;1.0;1;1;0.014756;1.0;0.9700428414376456;0.9248393547644234;395.4208195621772;383.5751353716969;365.70073562430343;127.207751234413;63.45864968441305;123.77897970107799;0.0299571585623544;0.045203486673222;0.9248393547644234;10.185433911200523;15.369185468895497;314.445380619904
11;340.0;2.469400930971985;12;0.9698314692738828;1.0;1;1;0.0141879999999999;1.0;0.977746807590836;0.9418118397054992;329.74269955312013;322.40487181444746;310.5555784955818;139.1266566624913;66.46830425458583;114.62106458279266;0.0222531924091639;0.0359349678853367;0.9418118397054992;7.566085419115726;12.217889081014508;320.2160254998698
12;340.0;1.763857807837132;13;0.7864235137324393;1.0;1;1;0.0140579999999999;1.0;0.9836591342966264;0.9558366075344096;267.38399466902933;263.0147087209112;255.57541037344367;150.28352789297435;69.24600768784782;105.45491098087707;0.0163408657033736;0.0278225267622167;0.9558366075344096;5.555894339147049;9.459659099153694;324.98444656169926
13;340.0;1.25989843416938;14;0.6215675783515957;1.0;1;1;0.0138469999999999;1.0;0.9880983462522014;0.9670067701482318;211.33297663954252;208.81776472608712;204.36041916601576;160.20397462933934;71.6792509272076;96.89907629385193;0.0119016537477985;0.0210915761039696;0.9670067701482318;4.046562274251491;7.171135875349668;328.7823018503988
14;340.0;0.8999274529781288;15;0.4804279625725825;1.0;1;1;0.012833;1.0;0.9913813363867552;0.9756487287667828;163.34550727467808;161.9376872947428;159.36783652230494;168.62818949384027;73.71795735076196;89.3744209361039;0.0086186636132448;0.0157326076199724;0.9756487287667828;2.930345628503237;5.3490865907906215;331.72056778070606
15;340.0;0.6428053235558063;16;0.3644903182434965;1.0;1;1;0.011884;1.0;0.993783906742924;0.9821890305523572;123.92670820278884;123.15636822755786;121.71945338924203;175.50611128140983;75.36416554884246;83.0739935575492;0.006216093257076;0.0115948761905666;0.9821890305523572;2.1134717074058607;3.942257904792661;333.94427038780145
