;rxn1;rxn2;Ribosome
q0;1.0;0.79599604520963;0.7220000000000005
1;1.0;0.8660812108229837;0.7649132399597997
2;1.0;0.8707616824111839;0.770848496733605
3;1.0;0.8769932671754772;0.7788358973825464
4;1.0;0.8850999643418295;0.7893910946065879
5;1.0;0.8952899085079872;0.8029683437471926
6;1.0;0.9074798275042186;0.8197673205442669
7;1.0;0.9211204572545615;0.83949168737989
8;1.0;0.9352021341498518;0.8612257101691494
9;1.0;0.9485636214195203;0.8836036011626438
10;1.0;0.9603145309943747;0.9051945846924718
11;1.0;0.970042841039132;0.9248393539035784
12;1.0;0.9777468074186896;0.9418118389754543
13;1.0;0.9836591344255211;0.9558366081308532
14;1.0;0.9880983462379828;0.9670067700782157
15;1.0;0.9913813363867552;0.9756487287667828
16;1.0;0.9937839067429239;0.9821890305523573
17;1.0;0.9955294316782877;0.987058932786257
18;1.0;0.9967912119729638;0.990642489791589
19;1.0;0.9977001052849782;0.9932571737532353
20;1.0;0.9983531933698727;0.995153368615475
21;1.0;0.9988216591783481;0.9965225462573488
22;1.0;0.999157283065847;0.9975081219154829
23;1.0;0.999397526694927;0.9982160012945723
24;1.0;0.9995693903296128;0.9987236257608239
25;1.0;0.9996922831692833;0.9990872363889364
