;rho;x_C;x_P;x_N;x_Ace;condition;mu;density;consistent;converged;run_time;tC_q;tP_q;tN_q;tAce_q;Resp_q;Ferm_q;Nucprod_q;Aaprod_q;Replication_q;Transcription_q;tRNAcharging_q;Ribosome_q;tC_v;tP_v;tN_v;tAce_v;Resp_v;Ferm_v;Nucprod_v;Aaprod_v;Replication_v;Transcription_v;tRNAcharging_v;Ribosome_v;tC_p;tP_p;tN_p;tAce_p;Resp_p;Ferm_p;Nucprod_p;Aaprod_p;Replication_p;Transcription_p;tRNAcharging_p;Ribosome_p;C_b;P_b;N_b;Ace_b;ADP_b;ATP_b;AA_b;Nuc_b;DNA_b;tRNA_b;TC_b;Protein_b;C_c;P_c;N_c;Ace_c;ADP_c;ATP_c;AA_c;Nuc_c;DNA_c;tRNA_c;TC_c;Protein_c
0;340.0;5.0;1.0;1.0;1.0;1;0.8493700079818015;1.0;1;1;0.2813329999999999;0.5939009988704164;0.2390835346927877;0.2325788311092243;0.0655633646724285;1e-10;0.3496359743662438;0.5339052185008604;0.204715711532185;0.0317902962868379;0.4243596040559358;0.632057062667849;0.5551091571956706;171.51017669132827;69.04393048191235;67.16546443611757;18.9337688955457;2.88785802e-08;100.96990551498172;154.18424709786447;59.118991082951354;9.180586231704432;122.5490288966091;182.52910620346927;160.30764355453965;10.290610601479695;4.602928698794157;3.358273221805879;0.6338986703509701;8.1215891e-09;14.969893165644377;21.87382086472199;6.194485086188913;1.4170985718690827;10.712298107856464;21.766408818287815;55.16997494210151;0.0847361440773961;0.0563957512395542;0.0498910476559907;0.0043638302008202;0.0527243251931589;0.0871300646033385;0.0578327278453967;0.0243647963080006;0.0317902962868379;0.0374305759080086;0.0692531149249606;0.4440873257565364;28.81028898631469;19.174555421448435;16.96295620303687;1.4837022682788747;17.92627056567405;29.62422196513512;19.663127467434897;8.28403074472022;10.808700737524903;12.726395808722952;23.546059074486607;150.9896907572224
1;340.0;4.166666666666667;1.0;1.0;1.0;2;0.8474461960363072;1.0;1;1;0.21112;0.593804753738393;0.2391517071635244;0.23264610372055;0.0656025646224675;1e-10;0.3498096605855091;0.534213834650983;0.2047664291048191;0.031753264975866;0.4247106626604852;0.6327161907870166;0.5558416513892668;171.0939771129183;68.907189533848;67.03271891102044;18.9021789054423;2.88131706e-08;100.79125450798011;153.92394389528107;58.99970068307783;9.149122429280409;122.37260806581376;182.30559587803353;160.15560364324696;10.607826581000936;4.593812635589867;3.3516359455510223;0.6331018814428286;8.1096416e-09;14.951921681849552;21.851711789340925;6.1858326757186415;1.413826336648062;10.707114300927548;21.757851064354185;55.13429427734743;0.0843907575962882;0.056374688343813;0.0498690849008386;0.0043593674946342;0.0528299463090049;0.0870939179751987;0.0577465480369338;0.0243285235495334;0.031753264975866;0.0373934942485003;0.0691870854579749;0.4446733211114135;28.69285758273801;19.167394036896432;16.955488866285155;1.4821849481756413;17.96218174506167;29.611932111567572;19.63382633255752;8.271698006841358;10.796110091794464;12.713788044490112;23.52360905571147;151.1889291778806
2;340.0;3.472222222222223;1.0;1.0;1.0;3;0.8451528005422295;1.0;1;1;0.2112719999999999;0.5936912466786765;0.2392321581588189;0.2327255029012778;0.0656489077387735;1e-10;0.3500147450217345;0.5345797885782941;0.2048263396994653;0.0317090463160729;0.4251274622688183;0.6334993063833532;0.5567125221966192;170.59833872788295;68.74382767221373;66.87412758176866;18.86434179750737;2.87351952e-08;100.57742027530574;153.6125458462742;58.857248571417855;9.111656360827775;122.16120621012693;182.03726239669328;159.9724300586763;10.98653301407566;4.582921844814249;3.3437063790884327;0.632145964946739;8.0953893e-09;14.930374953724051;21.82516854735345;6.175484310314425;1.4099255768831063;10.700851410019729;21.74747106604492;55.09122296212031;0.0839822845011029;0.0563494579910936;0.0498428027335524;0.0043540412655734;0.0529558976270793;0.0870500004316144;0.0576438444528482;0.0242853011355735;0.0317090463160729;0.037349200020133;0.0691081057680607;0.4453700177572954;28.553976730375005;19.158815716971837;16.946552929407833;1.4803740302949606;18.005005193206983;29.597000146748925;19.598907113968387;8.257002386095001;10.781075747464786;12.698728006845222;23.49675596114064;151.42580603748044
3;340.0;2.893518518518519;1.0;1.0;1.0;4;0.8424222854515055;1.0;1;1;0.2113649999999999;0.5935578071748706;0.2393268036691118;0.232818924759022;0.0657035356030046;1e-10;0.3502561416609813;0.5350127399026241;0.2048969004884702;0.0316562995887874;0.4256212970916359;0.6344279470978492;0.557746058305324;170.00895031906512;68.54883919169059;66.68482923523153;18.819041692475356;2.86423577e-08;100.32161697949988;153.24026273210978;58.68730316508511;9.067110564498122;121.90797438314186;181.7151219904822;159.75162110730753;11.4382021774667;4.569922612779372;3.334241461761577;0.6309992076517346;8.0784057e-09;14.904547125588408;21.79330103512545;6.163115654692306;1.4052815332663167;10.693276142604724;21.734858397606157;55.03918250242703;0.0835005302849308;0.0563192614147948;0.0498113825047049;0.0043476927291916;0.0531059078650342;0.0869965488493583;0.0575216210200533;0.0242338692319383;0.0316562995887874;0.0372963399536739;0.0690136999132726;0.4461968466442592;28.39018029687649;19.148548881030248;16.935870051599696;1.4782155279251663;18.056008674111634;29.57882660878184;19.557351146818142;8.23951553885903;10.763141860187735;12.68075558424914;23.464657970512704;151.70692785904816
4;340.0;2.411265432098766;1.0;1.0;1.0;5;0.8391762106427446;1.0;1;1;0.216979;0.5934015355058184;0.2394377376904938;0.2329284444406257;0.0657677176369381;1e-10;0.3505392618224413;0.5355236453020246;0.2049797262887002;0.031593452911722;0.4262050621603463;0.6355267911242163;0.5589701818055122;169.309273664822;68.31635415599325;66.45912318124175;18.76483938352384;2.85319911e-08;100.0158312020048;152.7955591472084;58.48479738828309;9.01424119249683;121.60479066696143;181.32844787477143;159.4853228701442;11.976260781954847;4.55442361039955;3.3229561590620875;0.6296239343318498;8.0581945e-09;14.873600382028243;21.75504759996764;6.14834522048076;1.3997609637812696;10.684105151388883;21.719509787994472;54.976255851651594;0.0829341449514794;0.0562831371801047;0.0497738439302365;0.0043401347275501;0.0532843296730688;0.0869313751059077;0.0573763954349869;0.0241727656997538;0.031593452911722;0.037233326553946;0.0689009483868338;0.4471761454444098;28.197609283503;19.13626664123561;16.92310693628044;1.4756458073670384;18.1166720888434;29.55666753600863;19.507974447895567;8.218740337916307;10.741773989985504;12.659331028341672;23.426322451523493;152.03988945109936
5;340.0;2.009387860082305;1.0;1.0;1.0;6;0.8353240602138903;1.0;1;1;0.212175;0.5932193460736354;0.2395672022950406;0.233056287301471;0.0658428356701472;1e-10;0.3508699247952803;0.5361247579401341;0.2050765729503027;0.031518675254859;0.4268932995880278;0.6368237973166297;0.560416661895679;168.48033353828376;68.03952435915977;66.1903582167935;18.700035641514354;2.8401018e-08;99.65063066355825;152.26488925847227;58.24383449434296;8.951624647393666;121.24204305859188;180.8644416052206;159.16403728491264;12.616346512414008;4.535968290610652;3.3095179108396753;0.6279753563219241;8.0341808e-09;14.836541010552647;21.70914175473536;6.130725561797765;1.3932102076511776;10.672992608650356;21.70080395618724;54.90010885782972;0.0822707106803048;0.0562399436274252;0.0497290286338555;0.0043311492889087;0.0534962090421624;0.0868517609259497;0.0572041561919465;0.0241003073032339;0.031518675254859;0.0371583076559549;0.0687664218788556;0.4483333295165432;27.972041631303636;19.121580833324575;16.9078697355109;1.4725907582289892;18.188711074335227;29.52959871482292;19.449413105261815;8.194104483099537;10.716349586652088;12.633824603024683;23.380583438810913;152.43333203562472
6;340.0;1.674489883401921;1.0;1.0;1.0;7;0.8307621932576142;1.0;1;1;0.225087;0.5930080299898758;0.239717538514634;0.2332047805661295;0.0659303490706396;1e-10;0.3512541819107881;0.5368295223393121;0.2051893019824954;0.0314298518321734;0.4277021410037475;0.6383501713405775;0.5621211585967909;167.50054154868056;67.71041113996955;65.87082309363468;18.622630074695987;2.82459145e-08;99.21495614873923;151.63240827057507;57.95759494631213;8.87764909823182;120.80838136522524;180.30784405915247;158.77626224140963;13.37656644799098;4.514027409331304;3.2935411546817344;0.6260001179981172;8.0057007e-09;14.792190637741887;21.65407138839438;6.109733323874307;1.385453480154857;10.65951352638766;21.677967257551632;54.807890386214595;0.0814969450346568;0.0561883554491937;0.0496755975006892;0.004320487311518;0.0537473426116023;0.0867543302027129;0.0570003375161304;0.0240145772694598;0.0314298518321734;0.0370691369250223;0.068606111469408;0.4496969268774327;27.708961311783327;19.104040852725856;16.889703150234347;1.4689656859161306;18.274096487944792;29.496472268922403;19.380114755484332;8.164956271616358;10.686149622938988;12.603506554507607;23.32607789959875;152.89695513832714
7;340.0;1.395408236168268;1.0;1.0;1.0;8;0.8253730462502568;1.0;1;1;0.2104499999999999;0.5927643880124405;0.2398911014203764;0.2333762722154057;0.0660317616482228;1e-10;0.3516981270311802;0.537652497971544;0.2053198432029373;0.0313245546081637;0.4286492826138501;0.6401403874095706;0.5641233214213035;166.3455945384491;67.31988071020626;65.49164480512593;18.530284328693966;2.80626835e-08;98.69593251919994;150.87971922544335;57.61825790961137;8.790510640186701;120.29049181575346;179.64057133857935;158.30814264918675;14.277743132070007;4.487992047347084;3.2745822402562967;0.6236352126794174;7.9719953e-09;14.739162478698807;21.588043834533927;6.084761417651806;1.376291629040694;10.643149702766344;21.650044419121343;54.69613730445687;0.0805989665827277;0.0561268204723621;0.0496119912673914;0.0043078637580131;0.0540443541380634;0.0866348967244086;0.0567597814007294;0.0239134109523757;0.0313245546081637;0.036963343569281;0.0684153593894405;0.4512986571370428;27.403648638127446;19.083118960603137;16.868077030913074;1.4646736777244749;18.37508040694158;29.455864886298937;19.298325676248005;8.130559723807739;10.65034856677568;12.567536813555568;23.261222192409782;153.44154342659456
8;340.0;1.16284019680689;1.0;1.0;1.0;9;0.8190247596003247;1.0;1;1;0.2117229999999999;0.5924854239845077;0.2400901374357043;0.2335730141037458;0.066148575523958;1e-10;0.3522076360210905;0.5386092205186918;0.2054701448231124;0.03120001558864;0.4297538952068479;0.6422320942507003;0.5664667669159125;164.98847886150668;66.85752081253348;65.04270778665087;18.420289196580644;2.78468418e-08;98.07870330333459;149.98565770030558;57.21694622938983;8.688218990784188;119.6728874410912;178.8413554444396;157.74310458225867;15.343626539208408;4.457168054168898;3.2521353893325435;0.6208070462869884;7.9322075e-09;14.675839991654255;21.508952619865926;6.055112827402358;1.3655016682145695;10.62327528436292;21.615867743377525;54.560673429321646;0.0795626868751693;0.0560535007552344;0.0495363774232759;0.00429295168026;0.0543947681924055;0.0864882862660306;0.0564767114906611;0.0237943876713346;0.03120001558864;0.036838105922949;0.0681887946013091;0.4531734135327301;27.051313537557565;19.058190256779717;16.842368323913824;1.4596035712884248;18.49422118541788;29.406017330450435;19.202081906824787;8.090091808253792;10.608005300137624;12.52495601380267;23.184190164445095;154.07896060112824
9;340.0;0.9690334973390748;1.0;1.0;1.0;10;0.8115714477911137;1.0;1;1;0.2234399999999999;0.592168513060215;0.2403166459354466;0.2337970251558894;0.0662821841515511;1e-10;0.3527878625863323;0.5397157005451217;0.2056420753223296;0.0310531267701334;0.4310361514855997;0.6446653552487956;0.5691983781292272;163.3995995434005;66.31160361184588;64.51261666630701;18.289527572574737;2.75934292e-08;97.34626917678956;148.9260698455799;56.7437005106782;8.568622557434598;118.93765539390252;177.88527853801284;157.0613516183549;16.601040409657084;4.420773574123058;3.2256308333153507;0.6174295772111179;7.8853752e-09;14.600343703286452;21.41432545283013;6.019991930669987;1.3528375033409656;10.5991295666927;21.573998336892167;54.3964579552455;0.0783744800619563;0.0559663044933231;0.0494466837137659;0.0042753883657153;0.0548070058400145;0.0863081392445184;0.0561447967403375;0.0236548522348764;0.0310531267701334;0.0366902406243655;0.0679202794076114;0.4553587025033818;26.647323221065168;19.02854352772987;16.81187246268041;1.4536320443432103;18.63438198560493;29.34476734313627;19.089230891714774;8.042649759857976;10.558063101845388;12.474681812284276;23.0928949985879;154.82195885114984
