;tC;tP;tN;tAce;Resp;Ferm;Nucprod;Aaprod;Replication;Transcription;tRNAcharging;Ribosome
kcat_f;20.0;30.0;40.0;50.0;10.0;15.0;10.0;15.0;20.0;30.0;20.0;4.55
kcat_b;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
